Routing algorithm,Power consumption [W],Reliability score (Max),Reliability score (# above 60%),Mean latency (premium) [ms],Mean latency (assured) [ms],Premium SLA violations,Assured SLA violations,Time,Link usage
MORA,104201,0.0,0,2,2,0,0,0.0,"[0.23096549999999996, 0.06907630000000001, 0.0, 0.0, 5.1e-06, 0.1010552, 0.1460232, 0.06964843333333333, 0.13999013333333335, 0.001475, 0.056870600000000014, 0.037053866666666664, 0.0, 0.124475, 0.0256, 0.08695766666666667, 0.04234979999999999, 0.0333746, 0.0, 0.0, 0.0, 0.026750000000000006, 0.159808, 0.19755889999999998, 0.16977233333333333, 0.00113925, 0.0, 0.10372469999999998, 0.05039473333333334, 0.0, 0.16237199999999996, 0.016491933333333333, 0.087549, 0.04529999999999999, 0.009894400000000001, 0.1506432, 0.0, 0.08121880000000001, 0.08752853333333332, 0.08395896666666663, 0.0, 0.22196666666666667, 0.0, 0.05052535, 0.0003, 0.0, 0.00115, 0.0, 0.0563343, 0.300806, 0.064305, 0.188331, 0.0, 0.22616549999999996, 0.5312, 0.08864249999999999, 0.077269, 0.13669606666666667, 0.0, 0.12451074999999999, 2.5e-05, 0.0, 0.0, 0.07587073333333332, 0.00808, 0.0, 0.0, 0.0945675, 0.08420040000000001, 0.0413229, 0.0, 5e-05, 0.031606333333333334, 0.151579, 0.05114325, 0.09269250000000001, 0.04698575, 0.10495453333333334, 0.415335, 0.029878500000000002, 0.09982026666666666, 0.0348249, 0.0, 0.10979679999999997, 0.060721266666666655, 0.05086075000000001, 0.04698575, 0.15712875, 0.13880499999999998, 0.13560223333333332, 0.474258, 0.0]"
MORA,101596,0.0,0,2,2,0,0,101.17089486122131,"[0.30976675, 0.05327106666666665, 0.0, 0.0, 0.0, 0.09956000000000002, 0.15183999999999997, 0.056157066666666665, 0.15950560000000005, 0.12440000000000002, 0.036752650000000005, 0.07245046666666667, 0.038681900000000005, -2.528532938583794e-18, 0.025350000000000004, 0.06123973333333334, 0.0038499999999999806, 0.02283880000000001, 0.05655306666666667, 0.0, 0.0, 0.16369850000000002, 0.22060533333333332, 0.18922769999999994, 0.08428566666666669, 0.03827500000000001, 0.0, 0.11646259999999997, 0.0669949666666667, 0.08271225, 0.1303501, 0.005738666666666664, 0.25975799999999993, 0.04665, 0.02975, 0.18251, 0.08182400000000001, 0.057350000000000026, 0.09559893333333332, 0.10358593333333331, 0.0, 0.1813000000000001, 0.0, 0.022865000000000014, 0.0021999999999999997, 0.0, 0.1158, 0.0, 0.05461999999999998, 0.2408185, 0.17886924999999998, 0.03462566666666672, 0.0, 0.292575, 0.21144999999999994, 0.0693417, 0.294441, 0.09829773333333336, 0.0436288, 0.07777499999999997, 0.1147, 0.114675, 0.0, 0.05161329999999998, 0.025425800000000005, 0.04052016666666666, 0.0316043, 0.03720024999999998, 0.10239539999999998, 0.03376120000000001, 0.0, 0.0001, 0.011244100000000005, 0.12210399999999999, 0.17314425, 0.035038499999999966, 4.9999999999996445e-05, 0.05637870000000006, 0.19175100000000006, 0.09250000000000004, 0.12501136666666668, 0.05118580000000001, 0.0, 0.050541699999999995, 0.02967773333333329, 0.011900000000000022, -5.997286001147017e-18, 0.219275, 0.25901925, 0.08234150000000001, 0.12301200000000004, 0.0]"
MORA,90997,0.0,0,2,2,0,0,72.34521913528442,"[0.22127500000000005, 0.09666986666666665, 0.0, 0.0, 0.0, 0.109345, 0.06079189999999999, 0.06758886666666664, 0.0916892, 0.011049999999999989, 0.05742400000000002, 0.0282947, 0.01777, 0.077475, 0.022900000000000004, 0.09301166666666669, 0.009848999999999983, 0.01675840000000001, 0.004001266666666685, 0.0, 0.0, 0.07460800000000002, 0.10454133333333329, 0.1396157, 0.13512133333333337, 0.0012000000000000242, 0.0, 0.09270333333333329, 0.0538183666666667, 0.015725000000000006, 0.0663463, 0.013742833333333326, 0.08009999999999988, 0.04945, 0.030931550000000002, 0.10032190000000002, 0.015725, 0.06355345000000003, 0.04654919999999999, 0.08497563333333338, 0.0, 0.16338000000000003, 0.0, 0.039120000000000016, 0.0015999999999999992, 0.0, 0.0011749999999999716, 0.0, 0.058023099999999966, 0.31906999999999996, 0.07486549999999999, 0.17626666666666663, 0.0, 0.19515700000000005, 0.43759999999999993, 0.05747209999999999, 0.11789999999999999, 0.1321849, 0.03750279999999998, 0.07744999999999998, 4.999999999998477e-05, 4.999999999999432e-05, 0.0, 0.09299509999999996, 0.00746, 0.007679999999999996, 0.0174818, 0.043545999999999974, 0.01954150000000001, 0.03836680000000002, 0.0, 0.0001, 0.04389566666666668, 0.13305800000000004, 0.0636405, 0.04169599999999994, -3.558264793923627e-18, 0.07179576666666675, 0.261672, 0.08980000000000007, 0.11036966666666664, 0.03539, 0.0, 0.0833221, 0.11910319999999995, 0.013425000000000025, -5.997286001147017e-18, 0.13582424999999998, 0.16147325, 0.07026793333333335, 0.24626999999999993, 0.0]"
MORA,87456,0.0,0,2,2,0,0,107.02642703056335,"[0.24351874999999992, 0.1056064, 0.0, 0.0, 0.0, 0.15463000000000002, 0.041908399999999985, 0.052289933333333295, 0.08616120000000002, 0.01084999999999998, 0.02523430000000001, 0.024243700000000003, 0.03889119999999999, 0.07745, 0.02455, 0.06652070000000006, 0.005759999999999982, 0.03266370000000001, 0.027969366666666683, 0.0, 0.0, 0.06156199999999999, 0.2310413333333333, 0.14336720000000003, 0.1956613333333334, 0.01497500000000002, 0.0, 0.0878566666666667, 0.06716883333333337, 0.039550500000000016, 0.08052973333333333, -7.579122514774402e-18, 0.0857999999999999, 0.05560000000000003, 0.02398500000000001, 0.08021840000000004, 0.0363755, 0.05877000000000001, 0.04858453333333332, 0.09060000000000004, 0.0, 0.1893, 0.0, 0.04866000000000003, 0.0015999999999999992, 0.0, 0.015299999999999972, 0.0, 0.07372999999999998, 0.5902930000000001, 0.07283599999999998, 0.11120000000000003, 0.0, 0.2377839999999999, 0.41015000000000007, 0.03547000000000003, 0.18620000000000003, 0.09913760000000002, 0.05399369999999997, 0.07744999999999998, 0.016424999999999985, 0.014149999999999994, 0.4104, 0.0746166666666666, 0.007890000000000001, 0.03339779999999999, 0.0063228, 0.04316899999999997, 0.015744400000000006, 0.004028400000000028, 0.0, 4.9999999999999996e-05, 0.016668000000000006, 0.33633399999999986, 0.10388599999999999, 0.04316899999999996, -3.558264793923627e-18, 0.03975940000000008, 0.252499, 0.1121500000000001, 0.0997012666666666, 0.03593, 0.0, 0.05458999999999998, 0.09692306666666663, 0.0002750000000000256, -5.997286001147017e-18, 0.20873399999999992, 0.17068600000000003, 0.07583520000000002, 0.41154399999999997, 0.0]"
MORA,94250,0.0,0,2,2,0,0,109.60591411590576,"[0.4100837499999998, 0.11462413333333338, 0.0, 0.0, 0.0, 0.12501000000000004, 0.08998879999999995, 0.06854243333333336, 0.0877545333333333, 0.15109999999999996, 0.0011500000000000056, 0.010456700000000001, 0.056955199999999956, 5.684341886080802e-18, 0.0338, 0.08465596666666665, 0.0034999999999999814, 0.01628000000000001, 0.024368800000000013, 0.0, 0.0, 0.0226065, 0.1798693333333333, 0.13019400000000006, 0.2141666666666667, 0.06600000000000002, 0.0, 0.07184733333333333, 0.03985200000000005, 0.11706574999999998, 0.15511296666666666, -7.579122514774402e-18, 0.07179999999999989, 0.053400000000000024, 0.02374500000000002, 0.1265188, 0.11254074999999998, 0.04793500000000001, 0.06071733333333331, 0.10098666666666675, 0.0, 0.14716666666666667, 0.0, 0.03243000000000003, 9.999999999999956e-05, 0.0, 0.14312499999999997, 0.0, 0.019749999999999986, 0.0054999999999999745, 0.26974175, 0.1675866666666667, 0.0, 0.30160499999999996, 0.08765000000000008, 0.06595669999999998, 0.1916466666666665, 0.08635333333333335, 0.03961999999999999, 0.07737499999999997, 0.14202499999999998, 0.14200000000000002, 0.07644999999999995, 0.07231333333333327, 0.00665, 0.010665099999999997, 0.004381449999999999, 0.02687174999999997, 0.06358870000000001, 0.02560420000000004, 0.0, 5e-05, 0.033434233333333334, 0.34718999999999994, 0.25891675000000003, 0.02954674999999996, -3.558264793923627e-18, 0.03091850000000009, 0.04936849999999998, 0.08425000000000007, 0.1086892333333333, 0.03550999999999999, 0.0, 0.037056699999999984, 0.06648413333333326, 0.013400000000000025, -5.997286001147017e-18, 0.32273399999999985, 0.2739667499999999, 0.10625376666666667, 0.28651450000000006, 0.0]"
MORA,95978,0.0,0,2,2,0,0,75.22780990600586,"[0.3263552499999999, 0.07211320000000003, 0.0, 0.0, 0.0, 0.15296000000000004, 0.053495999999999974, 0.07600913333333334, 0.14081276666666662, 0.012074999999999957, 0.030211450000000004, 0.030104100000000005, 0.033776999999999974, 0.07545, 0.03660000000000001, 0.1288147666666667, 0.0032287999999999818, 0.0303994, 0.04074766666666668, 0.0, 0.0, 0.03356950000000001, 0.09322266666666668, 0.1472821000000001, 0.11135500000000004, 0.013833000000000019, 0.0, 0.07931176666666669, 0.04266220000000006, 0.08959999999999997, 0.13002979999999995, -7.579122514774402e-18, 0.07219999999999988, 0.0454, 0.028055000000000014, 0.0814241000000001, 0.08852499999999998, 0.04254499999999999, 0.07761943333333332, 0.05596509999999998, 0.0, 0.1544333333333333, 0.0, 0.030473400000000032, 9.999999999999954e-05, 0.0, 0.013807999999999992, 0.0, 0.09576469999999998, 0.17085249999999996, 0.3307172499999999, 0.1092216666666667, 0.0, 0.33675525, 0.18958400000000006, 0.06348009999999991, 0.20904499999999973, 0.07479666666666665, 0.052289399999999986, 0.07514999999999997, 0.014833000000000004, 0.012558000000000015, 0.03674499999999996, 0.1116005333333333, 0.00688, 0.03260996666666666, 0.012716949999999998, 0.03466524999999997, 0.071401, 0.02662000000000004, 0.0, 5e-05, 0.023781300000000005, 0.2056319999999998, 0.32441725000000005, 0.03481524999999997, -3.558264793923627e-18, 0.03696866666666676, 0.10919999999999995, 0.08850000000000009, 0.09133683333333334, 0.03549999999999999, 0.0, 0.08065499999999995, 0.04928319999999992, 0.002567000000000025, -5.997286001147017e-18, 0.2860302499999999, 0.42944224999999986, 0.09414966666666667, 0.29085450000000007, 0.0]"
MORA,107410,0.0,0,2,2,0,0,103.45951890945436,"[0.38664474999999987, 0.1308310666666667, 0.0, 0.0, 0.0, 0.16996000000000008, 0.14006020000000002, 0.04868620000000003, 0.11699926666666666, 0.011449999999999957, 0.0501392, 0.03880370000000003, 0.03652939999999996, 0.07729999999999998, 0.043050000000000005, 0.10200170000000003, 0.00686999999999998, 0.030714999999999996, 0.0029943333333333506, 0.0, 0.0, 0.032315, 0.09382266666666668, 0.14894100000000007, 0.09787600000000003, 0.0019370000000000136, 0.0, 0.13538506666666675, 0.08225363333333337, 0.128375, 0.1187948666666666, -7.579122514774402e-18, 0.07721199999999988, 0.054250000000000013, 0.019187550000000025, 0.18134020000000017, 0.128375, 0.05237384999999999, 0.04986260000000001, 0.10892163333333334, 0.0, 0.14443333333333327, 0.0, 0.051625000000000025, 0.00019999999999999952, 0.0, 0.002086999999999993, 0.0, 0.014105099999999997, 0.45248649999999996, 0.005549999999999898, 0.14060000000000003, 0.0, 0.34296050000000006, 0.21265000000000003, 0.07291989999999991, 0.19183333333333302, 0.12319926666666667, 0.06201060000000001, 0.07769999999999994, 0.003062000000000003, 0.0008120000000000129, 0.3868045, 0.07969999999999994, 0.007221199999999998, 0.004982599999999994, 0.005215449999999994, 0.06726749999999997, 8.526512829121201e-18, 0.007670600000000043, 0.0, 5e-05, 0.04787623333333335, 0.12686049999999985, 0.0016500000000000796, 0.06611749999999997, -3.558264793923627e-18, 0.05976133333333342, 0.011549999999999975, 0.1568740000000001, 0.13586646666666669, 0.03605, 0.0, 0.10131509999999996, 0.09089773333333326, 0.013088000000000021, -5.997286001147017e-18, 0.35371774999999983, 0.029587749999999902, 0.12176999999999998, 0.14852400000000002, 0.0]"
MORA,92418,0.0,0,2,2,0,0,64.8458478450775,"[0.24163574999999993, 0.10396706666666675, 0.0, 0.0, 0.0, 0.16513000000000008, 0.0001300000000000113, 0.06335206666666668, 0.1207114666666667, 0.008169999999999957, 0.0247938, 0.011718100000000047, 0.050656199999999964, 0.07737999999999998, 0.041850000000000005, 0.12466640000000004, 0.012729999999999983, 0.015829999999999993, 0.029024266666666687, 0.0, 0.0, 0.04303, 0.1622263333333334, 0.07210240000000011, 0.15101466666666669, 0.015550000000000013, 0.0, 0.09027400000000005, 0.06611293333333337, 0.08903199999999997, 0.0808631666666666, -7.579122514774402e-18, 0.15866899999999987, 0.056, 0.030255000000000018, 0.038788000000000135, 0.08523200000000002, 0.03775999999999998, 0.0727188, 0.08629400000000001, 0.0, 0.11643333333333329, 0.0, 0.03982100000000002, 0.0001499999999999995, 0.0, 0.015594999999999993, 0.0, 0.07955320000000002, 0.24793800000000002, 0.3599142499999999, 0.05674333333333338, 0.0, 0.22241375000000008, 0.2412100000000001, 0.024236999999999922, 0.2808899999999998, 0.09253613333333334, 0.058080000000000034, 0.07769999999999994, 0.014295000000000004, 0.014320000000000013, 0.15188400000000005, 0.0733715999999999, 0.015306899999999997, 0.02868666666666666, 0.007200149999999995, 0.03615999999999996, 0.061769400000000016, 0.029934450000000046, 0.0, 5e-05, 0.0253908, 0.3823944999999999, 0.3555142500000001, 0.03770999999999997, -3.558264793923627e-18, 0.058900000000000084, 0.10138600000000002, 0.11660000000000002, 0.09689366666666671, 0.045016900000000006, 0.0, 0.05005699999999997, 0.061263366666666604, 2.2748469774569457e-17, -5.997286001147017e-18, 0.21213874999999985, 0.4030142499999999, 0.07133143333333329, 0.41203599999999996, 0.0]"
MORA,100149,0.0,0,2,2,0,0,69.92234802246094,"[0.49278725000000007, 0.1351939333333334, 0.0, 0.0, 0.0, 0.09223830000000012, 0.13155810000000004, 0.06749813333333338, 0.0772507, 0.00994999999999995, 0.0466885, 0.0521331666666667, 0.045230799999999974, 0.07709999999999997, 0.04835000000000002, 0.08804840000000001, 0.011979999999999975, 0.023265199999999996, 0.011240466666666692, 0.0, 0.0, 0.07685599999999998, 0.11225100000000003, 0.14241610000000007, 0.1469146666666667, 0.0009750000000000107, 0.0, 0.10246156666666666, 0.06325800000000004, 0.04187699999999996, 0.11112816666666661, -7.579122514774402e-18, 0.09662199999999986, 0.0578, 0.03927000000000003, 0.15719520000000017, 0.07560200000000002, 0.04157819999999999, 0.06611403333333328, 0.10419436666666662, 0.0, 0.15056666666666663, 0.0, 0.03524000000000004, 9.999999999999952e-05, 0.0, 0.00159999999999999, 0.0, 0.03464560000000002, 0.4553795000000001, 0.13321399999999994, 0.11513066666666673, 0.0, 0.4114652500000001, 0.25280000000000014, 0.05611899999999994, 0.188629333333333, 0.07125093333333339, 0.04814350000000004, 0.07709999999999993, 0.0007250000000000028, 0.0007250000000000109, 0.18492999999999998, 0.08468256666666658, 0.009202199999999995, 0.004866666666666659, 0.014896749999999995, 0.05807199999999996, 1.8189894035458566e-17, 0.019835850000000047, 0.0, 5e-05, 0.02868676666666667, 0.18735299999999994, 0.12478900000000016, 0.02519699999999997, -3.558264793923627e-18, 0.057168833333333426, 0.228596, 0.07890000000000003, 0.10968763333333338, 0.0396222, 0.0, 0.07477609999999997, 0.0900572666666666, 0.014000000000000023, -5.997286001147017e-18, 0.46276524999999974, 0.10331399999999985, 0.1389292333333333, 0.187403, 0.0]"
MORA,99783,0.0,0,2,2,0,0,84.97191810607909,"[0.38820625000000003, 0.12131893333333338, 0.0, 0.0, 0.0, 0.1326300000000001, 0.0007075, 0.05876213333333337, 0.08836010000000004, 0.08755599999999994, 0.026565600000000023, 0.002950666666666688, 0.02996059999999998, 0.07709999999999997, 0.05015000000000003, 0.10602500000000001, 0.005959999999999978, 0.01204389999999999, 0.027190100000000012, 0.0, 0.0, 0.1031945, 0.0873203333333334, 0.12347240000000007, 0.25651466666666667, 0.079156, 0.0, 0.11571586666666665, 0.06969963333333336, 0.10668599999999995, 0.08250593333333325, -7.579122514774402e-18, 0.06009999999999986, 0.051750000000000025, 0.033010000000000005, 0.04155000000000025, 0.10441100000000002, 0.04597499999999998, 0.08495026666666662, 0.12409936666666666, 0.0, 0.13659999999999986, 0.0, 0.021763800000000055, 0.0001499999999999995, 0.0, 0.07913099999999997, 0.0, 0.08533000000000002, 0.14536950000000023, 0.2952762499999999, 0.2518000000000001, 0.0, 0.39761024999999994, 0.1528380000000001, 0.06550989999999994, 0.09186666666666633, 0.10360663333333342, 0.05083390000000005, 0.07709999999999993, 0.075556, 0.077806, 0.2633445, 0.054611166666666586, 0.005569999999999997, 0.03814116666666666, 0.003881849999999994, 0.010127749999999954, 0.028038800000000027, 0.02159395000000005, 0.0, 4.9999999999999996e-05, 0.03461830000000002, 0.240495, 0.29500125000000005, 0.01567774999999996, -3.558264793923627e-18, 0.051165500000000044, 0.121528, 0.08425, 0.11994150000000002, 0.03518159999999999, 0.0, 0.06112999999999996, 0.10845186666666659, 0.008125000000000025, -5.997286001147017e-18, 0.37026024999999985, 0.35770124999999986, 0.0786411666666666, 0.4056159999999999, 0.0]"
