Routing algorithm,Power consumption [W],Reliability score (Max),Reliability score (# above 60%),Mean latency (premium) [ms],Mean latency (assured) [ms],Premium SLA violations,Assured SLA violations,Time,Link usage
Dijkstra,234827,1.335758062500001,1,2,2,3,3,0.0,"[0.29521333333333327, 0.0, 0.09193, 0.11615333333333333, 0.00235, 0.2736, 0.0004, 0.04404, 0.24254666666666666, 0.06960000000000001, 0.02268, 0.0, 0.06445, 0.0, 0.09370666666666667, 0.0, 0.0006, 0.3064, 0.0, 5e-05, 0.0, 0.0019600000000000004, 5e-05, 0.07355999999999999, 0.18359999999999996, 0.0006, 0.23869999999999994, 0.12475, 0.0, 0.0, 0.149, 0.20218, 0.13080666666666665, 0.07405, 0.0, 0.0, 0.0035, 0.0, 0.14428666666666667, 0.03536, 0.0, 0.07054, 0.0, 0.00982, 0.08703, 0.0024, 0.1294, 0.05233, 0.026546666666666663, 0.13953333333333331, 0.19503999999999996, 0.0215, 0.22854666666666662, 0.0737, 0.00936, 0.2476, 0.06896, 0.0902, 0.33305, 0.29997333333333326, 0.1551, 0.0001, 0.2248, 0.3473333333333333, 0.25906666666666667, 0.24184, 0.0, 0.13274, 0.0044, 0.01234, 0.04968000000000001, 0.00024, 0.34613333333333335, 0.24572, 0.14946666666666666, 0.08071333333333333, 1.0623, 0.0264, 0.0978, 0.0001, 0.0, 0.05633333333333333, 0.15510000000000002, 0.01746, 5e-05, 0.32465, 0.05358000000000001, 0.03928, 0.0512, 0.0643, 0.14222, 0.0263]"
Dijkstra,229775,0.4952640625000022,0,2,2,0,0,5.6934239864349365,"[0.2903133333333335, 0.0, 0.09159000000000002, 0.1475666666666666, 0.00225, 0.3611933333333333, 0.0004, 0.03028, 0.23072000000000004, 0.07094000000000003, 0.02212, 0.0, 0.06245, 0.0, 0.21142666666666668, 0.0, 0.0044, 0.3659333333333332, 0.01145, 0.00015, 0.0, 0.0015400000000000006, 5e-05, 0.06026000000000001, 0.10726666666666665, 0.00044, 0.10459333333333322, 0.1824, 0.0, 0.0, 0.17175, 0.16031999999999993, 0.15816666666666668, 0.1015, 0.0, 0.0, 0.0035, 0.0, 0.14418, 0.030426666666666678, 0.0, 0.06369999999999998, 0.0, 0.0077, 0.08285999999999996, 0.0023, 0.1866499999999999, 0.07599000000000002, 0.029513333333333322, 0.23893999999999996, 0.19763999999999993, 0.019500000000000007, 0.28774000000000005, 0.09565, 0.00648, 0.18490000000000004, 0.06134000000000002, 0.09290000000000002, 0.31050000000000005, 0.21953333333333327, 0.15554999999999997, 0.0002, 0.29220000000000007, 0.20484, 0.2335533333333332, 0.19912000000000005, 0.0, 0.13373999999999991, 0.0044, 0.01234, 0.05948999999999995, 0.0003599999999999999, 0.26213333333333316, 0.19651333333333335, 0.15804266666666666, 0.11063333333333328, 0.8815000000000005, 0.011500000000000008, 0.10046666666666666, 0.0001, 0.0, 0.05013333333333332, 0.15510000000000007, 0.02052, 5e-05, 0.30015, 0.05823000000000002, 0.05770666666666667, 0.0507, 0.08238, 0.11470000000000002, 0.02385]"
Dijkstra,207361,0.473344,0,2,2,0,0,9.326421976089476,"[0.1838933333333335, 0.0, 0.07824, 0.0994733333333333, 0.0022500000000000003, 0.31567999999999996, 0.0004, 0.03649, 0.17785333333333334, 0.06933999999999998, 0.0287, 0.0, 0.05995, 0.0, 0.22738666666666682, 0.0, 0.0032, 0.34799999999999964, 3.552713678800501e-19, 4.999999999999996e-05, 0.0, 0.0014400000000000012, 0.0001, 0.05748, 0.11434933333333332, 0.0003399999999999999, 0.1260866666666665, 0.15014999999999995, 0.0, 0.0, 0.2022000000000001, 0.3122333333333332, 0.06312000000000002, 0.0802, 0.0, 0.0, 0.0035, 0.0, 0.1775599999999999, 0.032973333333333354, 0.0, 0.06781999999999996, 0.0, 0.011028, 0.08074999999999996, 0.0022999999999999995, 0.1557999999999999, 0.060279999999999966, 0.023899999999999998, 0.2467199999999999, 0.22143999999999991, 0.02210000000000001, 0.15303733333333328, 0.08775, 3.999999999999972e-05, 0.1794000000000001, 0.08506, 0.09850000000000002, 0.28545, 0.09283999999999994, 0.15489999999999995, 0.00019999999999999998, 0.24033333333333334, 0.0992, 0.34521999999999986, 0.21002000000000007, 0.0, 0.07329999999999996, 0.0044, 0.01662, 0.06765999999999994, 0.00030000000000000003, 0.23202666666666646, 0.24293333333333333, 0.17093333333333333, 0.04824666666666667, 0.8752000000000003, 0.022500000000000003, 0.09473333333333332, 0.0001, 0.0, 0.0775733333333333, 0.15495000000000003, 0.01458, 5e-05, 0.2760999999999999, 0.06157000000000002, 0.01898, 0.045799999999999993, 0.12138000000000006, 0.12129000000000002, 0.026950000000000005]"
Dijkstra,201254,0.3063622500000021,0,2,2,0,0,9.109854936599733,"[0.23119333333333358, 0.0, 0.09743000000000003, 0.10383999999999985, 0.0023000000000000004, 0.3255599999999998, 0.0004, 0.014109999999999996, 0.1578448000000001, 0.07015999999999999, 0.04078, 0.0, 0.06645000000000002, 0.0, 0.2540600000000003, 0.0, 0.0032, 0.35706666666666637, 3.552713678800501e-19, 4.999999999999996e-05, 0.0, 0.0017000000000000012, 0.0001, 0.05514000000000001, 0.1287333333333333, 0.0003199999999999998, 0.08043999999999993, 0.14209999999999987, 0.0, 0.0, 0.1957, 0.21617999999999993, 0.11554000000000002, 0.07604000000000001, 0.0, 0.0, 0.0035, 0.0, 0.16503999999999983, 0.022240000000000034, 0.0, 0.08343999999999996, 0.0, 0.011519999999999996, 0.08516719999999994, 0.0021999999999999993, 0.14569999999999989, 0.07368999999999996, 0.02059333333333333, 0.26509333333333357, 0.19095999999999982, 0.02115, 0.20296533333333341, 0.07320000000000002, 0.0056, 0.16880000000000003, 0.07684000000000003, 0.11080000000000002, 0.32985, 0.1101733333333333, 0.15489999999999995, 9.999999999999996e-05, 0.23773333333333332, 0.0854066666666667, 0.24170666666666665, 0.3092600000000002, 0.0, 0.06513999999999995, 0.0044, 0.0149, 0.04795999999999991, 0.00024000000000000006, 0.26859999999999995, 0.22433146666666667, 0.17665066666666668, 0.05572533333333333, 0.8214000000000009, 0.01945, 0.1044533333333333, 0.00465, 0.0, 0.07953146666666668, 0.15545000000000003, 0.01546, 5e-05, 0.3198999999999999, 0.06531, 0.015338666666666667, 0.049100000000000005, 0.13526000000000007, 0.11200000000000002, 0.028300000000000013]"
Dijkstra,217003,0.12798506250000052,0,2,2,0,0,8.685461044311522,"[0.29820000000000013, 0.0, 0.12164000000000001, 0.1035733333333333, 0.002250000000000001, 0.32326000000000016, 0.0004, 0.014189999999999998, 0.10078000000000013, 0.06963999999999997, 0.03256, 0.0, 0.061042000000000006, 0.0, 0.17794000000000035, 0.0, 0.00020000000000000063, 0.4268666666666665, 3.552713678800501e-19, 4.999999999999996e-05, 0.0, 0.0013800000000000012, 0.0001, 0.06248000000000001, 0.08306666666666664, 0.0003199999999999998, 0.14877999999999994, 0.07414999999999987, 0.0, 0.0, 0.19925000000000004, 0.20796666666666658, 0.09933333333333333, 0.09223500000000001, 0.0, 0.0, 0.0035, 0.0, 0.15495333333333317, 0.0210866666666667, 0.0, 0.07923999999999999, 0.0, 0.006999999999999994, 0.0836899999999999, 0.002299999999999999, 0.07949999999999986, 0.050209999999999984, 0.015366666666666655, 0.16449333333333352, 0.1935567999999999, 0.01830000000000001, 0.19941333333333344, 0.0875, 0.006700000000000002, 0.16830000000000003, 0.07324000000000003, 0.10640000000000005, 0.28175000000000006, 0.3121933333333333, 0.15474999999999994, 9.999999999999995e-05, 0.29159999999999986, 0.26364000000000004, 0.20332666666666654, 0.2500200000000003, 0.0, 0.09523999999999996, 0.0044, 0.01714, 0.047469999999999936, 0.00020000000000000006, 0.19733333333333328, 0.27362666666666674, 0.21380000000000002, 0.09039999999999997, 0.7431000000000005, 0.021649999999999996, 0.09699999999999998, 0.00014999999999999963, 0.0, 0.046726666666666666, 0.15430000000000005, 0.012979999999999998, 5e-05, 0.2727, 0.07139999999999999, 0.04348666666666668, 0.0676, 0.09914000000000002, 0.09587000000000004, 0.02690000000000002]"
Dijkstra,222972,0.0,0,2,2,0,0,8.745620965957643,"[0.3496010666666668, 0.0, 0.06595999999999998, 0.11724773333333331, 0.0025500000000000006, 0.2443933333333335, 0.0004, 0.014349999999999995, 0.1145733333333335, 0.06849999999999998, 0.0267, 0.0, 0.0613, 0.0, 0.09119333333333363, 0.0, 0.00020000000000000063, 0.4269999999999997, 3.552713678800501e-19, 0.00455, 0.0, 0.0014800000000000015, 5e-05, 0.06008000000000001, 0.09159999999999997, 0.0007999999999999998, 0.29048106666666657, 0.09454999999999984, 0.0, 0.0, 0.19745, 0.20615333333333322, 0.1292800000000001, 0.04050000000000001, 0.0, 0.0, 0.0035, 0.0, 0.16854666666666646, 0.01702000000000004, 0.0, 0.07047999999999996, 0.0, 0.008739999999999996, 0.08339999999999995, 0.0025499999999999993, 0.10099999999999987, 0.05323999999999998, 0.01812666666666666, 0.1378866666666669, 0.20655999999999994, 0.019600000000000017, 0.25566666666666665, 0.04819999999999998, 0.005140000000000001, 0.16790000000000002, 0.06484000000000002, 0.09040000000000004, 0.2866500000000002, 0.31263333333333315, 0.15484999999999996, 9.999999999999995e-05, 0.20953333333333327, 0.29616666666666647, 0.20669999999999977, 0.3059200000000003, 0.0, 0.18398, 0.0044, 0.00606, 0.05519999999999993, 0.00024000000000000003, 0.22273333333333337, 0.1995200000000001, 0.2196026666666667, 0.0930066666666667, 0.4293000000000006, 0.02065, 0.08613333333333331, 9.999999999999967e-05, 0.0, 0.04293333333333333, 0.15540000000000004, 0.01194, 5e-05, 0.27835, 0.06852000000000004, 0.056646666666666665, 0.0732, 0.051900000000000016, 0.08509000000000007, 0.03020000000000001]"
Dijkstra,248562,0.0,0,2,2,0,0,8.791233062744139,"[0.3637866666666665, 0.0, 0.10331999999999997, 0.13815333333333332, 0.0025500000000000006, 0.37219333333333354, 0.0004, 0.0156, 0.1901866666666667, 0.07071999999999996, 0.0298488, 0.0, 0.07155, 0.0, 0.20178000000000032, 0.0001, 0.0004000000000000007, 0.38093333333333307, 3.552713678800501e-19, 0.001702, 0.0, 0.0013600000000000007, 4.9999999999999996e-05, 0.06416000000000002, 0.09159999999999997, 0.00036, 0.1594, 0.15849999999999992, 0.0, 0.0, 0.17715000000000006, 0.21953546666666657, 0.14416000000000012, 0.02385000000000001, 0.0, 0.0, 1.7763568394002505e-19, 0.0, 0.1806266666666665, 0.018486666666666707, 0.0, 0.09243999999999997, 0.0, 0.013739999999999995, 0.09719999999999994, 0.0025999999999999994, 0.16234999999999997, 0.04888999999999998, 0.025220000000000006, 0.2709400000000003, 0.20661999999999986, 0.018050000000000024, 0.27843333333333325, 0.032649999999999964, 0.006720000000000001, 0.3022000000000002, 0.081, 0.10810000000000004, 0.2683000000000002, 0.20735999999999985, 0.15705199999999994, 9.999999999999995e-05, 0.2839333333333332, 0.2450199999999999, 0.25757626666666644, 0.33992000000000017, 0.0, 0.1579264, 0.0044, 0.00444, 0.06156999999999994, 0.00024000000000000006, 0.2042666666666668, 0.24675999999999995, 0.18560000000000007, 0.047533333333333386, 0.42600000000000054, 0.011099999999999999, 0.0846, 4.999999999999967e-05, 0.0, 0.08760666666666667, 0.156602, 0.014062399999999997, 5e-05, 0.2621500000000001, 0.06737000000000001, 0.031706666666666654, 0.086, 0.07640000000000004, 0.07903000000000009, 0.027450000000000013]"
Dijkstra,211357,0.0,0,2,2,0,0,8.742285013198853,"[0.32904666666666654, 0.0, 0.08019119999999996, 0.14304266666666668, 0.0025500000000000006, 0.26409413333333365, 0.0004, 0.014870000000000003, 0.158216, 0.06901999999999996, 5.684341886080802e-19, 0.0, 0.0652, 0.0, 0.18830000000000038, -2.7755575615628915e-21, 0.00030000000000000073, 0.47993333333333316, 0.0088, 4.999999999999971e-05, 0.0, 0.0014400000000000003, 0.0001, 0.06852, 0.07393599999999997, 0.00031999999999999997, 0.14569999999999994, 0.11314999999999993, 0.0, 0.0, 0.1688, 0.1389266666666666, 0.1340133333333334, 0.021322000000000015, 0.0, 0.0, 0.00020000000000000017, 0.0, 0.14112666666666643, 0.02315333333333338, 0.0, 0.11657999999999996, 0.0, 0.025039999999999996, 0.11130399999999992, 0.0025499999999999993, 0.11624999999999995, 0.04475999999999998, 0.020160000000000015, 0.2558960000000003, 0.18240239999999988, 0.01625000000000002, 0.28547999999999984, 0.029149999999999968, 0.005060000000000001, 0.17610000000000015, 0.07796000000000004, 0.09720000000000004, 0.2793500000000002, 0.20065999999999995, 0.15818399999999994, 9.999999999999995e-05, 0.19533333333333333, 0.16627333333333333, 0.22737333333333315, 0.36192000000000013, 0.0, 0.11858000000000003, 0.0044, 0.01694, 0.06049999999999993, 0.0002800000000000001, 0.14973333333333347, 0.2064893333333334, 0.22020000000000006, 0.06056000000000006, 0.48791200000000073, -2.1316282072803004e-18, 0.08313333333333334, 4.999999999999967e-05, 0.0, 0.085476, 0.15750599999999998, 0.01072, 5e-05, 0.2717500000000001, 0.06136999999999998, 0.016459999999999992, 0.08369999999999998, 0.11510000000000002, 0.06982000000000008, 0.028550000000000016]"
Dijkstra,236197,0.0,0,2,2,0,0,7.739041805267334,"[0.24665333333333314, 0.0, 0.07074999999999995, 0.12871333333333318, 0.0017500000000000007, 0.28339333333333355, 0.0004, 0.020800000000000013, 0.19243333333333335, 0.07063999999999994, 0.02278, 0.0, 0.0598, 0.0, 0.26426000000000033, -2.7755575615628915e-21, 0.00020000000000000071, 0.41999999999999976, 0.0, 4.999999999999972e-05, 0.0, 0.0012400000000000002, 0.0001, 0.05453999999999999, 0.1109333333333333, 0.00031999999999999997, 0.11554666666666655, 0.1166499999999999, 0.0, 0.0, 0.1328, 0.27263333333333317, 0.14146000000000009, 0.028490000000000015, 0.0, 0.0, 0.00020000000000000017, 0.0, 0.16693333333333313, 0.04425333333333338, 0.0, 0.09157999999999997, 0.0, 0.023959999999999985, 0.10294999999999994, 0.00185, 0.12505, 0.07695999999999999, 0.023100000000000027, 0.2880866666666668, 0.16989999999999986, 0.018550000000000018, 0.18941333333333313, 0.03094999999999997, 0.007200000000000002, 0.1576000000000001, 0.06098000000000005, 0.11520000000000002, 0.31225000000000025, 0.23081333333333323, 0.15419999999999992, 9.999999999999995e-05, 0.19460000000000002, 0.23093333333333324, 0.29604666666666646, 0.20352000000000017, 0.0, 0.19032000000000004, 0.0044, 0.02068, 0.07852999999999993, 0.00026000000000000003, 0.22013333333333343, 0.2994666666666666, 0.21572000000000008, 0.04373333333333341, 0.5083000000000005, 0.017599999999999998, 0.081, 9.999999999999967e-05, 0.0, 0.09170666666666666, 0.15554999999999997, 0.01072, 5e-05, 0.3055500000000001, 0.07705999999999998, 0.009753333333333322, 0.0967, 0.06044, 0.08180000000000008, 0.028100000000000007]"
Dijkstra,236545,0.00036100000000027777,0,2,2,0,0,8.051110029220581,"[0.2289893333333333, 0.0, 0.07371999999999995, 0.12861999999999985, 0.002700000000000001, 0.3550000000000002, 0.0004, 0.020910000000000012, 0.12502666666666673, 0.07008539999999995, 0.017879999999999997, 0.0, 0.0547, 0.0, 0.30168000000000045, -2.7755575615628915e-21, 0.00030000000000000073, 0.47886666666666666, 0.0, 4.999999999999972e-05, 0.0, 0.0012999999999999997, 0.0046500000000000005, 0.060188, 0.09019999999999993, 0.00042, 0.08891513333333326, 0.11914999999999987, 0.0, 0.0, 0.12485000000000004, 0.29070666666666634, 0.15480000000000013, 0.028490000000000015, 0.0, 0.0, 0.00020000000000000017, 0.0, 0.17250846666666647, 0.042713333333333395, 0.0, 0.10066, 0.0, 0.011679999999999989, 0.07812999999999998, 0.002749999999999998, 0.1323499999999999, 0.0543727, 0.022600000000000006, 0.32494666666666694, 0.16657999999999995, 0.024100000000000014, 0.20165333333333324, 0.03349999999999997, 0.004400000000000004, 0.1592000000000001, 0.08308000000000004, 0.10310000000000002, 0.3348000000000004, 0.18103513333333324, 0.15424999999999991, 9.999999999999996e-05, 0.20846666666666674, 0.14284846666666648, 0.31547999999999987, 0.27022000000000024, 0.0, 0.16814, 0.0044, 0.017619999999999993, 0.0650899999999999, 0.00017999999999999996, 0.19560000000000013, 0.2790866666666666, 0.22459466666666672, 0.08411333333333341, 0.6076000000000006, 0.03405, 0.0776, 0.0001499999999999997, 0.0, 0.04165333333333331, 0.15424999999999994, 0.01072, 4.9999999999999996e-05, 0.3281500000000001, 0.08282999999999999, 0.05366666666666665, 0.10029999999999999, 0.056927999999999986, 0.09195000000000003, 0.023570000000000004]"
