Routing algorithm,Power consumption [W],Reliability score (Max),Reliability score (# above 60%),Mean latency (premium) [ms],Mean latency (assured) [ms],Premium SLA violations,Assured SLA violations,Time,Link usage
EAR,172670,0.24187953515624994,0,2,2,0,0,0.0,"[0.0, 0.0, 0.2497875, 0.0, 0.055275, 0.0017624999999999997, 3.75e-05, 0.009255000000000001, 0.02652, 0.0, 0.0, 0.016125, 0.0, 0.0, 0.0656025, 0.0987, 0.18191, 0.002625, 0.073305, 0.019725, 0.0, 0.0, 0.0, 0.0, 0.05602, 0.11175, 7.5e-05, 0.106665, 0.14628, 0.2732550000000001, 0.09521249999999999, 0.03726, 0.10821499999999999, 0.2434875, 0.06894749999999998, 0.05517, 0.3063, 0.0, 0.116325, 0.14778, 3.75e-05, 0.21105000000000004, 0.03306, 0.156925, 0.00045, 0.12330499999999997, 3.75e-05, 0.116325, 0.00018, 0.0, 0.0483375, 0.17270500000000003, 0.01991, 0.28239500000000006, 0.0018, 0.05220000000000001, 0.18138, 0.0, 0.0384, 0.0, 0.07777499999999998, 0.0198, 0.24974000000000005, 0.0, 0.0, 0.00045, 0.007365000000000001, 0.2596, 0.7967249999999998, 0.00147, 0.18570000000000003, 0.0, 0.0, 0.19244500000000003, 0.138335, 0.0, 0.039247500000000005, 0.087115, 0.292405, 0.0, 0.06794999999999998, 0.052905, 0.2298, 0.04669999999999999, 7.5e-05, 0.040185, 0.05874, 0.01701, 0.013095, 0.1121, 0.127045, 0.0555375]"
EAR,167494,0.023351660156249558,0,2,2,0,0,5.0071611404418945,"[0.0, 0.0, 0.23287499999999994, 0.0, 0.0717375, 0.0016875000000000004, 3.75e-05, 0.01269, 0.022820000000000003, 0.0, 0.0, 0.014625000000000003, 0.0, 0.0, 0.06247499999999998, 0.14163749999999994, 0.1883100000000001, 0.002625, 0.09718000000000002, 0.017887500000000004, 0.0, 0.0, 0.0, 0.0, 0.06091499999999995, 0.1288125, 0.00015, 0.086025, 0.1482300000000001, 0.26233999999999996, 0.13845, 0.0446175, 0.10813499999999997, 0.22511249999999997, 0.06869249999999998, 0.04519499999999999, 0.2996, 0.0, 0.11632500000000004, 0.16208999999999993, 0.0001125, 0.15580000000000002, 0.022740000000000014, 0.15907999999999994, 0.0033, 0.13764499999999985, 3.75e-05, 0.11666250000000002, 0.00027000000000000006, 0.0, 0.05542499999999999, 0.1473849999999999, 0.022135000000000005, 0.26601000000000014, 0.0017249999999999995, 0.05320500000000003, 0.14934000000000003, 0.0, 0.03802499999999999, 0.0, 0.08303999999999993, 0.017212499999999988, 0.23886500000000013, 0.0, 0.0, 0.00032999999999999994, 0.005774999999999999, 0.19659999999999994, 0.6611249999999994, 0.0011550000000000002, 0.13867500000000002, 0.0, 0.0, 0.186595, 0.12674999999999995, 0.0, 0.0569925, 0.11067499999999998, 0.25525500000000007, 0.0, 0.069975, 0.047775, 0.27445000000000014, 0.04334500000000001, 7.5e-05, 0.0436725, 0.050864999999999994, 0.016589999999999997, 0.015390000000000004, 0.118532, 0.13085999999999992, 0.076125]"
EAR,151695,0.01988099999999981,0,2,2,0,0,8.246944904327393,"[0.0, 0.0, 0.21852899999999995, 0.0, 0.0658125, 0.0016875000000000006, 7.5e-05, 0.012465000000000002, 0.024730000000000012, 0.0, 0.0, 0.016574999999999996, 0.0, 0.0, 0.060892499999999974, 0.11849999999999991, 0.14810500000000007, 0.002625, 0.06771000000000006, 0.020212499999999998, 0.0, 0.0, 0.0, 0.0, 0.08147119999999992, 0.15165, 0.00015, 0.0909675, 0.16608000000000003, 0.22211499999999995, 0.1142625, 0.05074499999999999, 0.13316999999999996, 0.2115165, 0.05868, 0.04310999999999999, 0.2660119999999999, 0.0, 0.11621250000000005, 0.14600999999999997, 3.75e-05, 0.15681199999999995, 0.02739750000000001, 0.06955999999999994, 0.0024000000000000002, 0.13541999999999982, 3.7500000000000003e-05, 0.11617500000000004, 0.00022499999999999994, 0.0, 0.044962499999999996, 0.14026999999999992, 0.017925, 0.22954000000000013, 0.0017250000000000004, 0.052005000000000016, 0.15751500000000002, 0.0, 0.03435, 0.0, 0.04332719999999991, 0.016874999999999984, 0.28151500000000007, 0.0, 0.0, 0.0002549999999999999, 0.008270999999999999, 0.17401999999999998, 0.6563999999999995, 0.0010800000000000004, 0.13454999999999992, 0.0, 0.0, 0.11916999999999996, 0.12576999999999997, 0.0, 0.04432169999999997, 0.07318, 0.261415, 0.0, 0.074175, 0.050864999999999994, 0.261, 0.019360000000000013, 7.5e-05, 0.04617749999999998, 0.06382500000000002, 0.019748399999999996, 0.010935000000000002, 0.122404, 0.16967999999999972, 0.06015]"
EAR,148003,0.0016100156249998498,0,2,2,0,0,8.16047191619873,"[0.0, 0.0, 0.24738750000000004, 0.0, 0.05489999999999999, 0.0017250000000000004, 7.5e-05, 0.011175, 0.016679999999999997, 0.0, 0.0, 0.015862499999999988, 0.0, 0.0, 0.06469499999999997, 0.11092499999999984, 0.12970000000000015, 0.002625, 0.065569, 0.021224999999999994, 0.0, 0.0, 0.0, 0.0, 0.08004039999999991, 0.14677500000000007, 7.5e-05, 0.084, 0.14322000000000004, 0.22660999999999995, 0.10822499999999996, 0.03597000000000001, 0.1237799999999999, 0.239925, 0.07307249999999998, 0.041355, 0.26905399999999985, 0.00962, 0.11658750000000007, 0.1503, 3.7500000000000003e-05, 0.16909399999999994, 0.010612500000000016, 0.08919999999999996, 0.0024000000000000002, 0.14138499999999965, 3.750000000000002e-05, 0.11617500000000004, 0.00017999999999999993, 0.0, 0.04983750000000002, 0.13760499999999992, 0.015444999999999993, 0.2456100000000001, 0.00165, 0.05262, 0.231945, 0.0, 0.03682500000000002, 0.0, 0.05001399999999993, 0.014587499999999982, 0.2487900000000001, 0.0, 0.0, 0.00023999999999999992, 0.008639999999999998, 0.2014499999999999, 0.6160499999999997, 0.0012750000000000005, 0.1265999999999999, 0.0, 0.0, 0.12526999999999996, 0.13894999999999996, 0.0, 0.0552675, 0.07787999999999998, 0.2132900000000002, 0.0, 0.08340000000000002, 0.06258, 0.2678, 0.01972400000000002, 0.0034875, 0.0489825, 0.06183, 0.030584999999999994, 0.011595, 0.13489999999999996, 0.1457399999999998, 0.05703]"
EAR,160154,0.0,0,2,2,0,0,8.029738903045653,"[0.0, 0.0, 0.2113124999999999, 0.0, 0.065625, 0.0016875000000000004, 7.5e-05, 0.012855, 0.015815, 0.0, 0.0, 0.013725, 0.0, 0.0, 0.06309749999999999, 0.061274999999999843, 0.07560000000000007, 0.002625, 0.07520000000000002, 0.020175, 0.0, 0.0, 0.0, 0.0, 0.041598549999999915, 0.1494375000000001, 7.500000000000001e-05, 0.0719025, 0.14516760000000004, 0.24519999999999986, 0.05726249999999995, 0.03560249999999999, 0.11621499999999993, 0.20452499999999993, 0.09123, 0.04680000000000001, 0.28408549999999977, 0.00014, 0.11572500000000005, 0.14578499999999997, 3.750000000000002e-05, 0.1381355, 0.010672500000000015, 0.231375, 0.00015000000000000037, 0.14928999999999976, 3.7500000000000024e-05, 0.11606250000000004, 0.00021, 0.0, 0.04578150000000003, 0.12613999999999992, 0.011545000000000003, 0.2795800000000001, 0.0017249999999999993, 0.05223000000000002, 0.18751499999999993, 0.0, 0.050699999999999995, 0.0, 0.08609499999999991, 0.016237499999999978, 0.2303350000000002, 0.0, 0.0, 0.00023999999999999992, 0.00525, 0.14799999999999994, 0.5573249999999996, 0.0010350000000000005, 0.12622499999999992, 0.0, 0.0, 0.19496000000000008, 0.13622499999999996, 0.0, 0.0376575, 0.07767999999999999, 0.22685500000000008, 0.0, 0.08009999999999998, 0.05942999999999998, 0.32015, 0.050890000000000025, 0.00011249999999999929, 0.05355000000000001, 0.05995499999999997, 0.02442, 0.009735000000000004, 0.16035, 0.13359999999999989, 0.06710999999999999]"
EAR,160694,0.0,0,2,2,0,0,8.201399087905884,"[0.0, 0.0, 0.21498750000000008, 0.0, 0.03615000000000002, 0.0019125, 3.75e-05, 0.004544999999999999, 0.012765, 0.0, 0.0, 0.014700000000000012, 0.0, 0.0, 0.06287999999999998, 0.07739999999999982, 0.10147000000000013, 0.002625, 0.09482499999999995, 0.022649999999999983, 0.0, 0.0, 0.0, 0.0, 0.054918549999999934, 0.14808750000000015, 7.500000000000002e-05, 0.06381749999999997, 0.15492000000000009, 0.2182149999999999, 0.07256249999999996, 0.04140000000000003, 0.12640999999999994, 0.2087624999999999, 0.04947000000000001, 0.04506000000000003, 0.22893549999999974, 3.499999999999999e-05, 0.11655000000000008, 0.17690999999999973, 0.0034125, 0.1363855, 0.010792500000000014, 0.18401499999999996, 0.00015000000000000037, 0.1652757999999997, 3.750000000000003e-05, 0.11613749999999998, 0.00017999999999999996, 0.0, 0.04597500000000004, 0.15387499999999987, 0.013594999999999998, 0.2465650000000001, 0.0019124999999999993, 0.051375000000000025, 0.22943999999999992, 0.0, 0.0549, 0.0, 0.07042499999999985, 0.01548749999999998, 0.2515400000000001, 0.0, 0.0, 0.0005999999999999998, 0.0048432, 0.16704999999999995, 0.3219749999999997, 0.0011100000000000007, 0.1259249999999999, 0.0, 0.0, 0.17166500000000004, 0.11885499999999985, 0.0, 0.03993000000000001, 0.0879358, 0.2519500000000001, 0.0, 0.06809999999999997, 0.05286, 0.32025000000000003, 0.043155000000000034, 7.499999999999932e-05, 0.050534100000000026, 0.052484999999999955, 0.020025, 0.008955000000000001, 0.16470200000000002, 0.1803757999999998, 0.030374999999999996]"
EAR,180926,0.0,0,2,2,0,0,8.239074945449829,"[0.0, 0.0, 0.20122500000000004, 0.0, 0.026846250000000016, 0.0019124999999999993, 3.75e-05, 0.0033299999999999996, 0.013865, 0.0, 0.0, 0.013537500000000011, 0.0, 0.0, 0.07323749999999997, 0.1234124999999998, 0.16287450000000006, -1.7763568394002505e-19, 0.10103499999999993, 0.020587499999999984, 0.0, 0.0, 0.0, 0.0, 0.09280354999999993, 0.13286250000000016, 7.500000000000003e-05, 0.05975699999999996, 0.15496500000000002, 0.25922500000000004, 0.12052499999999995, 0.0461775, 0.13547000000000003, 0.19661249999999988, 0.07748999999999998, 0.048120000000000024, 0.2847354999999997, 0.00033, 0.1195875000000001, 0.1757447999999998, 0.0034125, 0.13523549999999998, 0.011730000000000013, 0.15551999999999994, 0.00030000000000000035, 0.1653949999999998, 3.750000000000003e-05, 0.11992500000000002, 0.00017999999999999993, 0.0, 0.053662500000000043, 0.20286000000000004, 0.018914999999999998, 0.29317450000000006, 0.0019499999999999986, 0.05304000000000002, 0.2549399999999999, 0.0, 0.06457500000000002, 0.0, 0.035979999999999894, 0.00832499999999998, 0.2727561000000001, 0.0, 0.0, 0.00026999999999999984, 0.010305, 0.15319999999999995, 0.3194999999999997, 0.0010200000000000007, 0.2266499999999999, 0.0, 0.0, 0.18411000000000002, 0.1509899999999999, 0.0, 0.036667500000000006, 0.10361500000000005, 0.3009417000000002, 0.0, 0.08137499999999993, 0.06932999999999999, 0.28570000000000007, 0.02411000000000008, 3.749999999999932e-05, 0.05099925000000002, 0.06578999999999996, 0.0223866, 0.0105468, 0.13920000000000002, 0.13899499999999979, 0.022382999999999993]"
EAR,153333,0.0,0,2,2,0,0,7.966186046600343,"[0.0, 0.0, 0.2095125, 0.0, 0.021862500000000007, 0.0019124999999999993, 7.5e-05, 0.015345000000000003, 0.017365, 0.0, 0.0, 0.01218750000000001, 0.0, 0.0, 0.083808, 0.08883749999999982, 0.12658200000000006, 0.00014999999999999982, 0.11359999999999995, 0.021412499999999994, 0.0, 0.0, 0.0, 0.0, 0.07749529999999993, 0.12660000000000018, 7.500000000000003e-05, 0.05236499999999998, 0.13600500000000004, 0.16789000000000004, 0.08651249999999996, 0.045375, 0.10584500000000002, 0.20381249999999979, 0.05974499999999998, 0.05139000000000004, 0.20013299999999967, 0.0326, 0.11613750000000012, 0.17525999999999978, 3.749999999999991e-05, 0.11598299999999996, 0.01118250000000002, 0.17326499999999986, 0.00022500000000000035, 0.1605549999999999, 3.750000000000004e-05, 0.11655000000000004, 0.0002099999999999999, 0.0, 0.05550000000000002, 0.15548600000000004, 0.015119999999999996, 0.22277699999999998, 0.0019124999999999988, 0.05176500000000005, 0.2714399999999999, 0.0, 0.06277500000000001, 0.0, 0.05688499999999985, 0.00659999999999998, 0.204705, 0.0, 0.0, 0.00023999999999999982, 0.019095, 0.11229999999999991, 0.36194999999999966, 0.0010800000000000007, 0.13207499999999994, 0.0, 0.0, 0.1617550000000001, 0.1376549999999999, 0.0, 0.03357, 0.10701600000000001, 0.2567600000000001, 0.0, 0.07319999999999992, 0.08711999999999996, 0.3599500000000001, 0.02381000000000007, 3.749999999999932e-05, 0.04602749999999999, 0.062264999999999945, -5.684341886080802e-19, 0.00804, 0.16515000000000002, 0.14161999999999977, 0.016820999999999992]"
EAR,175415,0.0,0,2,2,0,0,7.927468061447143,"[0.0, 0.0, 0.2341874999999999, 0.0, 0.023212500000000014, 0.0013124999999999996, 7.5e-05, 0.015510000000000003, 0.03318999999999999, 0.0, 0.0, 0.013912500000000008, 0.0, 0.0, 0.0775425, 0.09543749999999976, 0.14433, 0.00014999999999999982, 0.03600999999999995, 0.021074999999999997, 0.0, 0.0, 0.0, 0.0, 0.0771049999999999, 0.09960000000000016, 7.500000000000005e-05, 0.061826849999999975, 0.12742500000000004, 0.25130899999999995, 0.08913749999999994, 0.058897500000000026, 0.12466900000000004, 0.2291624999999997, 0.053062499999999985, 0.04090500000000005, 0.22383999999999965, 4.5000000000000755e-05, 0.11666250000000015, 0.1880699999999998, 3.749999999999991e-05, 0.14395, 0.015630000000000026, 0.13380999999999976, 0.00015000000000000037, 0.16519499999999998, 3.7500000000000044e-05, 0.11565000000000002, 0.00019499999999999983, 0.0, 0.04485000000000003, 0.16857899999999998, 0.017324999999999997, 0.33065000000000017, 0.0013874999999999996, 0.052980000000000055, 0.15263999999999997, 0.0, 0.072525, 0.0, 0.04803999999999984, 0.013199999999999977, 0.31052500000000005, 0.0, 0.0, 0.00023999999999999982, 0.017969999999999996, 0.16509999999999989, 0.3812249999999998, 0.0009300000000000004, 0.11819999999999996, 0.0, 0.0, 0.220155, 0.1515578999999999, 0.0, 0.05771999999999998, 0.096535, 0.24214790000000028, 0.0, 0.08669999999999992, 0.06868499999999998, 0.31499999999999995, 0.02255500000000008, 7.499999999999933e-05, 0.057794999999999985, 0.05113499999999995, 0.017085, 0.00804, 0.16179000000000002, 0.1487249999999998, 0.020300999999999993]"
EAR,175278,0.0,0,2,2,0,0,9.263282060623167,"[0.0, 0.0, 0.25109999999999977, 0.0, 0.025125000000000015, 0.002025, 0.0034874999999999993, 0.013215000000000005, 0.032034999999999994, 0.0, 0.0, 0.018074999999999997, 0.0, 0.0, 0.058927499999999994, 0.10091249999999975, 0.09528000000000002, 0.00014999999999999982, 0.03910999999999998, 0.0156375, 0.0, 0.0, 0.0, 0.0, 0.04013479999999988, 0.09363750000000018, 7.500000000000006e-05, 0.0689625, 0.12493499999999998, 0.3089757999999999, 0.09101249999999993, 0.048817500000000034, 0.12912580000000007, 0.24611249999999962, 0.05529, 0.044325000000000045, 0.22959799999999966, 0.00397, 0.11568750000000017, 0.16798499999999972, 3.749999999999991e-05, 0.13144799999999993, 0.01571250000000003, 0.09122499999999976, 0.00022500000000000032, 0.18000999999999995, 3.750000000000005e-05, 0.11568750000000003, 0.0001349999999999998, 0.0, 0.04102500000000002, 0.1673357999999999, 0.01700999999999999, 0.3214450000000002, 0.0020624999999999984, 0.05179740000000004, 0.20266500000000004, 0.0, 0.07522500000000003, 0.0, 0.08234499999999983, 0.025537499999999984, 0.3301599999999999, 0.0, 0.0, 0.0003149999999999998, 0.008940000000000002, 0.14669999999999989, 0.4556999999999998, 0.000975000000000001, 0.11939999999999995, 0.0, 0.0, 0.18325499999999997, 0.1498857999999998, 0.0, 0.0403962, 0.09646500000000004, 0.22807000000000013, 0.0, 0.07762499999999994, 0.075315, 0.35914999999999986, 0.0594500000000001, 0.0001124999999999993, 0.06212249999999999, 0.06560999999999999, 0.013409999999999998, 0.00804, 0.16844600000000004, 0.1567649999999998, 0.020300999999999993]"
