Routing algorithm,Power consumption [W],Reliability score (Max),Reliability score (# above 60%),Mean latency (premium) [ms],Mean latency (assured) [ms],Premium SLA violations,Assured SLA violations,Time,Link usage
EAR,315271,2.031693890625,1,2,2,7,7,0.0,"[0.26743, 0.0, 0.017990000000000003, 0.0, 0.15436666666666668, 0.013725, 0.044893333333333334, 0.08897500000000001, 0.3317049999999999, 0.066145, 0.00015, 0.001125, 0.0098, 0.002575, 0.23449999999999996, 0.19916666666666663, 0.0, 0.0, 0.024375, 0.5087999999999999, 1.17015, 0.08756999999999998, 0.0004300000000000001, 0.3025900000000001, 0.03404, 0.0, 0.100295, 0.0, 0.2693966666666666, 0.0011000000000000003, 3.3333333333333335e-05, 0.040380000000000006, 0.0002, 0.0, 0.024629999999999996, 0.08961, 0.0006, 0.0735, 0.06538333333333332, 0.0025750000000000005, 0.0, 0.0, 0.1853833333333333, 0.22962333333333335, 0.482, 0.0, 2.5e-05, 0.03380000000000001, 0.15292666666666666, 0.00017500000000000003, 3.3333333333333335e-05, 0.12494, 0.0434, 0.09585, 0.4220666666666667, 0.34143999999999974, 0.4572333333333334, 0.0, 0.0, 0.7077249999999998, 0.0, 0.0, 0.5116249999999999, 0.3234, 0.06085000000000001, 0.16718333333333332, 0.0, 0.02717, 0.0, 0.0, 0.22788, 0.2245, 0.35363999999999995, 0.164475, 0.4148, 0.0, 0.051875, 0.38927, 0.39936666666666665, 7.5e-05, 0.0015, 0.22052666666666668, 0.14065, 0.14743, 0.00023, 0.00219, 0.29648999999999986, 0.721725, 0.08793500000000001, 0.2630766666666666, 0.0, 0.24687]"
EAR,290253,2.094894390624999,1,2,2,9,9,10.11413598060608,"[0.25630999999999987, 0.0, 0.021758400000000008, 0.0, 0.15436666666666668, 0.014900000000000005, 0.04984333333333334, 0.08282499999999998, 0.22698499999999988, 0.06678499999999997, 0.00019999999999999998, 0.0012, 0.016489600000000004, 0.002575, 0.23661733333333332, 0.20933333333333343, 0.0, 0.0, 0.020790000000000003, 0.42215, 1.17895, 0.066365, 0.0, 0.293292, 0.027219999999999994, 0.0, 0.07944920000000003, 0.0, 0.2879461333333333, 0.0010999999999999998, 3.3333333333333335e-05, 0.04196, 0.000175, 0.0, 0.02252, 0.075825, 0.0043, 0.07421999999999997, 0.04977000000000006, 0.002475, 0.0, 0.0, 0.20529666666666657, 0.17638866666666655, 0.3993659999999999, 0.0, 2.4999999999999998e-05, 0.0345, 0.15592186666666663, 0.00235, 3.3333333333333335e-05, 0.13975, 0.047560000000000005, 0.10828333333333329, 0.37364173333333306, 0.29934533333333335, 0.48838400000000026, 0.0, 0.0, 0.7820249999999999, 0.0, 0.0, 0.4284500000000001, 0.31946666666666673, 0.06740520000000003, 0.14523000000000005, 0.0, 0.034136666666666655, 0.0, 0.0, 0.22598613333333342, 0.24630000000000005, 0.2987127999999996, 0.18110800000000002, 0.6303, 0.0, 0.05465, 0.3408186666666667, 0.38192800000000005, 4.999999999999999e-05, 0.0015, 0.2734694666666668, 0.14181666666666656, 0.1622432, 0.00022, 0.0028499999999999984, 0.26253973333333325, 0.7904940000000004, 0.09514500000000005, 0.23630613333333322, 0.0, 0.23535999999999993]"
EAR,267567,2.6461203560999955,1,2,2,11,11,19.333580017089844,"[0.2543066666666667, 0.0, 0.01966000000000001, 0.0, 0.15436666666666668, 0.013693000000000006, 0.0448338666666667, 0.06794999999999997, 0.25685, 0.06211499999999999, 0.00015000000000000001, 0.001375, 0.014680000000000004, 0.002575, 0.184684, 0.18628440000000018, 0.0, 0.0, 0.027781999999999994, 0.3086, 1.2506759999999995, 0.05713500000000002, 0.00036, 0.2851828000000003, 0.02364999999999999, 0.0, 0.08136999999999997, 0.0, 0.15241000000000007, 0.00155, 3.333333333333333e-05, 0.04073999999999999, 0.00019999999999999996, 0.0, 0.022697200000000004, 0.10664000000000001, 0.003300000000000003, 0.07388000000000006, 0.03936333333333337, 0.0031, 0.0, 0.0, 0.16816999999999988, 0.16613426666666672, 0.39050000000000024, 0.0, 2.4999999999999998e-05, 0.0334, 0.15259333333333341, 0.000525, 3.3333333333333335e-05, 0.10530999999999999, 0.0788, 0.08674173333333333, 0.35528253333333315, 0.35921919999999996, 0.3827333333333335, 0.0, 0.0, 0.7731000000000001, 0.0, 0.0, 0.3138000000000002, 0.30300533333333335, 0.06225720000000004, 0.27825053333333344, 0.0, 0.023347599999999996, 0.0, 0.0, 0.1128533333333334, 0.21020000000000005, 0.2863105333333328, 0.162354, 0.5622500000000002, 0.0, 0.08397499999999995, 0.30980760000000007, 0.22686666666666686, 4.999999999999999e-05, 0.0071, 0.2348200000000002, 0.14198666666666657, 0.1508916, 0.00022, 0.0017599999999999994, 0.24291333333333337, 0.8078000000000003, 0.08285760000000005, 0.2059666666666666, 0.0, 0.2433799999999999]"
EAR,278308,1.7236407656249952,1,2,2,9,9,18.439174890518192,"[0.2710858666666667, 0.0, 0.021300000000000003, 0.0, 0.18879999999999997, 0.017375000000000005, 0.04035333333333335, 0.07342499999999998, 0.32030760000000014, 0.05995999999999998, 0.0002, 0.0011499999999999998, 0.011490000000000004, 0.001275, 0.20706533333333332, 0.18229666666666675, 0.0, 0.0, 0.026700000000000005, 0.26529999999999976, 1.1251499999999994, 0.06949880000000001, 0.00027000000000000006, 0.2504696000000004, 0.023849999999999986, 0.0, 0.07787499999999996, 0.0, 0.2719531999999999, 0.001075, 3.3333333333333335e-05, 0.040149599999999994, 0.00032499999999999993, 0.0, 0.02121000000000001, 0.08195999999999996, 0.00025000000000000266, 0.07382520000000009, 0.033213333333333386, 0.0013249999999999998, 0.0, 0.0, 0.14363999999999988, 0.20968666666666674, 0.25465000000000043, 0.0, 2.5e-05, 0.035238, 0.13919653333333348, 0.00015000000000000001, 3.3333333333333335e-05, 0.08877000000000002, 0.04990000000000001, 0.09644666666666664, 0.3792273333333332, 0.32318386666666665, 0.41043333333333365, 0.0, 0.0, 0.7421750000000001, 0.0, 0.0, 0.26964999999999995, 0.3688666666666667, 0.06726200000000003, 0.20013920000000016, 0.0, 0.022803333333333325, 0.0, 0.0, 0.13132, 0.2077, 0.24860333333333295, 0.15027499999999996, 0.2773760000000004, 0.0, 0.05079999999999995, 0.4261766666666668, 0.25566666666666693, 7.5e-05, 0.0071, 0.23207000000000005, 0.19309333333333323, 0.16530759999999994, 0.00020999999999999995, 0.0021299999999999995, 0.2274432, 0.7681000000000008, 0.07500000000000002, 0.1602733333333333, 0.0, 0.2443399999999999]"
EAR,269398,1.8117159999999968,1,2,2,7,7,20.03470802307129,"[0.23903999999999995, 0.0, 0.022800000000000004, 0.0, 0.21476666666666666, 0.01680000000000001, 0.047270000000000034, 0.06884899999999997, 0.26674, 0.06172999999999998, 0.00015, 0.0006999999999999998, 0.011024800000000003, 0.00235, 0.2110146666666667, 0.1935233333333335, 0.0, 0.0, 0.016187000000000003, 0.3075249999999998, 1.1383999999999996, 0.045810000000000024, 0.0013800000000000006, 0.22464960000000028, 0.02363999999999999, 0.0, 0.0640568, 0.0, 0.1715111999999999, 0.0006500000000000001, 3.3333333333333335e-05, 0.039553599999999994, 0.00022499999999999997, 0.0, 0.022045000000000006, 0.08040000000000003, 0.0002500000000000027, 0.0655708000000001, 0.03299666666666673, 0.0024, 0.0, 0.0, 0.1641899999999998, 0.18768479999999993, 0.21750000000000044, 0.0, 2.4999999999999998e-05, 0.032427, 0.09508306666666673, 0.000175, 3.3333333333333335e-05, 0.11009480000000005, 0.04454, 0.13299666666666665, 0.38156333333333325, 0.2912233333333331, 0.41871466666666685, 0.0, 0.0, 0.6319249999999998, 0.0, 0.0, 0.31727499999999986, 0.49490000000000006, 0.05939000000000006, 0.24643520000000013, 0.0, 0.06650666666666664, 0.0, 0.0, 0.12480333333333334, 0.19805000000000003, 0.3461369333333331, 0.12987499999999996, 0.5189000000000004, 0.0, 0.04867499999999995, 0.42198813333333335, 0.2899333333333336, 0.0014249999999999998, 0.0071, 0.16044666666666677, 0.08735999999999998, 0.13781079999999996, 0.0004199999999999998, 0.0015199999999999997, 0.18974999999999995, 0.647325, 0.08756999999999998, 0.2770066666666666, 0.0, 0.24768999999999997]"
EAR,263419,2.0570730625,1,2,2,9,9,19.820132970809933,"[0.21541, 0.0, 0.02355, 0.0, 0.23078566666666667, 0.01707500000000002, 0.05126000000000001, 0.069875, 0.22837000000000005, 0.06291000000000001, 0.00019999999999999998, 0.00055, 0.016040000000000006, 0.002325, 0.18634766666666674, 0.17626666666666688, 0.0, 0.0, 0.019365000000000007, 0.29804799999999976, 1.1736999999999997, 0.05143240000000001, 0.0007600000000000006, 0.22582000000000035, 0.027097599999999993, 0.0, 0.06695, 0.0, 0.2774299999999999, 0.0005000000000000001, 3.333333333333333e-05, 0.03955, 0.000275, 0.0, 0.03912500000000001, 0.07544, 0.00020000000000000272, 0.0662272000000001, 0.059600000000000035, 0.0024250000000000005, 0.0, 0.0, 0.1567733333333332, 0.18445533333333336, 0.21429600000000038, 0.0, -3.469446951953614e-21, 0.02359299999999999, 0.11717143333333335, 0.000225, 3.3333333333333335e-05, 0.09146480000000001, 0.049516000000000004, 0.08895666666666655, 0.34209, 0.26108666666666663, 0.37425700000000034, 0.0, 0.0, 0.6142909999999995, 0.0, 0.0, 0.30704799999999993, 0.4628546666666667, 0.06745000000000002, 0.16569440000000016, 0.0, 0.039543333333333326, 0.0, 0.0, 0.1687833333333333, 0.19985000000000008, 0.34242906666666645, 0.13784999999999994, 0.43040000000000017, 0.0, 0.05827499999999993, 0.32927533333333364, 0.21806666666666694, 0.0005249999999999996, 0.0071, 0.26575333333333345, 0.13316333333333327, 0.14628719999999984, 0.00025999999999999987, 0.00204, 0.2554266666666667, 0.6329910000000002, 0.07009500000000005, 0.23165666666666657, 0.0, 0.25529999999999997]"
EAR,271463,1.8399023448999987,1,2,2,8,8,19.42378306388855,"[0.21045393333333337, 0.0, 0.02072, 0.0, 0.223959, 0.018600000000000016, 0.04664506666666671, 0.08710975000000001, 0.2082276000000001, 0.058821950000000026, 0.00015, 0.003300000000000002, 0.018489200000000004, 0.002874999999999999, 0.18241866666666673, 0.1783750666666667, 0.0, 0.0, 0.012025000000000013, 0.2765999999999996, 1.1425719999999995, 0.04966090000000001, 0.0008200000000000001, 0.23645270000000054, 0.02834999999999999, 0.0, 0.05919500000000002, 0.0, 0.2711825333333332, 0.0032500000000000007, 3.3333333333333335e-05, 0.03994000000000002, 0.0003249999999999998, 0.0, 0.02107499999999999, 0.06740299999999998, 0.00025000000000000277, 0.06272000000000007, 0.058050533333333355, 0.0028500000000000005, 0.0, 0.0, 0.17930999999999991, 0.1900666666666666, 0.19000000000000036, 0.0, 0.002175, 0.028049999999999995, 0.11086916666666678, 0.0002, 3.3333333333333335e-05, 0.10265610000000003, 0.043948, 0.09724386666666654, 0.3266611, 0.2165666333333331, 0.3610186666666669, 0.0, 0.0, 0.6316499999999996, 0.0, 0.0, 0.2840379999999996, 0.44136666666666696, 0.06892000000000005, 0.14337059999999996, 0.0, 0.040915733333333294, 0.0, 0.0, 0.2274853333333332, 0.21295, 0.36953199999999975, 0.1362, 0.5032999999999999, 0.0, 0.05446499999999993, 0.34663333333333357, 0.2053053333333335, 0.0022249999999999995, 0.0071, 0.3289392000000001, 0.11043333333333326, 0.1672799999999999, 0.00017999999999999985, 0.0017400000000000002, 0.2438962333333332, 0.6367840000000003, 0.10098499999999998, 0.26679199999999975, 0.0, 0.23098000000000005]"
EAR,280172,1.5132075156249991,1,2,2,8,8,20.089142084121704,"[0.20217866666666667, 0.0, 0.019349999999999996, 0.0, 0.23025233333333334, 0.021076000000000015, 0.04643000000000001, 0.07792500000000002, 0.25843500000000014, 0.056905000000000025, 0.00010000000000000002, 0.013100000000000002, 0.011270000000000004, 0.005174999999999998, 0.18042933333333344, 0.19180013333333346, 0.0, 0.0, 0.012975000000000014, 0.25827499999999964, 1.0920499999999997, 0.044640000000000034, 0.0016700000000000003, 0.2604900000000005, 0.02919759999999999, 0.0, 0.07723000000000003, 0.0, 0.17080999999999993, 0.009841, 3.3333333333333335e-05, 0.03924000000000003, 0.00017499999999999986, 0.0, 0.021840399999999996, 0.061355, 0.00020000000000000275, 0.07313000000000007, 0.060187866666666666, 0.004200000000000002, 0.0, 0.0, 0.1411666666666666, 0.24926999999999996, 0.1539500000000003, 0.0, 0.002050000000000001, 0.02844999999999999, 0.07519293333333343, 0.00025, 3.3333333333333335e-05, 0.18740000000000007, 0.043948, 0.1357391999999999, 0.3304833333333332, 0.330583333333333, 0.3334293333333337, 0.0, 0.0, 0.5937009999999995, 0.0, 0.0, 0.2648879999999995, 0.48920000000000036, 0.0584604000000001, 0.30600933333333347, 0.0, 0.05381999999999998, 0.0, 0.0, 0.14586666666666664, 0.210602, 0.344844, 0.13560500000000003, 0.5647999999999999, 0.0, 0.04907799999999993, 0.4076533333333337, 0.19876666666666687, 0.005124999999999998, 0.0013720000000000006, 0.25500039999999996, 0.0649570666666666, 0.17991319999999986, 0.0002599999999999997, 0.0014500000000000003, 0.21276666666666644, 0.6179760000000003, 0.08121, 0.29149733333333333, 0.0, 0.21296999999999994]"
EAR,284090,0.7846859306250007,1,2,2,0,0,18.460892200469967,"[0.22163600000000006, 0.0, 0.017359999999999993, 0.0, 0.21083799999999997, 0.019325000000000012, 0.041836666666666696, 0.06487500000000004, 0.24778499999999998, 0.054445400000000053, 0.00015, 0.014650000000000005, 0.015524400000000006, 0.007049999999999997, 0.21908133333333346, 0.16726666666666679, 0.0, 0.0, 0.012400000000000019, 0.2675999999999998, 0.9543300000000001, 0.04163000000000001, 0.0003599999999999999, 0.24757080000000048, 0.028166800000000002, 0.0, 0.08583500000000004, 0.0, 0.19326666666666653, 0.008991, 3.3333333333333335e-05, 0.04124840000000002, 4.999999999999988e-05, 0.0, 0.03183499999999999, 0.06702, 0.00025000000000000277, 0.06634000000000004, 0.06514493333333336, 0.007275000000000001, 0.0, 0.0, 0.11994666666666659, 0.2701233333333332, 0.20750000000000032, 0.0, 0.0020000000000000013, 0.023999999999999966, 0.09862840000000003, 0.00032500000000000004, 3.3333333333333335e-05, 0.11224000000000019, 0.03055000000000001, 0.09152559999999987, 0.31385666666666684, 0.31398026666666634, 0.40276666666666705, 0.0, 0.0, 0.5436779999999994, 0.0, 0.0, 0.27699499999999966, 0.4331333333333335, 0.05770400000000007, 0.33145933333333366, 0.0, 0.03994999999999998, 0.0, 0.0, 0.19286333333333336, 0.22383599999999992, 0.40629333333333345, 0.10162499999999994, 0.4677500000000001, 0.0, 0.03794599999999994, 0.3916633333333337, 0.26720000000000027, 0.001774999999999997, 0.0013720000000000006, 0.1935966666666666, 0.05800666666666657, 0.17074999999999982, 0.0001799999999999997, 0.0015900000000000003, 0.24502026666666643, 0.5573780000000003, 0.06903300000000002, 0.3145760000000001, 0.0, 0.2602899999999999]"
EAR,291094,0.8473202499999983,1,2,2,0,0,19.820763111114506,"[0.2165533333333332, 0.0, 0.01665, 0.0, 0.21465666666666663, 0.026013000000000005, 0.040638799999999996, 0.06542500000000004, 0.2170576000000001, 0.05441000000000007, 9.999999999999999e-05, 0.018247000000000006, 0.006404400000000009, 0.007975, 0.19739333333333353, 0.16283506666666675, 0.0, 0.0, 0.017675000000000017, 0.2741999999999997, 0.9681999999999996, 0.048555, 0.0003899999999999999, 0.2806452000000005, 0.042246799999999994, 0.0, 0.09276500000000007, 0.0, 0.12901999999999994, 0.009041, 3.3333333333333335e-05, 0.04077, 0.00017499999999999986, 0.0, 0.023674999999999995, 0.07967, 0.00020000000000000275, 0.06154000000000005, 0.05420893333333337, 0.008025000000000003, 0.0, 0.0, 0.1347833333333333, 0.3184199999999998, 0.2165500000000004, 0.0, 0.004850000000000002, 0.023574999999999964, 0.1193293333333333, 0.00032500000000000004, 3.3333333333333335e-05, 0.10985960000000014, 0.034886000000000014, 0.07118599999999992, 0.2587717333333335, 0.3791783999999996, 0.43556000000000017, 0.0, 0.0, 0.5511647499999998, 0.0, 0.0, 0.27899999999999975, 0.446613, 0.07294520000000007, 0.3660665333333335, 0.0, 0.014299999999999981, 0.0, 0.0, 0.16190000000000015, 0.19753600000000002, 0.3523099999999997, 0.11407599999999993, 0.41809399999999985, 0.0, 0.03757499999999995, 0.4926700000000001, 0.25716666666666693, 0.0018249999999999972, 0.0013720000000000006, 0.21527333333333323, 0.0662766666666666, 0.1569103999999998, 0.00018999999999999969, 0.0016700000000000003, 0.2484199999999998, 0.5608397500000003, 0.067555, 0.30618, 0.0, 0.2559]"
EAR,288628,0.2031755624999998,0,2,2,0,0,18.34349513053894,"[0.18861999999999982, 0.0, 0.01816, 0.0, 0.21465666666666663, 0.022, 0.05251880000000001, 0.06340000000000003, 0.22054760000000007, 0.055974600000000076, 0.0001, 0.01897200000000001, 0.011200000000000009, 0.004825, 0.2032693333333336, 0.1933884000000001, 0.0, 0.0, 0.016031000000000024, 0.40194999999999975, 0.7802999999999998, 0.04516999999999996, 0.00017999999999999982, 0.29194000000000075, 0.03612, 0.0, 0.0840900000000001, 0.0, 0.2194233333333332, 0.016534000000000004, 3.3333333333333335e-05, 0.03969, 2.499999999999988e-05, 0.0, 0.022339999999999995, 0.07480499999999995, 0.00015000000000000275, 0.0679000000000001, 0.07410000000000001, 0.0035000000000000027, 0.0, 0.0, 0.14351999999999998, 0.2682217333333332, 0.2534500000000004, 0.0, 0.0028750000000000017, 0.026799999999999966, 0.1082892, 0.0001500000000000001, 3.3333333333333335e-05, 0.0829600000000001, 0.034886000000000014, 0.0866899999999999, 0.25899000000000005, 0.29385893333333324, 0.4002360000000001, 0.0, 0.0, 0.5391997499999998, 0.0, 0.0, 0.4197749999999996, 0.4580916666666667, 0.0769020000000001, 0.2705341333333337, 0.0, 0.02574999999999999, 0.0, 0.0, 0.22054093333333327, 0.17840599999999993, 0.33671333333333303, 0.11377499999999996, 0.6050939999999994, 0.0, 0.037724999999999946, 0.5246450666666669, 0.2963333333333336, 4.999999999999733e-05, 0.0013720000000000006, 0.23762333333333324, 0.07169666666666658, 0.11796999999999984, 0.0001799999999999998, 0.0018699999999999995, 0.26468559999999985, 0.5506997500000003, 0.08523500000000003, 0.2896639999999999, 0.0, 0.2549299999999999]"
