Routing algorithm,Power consumption [W],Reliability score (Max),Reliability score (# above 60%),Mean latency (premium) [ms],Mean latency (assured) [ms],Premium SLA violations,Assured SLA violations,Time,Link usage
Dijkstra,439971,0.9925140624999996,1,2,2,0,0,0.0,"[0.187075, 0.5995499999999999, 0.3972583333333333, 8.333333333333333e-05, 0.09135, 0.00047499999999999994, 8.333333333333333e-05, 0.049125, 0.1801875, 0.0, 0.219525, 0.22565833333333332, 0.0, 0.31484166666666674, 0.34325, 0.13184166666666666, 0.133375, 0.00035, 0.272, 0.0, 0.18712499999999999, 0.00725, 0.1554125, 0.6634375, 0.0, 0.00825, 0.0, 0.29187499999999994, 0.012525, 0.15875, 0.006075, 0.041, 0.42474166666666663, 0.06506250000000001, 0.025475, 0.54925, 0.1060625, 0.07930000000000001, 0.00375, 0.3365916666666667, 0.01075, 6.25e-05, 0.292975, 0.6521875, 0.00025, 0.0, 0.00955, 0.023625, 0.0, 0.22908333333333333, 0.01075, 0.0005, 0.0125, 0.062375, 0.0, 0.40427500000000005, 0.0870625, 0.0026, 6.25e-05, 0.3598166666666668, 0.05218750000000001, 0.00025, 0.43550000000000005, 0.0, 0.8036833333333332, 0.018983333333333335, 0.0424375, 0.229775, 0.9985, 0.1749, 0.16611666666666666, 0.2398, 0.0, 0.018825, 0.00775, 0.008625, 0.0091875, 0.17450000000000004, 0.051225, 0.07631249999999999, 0.0, 0.05092499999999999, 0.0, 0.10865833333333333, 0.061475, 0.5288666666666666, 0.20408333333333334, 0.0, 0.10824999999999999, 0.0088125, 0.2364375, 0.020875000000000005]"
Dijkstra,409440,0.1590713514062494,0,2,2,0,0,4.320201873779297,"[0.17969999999999992, 0.3777416666666665, 0.3485666666666667, 8.333333333333333e-05, 0.10210000000000004, 0.0033000000000000004, 8.333333333333333e-05, 0.049125, 0.291625, 0.0, 0.20037499999999997, 0.27596666666666664, 0.0005, 0.34996666666666665, 0.404, 0.13727966666666666, 0.18675, 0.00025, 0.22891666666666668, 0.0, 0.30200000000000016, 0.008125, 0.1558625, 0.7595349999999997, 0.0, 0.010249999999999995, 0.0, 0.3119999999999999, 0.018025, 0.1721, 0.004899999999999998, 0.058358333333333325, 0.25089166666666696, 0.11433750000000004, 0.0257, 0.47766666666666663, 0.11375, 0.09944999999999998, 0.00975, 0.2609249999999999, 0.009000000000000001, 6.25e-05, 0.24100000000000005, 0.7419724999999998, -5.551115123125783e-21, 0.0, 0.012475000000000002, 0.03968749999999999, 0.0, 0.35874999999999996, 0.006187500000000001, 0.0005, 0.0125, 0.066375, 0.0, 0.40491299999999986, 0.08367499999999999, 0.00225, 6.25e-05, 0.20887499999999992, 0.05050000000000001, 0.000125, 0.2878333333333332, 0.0, 0.6566500000000003, 0.0519, 0.045812499999999985, 0.34113333333333334, 0.6653749999999998, 0.2003083333333333, 0.230175, 0.4052583333333333, 0.0, 0.015, 0.014124999999999993, 0.008625, 0.007624999999999999, 0.17851399999999995, 0.039175, 0.07525, 0.0, 0.057566666666666676, 0.0, 0.211825, 0.07372499999999996, 0.5317, 0.13041666666666668, 0.01135, 0.10050000000000002, 0.008187500000000002, 0.2111, 0.027550000000000012]"
Dijkstra,445017,0.14293125390624928,0,2,2,0,0,8.284419059753418,"[0.1967999999999999, 0.5404342500000001, 0.4062255833333334, 8.333333333333334e-05, 0.09562500000000007, 0.108425, 8.333333333333333e-05, 0.044560625, 0.298826875, 0.0, 0.18054999999999993, 0.28450058333333356, 0.0, 0.36748333333333333, 0.4376999999999999, 0.07612499999999997, 0.1815, 0.0002, 0.220095, 0.0, 0.30313937500000027, 0.004375, 0.14913749999999998, 0.7512249999999997, 0.0, 0.014937499999999994, 0.0, 0.3593749999999999, 0.015227749999999998, 0.18742774999999998, 0.005749999999999999, 0.0708833333333333, 0.29302558333333356, 0.115513375, 0.030125, 0.4370833333333334, 0.1223125, 0.09172500000000004, 0.0105, 0.3033339166666666, 0.010062500000000005, 0.0053124999999999995, 0.25273749999999984, 0.7384124999999997, 0.00025, 0.0, 0.009225, 0.03543749999999997, 0.0, 0.2276666666666668, 0.0020625000000000023, 0.0005, 0.0125, 0.06873750000000002, 0.0, 0.38387499999999986, 0.0966125, 0.0015249999999999994, 6.250000000000001e-05, 0.3303348333333333, 0.039875000000000015, 0.00012500000000000003, 0.24816666666666648, 0.0, 0.7006592500000003, 0.09124224999999998, 0.05018749999999997, 0.26467500000000005, 0.4821249999999998, 0.1879166666666666, 0.22711666666666658, 0.32111666666666655, 0.0, 0.024349999999999997, 0.01487499999999999, 0.008625, 0.007749999999999998, 0.20779999999999996, 0.08155575000000002, 0.069125, 0.0, 0.08930891666666664, 0.0, 0.16065833333333335, 0.08659999999999998, 0.6063583333333337, 0.12159500000000001, 0.013200875, 0.09900583333333332, 0.0076250000000000024, 0.2289125, 0.10512500000000005]"
Dijkstra,393816,0.4765313476562501,0,2,2,0,0,8.53157114982605,"[0.17169999999999996, 0.34380833333333344, 0.32965833333333316, 8.333333333333334e-05, 0.11136625000000001, 0.0006499999999999764, 8.333333333333333e-05, 0.044560625, 0.22075000000000014, 0.0, 0.19504999999999992, 0.2653166666666669, 0.0, 0.3084000000000001, 0.4199675000000001, 0.10536666666666666, 0.18212499999999998, 0.00020000000000000004, 0.2939166666666667, 0.0, 0.22506250000000042, 0.005925, 0.2065625, 0.6496087499999998, 0.0, 0.011943749999999994, 0.0, 0.876125, 0.012624999999999996, 0.18982499999999997, 0.005024999999999997, 0.07554166666666665, 0.3293304166666669, 0.0792625, 0.03995, 0.5827500000000001, 0.10881249999999998, 0.07476250000000007, 0.00763125, 0.26340833333333324, 0.009062500000000001, 0.00012499999999999876, 0.24042499999999978, 0.6416087499999998, 0.00025, 0.0, 0.009125, 0.020874999999999953, 0.0, 0.2713333333333332, 0.0005625000000000023, 0.0005, 0.0125, 0.070175, 0.0, 0.38975833333333315, 0.146897, 0.0016499999999999991, 6.250000000000003e-05, 0.19448333333333337, 0.04575000000000001, 0.000125, 0.24624999999999983, 0.0, 0.5212887500000004, 0.07895833333333334, 0.04422812499999997, 0.3860416666666668, 0.42524999999999974, 0.17277499999999998, 0.19273133333333334, 0.3337666666666667, 0.0, 0.023124999999999996, 0.01194374999999999, 0.008625, 0.006092499999999997, 0.18712499999999993, 0.05797499999999999, 0.06768750000000004, 0.0, 0.06075000000000001, 0.0, 0.3325563333333333, 0.0783916666666666, 0.5255583333333333, 0.10533333333333333, 1.1368683772161604e-18, 0.09991666666666664, 0.009125000000000001, 0.20468750000000005, 0.0034250000000000183]"
Dijkstra,390936,0.970225,1,2,2,0,0,8.119217157363893,"[0.18439999999999993, 0.3811416666666668, 0.3331655833333335, 8.333333333333333e-05, 0.084175, 0.0020067499999999764, 8.333333333333333e-05, 0.036735000000000004, 0.20574187500000002, 0.0, 0.18027499999999996, 0.27144058333333365, 0.0, 0.2742499999999999, 0.3988712500000003, 0.08157533333333328, 0.13599999999999998, 0.0002250000000000001, 0.23200000000000007, 0.0185625, 0.21142937500000025, 0.003425999999999999, 0.2066375, 0.6515606250000002, 0.0, 0.009179999999999994, 0.0, 0.994, 0.012699999999999993, 0.20024999999999996, 0.004499999999999998, 0.08109891666666659, 0.31256558333333356, 0.11259999999999998, 0.048675, 0.457, 0.11712499999999994, 0.06267500000000008, 0.004742499999999999, 0.2718666666666666, 0.014187500000000002, 0.00012499999999999878, 0.30704999999999977, 0.6398731250000003, 0.00025, 0.0, 0.009875000000000002, 0.018124999999999968, 0.0, 0.27524999999999994, 0.0005625000000000025, 0.0005, 0.0125, 0.061041375000000016, 0.0, 0.35479999999999984, 0.20862499999999992, 0.002174999999999999, 0.0053124999999999995, 0.2152333333333334, 0.03871500000000001, 0.000125, 0.3102499999999998, 0.0, 0.5624166666666669, 0.06690833333333333, 0.037704374999999964, 0.3107, 0.39712499999999995, 0.1711166666666667, 0.21649999999999986, 0.28984999999999994, 0.0, 0.033449999999999994, 0.00936749999999999, 0.008625, 0.0089375, 0.15987499999999993, 0.06827499999999999, 0.07881250000000001, 0.0, 0.06689166666666665, 0.0, 0.2737703333333332, 0.051991666666666596, 0.5662249999999998, 0.14833333333333334, 1.1368683772161604e-18, 0.09666666666666664, 0.009125000000000005, 0.20763750000000009, 0.00022500000000001726]"
Dijkstra,389422,1.066701660156248,1,2,2,4,4,8.884119987487793,"[0.17432499999999995, 0.4691368333333338, 0.37115833333333365, 8.333333333333333e-05, 0.09890000000000002, 0.0005999999999999763, 8.333333333333333e-05, 0.043644375, 0.22893750000000004, 0.0, 0.16784999999999992, 0.26909166666666706, 0.0, 0.2687916666666668, 0.4058712500000002, 0.0650441666666666, 0.15150000000000002, 0.0002250000000000001, 0.24950000000000006, -1.4210854715202004e-18, 0.23462500000000028, 0.0047325, 0.1938875, 0.6698731250000004, 0.0, 0.009179999999999994, 0.0, 1.0131249999999996, 0.012699999999999993, 0.19733549999999997, 0.004824999999999998, 0.06654166666666662, 0.26671666666666694, 0.052512499999999955, 0.0288, 0.4785833333333334, 0.1026874999999999, 0.07446387500000004, 0.004805, 0.3275499999999999, 0.012444375000000006, 6.249999999999878e-05, 0.2856374999999997, 0.6523731250000004, 0.00025000000000000006, 0.0, 0.010300000000000005, 0.07056249999999997, 0.0, 0.24291666666666664, 0.0005625000000000029, 0.0005, 0.0125, 0.06251625000000001, 0.0, 0.32784166666666664, 0.17828749999999993, 0.0005249999999999991, -7.105427357601002e-19, 0.3180535000000001, 0.043812500000000004, 0.00025, 0.29991666666666655, 0.0, 0.6356451666666669, 0.07366666666666662, 0.03387499999999998, 0.20464166666666672, 0.35987499999999994, 0.18474999999999997, 0.17448333333333316, 0.24144166666666658, 0.0, -9.094947017729283e-18, 0.009179999999999992, 0.008625, 0.006933125000000001, 0.21707499999999985, 0.016277749999999997, 0.0640625, 0.0, 0.07278333333333327, 0.0, 0.12717499999999993, 0.0540999999999999, 0.5920083333333336, 0.15369333333333335, 1.1368683772161604e-18, 0.10608333333333331, 0.006933125000000005, 0.19868750000000004, 0.04850000000000003]"
Dijkstra,379155,0.7267562499999976,1,2,2,0,0,7.3742358684539795,"[0.18279999999999988, 0.41838850000000044, 0.3584695000000002, 8.333333333333333e-05, 0.08142500000000001, 0.004949999999999977, 8.333333333333334e-05, 0.023325625, 0.1445625000000001, 0.0, 0.2253, 0.2500750000000004, 0.0005, 0.276575, 0.40171625000000016, 0.13362500000000002, 0.14412500000000006, 0.00020000000000000015, 0.20741666666666672, -1.4210854715202004e-18, 0.15106250000000038, 0.007349999999999998, 0.1497874999999999, 0.7469831250000003, 0.0, 0.014742499999999999, 0.0, 0.9409999999999995, 0.011499999999999993, 0.200425, 0.010899999999999998, 0.03942499999999995, 0.3466916666666668, 0.04529999999999995, 0.028649999999999995, 0.4394166666666666, 0.11781249999999993, 0.08947500000000005, 0.004805, 0.3282694999999999, 0.0105, 6.24999999999988e-05, 0.2640749999999996, 0.7369831250000003, 6.661338147750939e-20, 0.0, 0.00895, 0.013562499999999957, 0.0, 0.2863333333333333, 0.0006875000000000028, 0.0005, 0.0125, 0.058987500000000026, 0.0, 0.35952183333333315, 0.18952499999999992, 0.0022499999999999985, 6.249999999999928e-05, 0.23662183333333345, 0.034687499999999996, 0.00012500000000000003, 0.31030166666666653, 0.0, 0.5865885000000005, 0.020541666666666607, 0.032687499999999994, 0.22738333333333333, 0.3346250000000001, 0.17860833333333334, 0.13114166666666655, 0.32884166666666653, 0.0, 0.022249999999999992, 0.014804999999999995, 0.008625, 0.0075625000000000015, 0.2157249999999999, 0.012974999999999997, 0.0755625, 0.0, 0.020458333333333276, 0.0, 0.12894999999999995, 0.062033333333333246, 0.5341916666666673, 0.14866833333333335, 1.1368683772161604e-18, 0.10533333333333329, 0.007750000000000007, 0.2101750000000001, 0.058950000000000016]"
Dijkstra,370263,2.068203515624994,1,2,2,3,3,8.605382204055786,"[0.1752, 0.4443416666666667, 0.2698000000000003, 8.333333333333334e-05, 0.085625, 0.07224999999999997, 8.333333333333333e-05, 0.031533124999999995, 0.14175000000000013, 0.0, 0.20452500000000004, 0.29095833333333393, 1.1102230246251566e-20, 0.37769166666666654, 0.39788250000000014, 0.05289166666666672, 0.12525000000000014, 0.00025000000000000017, 0.2415833333333334, -1.4210854715202004e-18, 0.15481250000000035, 0.017124999999999994, 0.1681125, 0.7331912500000004, 0.0, 0.011124999999999998, 0.0, 1.1752499999999992, 0.012099999999999991, 0.20375, 0.0077499999999999965, 0.040558333333333293, 0.2714333333333336, 0.09758749999999995, 0.0333, 0.5193333333333335, 0.0946249999999999, 0.08376250000000003, 0.0005000000000000007, 0.2698416666666666, 0.010687500000000003, 6.249999999999878e-05, 0.16914999999999977, 0.7218162500000004, 0.00025000000000000006, 0.0, 0.008525000000000001, 0.027937499999999955, 0.0, 0.3243333333333333, 0.00037500000000000277, 0.0005, 0.0125, 0.06468750000000005, 0.0, 0.30403333333333293, 0.20608749999999992, 0.0017249999999999982, 6.24999999999993e-05, 0.2883416666666667, 0.03424999999999999, 0.000125, 0.3197499999999998, 0.0, 0.6263833333333334, 0.09824166666666662, 0.028812500000000005, 0.13397499999999993, 0.305875, 0.19455833333333322, 0.12069999999999985, 0.29200833333333326, 0.0, 0.04779999999999998, 0.011187499999999993, 0.0034325, 0.006437499999999997, 0.1316249999999999, 0.027025, 0.07412499999999998, 0.0, 0.07169999999999994, 0.0, 0.11830833333333324, 0.04889999999999991, 0.5514500000000004, 0.15603833333333333, 1.1368683772161604e-18, 0.09616666666666665, 0.006437500000000004, 0.19725000000000015, 0.11382500000000005]"
Dijkstra,373148,1.1887813476562448,1,2,2,3,3,8.880164861679079,"[0.17447499999999996, 0.40585708333333365, 0.37051666666666705, 8.333333333333333e-05, 0.084375, 0.0005999999999999773, 8.333333333333333e-05, 0.031533124999999995, 0.20637500000000014, 0.0, 0.18747499999999997, 0.2662833333333339, 0.0005, 0.3011333333333332, 0.3920250000000001, 0.12706666666666663, 0.12200000000000014, 0.00017500000000000013, 0.2415833333333334, -1.4210854715202004e-18, 0.21606250000000046, 0.008949999999999994, 0.18668749999999995, 0.7091068750000002, 0.0, 0.0116875, 0.0, 1.0361249999999993, 0.01034824999999999, 0.18639625, 0.009649999999999995, 0.03539999999999993, 0.3437666666666669, 0.06559999999999995, 0.022074999999999994, 0.5160833333333334, 0.09093749999999992, 0.07123325000000004, 0.0006250000000000007, 0.29779166666666673, 0.010500000000000004, 6.249999999999878e-05, 0.16167687499999978, 0.6936281250000002, 4.996003610813204e-20, 0.0, 0.011725000000000003, 0.026687499999999954, 0.00025, 0.34533333333333366, 0.00012500000000000277, 0.0005, 0.0125, 0.05615000000000003, 0.0, 0.33974166666666666, 0.20372499999999993, 0.0019249999999999983, 6.249999999999931e-05, 0.2315327500000001, 0.03199999999999998, 0.000125, 0.34266666666666623, 0.0, 0.6408654166666669, 0.03007499999999994, 0.029312500000000005, 0.22587499999999996, 0.2956249999999999, 0.18055958333333333, 0.15499166666666658, 0.33072500000000005, 0.0, 0.04044999999999998, 0.011624999999999995, -5.329070518200751e-19, 0.0066874999999999955, 0.15719999999999984, 0.05572500000000001, 0.06681249999999997, 0.0, 0.02789999999999993, 0.0, 0.13491666666666657, 0.05220124999999992, 0.4616000000000004, 0.15603833333333333, 1.1368683772161604e-18, 0.10266666666666666, 0.0067500000000000025, 0.18192500000000014, 0.00020000000000004094]"
Dijkstra,336976,1.5246461486816365,1,2,2,6,6,8.256351947784424,"[0.1882499999999999, 0.34116666666666695, 0.40126666666666716, 8.333333333333333e-05, 0.08174999999999995, 0.0006999999999999772, 8.333333333333333e-05, 0.012189999999999998, 0.19450000000000003, 0.0, 0.20544999999999994, 0.2354416666666673, 0.0, 0.280183333333333, 0.3996762500000002, 0.07020833333333339, 0.09362500000000021, 0.0001500000000000001, 0.21841666666666673, -1.4210854715202004e-18, 0.20425000000000046, 0.009049999999999994, 0.1364874999999999, 0.707150625000001, 0.0, 0.0055, 0.0, 1.0939062499999994, 0.01002499999999999, 0.133775, 0.017474999999999994, 0.02996666666666663, 0.2367750000000003, 0.05404999999999995, 0.022149999999999993, 0.4510000000000002, 0.10062499999999995, 0.07530000000000003, 0.0003125000000000006, 0.34895000000000015, 0.010187500000000004, 6.249999999999878e-05, 0.17517812499999982, 0.6988381250000008, 0.00025000000000000006, 0.0, 0.011099999999999997, 0.02206249999999995, 2.2204460492503132e-20, 0.34858333333333374, 0.00018750000000000282, 0.0005, 0.0125, 0.05551250000000005, 0.0, 0.25290833333333335, 0.18793749999999995, 0.001724999999999998, 6.249999999999932e-05, 0.2169666666666667, 0.03487499999999999, 0.000125, 0.22649999999999945, 0.0, 0.5597083333333334, 0.07242499999999996, 0.028187500000000004, 0.20079999999999995, 0.3215, 0.1716500000000001, 0.15256666666666652, 0.28863333333333335, 0.0, 0.020724999999999973, 0.005687499999999997, 0.009874999999999998, 0.006874999999999993, 0.19900624999999986, 0.009525000000000007, 0.07951562499999998, 0.0, 0.08040833333333328, 0.0, 0.11951666666666656, 0.06139999999999994, 0.47104375, 0.10491666666666663, 1.1368683772161604e-18, 0.10649999999999997, 0.007000000000000003, 0.16415000000000027, 0.045200000000000025]"
