Routing algorithm,Power consumption [W],Reliability score (Max),Reliability score (# above 60%),Mean latency (premium) [ms],Mean latency (assured) [ms],Premium SLA violations,Assured SLA violations,Time,Link usage
MORA,428694,0.9637532969628896,1,2,2,0,0,0.0,"[0.0069375, 0.0, 0.0, 0.10212499999999998, 0.0362, 0.155125, 0.006658125, 0.05516666666666667, 0.000125, 0.2341499999999999, 0.0, 0.0005, 0.55824625, 0.08496200000000001, 0.146180875, 0.39566666666666667, 0.31328333333333336, 0.19175, 0.011158125, 0.009550000000000001, 0.2642455833333333, 0.012875000000000003, 0.0, 0.15184187500000002, 0.06297941666666666, 0.12843749999999998, 0.0, 0.0040956249999999994, 0.041682375, 0.000875, 0.00047499999999999994, 0.0, 0.0, 0.2637875, 0.16859166666666667, 0.0, 0.00025, 0.3503250000000001, 0.184225, 0.372875, 0.0, 0.0026, 0.254763, 0.00775, 0.133375, 0.35895, 0.226775, 0.023625, 0.01405, 0.19535000000000002, 0.38862687500000004, 0.11543749999999997, 0.15668749999999998, 0.4250662499999999, 0.005725, 0.146, 0.03569558333333333, 0.54925, 0.0, 0.11317, 0.0, 0.377376875, 0.45181224999999997, 0.179330875, 0.4305800000000001, 0.119125, 0.09017249999999999, 0.18513000000000002, 0.0053625, 0.9926837499999998, 0.20408333333333334, 0.0035, 0.3498544166666667, 0.1288125, 0.0, 0.3250544166666667, 8.333333333333333e-05, 0.5646583333333334, 0.095975, 0.4098583333333333, 0.0029706249999999997, 0.054825, 0.3717025, 0.23039166666666666, 0.0, 0.5604705833333332, 6.25e-05, 0.3622666666666667, 0.59433, 0.05306325, 0.2410587499999999, 0.2290833333333333]"
MORA,414592,0.239194355625,0,2,2,0,0,102.4960160255432,"[0.18679437499999998, 0.5479449999999999, 8.333333333333333e-05, 0.2130624999999999, 0.06596924999999998, 0.11562500000000005, 0.29675000000000007, 0.07347058333333328, -2.7755575615628915e-21, 0.2522825833333333, 0.0, 4.4408920985006264e-20, 0.7956300000000001, 0.07796275000000004, 0.07335662499999997, 0.37011700000000003, 0.3742148333333332, 0.14224999999999996, 0.29725, 2.842170943040401e-19, 0.2475215000000001, 0.006198250000000008, 0.176419375, 0.10150000000000002, 0.1294411666666667, 0.088, 0.021331, 0.33281250000000007, 0.06702499999999999, 0.1333125, 0.14258850000000003, 0.09600000000000002, 0.1207675, 0.16842975000000004, 0.20944683333333333, 0.0, 0.0, 0.23922433333333348, 0.176469, 0.24291125000000002, 0.2075463333333333, 0.014725, 0.19548687500000006, 0.28643749999999996, 0.520625, 0.241685, 0.20849999999999996, 0.057562499999999975, 0.015000000000000005, 0.18361400000000003, 0.3660325000000001, 0.11699999999999995, 0.1141875, 0.10788500000000001, 0.0049, 0.10806249999999998, 0.18674141666666663, 0.2824366666666665, 0.0005, 0.36349999999999993, 0.012076749999999999, 0.34846999999999995, 0.13070866666666642, 0.17883875, 0.02483333333333331, 0.05396999999999998, 0.44285750000000007, 0.2105862500000001, 0.3654375, 0.09137499999999986, 0.2060833333333333, 0.12725, 0.4411700833333335, 0.02012500000000002, 0.360501875, 0.2724420000000001, 8.333333333333333e-05, 0.4995298333333334, 0.17246366666666663, 0.3801346666666667, 0.2870625000000001, 0.06279424999999997, 0.3484875, 0.4440131666666667, 0.000125, 0.21867091666666666, 0.03775, 0.19483366666666666, 0.4241466666666666, 0.09645000000000002, 0.59648, 0.55398]"
MORA,421244,0.01296538055664076,0,2,2,0,0,92.16421008110045,"[0.12901625000000003, -6.821210263296961e-17, 0.0, 0.17924812499999992, 0.01818074999999999, 0.007750000000000057, 0.010500000000000016, 0.06312499999999997, 0.000125, 0.24123333333333338, 0.0, 4.4408920985006264e-20, 0.2199825000000001, 0.11205087500000001, 0.2536161249999999, 0.2902701666666667, 0.37944408333333324, 0.1525, 0.014937499999999935, 2.842170943040401e-19, 0.3954083333333333, 0.015427750000000007, 0.12496624999999999, 0.0076250000000000345, 0.055269500000000006, 0.014374999999999994, 0.030125000000000006, 0.050187500000000156, 0.11463075, 0.12837500000000002, 0.003300000000000025, 0.35937500000000006, 0.0, 0.3236661250000001, 0.18734166666666657, 0.000125, 0.00025, 0.3412500000000002, 0.18742774999999998, 0.3607462500000001, 0.028270500000000018, 0.010749999999999996, 0.22865450000000004, 0.014874999999999926, 0.16174499999999997, 0.3458131666666667, 0.1849249999999999, 0.09649999999999993, 0.07218550000000001, 0.12518949999999998, 0.6455462500000003, 0.010062499999999985, 0.00206250000000003, 0.0005250000000000171, -5.684341886080802e-19, 6.249999999997044e-05, 0.08246500000000007, 0.4683033333333334, -1.1102230246251566e-20, 0.2542775, 0.0, 0.6329962499999999, 0.33762591666666647, 0.10941974999999991, 0.09289499999999996, 0.277325, 0.27833500000000005, 0.4505550000000001, 0.048212500000000075, 0.4821249999999999, 0.29043416666666666, 0.09424999999999994, 0.24530000000000038, 0.029375000000000023, 0.031974999999999906, 0.09565000000000005, -1.8503717077085943e-21, 0.5493868333333335, 0.10346666666666661, 0.4505500000000003, 0.005312500000000108, 0.06337499999999999, 0.41643499999999983, 0.30462850000000014, 0.000125, 0.5987592499999999, 0.09462500000000001, 0.33050924999999987, 0.35160333333333316, 0.09562500000000004, 0.05595750000000017, 0.19644666666666674]"
MORA,454396,0.4765313476562501,0,2,2,0,0,114.40194082260132,"[0.13027250000000004, 0.13457999999999992, 0.0, 0.2669018749999999, 0.015824999999999992, 0.0060925000000000605, 0.21113125000000005, 0.016719999999999968, 0.5871287500000001, 0.41216350000000007, 0.0, 4.4408920985006264e-20, 0.6818112500000001, 0.03634775000000004, 0.15362075, 0.3389603333333331, 0.33963600000000005, 0.16660249999999996, 0.21544374999999996, 0.03227025, 0.2284581666666668, 0.010908000000000008, 0.13395999999999994, 0.009125000000000034, 0.04173541666666667, 0.24390375, 0.03995, 0.2477281250000001, 0.05607762500000002, 0.22234125, 0.08205000000000001, 0.876125, 0.3418725, 0.16683050000000002, 0.1465169999999999, 0.5870037500000002, 0.00025, 0.2404600833333337, 0.18982499999999994, 0.2020800000000001, 0.2710885833333333, 0.010774999999999995, 0.2391897500000001, 0.2154437499999999, 0.18212499999999995, 0.36969983333333345, 0.20097499999999985, 0.0639375, 0.0877115, 0.193025, 0.3130156250000003, 0.00906249999999998, 0.0005625000000000301, 0.22794750000000003, 0.0172475, 6.249999999997044e-05, 0.26799891666666664, 0.2303491666666668, -1.1102230246251566e-20, 0.29166666666666663, 0.03418725, 0.31301562499999996, 0.08268941666666656, 0.22869949999999994, 0.05449999999999993, 0.07862500000000003, 0.34884250000000006, 0.4407462500000002, 0.380247125, 0.018249999999999784, 0.15074999999999997, 0.09324999999999996, 0.35884391666666715, 0.126625, 0.422002875, 0.4105315833333332, 8.333333333333333e-05, 0.48298850000000004, 0.29142875, 0.3897253333333331, 0.20362500000000008, 0.045574999999999984, 0.1492499999999999, 0.5217355833333333, 0.000125, 0.23119483333333332, 0.08881250000000006, 0.11976824999999999, 0.6463174999999998, 0.11136625, 0.3170937500000001, 0.6237341666666667]"
MORA,431205,0.0,0,2,1,0,0,131.49481582641602,"[0.004720625000000041, 0.5623187499999999, 8.333333333333333e-05, 0.03673499999999995, 0.089782, 0.21325000000000005, 0.04205500000000006, 0.07865899999999998, 1.1102230246251566e-20, 0.182216666666667, 0.0, 4.4408920985006264e-20, 0.4609650000000001, 0.007425000000000034, 0.26779774999999995, 0.12517708333333313, 0.41239016666666645, 0.1852499999999999, 0.046492499999999964, 0.0062750000000000045, 0.3812104166666668, 7.900902154744927e-18, -4.476419235288631e-17, 0.21306250000000004, 0.08150133333333336, 0.07881249999999998, 0.048675, 0.05814187500000009, 0.03255737500000004, 0.015999999999999952, 0.016931750000000044, 0.5853750000000002, 0.13224999999999998, 0.315408875, 0.23534891666666657, 9.094947017729283e-17, 0.00025000000000000006, 0.33804233333333344, 0.2002499999999999, 0.42591749999999995, 0.048078666666666686, 0.005549999999999995, 0.20763750000000003, 0.04630499999999992, 0.13599999999999987, 0.47214450000000013, 0.18370099999999984, 0.3431481250000001, 0.13137175, 0.15736800000000015, 0.42539062500000036, 0.20162499999999997, 0.20487500000000006, 2.2737367544323207e-17, 0.22889900000000005, 0.209625, 0.061933333333333264, 0.52178, -1.1102230246251566e-20, 0.40145333333333333, 0.012699999999999998, 0.41467, 0.3384666666666665, 0.2463749999999999, 0.04258333333333326, 0.40216500000000005, 0.33787125000000007, 1.4779288903810083e-16, 0.11450350000000002, 0.3224999999999998, 0.47766666666666663, 0.041249999999999995, 0.34718333333333373, 0.44171062500000025, 0.01931737500000001, 0.3235249999999999, 8.333333333333334e-05, 0.31422708333333327, 0.061993666666666634, 0.35337499999999983, 0.03743750000000013, 0.05369299999999998, 0.46266500000000005, 0.1874666666666666, 0.000125, 0.5488525833333332, 0.3611756250000001, 0.49440550000000005, 0.4424699999999997, 0.07742500000000002, 0.39737500000000014, 0.2475899999999999]"
MORA,400350,0.999375097656249,1,2,1,0,0,171.0875370502472,"[0.004720625000000041, 0.2996249999999998, 8.333333333333333e-05, 0.17808187499999995, 0.018927750000000042, 0.013558125000000018, 0.004805000000000056, 0.053216666666666634, 1.1102230246251566e-20, 0.24911666666666704, 0.0, 0.0005, 0.59058125, 0.07588887500000004, 0.1682877499999999, 0.409703583333333, 0.23993474999999967, 0.15379224999999988, 0.009179999999999966, 0.013724750000000006, 0.2015308333333335, 7.900902154744927e-18, 0.017499999999999957, 0.013558125000000008, 0.05986124999999998, 0.04381249999999996, 0.028799999999999996, 0.03387500000000012, 0.03915600000000002, 0.09062499999999994, 0.000600000000000046, 0.999875, 0.2322475, 0.27112499999999995, 0.2038416666666666, 9.094947017729283e-17, 0.00025, 0.3349289166666667, 0.19733549999999989, 0.47230874999999994, 0.028542916666666685, 0.006874999999999997, 0.20216250000000002, 0.009179999999999923, 0.15149999999999994, 0.3178610000000004, 0.17258249999999986, 0.13462500000000005, 1.4779288903810083e-17, 0.20897500000000008, 0.37889500000000015, 0.019069374999999975, 0.007187500000000028, 0.17758500000000002, 0.017332750000000056, 0.006624999999999949, 0.05631791666666658, 0.29967250000000006, -1.1102230246251566e-20, 0.3030241666666666, 0.022699749999999998, 0.37986187499999985, 0.2265845833333334, 0.21830437499999988, 0.14009583333333328, 0.05600000000000013, 0.33787125000000007, 0.14400000000000013, 0.19241687499999996, 0.3598749999999998, 0.1706666666666666, 0.07100000000000001, 0.40360991666666696, 0.08262500000000027, 0.14309212500000001, 0.35731108333333317, 8.333333333333334e-05, 0.5755140000000001, 0.06727358333333328, 0.354846, 6.250000000013073e-05, 0.04849999999999999, 0.12350000000000028, 0.36172833333333326, 2.7755575615628915e-21, 0.35316174999999994, 0.06406250000000012, 0.31126450000000006, 0.47939666666666636, 0.09890000000000007, 0.3534187500000001, 0.45894749999999984]"
MORA,399716,2.757696148476562,1,1,1,2,3,2700.2931361198425,"[0.09129687500000003, 0.28074749999999976, 3.700743415417189e-21, 0.11851312500000001, 0.08387475000000003, 0.040375000000000015, 0.13224250000000007, 0.08731941666666665, 0.000125, 0.24176641666666712, 0.21443075, 1.1102230246251566e-20, 0.5273187500000001, 0.04577000000000002, 0.20737499999999986, 0.3555652499999996, 0.30535433333333306, 0.028349999999999882, 0.14217999999999997, 0.0022750000000000053, 0.3222626666666669, 0.12712525, 0.08809687499999995, 0.0340625, 0.11432241666666663, 0.03468749999999996, 0.05666199999999999, 0.1601250000000001, 0.05513262500000002, 0.06049999999999996, 0.0009250000000000459, 0.875375, 0.04125000000000001, 0.1988623749999999, 0.2313609166666665, 9.094947017729283e-17, 2.2204460492503132e-20, 0.3098775833333333, 0.23018774999999994, 0.13203125000000007, 2.061758171597224e-17, 0.12622524999999998, 0.20816249999999992, 0.13574249999999996, 0.16086749999999994, 0.3088270833333337, 0.07599399999999988, 0.08912500000000004, 0.11617500000000001, 0.13346200000000008, 0.4876362500000004, 0.04331249999999998, 0.03350000000000003, 0.11735999999999996, 0.17458700000000002, 0.032874999999999946, 0.06334124999999993, 0.4964558333333334, 0.0005, 0.26556583333333333, 0.0018750000000000019, 0.4809362500000001, 0.3492319166666667, 0.1432767499999999, 0.15006916666666664, 0.19280250000000013, 0.4013337500000001, 0.2531250000000001, 0.0019624999999999816, 0.07974999999999978, 0.3677883333333333, 1.2642524999999998, 0.2540166666666669, 0.07087500000000026, 0.058650125000000025, 0.2972084166666665, 8.333333333333336e-05, 0.500364833333333, 0.07983191666666663, 0.29440658333333336, 0.12750000000000014, 0.00395, 0.2094275000000003, 0.3021733333333333, 0.000125, 0.4665649166666666, 0.07556250000000012, 0.38085725000000004, 0.41423333333333306, 0.13919975000000007, 0.2081425, 0.22929416666666652]"
MORA,351915,0.022064007816840814,0,2,2,0,0,9439.186170816422,"[0.011298750000000048, 0.5806249999999997, 8.333333333333333e-05, 0.06578312499999997, 0.22557500000000003, 0.5940624999999999, 0.010312500000000098, 0.030654083333333304, 5.551115123125783e-21, 0.17189591666666693, 0.0067, 1.1102230246251566e-20, 0.5931275, 0.06976487500000002, 0.3370557499999998, 0.1314651666666663, 0.3317782499999999, 0.18237499999999993, 0.02093749999999997, 0.010250000000000007, 0.23730983333333355, 0.003075, 0.011374999999999955, 0.5939374999999999, 0.09331574999999999, 0.06099999999999996, 0.03329999999999999, 0.011937500000000111, 0.036381750000000004, -4.4408920985006264e-17, 0.004750000000000047, 9.094947017729283e-17, 0.10750000000000003, 0.18259325000000004, 0.2150207499999998, 9.094947017729283e-17, 0.00025, 0.22107074999999998, 0.20375, 0.29952750000000006, 0.07443558333333336, 0.0, 0.17353612499999999, 0.02087499999999994, 0.12524999999999994, 0.3305075000000001, 0.2149499999999999, 0.5484581249999999, 1.3642420526593924e-17, 0.17417500000000008, 0.43834375, 0.5716250000000003, 0.5880000000000001, 0.17956249999999996, 0.20100825000000005, 0.5876874999999999, 0.16279174999999993, 0.3917808333333333, 1.1102230246251566e-20, 0.3793966666666668, 0.009275, 0.4401074999999997, 0.2205204166666666, 0.19370149999999994, 0.03651999999999999, 0.0006000000000001449, 0.35388250000000016, 0.021000000000000137, 0.095625, 0.2862499999999998, 0.505965, -1.8189894035458566e-16, 0.28174650000000007, 0.5957081250000003, 2.7284841053187848e-17, 0.13146516666666647, 8.333333333333337e-05, 0.34591066666666653, 0.1482209166666666, 0.32942125000000005, 0.009875000000000161, 0.06822499999999998, 0.04410000000000027, 0.2486323333333333, 0.000125, 0.4156742499999999, 0.5205206250000001, 0.29656766666666656, 0.6594158333333332, 0.07495000000000007, 0.51402875, 0.45188583333333304]"
MORA,448113,1.1880999999999995,1,2,2,2,2,140.15315890312195,"[0.009687500000000049, -2.7284841053187845e-16, 0.2630308333333333, 0.3517437499999999, 0.008050000000000031, 0.006749999999999879, 0.12871000000000005, 0.026404999999999967, 0.000125, 0.34920541666666693, 0.00895, 1.1102230246251566e-20, 0.55784, 0.05075137500000002, 0.5140194999999996, 0.26379641666666626, 0.33554458333333326, 0.036191249999999946, 0.13977249999999994, 0.003906000000000007, 0.48635675000000017, 0.006469749999999999, 0.003753749999999954, 0.0056025000000000415, 0.08068199999999992, 0.25380749999999996, 0.022074999999999984, 0.1573975000000001, 0.047347999999999994, 0.2993574999999999, 0.05137500000000005, 1.036, 0.12273250000000001, 0.38598350000000003, 0.1356765833333332, 0.3946712500000001, 0.0, 0.3041142500000006, 0.18639625, 0.4252500000000002, 0.05800566666666667, 0.01621375, 0.23248750000000007, 0.13849999999999993, 0.12199999999999989, 0.40736275000000016, 0.1874749999999998, 0.057818749999999725, 0.011600000000000013, 0.18193874999999995, 0.43018687499999997, 0.010562500000000136, 0.0001875000000001495, 0.20507624999999993, 0.038865750000000046, 0.0001249999999999676, 0.07633983333333329, 0.25178749999999983, 0.0005, 0.3897741666666667, 0.01052325, 0.4184618749999997, 0.1786801666666665, 0.19548949999999998, 0.055559166666666666, 0.10493625000000013, 0.3455062500000002, 0.5056250000000003, 0.025049625000000006, 0.03945499999999975, 0.3209549999999999, 0.16213749999999982, 0.3735676666666671, 0.015540625000000183, 0.07104200000000002, 0.3103519999999998, 4.625929269271486e-20, 0.4067751666666664, 0.06874983333333326, 0.5052590000000003, 0.12814750000000014, 0.0479, 0.15120500000000028, 0.4946899166666667, 0.000125, 0.30473908333333327, 0.042278125, 0.3374805000000001, 0.6236883333333328, 0.08483400000000009, 0.08802000000000006, 0.6096291666666662]"
MORA,345707,0.9709946838378904,1,2,2,0,0,141.3451030254364,"[0.14006500000000005, 0.08497874999999971, 0.07095583333333334, 0.0783068749999999, 0.018600000000000033, 0.05674999999999986, 0.09656250000000012, 0.07396816666666664, 2.7755575615628915e-21, 0.2354416666666671, 0.028147750000000003, 1.1102230246251566e-20, 0.63279875, 0.062360750000000034, 0.2865709999999998, 0.30502024999999955, 0.3613708333333333, 0.21725024999999995, 0.10174999999999994, 0.011100000000000007, 0.24832525000000047, 0.045101499999999996, 0.13163499999999995, 0.05118750000000003, 0.034256833333333236, 0.08080312499999995, 0.02214999999999998, 0.09725000000000013, 0.03978224999999999, 0.03124187499999989, 0.03920000000000002, 0.99415625, 2.2737367544323207e-17, 0.18185025, 0.18794591666666643, 0.10630875000000017, 0.00025, 0.2517586666666673, 0.16192274999999998, 0.1408700000000001, 0.029018166666666668, 0.0366515, 0.16880225000000007, 0.0962499999999999, 0.07349999999999991, 0.28868225, 0.21449999999999983, 0.20575999999999967, 0.01663250000000001, 0.16761674999999998, 0.39568874999999987, 0.03287500000000013, 0.05006250000000014, 0.26272249999999997, 0.00885000000000004, 0.04993749999999997, 0.05811899999999999, 0.7378691666666667, -1.1102230246251566e-20, 0.3167674999999999, 1.1368683772161604e-18, 0.38869624999999963, 0.2616987499999999, 0.16421399999999994, 0.14500500000000005, 0.24082375000000011, 0.3543012500000002, 0.06664750000000022, 0.06325049999999997, 0.1289999999999997, 0.4289991666666665, 0.35076499999999977, 0.2440370000000003, 0.2415556250000001, 0.11043687500000003, 0.1468619166666664, 8.333333333333337e-05, 0.4877679166666666, 0.0816796666666666, 0.27595916666666664, 0.09631250000000018, 0.04705999999999997, 0.2655737500000002, 0.1812864166666666, 0.000125, 0.4271719166666666, 0.18369749999999999, 0.35737624999999995, 0.2941349999999996, 0.07273500000000009, 0.29739000000000004, 0.190486666666666]"
