Routing algorithm,Power consumption [W],Reliability score (Max),Reliability score (# above 60%),Mean latency (premium) [ms],Mean latency (assured) [ms],Premium SLA violations,Assured SLA violations,Time,Link usage
EAR,239734,0.0,0,2,2,0,0,0.0,"[0.32955, 0.20595, 0.0, 0.238355, 0.00573, 5e-05, 0.1874, 0.0, 0.09135, 0.131715, 0.175125, 0.0055125, 0.00015, 0.17578500000000002, 0.0, 0.024600000000000007, 0.09525, 0.00495, 0.0932475, 0.10136, 0.3287999999999999, 0.005175, 0.04761, 3.75e-05, 0.20441, 0.0, 0.0, 0.029475, 0.0, 5e-05, 0.0, 0.13583500000000004, 0.00021, 0.015284999999999998, 0.080325, 0.39806250000000004, 0.00015, 0.015565, 0.007515, 0.2599, 0.00465, 0.2613, 0.036884999999999994, 0.1118625, 0.0, 0.0, 0.0, 0.0, 0.2560950000000001, 0.0, 0.00645, 0.00435, 0.0, 0.446045, 0.11589, 0.0457875, 0.11602500000000002, 0.00645, 0.1418625, 0.0, 3.75e-05, 0.00156, 0.3913125, 0.025462500000000002, 0.038175, 0.5991, 0.0, 0.0, 0.0052875, 0.22373, 0.0, 0.24256500000000006, 0.00225, 0.0, 0.0, 0.034730000000000004, 0.03131250000000001, 0.0636375, 0.04326, 0.10493999999999999, 0.000285, 0.06587, 0.0, 0.11599500000000001, 0.31486500000000006, 0.05481, 0.135395, 0.1632, 0.014175000000000004, 0.436475, 0.06111999999999999, 0.09127500000000002]"
EAR,222703,0.0,0,2,2,0,0,4.880255937576294,"[0.2866, 0.24240000000000017, 0.0, 0.14991500000000002, 0.007484999999999999, 5e-05, 0.13855, 0.0, 0.09387764999999991, 0.12022500000000001, 0.18719999999999998, 0.004575, 0.00015, 0.14459999999999998, 0.0, 0.035015000000000004, 0.10325999999999996, 0.00615, 0.0935175, 0.183365, 0.2753800000000001, 0.005175, 0.059715, 3.75e-05, 0.1638999999999999, 0.0, 0.0, 0.029475, 0.0, 5e-05, 0.0, 0.19279000000000016, 0.00015, 0.015420000000000005, 0.11235, 0.45725737500000013, 7.5e-05, 0.03211, 0.010814999999999998, 0.29350000000000004, 0.008475, 0.17269999999999994, 0.04317499999999999, 0.17872500000000005, 0.0, 0.0, 0.0, 0.0, 0.1272500000000001, 0.0, 0.0037125, 0.004874999999999999, 0.0, 0.3377200000000004, 0.11076000000000004, 0.04515, 0.1849500000000001, 0.0054, 0.12665999999999997, 0.0, 3.75e-05, 0.0013500000000000003, 0.44671987499999993, 0.0274875, 0.04057499999999999, 0.39922499999999983, 0.0, 0.0, 0.004912500000000002, 0.2981350000000001, 0.0, 0.2420926499999999, 0.005849999999999999, 0.0, 0.0, 0.03657, 0.030299999999999994, 0.06824999999999996, 0.04003500000000003, 0.12018499999999997, 0.00198, 0.12446764999999994, 0.0, 0.11672294999999995, 0.30819500000000005, 0.061260000000000044, 0.16103999999999996, 0.13735, 0.023812500000000007, 0.3812400000000002, 0.05008499999999999, 0.11199750000000001]"
EAR,233392,0.0,0,2,2,0,0,9.388760089874268,"[0.26225000000000004, 0.25860000000000005, 0.0, 0.15599500000000013, 0.005534999999999997, 5e-05, 0.1323605, 0.0, 0.06553604999999993, 0.10833, 0.215625, 0.00465, 0.00015, 0.1516425, 0.0, 0.04298000000000001, 0.11110664999999999, 0.008962500000000002, 0.08948249999999996, 0.17649999999999996, 0.32951555000000016, 0.005175, 0.05506499999999998, 0.0031875, 0.21993500000000005, 0.0, 0.0, 0.026736375, 0.0, 5e-05, 0.0, 0.21637500000000015, 0.00011999999999999991, 0.019425, 0.10919999999999998, 0.4487250000000002, 7.5e-05, 0.049914999999999994, 0.009136649999999998, 0.209557, 0.008925, 0.14889999999999992, 0.038219999999999976, 0.183046125, 0.0, 0.0, 0.0, 0.0, 0.10876500000000017, 0.0, 0.0012374999999999995, 0.002624999999999999, 0.0, 0.3398405500000004, 0.12153000000000005, 0.04147500000000001, 0.185633625, 0.006037499999999999, 0.13734749999999998, 0.0, 3.75e-05, 0.0009149999999999999, 0.4410374999999998, 0.0301125, 0.04199249999999998, 0.2892749999999997, 0.0, 0.0, 0.004575000000000003, 0.32057000000000013, 0.0, 0.21658499999999986, 0.006299999999999999, 0.0, 0.0, 0.062045, 0.023925000000000002, 0.07338749999999997, 0.04893345000000001, 0.11229999999999987, 0.00198, 0.07661000000000003, 0.0, 0.13928999999999983, 0.313315, 0.057375000000000065, 0.14439499999999994, 0.132057, 0.021262500000000024, 0.44218555000000004, 0.019855, 0.11935500000000006]"
EAR,217835,0.0,0,2,2,0,0,10.05017614364624,"[0.34965000000000007, 0.25198050000000016, 0.0, 0.09278500000000016, 0.005474999999999998, 5e-05, 0.1281165, 0.0, 0.054856649999999986, 0.11703, 0.525675, 0.0036555000000000008, 0.00015, 0.144255, 0.0, 0.045325000000000004, 0.113895, 0.008925, 0.12393749999999998, 0.30656105, 0.24410000000000015, 0.005175, 0.04488749999999998, 7.499999999999929e-05, 0.2001249999999999, 0.0, 0.0, 0.02842387499999999, 0.0, 5e-05, 0.0, 0.22044565000000008, 0.00011999999999999995, 0.02397, 0.10957499999999994, 0.3897652500000003, 7.5e-05, 0.04737500000000002, 0.0075749999999999975, 0.23096649999999996, 0.008925, 0.1477499999999999, 0.03116999999999997, 0.13620000000000007, 0.0, 0.0, 0.0, 0.0, 0.12692825000000016, 0.0, 0.00033749999999999975, 0.0035549999999999987, 0.0, 0.20478325000000044, 0.10536000000000005, 0.04061250000000001, 0.13878750000000006, 0.0054375, 0.12281249999999996, 0.0, 3.7500000000000003e-05, 0.0009900000000000002, 0.38496525000000004, 0.026536874999999998, 0.04285499999999997, 0.2551499999999997, 0.0, 0.0, 0.005475000000000004, 0.34860565000000016, 0.0, 0.21867499999999984, 0.0063374999999999985, 0.0, 0.0, 0.052315000000000035, 0.023440499999999996, 0.06359999999999996, 0.036840000000000026, 0.10366499999999994, 0.00039, 0.110275, 0.0, 0.12614999999999985, 0.28843500000000005, 0.06681975000000005, 0.1591899999999999, 0.17635, 0.014212500000000029, 0.3336950000000003, 0.10399000000000001, 0.13539097500000002]"
EAR,219542,0.0,0,2,2,0,0,9.217076063156126,"[0.27420000000000005, 0.23932275000000008, 0.0, 0.24668435000000008, 0.005925, 5e-05, 0.14345249999999996, 0.0, 0.057475449999999956, 0.10816499999999998, 0.5963999999999999, 0.005362500000000001, 0.00015, 0.18423, 0.0, 0.048659350000000004, 0.12015, 0.005508000000000002, 0.12398250000000002, 0.16372759999999983, 0.24162000000000008, 0.005175, 0.037634999999999995, 7.49999999999993e-05, 0.1819699999999997, 0.0, 0.0, 0.023545499999999994, 0.0, 5e-05, 0.0, 0.08460000000000002, 0.000135, 0.029205, 0.08189999999999992, 0.3909363750000001, 7.5e-05, 0.04015000000000001, 0.00762, 0.2506024999999999, 0.0056205, 0.18614999999999987, 0.031139999999999956, 0.1271951250000001, 0.0, 0.0, 0.0, 0.0, 0.26971935, 0.0, 0.0003374999999999998, 0.002055599999999999, 0.0, 0.33745000000000036, 0.11334000000000011, 0.058425000000000026, 0.1306076250000001, 0.008512500000000001, 0.12458249999999996, 0.0, 0.0031875000000000002, 0.0013050000000000004, 0.38392387499999997, 0.020587499999999995, 0.03696779999999994, 0.23827499999999968, 0.0, 0.0, 0.005475000000000005, 0.20270000000000013, 0.0, 0.2128649999999997, 0.002845499999999998, 0.0, 0.0, 0.04019500000000003, 0.019219499999999997, 0.07027499999999995, 0.04110000000000001, 0.10266999999999987, 0.00039, 0.09340500000000006, 0.0, 0.12044999999999982, 0.322385, 0.050505000000000036, 0.16286434999999977, 0.1392, 0.02201250000000003, 0.34116500000000033, 0.07394000000000003, 0.192735]"
EAR,219947,0.00038759765624973847,0,2,2,0,0,10.289686918258669,"[0.28715, 0.24352275000000018, 0.0, 0.236015, 0.0061800000000000015, 5e-05, 0.14910249999999994, 0.0, 0.05367544999999998, 0.10071000000000004, 0.6078750000000002, 0.0021750000000000007, 0.00015000000000000001, 0.1713825, 0.0, 0.039925, 0.11840130000000001, 0.005508000000000002, 0.11633250000000002, 0.10524499999999987, 0.3125321000000001, 0.005175, 0.044708324999999986, 3.7499999999999326e-05, 0.19959499999999972, 0.0, 0.0, 0.027691124999999994, 0.0, 5e-05, 0.0, 0.10608500000000001, 0.000135, 0.017280000000000004, 0.0911999999999999, 0.4019238750000006, 0.00015, 0.047535000000000015, 0.00762, 0.2312025, 0.005508000000000001, 0.1799499999999999, 0.032459999999999954, 0.14562937500000006, 0.0, 0.0, 0.0, 0.0, 0.19350000000000003, 0.0, 0.0003374999999999999, 0.002055599999999999, 0.0, 0.3524471000000005, 0.10749000000000011, 0.03843750000000002, 0.14904187500000002, 0.007466625000000004, 0.1192125, 0.0, 6.217248937900877e-19, 0.0003150000000000003, 0.3914238750000002, 0.020325000000000003, 0.037867799999999965, 0.2159249999999996, 0.0, 0.0, 0.0021750000000000055, 0.21927000000000024, 0.0, 0.2030699999999999, 0.0028829999999999975, 0.0, 0.0, 0.04700500000000004, 0.026287499999999988, 0.06161249999999995, 0.04067340000000002, 0.11084999999999991, 0.00035999999999999986, 0.0665800000000001, 0.0, 0.1302449999999998, 0.34577499999999983, 0.05934000000000005, 0.16145499999999974, 0.147575, 0.042337500000000014, 0.3884671000000005, 0.015800000000000033, 0.13848000000000008]"
EAR,207737,0.0,0,2,2,0,0,8.745429992675781,"[0.2636500000000001, 0.2410297500000001, 0.0, 0.21804590000000007, 0.0053700000000000015, 5.000000000000001e-05, 0.1486524999999999, 0.0, 0.08427524999999998, 0.13518, 0.5646000000000003, 0.0045375000000000025, 0.00015, 0.1584449999999999, 0.0, 0.02365500000000001, 0.12025500000000004, 0.0088455, 0.08987250000000004, 0.14177499999999987, 0.24772810000000026, 0.005175, 0.05372999999999998, 3.749999999999931e-05, 0.2163349999999998, 0.0, 0.0, 0.020362499999999988, 0.0, 5e-05, 0.0, 0.14125, 0.00011999999999999998, 0.01719, 0.08677499999999988, 0.44818987500000024, 7.500000000000001e-05, 0.023310000000000008, 0.006900000000000004, 0.2572525, 0.008883, 0.1861809999999999, 0.03196999999999995, 0.09048750000000004, 0.0, 0.0, 0.0, 0.0, 0.1817759000000002, 0.0, 0.00041249999999999984, 0.00441, 0.0, 0.2865181000000004, 0.11313000000000016, 0.045337500000000024, 0.09438749999999996, 0.006300000000000005, 0.126105, 0.0, 3.750000000000061e-05, 0.0013500000000000005, 0.44218987499999995, 0.019612499999999995, 0.03614249999999996, 0.20077499999999954, 0.0, 0.0, 0.0046500000000000066, 0.23888500000000015, 0.0, 0.21046309999999968, 0.0028829999999999975, 0.0, 0.0, 0.028510000000000042, 0.02081249999999999, 0.06296249999999995, 0.04074000000000001, 0.10716499999999984, 0.0005549999999999999, 0.13389000000000012, 0.0, 0.1427849999999998, 0.3064858999999999, 0.04885500000000009, 0.14923999999999976, 0.1293175, 0.020144250000000016, 0.2913531000000004, 0.09427500000000003, 0.14089500000000005]"
EAR,204947,0.06910326562500035,0,2,2,0,0,11.162584066390991,"[0.3116000000000001, 0.2355547500000001, 0.0, 0.0315259000000001, 0.0051150000000000015, 5e-05, 0.14777549999999995, 0.0, 0.05502754999999999, 0.12271500000000003, 0.7051500000000005, 0.0038625000000000013, 0.00015, 0.10149000000000002, 0.0, 0.024335000000000013, 0.12225000000000011, 0.006675, 0.1008675, 0.19633499999999984, 0.23755500000000024, 0.005175, 0.050287499999999985, 3.749999999999932e-05, 0.25059999999999977, 0.0, 0.0, 0.01756199999999999, 0.0, 5.000000000000001e-05, 0.0, 0.19633499999999993, 0.00015, 0.01998, 0.07544999999999988, 0.4383273750000003, 7.500000000000001e-05, 0.06742500000000001, 0.007260000000000004, 0.2846754999999999, 0.0067125, 0.1918499999999998, 0.029339999999999956, 0.08880000000000007, 0.0, 0.0, 0.0, 0.0, 0.060270900000000134, 0.0, 0.0002249999999999996, 0.010274999999999998, 0.0, 0.25048000000000065, 0.10977000000000024, 0.044475000000000015, 0.09663749999999996, 0.006412500000000003, 0.11835, 0.0, 3.750000000000063e-05, 0.0010350000000000005, 0.43150237500000005, 0.01728749999999999, 0.03956249999999996, 0.18352499999999966, 0.0, 0.0, 0.003862500000000007, 0.4256900000000001, 0.0, 0.18241999999999992, 0.00029999999999999753, 0.0, 0.0, 0.05150000000000008, 0.020549999999999992, 0.056774999999999944, 0.04165500000000002, 0.11673499999999991, 0.0004949999999999999, 0.1226950000000001, 0.0, 0.10765499999999982, 0.2284608999999999, 0.051375000000000094, 0.16028999999999982, 0.1430525, 0.021044250000000018, 0.32388000000000056, 0.008825000000000045, 0.18220500000000003]"
EAR,207488,0.002936285156250662,0,2,2,0,0,11.124703168869019,"[0.3096500000000002, 0.23219025000000007, 0.0, 0.2239509, 0.007035000000000002, 5.000000000000001e-05, 0.1516755, 0.0, 0.08528254999999994, 0.11248500000000004, 0.6216750000000008, 0.004012500000000002, 0.00015, 0.0970061249999999, 0.0, 0.021240000000000002, 0.11164815000000011, 0.007012500000000001, 0.11201249999999999, 0.12706999999999985, 0.25997000000000026, 1.7763568394002505e-19, 0.04229249999999998, 3.749999999999932e-05, 0.1545399999999999, 0.0, 0.0, 0.01756199999999999, 0.0, 5e-05, 0.0, 0.13804499999999986, 0.000105, 0.013245000000000002, 0.07349999999999988, 0.4214145000000004, 7.500000000000001e-05, 0.018049999999999997, 0.005415000000000005, 0.2972755, 0.006975000000000001, 0.20559999999999976, 0.03132074999999997, 0.12757500000000008, 0.0, 0.0, 0.0, 0.0, 0.19667590000000004, 0.0, 7.499999999999957e-05, 0.00537, 0.0, 0.33833605000000067, 0.11047500000000021, 0.04008750000000001, 0.13338749999999996, 0.006300000000000005, 0.10915499999999999, 0.0, 3.750000000000063e-05, 0.0011550000000000006, 0.41458950000000006, 0.017587499999999992, 0.034454999999999965, 0.17737499999999956, 0.0, 0.0, 0.004050000000000009, 0.2611000000000001, 0.0, 0.20387999999999976, 0.00037499999999999757, 0.0, 0.0, 0.016745000000000086, 0.019199999999999988, 0.05456249999999995, 0.03355500000000004, 0.10833574999999986, 0.00035999999999999986, 0.10856000000000005, 0.0, 0.11858999999999983, 0.3016308999999998, 0.05062500000000008, 0.1597699999999999, 0.1430525, 0.020294250000000024, 0.3186460500000006, 0.060330000000000036, 0.16159500000000007]"
EAR,191648,0.01727581640625031,0,2,2,0,0,10.458497047424316,"[0.2706000000000003, 0.23663100000000004, 0.0, 0.149815, 0.006660000000000002, 5.000000000000001e-05, 0.131899, 0.0, 0.04892489999999991, 0.12327000000000007, 0.6525750000000008, 0.004125000000000001, 0.00015, 0.10472999999999989, 0.0, 0.01798000000000001, 0.08026500000000013, 0.0033, 0.0818925, 0.16092999999999982, 0.2315550000000001, 0.005925, 0.04520999999999998, 3.749999999999932e-05, 0.18099999999999994, 0.0, 0.0, 0.02132887499999999, 0.0, 5.000000000000001e-05, 0.0, 0.18248499999999993, 9e-05, 0.013290000000000005, 0.056474999999999866, 0.42270300000000033, 7.5e-05, 0.052495000000000035, 0.006015000000000005, 0.27714900000000003, 0.0034125, 0.13589999999999977, 0.03683999999999996, 0.12045000000000004, 0.0, 0.0, 0.0, 0.0, 0.08876999999999999, 0.0, 0.00011249999999999958, 0.005430000000000001, 0.0, 0.24488000000000074, 0.11826000000000021, 0.04582500000000001, 0.1263, 0.0061125000000000025, 0.09849000000000002, 0.0, 3.750000000000063e-05, 0.0010350000000000008, 0.41771549999999996, 0.0169125, 0.03405749999999997, 0.1928999999999996, 0.0, 0.0, 0.004200000000000008, 0.3342300000000001, 0.0, 0.1517449999999997, 0.0001874999999999975, 0.0, 0.0, 0.05728500000000011, 0.020924999999999992, 0.04743749999999993, 0.03283500000000004, 0.10298999999999987, 0.0004199999999999997, 0.11135500000000005, 0.0, 0.1310849999999998, 0.31074499999999977, 0.049050000000000094, 0.14126499999999992, 0.1337395, 0.02617500000000002, 0.30607500000000054, 0.017379999999999996, 0.14519250000000003]"
