Routing algorithm,Power consumption [W],Reliability score (Max),Reliability score (Mean),Mean latency (premium) [ms],Mean latency (assured) [ms],Premium SLA violations,Assured SLA violations,Mean Premium SLA violations,Mean Assured SLA violations
EAR,393463,1.0,0.03636219665239727,2,2,0,0,-,-
EAR,450382,1.0,0.03471697850171239,2,2,0,0,-,-
EAR,403451,1.0,0.03128850706335618,2,2,0,0,-,-
EAR,403087,1.0,0.03838747394933988,2,2,0,0,-,-
EAR,461260,0.6103349610503929,0.03154043039508777,2,2,0,0,-,-
EAR,394739,0.4142394637066422,0.015121556065806941,2,2,0,0,-,-
EAR,440038,0.527193074000393,0.017968091629291534,2,2,0,0,-,-
EAR,428723,0.3793097141015647,0.013544639262628458,2,2,0,0,-,-
EAR,361761,0.1586657930765627,0.005253661271694356,2,2,0,0,-,-
EAR,448676,0.19624900000000034,0.006444676137545837,2,2,0,0,-,-
EAR,527051,1.0,0.02163052256226307,2,2,0,0,-,-
EAR,483394,0.06965640562499997,0.0028111200572773862,2,2,0,0,-,-
