Routing algorithm,Power consumption [W],Reliability score (Max),Reliability score (Mean),Mean latency (premium) [ms],Mean latency (assured) [ms],Premium SLA violations,Assured SLA violations,Mean Premium SLA violations,Mean Assured SLA violations
MORA,385088,0.5865415396000007,0.012893772795397437,2,2,0,0,-,-
MORA,492778,0.5865568568999997,0.018349980908016296,2,2,0,0,-,-
MORA,394772,1.0,0.03834105692995922,2,2,0,0,-,-
MORA,487726,0.5451459556000007,0.015521052414563528,2,2,0,0,-,-
MORA,494254,1.0,0.025400976517228908,2,1,0,0,-,-
MORA,486370,0.2898557163062492,0.004339825491841871,2,2,0,0,-,-
MORA,469961,0.31409579580625024,0.006936690404976209,2,2,0,0,-,-
MORA,486562,0.09986390015625002,0.0013928053320312519,2,2,0,0,-,-
MORA,409178,0.18118005075624974,0.0019693483777853235,2,2,0,0,-,-
MORA,441076,0.05143824000000041,0.000859166747731667,2,2,0,0,-,-
MORA,615866,0.24309830249999956,0.005887939215769341,2,2,0,0,-,-
MORA,622028,0.5778584288999973,0.010236209380606098,2,2,0,0,-,-
