Routing algorithm,Power consumption [W],Reliability score (Max),Reliability score (Mean),Mean latency (premium) [ms],Mean latency (assured) [ms],Premium SLA violations,Assured SLA violations,Mean Premium SLA violations,Mean Assured SLA violations
Dijkstra,385640,1.0,0.025307871942934785,2,2,0,0,-,-
Dijkstra,442566,1.0,0.023930790006793486,2,2,0,0,-,-
Dijkstra,397045,1.0,0.02196027173913044,2,2,0,0,-,-
Dijkstra,385455,1.0,0.025807961453277843,2,2,0,0,-,-
Dijkstra,443486,0.6103349610503929,0.019004625898344108,2,2,0,0,-,-
Dijkstra,388409,0.4142394637066422,0.009753297204390308,2,2,0,0,-,-
Dijkstra,421893,0.527193074000393,0.013003822678676984,2,2,0,0,-,-
Dijkstra,425463,0.3793097141015647,0.008354306064028563,2,2,0,0,-,-
Dijkstra,359864,0.1586657930765627,0.003803659894931396,2,2,0,0,-,-
Dijkstra,429042,0.19624900000000034,0.0027257831233780693,2,2,0,0,-,-
Dijkstra,521215,1.0,0.015238460764624496,2,2,0,0,-,-
Dijkstra,471414,0.03204099999999954,0.0006523296535326023,2,2,0,0,-,-
