Routing algorithm,Power consumption [W],Reliability score (Max),Reliability score (Mean),Mean latency (premium) [ms],Mean latency (assured) [ms],Premium SLA violations,Assured SLA violations,Mean Premium SLA violations,Mean Assured SLA violations
MORA,100823,0,0.0,2,2,0,0,-,-
MORA,119228,0,0.0,2,2,0,0,-,-
MORA,111610,0,0.0,2,2,0,0,-,-
MORA,109491,0,0.0,2,2,0,0,-,-
MORA,121178,0,0.0,1,1,0,0,-,-
MORA,107739,0,0.0,1,1,0,0,-,-
MORA,117503,0,0.0,2,2,0,0,-,-
MORA,111181,0,0.0,2,2,0,0,-,-
MORA,104490,0,0.0,2,2,0,0,-,-
MORA,122470,0,0.0,1,1,0,0,-,-
MORA,136788,0,0.0,1,1,0,0,-,-
MORA,15125,0,0.0,1,1,0,0,-,-
MORA,129927,0,0.0,2,2,0,0,-,-
