Routing algorithm,Power consumption [W],Reliability score (Max),Reliability score (# above 60%),Mean latency (premium) [ms],Mean latency (assured) [ms],Premium SLA violations,Assured SLA violations,Link usage
Dijkstra,385574,1.3013105625000003,2,2,2,4,4,"[0.1803, 0.0123, 0.0, 0.5301100000000002, 0.0, 0.00198, 0.7304, 0.012374999999999999, 0.03765, 0.07095, 0.019725, 0.0078, 0.1503, 0.00015, 0.141225, 0.04425, 0.0003, 0.00615, 0.0, 0.0, 0.17899000000000004, 0.147945, 0.5593, 0.22216000000000005, 0.0072, 0.00135, 0.072825, 0.31017, 0.10796999999999997, 1.0377, 0.12645, 0.6176500000000001, 0.35417, 0.0, 0.06542000000000002, 0.0, 0.0, 0.34, 0.14484, 0.008175, 0.05592000000000001, 0.20176, 0.027764999999999995, 0.12075, 0.0003, 0.061875, 0.019575, 0.34140000000000004, 0.02595, 0.0, 0.17841, 0.0, 0.29608, 0.46395, 0.00825, 0.0, 0.0, 0.22179, 0.04292999999999999, 0.5164500000000001, 0.14635499999999996, 0.32592, 0.01005, 0.18697500000000003, 0.2022, 0.02349, 0.00057, 0.18075, 0.07329, 0.7369500000000001, 0.15827000000000002, 0.00298, 0.13938, 0.03894, 0.0, 0.09577500000000001, 0.22049999999999995, 0.7283000000000002, 0.0, 0.2638, 0.0, 0.03153, 0.00051, 0.07095, 0.3936299999999999, 0.10725, 0.18887000000000004, 0.006075, 0.13221000000000002, 0.10329, 0.00045, 1.0563]"
Dijkstra,442524,1.3115975625000011,2,2,2,3,3,"[0.20825, 0.006525, 0.0, 0.5669800000000002, 0.0, 0.0020099999999999996, 0.7455, 0.006599999999999998, 0.0522, 0.057300000000000025, 0.0, 0.04319999999999999, 0.17077500000000004, 0.00015, 0.165525, 0.04425, 0.0003, 0.00015000000000000115, 0.0, 0.0, 0.16218000000000007, 0.13795500000000005, 0.5725, 0.32960000000000017, 0.0072, 0.00135, 0.0546, 0.2749499999999999, 0.09907500000000002, 1.0396500000000002, 0.13464, 0.6308300000000001, 0.4312500000000003, 0.0, 0.0725100000000001, 0.0, 0.0, 0.3669, 0.1315499999999999, 0.0014250000000000007, 0.053380000000000045, 0.10272000000000012, 0.02855999999999999, 0.13109999999999997, 0.00015000000000000001, 0.05835, 0.039150000000000004, 0.3732400000000002, 0.026175, 0.0, 0.25683, 0.0, 0.42196000000000045, 0.4549500000000001, 0.0015000000000000007, 0.0, 0.0, 0.46764, 0.11612999999999998, 0.5340900000000002, 0.18911999999999982, 0.3307299999999999, 0.020279999999999992, 0.181875, 0.20219999999999996, 0.022110000000000005, 0.0, 0.15305999999999997, 0.05300999999999999, 0.18764999999999998, 0.1513600000000001, 0.07139999999999998, 0.13299, 0.04343, 0.0, 0.10087500000000005, 0.21106999999999992, 0.7006999999999998, 0.0, 0.23109999999999997, 0.01497, 0.03318, 0.00054, 0.07095, 0.54896, 0.10671, 0.2239600000000002, 0.0007499999999999986, 0.15339999999999995, 0.09102000000000003, 7.5e-05, 1.0581000000000003]"
Dijkstra,397415,1.3115975625000011,2,2,2,5,5,"[0.16115000000000002, 0.0063, 0.0, 0.4908799999999998, 0.0, 0.0026399999999999987, 0.6127999999999999, 0.006375, 0.059946000000000006, 0.0501, 0.0, 0.027540000000000005, 0.15300000000000008, 7.500000000000002e-05, 0.14535, 0.0324915, 0.0003, 0.00022500000000000116, 0.0, 0.0, 0.14733000000000002, 0.14117999999999992, 0.5306, 0.25134000000000023, 0.0072, 0.00135, 0.0327, 0.28265999999999997, 0.08136000000000003, 1.04115, 0.12927000000000008, 0.4519000000000001, 0.4781399999999999, 0.0, 0.06120000000000012, 0.0, 0.0, 0.2987000000000001, 0.12920999999999985, 0.001350000000000001, 0.05781000000000007, 0.05427000000000017, 0.032909999999999995, 0.11010000000000002, 0.0003, 0.06142499999999998, 0.018975, 0.33118000000000003, 0.025575000000000004, 0.0, 0.14658000000000002, 0.0, 0.5393300000000005, 0.4863000000000003, 0.0014250000000000011, 0.0, 0.0, 0.2976000000000001, 0.07738499999999997, 0.4896199999999997, 0.11249999999999977, 0.37453, 0.023029199999999986, 0.19769999999999993, 0.22279999999999994, 0.020370000000000013, 0.0005399999999999999, 0.18462, 0.04870499999999999, 0.19125, 0.16856000000000007, -2.7284841053187848e-17, 0.15585000000000004, 0.037439999999999994, 0.0, 0.09712500000000004, 0.17224999999999988, 0.6555999999999997, 0.0, 0.26180000000000003, 0.01365, 0.04944, 0.00033, 0.065121, 0.4548399999999997, 0.10701, 0.18565000000000015, 7.499999999999862e-05, 0.26087000000000005, 0.1005, 0.006000000000000001, 1.0581000000000003]"
Dijkstra,386597,0.97409867751914,2,2,2,0,0,"[0.40510910000000006, 0.00735, 0.0, 0.3030198000000003, 0.0, 0.002459999999999999, 0.8545, 0.007425, 0.037342499999999994, 0.07739999999999998, 0.0, 0.026394300000000002, 0.16935000000000006, 7.500000000000001e-05, 0.16260000000000005, 0.0324915, 0.00030000000000000003, 0.0001500000000000012, 0.0, 0.0, 0.16149999999999998, 0.1437149999999999, 0.5687, 0.28083910000000034, 0.0072, 0.00135, 0.07755, 0.29312999999999995, 0.085095, 0.9776107499999996, 0.14883000000000005, 0.4825898000000003, 0.45462, 0.0, 0.08157000000000014, 0.0, 0.0, 0.3918, 0.1257299999999998, 0.0016500000000000006, 0.05799950000000006, 0.07578000000000018, 0.028304999999999997, 0.10635, 0.00015, 0.058874999999999955, 0.04671825, 0.3562500000000001, 0.028050000000000005, 0.0, 0.08024999999999999, 0.0, 0.4738691000000007, 0.4593000000000002, 0.0017250000000000015, 0.0, 0.0, 0.42855000000000015, 0.05876999999999996, 0.2912298000000001, 0.13379969999999983, 0.3435500000000003, 0.016349999999999983, 0.17219999999999988, 0.2154, 0.022379400000000025, -1.7763568394002506e-20, 0.16197000000000003, 0.06364499999999998, 0.169047, 0.14989810000000023, 0.10876999999999995, 0.16800000000000004, 0.04997000000000001, 0.0, 0.09832500000000005, 0.19998999999999992, 0.5984929999999997, 0.0, 0.2929, 0.002459999999999998, 0.035730000000000005, 0.00033, 0.0581865, 0.2983596, 0.10791000000000002, 0.18173980000000026, 7.499999999999864e-05, 0.3995699999999999, 0.10900500000000003, 7.500000000000071e-05, 0.9947857499999998]"
Dijkstra,447201,0.5647522500000015,0,2,2,0,0,"[0.4761200000000001, 0.007425, 0.0, 0.5278300000000002, 0.0, 0.0028199999999999987, 0.9006000000000003, 0.0075, 0.0897, 0.06952499999999999, 0.025275, 0.03531000000000001, 0.20295000000000002, 7.500000000000001e-05, 0.19462499999999996, 0.0324915, 0.00030000000000000003, 7.50000000000012e-05, 0.0, 0.0, 0.14355, 0.14381999999999992, 0.6116450000000001, 0.4785700000000004, 0.0072, 0.00135, 0.07096725, 0.26895, 0.11316000000000002, 0.8811749999999996, 0.13371000000000013, 0.6190300000000003, 0.3706599999999995, 0.0, 0.07594000000000019, 0.0, 0.0, 0.4174, 0.11045999999999977, 0.0018000000000000004, 0.06093000000000006, 0.1373400000000002, 0.028605000000000005, 0.12765, 0.0003, 0.05579999999999992, 0.025124999999999995, 0.28837000000000007, 0.024708750000000005, 0.0, 0.26292, 0.0, 0.4703100000000002, 0.44235, 0.001875000000000001, 0.0, 0.0, 0.58032, 0.13970999999999997, 0.3490300000000003, 0.13900499999999988, 0.37478000000000056, 0.01720349999999998, 0.20407499999999987, 0.18970000000000004, 0.021810000000000013, 0.00057, 0.10122000000000002, 0.060764999999999965, 0.16664999999999996, 0.13945450000000018, 0.010369999999999982, 0.12954000000000004, 0.05453000000000001, 0.0, 0.0946500000000001, 0.18999999999999984, 0.6526999999999998, 0.0, 0.28130900000000003, 0.01857, 0.04458000000000001, 0.00048, 0.063915, 0.4619399999999999, 0.10647, 0.2450300000000002, 7.499999999999864e-05, 0.20630000000000004, 0.11793000000000009, 0.00015000000000000072, 0.8962500000000003]"
Dijkstra,388921,0.3636090000000012,0,2,2,0,0,"[0.2574300000000004, 0.007425, 0.0, 0.5177900000000001, 0.0, 0.0029699999999999996, 0.7383000000000005, 0.007499999999999999, 0.0828, 0.04919999999999998, 0.0, 0.028710000000000013, 0.1842750000000001, 0.00015, 0.175875, 0.0324915, 0.00030000000000000003, 0.0001500000000000012, 0.0, 0.0, 0.14523999999999995, 0.13934999999999992, 0.5367999999999999, 0.2900800000000005, 0.0072, 0.00135, 0.03449999999999999, 0.26936999999999994, 0.09792, 0.824925, 0.13755000000000012, 0.5756600000000002, 0.34516999999999975, 0.0, 0.08666000000000011, 0.0, 0.0, 0.3255, 0.14315999999999973, 0.0016500000000000006, 0.06182000000000007, 0.2650000000000003, 0.031095, 0.1212, 0.00015000000000000001, 0.05407499999999993, 0.023925, 0.3992599999999996, 0.02947500000000001, 0.0, 0.23190000000000002, 0.0, 0.3295900000000002, 0.38295000000000007, 0.0017250000000000015, 0.0, 0.0, 0.5313599999999999, 0.070695, 0.4390099999999999, 0.09638999999999984, 0.32538000000000056, 0.01670999999999997, 0.18787499999999996, 0.17980000000000007, 0.022830000000000024, 0.0005699999999999999, 0.09081, 0.059069999999999956, 0.1938, 0.12497000000000012, -1.8189894035458566e-17, 0.15333000000000005, 0.03760000000000001, 0.0, 0.09645000000000006, 0.18449999999999991, 0.5351999999999998, 0.0, 0.245, 0.01857, 0.04398, 0.00033, 0.063915, 0.39300000000000007, 0.10583999999999998, 0.18500000000000008, 7.499999999999864e-05, 0.1689400000000002, 0.10849500000000009, 7.500000000000071e-05, 0.8412000000000005]"
Dijkstra,424958,0.4450557656250034,0,2,2,0,0,"[0.4455200000000001, 0.007425, 0.0, 0.5687700000000004, 0.0, 0.002939999999999999, 0.7861000000000005, 0.0075, 0.17055, 0.05144999999999999, 0.01635, 0.04551000000000003, 0.20602500000000018, 0.00015, 0.1981500000000001, 0.0471645, 0.00030000000000000003, 7.500000000000121e-05, 0.0, 0.0, 0.17834, 0.13406999999999988, 0.509, 0.4879200000000003, 0.0072, 0.00135, 0.03449999999999999, 0.2982705, 0.092895, 0.8455499999999998, 0.10852050000000009, 0.5856700000000006, 0.32285999999999976, 0.0, 0.10364000000000016, 0.0, 0.0, 0.33072599999999996, 0.13271999999999975, 0.0016500000000000006, 0.07474000000000006, 0.19054000000000018, 0.02787, 0.34529999999999994, 0.00015, 0.05212499999999993, 0.0, 0.2028799999999996, 0.034500000000000024, 0.0, 0.18308999999999997, 0.0, 0.5463500000000001, 0.3870000000000002, 0.0017250000000000015, 0.0, 0.0, 0.52938, 0.06574499999999998, 0.2817735000000002, 0.10504499999999983, 0.33646000000000076, 0.01694999999999998, 0.2268, 0.19020000000000006, 0.020190000000000024, 0.0004499999999999999, 0.14774999999999983, 0.06148499999999993, 0.17520000000000005, 0.13340000000000016, -1.8189894035458566e-17, 0.16932000000000003, 0.04355000000000003, 0.0, 0.11910000000000007, 0.20763999999999996, 0.5321, 0.0, 0.2131, -5.684341886080802e-19, 0.05454, 0.0003, 0.078588, 0.46617, 0.10563, 0.19276000000000026, 7.499999999999864e-05, 0.1296700000000002, 0.09709500000000007, 7.500000000000073e-05, 0.8668500000000009]"
Dijkstra,423466,0.327041015625003,0,2,2,0,0,"[0.2877799999999999, 0.007425, 0.0, 0.6156200000000002, 0.0, 0.0028799999999999993, 0.6958000000000006, 0.0075, 0.12314999999999998, 0.05009999999999999, 0.0, 0.08592000000000002, 0.18742500000000023, 0.00015, 0.17962500000000015, 0.03520499999999999, 0.0003, 7.50000000000012e-05, 0.0, 0.0, 0.12867000000000003, 0.1360499999999999, 0.5814000000000001, 0.36615, 0.0666, 0.06075, 0.05077499999999999, 0.27969480000000013, 0.08652, 0.8115750000000004, 0.12201480000000009, 0.6184900000000008, 0.33702979999999993, 0.0, 0.07536000000000015, 0.0, 0.0, 0.32509799999999994, 0.10208939999999973, 0.0016500000000000006, 0.06872000000000009, 0.27838000000000007, 0.025274999999999995, 0.10305, 0.00015, 0.052274999999999947, 0.035024999999999994, 0.36219999999999963, 0.030675000000000018, 0.0, 0.23153999999999997, 0.0, 0.41746979999999945, 0.3373500000000002, 0.0017250000000000015, 0.0, 0.0, 0.5430299999999999, 0.06620999999999999, 0.4189916, 0.22478999999999993, 0.3238600000000005, 0.0031799999999999762, 0.18825000000000008, 0.18110000000000012, 0.019350000000000016, 0.0004499999999999999, 0.1085399999999998, 0.058679999999999934, 0.15435000000000001, 0.13315000000000018, 6.99999999999818e-05, 0.17310000000000003, 0.041290000000000014, 0.0, 0.1044750000000001, 0.17342, 0.49840000000000007, 0.0, 0.206065, -5.684341886080802e-19, 0.04677, 0.0003, 0.0666285, 0.46319, 0.10563, 0.18622000000000016, -1.3600232051658168e-18, 0.1677700000000001, 0.08556000000000007, 7.500000000000071e-05, 0.8287500000000011]"
Dijkstra,359932,0.12554443400625193,0,2,2,0,0,"[0.19465, 0.006975, 0.0, 0.5240100000000006, 0.0, 0.002729999999999999, 0.7021000000000005, 0.00950025, 0.08325, 0.05594999999999998, 0.0, 0.020760000000000008, 0.20055000000000014, 7.5e-05, 0.1931250000000001, 0.03520499999999999, 0.0003, 0.0002250000000000012, 0.0, 0.0, 0.14501, 0.13735454999999988, 0.5053000000000002, 0.3044099999999999, 0.0071999999999999955, 0.0013499999999999957, 0.05479499999999998, 0.27152070000000006, 0.07413, 0.7230540000000006, 0.09270000000000009, 0.6198667000000013, 0.32532000000000005, 0.0, 0.08766000000000013, 0.0, 0.0, 0.32509799999999994, 0.10463999999999976, 0.0017250000000000015, 0.06002000000000009, 0.2714567000000001, 0.02776499999999999, 0.1065, 0.00015, 0.05819999999999995, 0.030074999999999987, 0.36508999999999964, 0.029850000000000022, 0.0, 0.28287, 0.0, 0.28337999999999974, 0.3322005000000003, 0.0018000000000000015, 0.0, 0.0, 0.4193699999999998, 0.0453, 0.4002900000000001, 0.08488499999999999, 0.24919000000000072, 0.016139999999999977, 0.18675000000000003, 0.17310000000000006, 0.019290000000000026, 0.00044999999999999977, 0.08834999999999972, 0.06530504999999995, 0.15975, 0.1042969000000001, 0.0017599999999999823, 0.14460000000000006, 0.035800000000000026, 0.0, 0.1073040000000001, 0.1793000000000001, 0.3791000000000001, 0.0, 0.16799999999999998, 0.01362, 0.03606, 0.00033, 0.059493, 0.39473000000000014, 0.10431000000000001, 0.14596690000000023, 7.499999999999865e-05, 0.1314200000000001, 0.08638500000000003, 7.500000000000071e-05, 0.7417290000000012]"
Dijkstra,434135,0.1962490000000008,0,2,2,0,0,"[0.3806220999999999, 0.006975, 0.0, 0.53653, 0.0, 0.002729999999999999, 0.7772000000000004, 0.00705, 0.11385, 0.07267499999999995, 0.046725, 0.020040000000000006, 0.1480500000000001, 7.5e-05, 0.142725, 0.04394849999999999, 0.00030000000000000003, 7.500000000000123e-05, 0.0, 0.0, 0.16336000000000006, 0.13265999999999978, 0.4938000000000003, 0.4569121000000001, 0.0071999999999999955, 0.0013499999999999957, 0.07259999999999998, 0.27168000000000014, 0.06993, 0.6240750000000005, 0.11946000000000011, 0.6502000000000013, 0.4417800000000003, 0.0, 0.11397000000000017, 0.0, 0.0, 0.3486, 0.10118999999999974, 0.001650000000000001, 0.04709000000000003, 0.06245000000000022, 0.02966999999999999, 0.5439, 0.00015, 0.055874999999999966, 0.03969074999999999, 0.31086999999999965, 0.030975000000000006, 0.0, 0.20424, 0.0, 0.6335020999999997, 0.29355000000000026, 0.002175000000000001, 0.0, 0.0, 0.4057499999999997, 0.081465, 0.30874000000000007, 0.11421, 0.23556000000000088, 0.014939999999999972, 0.19417500000000001, 0.1652, 0.020160000000000025, 0.00057, 0.11504999999999971, 0.06485999999999995, 0.16425000000000003, 0.09339000000000006, -1.7810937909719844e-17, 0.17457630000000005, 0.04556000000000002, 0.0, 0.09330000000000012, 0.20059000000000016, 0.5987999999999998, 0.0, 0.24499999999999997, 0.012059999999999996, 0.03837, 0.0002999999999999999, 0.0682365, 0.4844799999999998, 0.1041, 0.1787100000000002, 7.499999999999865e-05, 0.26274, 0.08824500000000009, 7.500000000000071e-05, 0.6419250000000011]"
