Routing algorithm,Power consumption [W],Reliability score (Max),Reliability score (# above 60%),Mean latency (premium) [ms],Mean latency (assured) [ms],Premium SLA violations,Assured SLA violations,Link usage
EAR,143861,0.0,0,2,2,0,0,"[0.003076666666666667, 0.09896999999999999, 0.1373, 0.0, 0.0, 0.0, 0.260875, 0.0, 0.0001, 0.07226333333333333, 0.0164, 0.21607333333333337, 0.3994, 0.0, 0.1168, 0.08781, 0.094575, 0.003525, 0.15890333333333337, 0.19483999999999999, 0.028830000000000005, 0.03654, 0.11719499999999998, 0.23677, 0.1742, 0.07726000000000002, 2.5e-05, 0.05637333333333333, 0.1806233333333333, 0.0001, 0.016974999999999997, 0.0, 0.0698, 0.06644666666666665, 0.003675, 0.0, 0.0, 0.007593333333333333, 0.17326666666666668, 0.0, 0.004275, 0.0, 0.0, 0.0, 0.2197, 0.09026333333333335, 0.12493333333333333, 0.0, 0.003325, 0.05355, 0.00382, 0.01019, 0.004275, 3.3333333333333335e-05, 0.07734999999999999, 0.00501, 0.265375, 0.00945, 0.030525, 0.0, 3.3333333333333335e-05, 0.00019, 0.020874999999999994, 0.06216500000000001, 0.0029, 0.1088, 0.0635, 0.007530000000000001, 0.00345, 0.02037, 0.003125, 0.07457499999999999, 0.0, 0.00104, 0.00014, 0.026893333333333335, 0.03173999999999999, 0.0, 0.0, 0.23276, 0.0, 0.0015000000000000002, 0.0, 0.042425000000000004, 0.18431333333333333, 0.14915333333333333, 0.13463666666666665, 0.15718333333333334, 0.0, 0.06085, 0.02545, 0.01965]"
EAR,137193,0.0,0,2,2,0,0,"[2.842170943040401e-19, 0.07057333333333332, 0.15407600000000005, 0.0, 0.0, 0.0, 0.2940512500000001, 0.0, 0.00010000000000000002, 0.08217666666666669, 0.02334333333333334, 0.21572333333333313, 0.26615000000000016, 0.0, 0.12485000000000004, 0.08015, 0.08444000000000006, 0.0032749999999999984, 0.09994333333333337, 0.0848333333333333, 0.027349999999999996, 0.04083999999999998, 0.09640499999999991, 0.24215696666666656, 0.11513333333333335, 0.07383999999999999, 2.4999999999999998e-05, 0.05872206666666665, 0.14462333333333338, 4.999999999999999e-05, 0.01832499999999999, 0.0, 0.07181530000000004, 0.12852666666666662, 0.00305, 0.0, 0.0, 0.017563333333333334, 0.19566666666666666, 0.0, 0.00245, 0.0, 0.0, 0.0, 0.19106666666666675, 0.10768666666666667, 0.09236666666666667, 0.0, 0.004125000000000001, 0.06785450000000001, 0.0049900000000000005, 0.01028, 0.003575, 3.3333333333333335e-05, 0.124975, 0.007210000000000001, 0.30107625000000005, 0.015875, 0.0301, 0.0, 3.3333333333333335e-05, 0.0013200000000000002, 0.020199999999999996, 0.06234499999999999, 0.00325, 0.09725366666666665, 0.06884, 0.005999999999999999, 0.00345, 0.02070666666666666, 0.005675, 0.12082499999999997, 0.0, 0.0009, 0.00010000000000000002, 0.030666666666666672, 0.03981, 0.0, 0.0, 0.21697666666666662, 0.0, 0.0039000000000000007, 0.0, 0.04550000000000002, 0.2027666666666667, 0.19875666666666664, 0.10239999999999998, 0.15785873333333322, 0.0, 0.07466499999999997, 0.02705000000000002, 0.01965]"
EAR,141732,0.0,0,2,2,0,0,"[3.3333333333336175e-06, 0.08756333333333334, 0.16487600000000005, 0.0, 0.0, 0.0, 0.2902630000000001, 0.0, 0.00010000000000000005, 0.07700666666666668, 0.028353333333333352, 0.2602606666666667, 0.19285000000000013, 2.5e-05, 0.14375, 0.07222, 0.09156500000000005, 0.0030499999999999985, 0.10399666666666671, 0.08495666666666664, 0.032159999999999994, 0.03824999999999996, 0.1010949999999999, 0.24271769999999995, 0.09926666666666667, 0.08102000000000002, 0.002125, 0.03481069999999997, 0.12471333333333343, 4.999999999999998e-05, 0.020074999999999985, 0.0, 0.08312000000000001, 0.13180333333333327, 0.0031000000000000003, 0.0, 0.0, 0.032869999999999996, 0.13970466666666662, 0.0, 0.000825, 0.0, 0.0, 0.0, 0.1748333333333335, 0.09669333333333337, 0.08824033333333335, 0.0, 0.0059749999999999985, 0.0728, 0.003690000000000001, 0.01205, 0.004025000000000001, 3.333333333333333e-05, 0.12259999999999997, 0.006091100000000001, 0.29538800000000004, 0.014175000000000009, 0.027649999999999994, 0.0, 3.333333333333332e-05, 0.0013200000000000002, 0.015949999999999995, 0.059655, 0.00175, 0.0863, 0.07497110000000003, 0.009739999999999995, 0.00345, 0.0413633333333333, 0.00595, 0.120875, 0.0, 0.0006099999999999999, 8.000000000000009e-05, 0.02721333333333334, 0.03670999999999999, 0.0, 0.0, 0.22014103333333332, 0.0, 0.004200000000000001, 0.0, 0.048925, 0.21981370000000006, 0.21371333333333337, 0.10379666666666665, 0.13593999999999984, 0.0, 0.07956999999999997, 0.02799500000000002, 0.01965]"
EAR,137817,0.0,0,2,2,0,0,"[0.0010266666666666668, 0.06075666666666668, 0.17164999999999997, 0.0, 0.0, 0.0, 0.25847500000000007, 0.0, 0.00010000000000000005, 0.07119333333333333, 0.030216666666666683, 0.22382199999999988, 0.1701000000000001, -1.3877787807814457e-21, 0.3505, 0.07610600000000001, 0.08187500000000003, 0.0036499999999999987, 0.06139466666666674, 0.08485333333333327, 0.024549999999999995, 0.045249999999999985, 0.09617499999999983, 0.20948333333333322, 0.0985, 0.07069, 5.000000000000004e-05, 0.030787133333333314, 0.05999000000000002, 4.9999999999999996e-05, 0.019449999999999985, 0.0, 0.07722000000000005, 0.1469637666666666, 2.5000000000000672e-05, 0.0, 0.0, 0.03158333333333332, 0.15717133333333336, 0.0, 0.0002, 0.0, 0.0, 0.0, 0.23310000000000017, 0.10615333333333335, 0.08860466666666668, 0.0, 0.0059749999999999985, 0.07304999999999999, 0.0036500000000000013, 0.01598, 0.0036, 3.333333333333334e-05, 0.09252499999999994, 0.005050000000000003, 0.261675, 0.00835000000000001, 0.02361, 0.0, 3.333333333333332e-05, 0.00026, 0.015627, 0.082625, 0.0023699999999999997, 0.11756666666666668, 0.07593000000000001, 0.005493999999999995, 0.00345, 0.034876666666666625, 0.005974999999999999, 0.09079999999999999, 0.0, 0.0006599999999999997, 8.000000000000009e-05, 0.02286333333333334, 0.02992500000000001, 0.0, 0.0, 0.23118333333333319, 0.0, 0.004225000000000001, 0.0, 0.043525, 0.2818429, 0.23176576666666665, 0.106888, 0.13970666666666648, 0.0, 0.09026064999999998, 0.02857000000000002, 0.01965]"
EAR,135632,0.0,0,2,2,0,0,"[9.473903143468002e-20, 0.06636333333333332, 0.1676, 0.0, 0.0, 0.0, 0.259975, 0.0, 0.00010000000000000007, 0.07041666666666661, 0.032750000000000015, 0.20296059999999996, 0.1588500000000001, 0.002125, 0.3976, 0.07211000000000002, 0.08305500000000007, 0.0036499999999999987, 0.16476666666666676, 0.1806381333333332, 0.025901799999999992, 0.03521439999999996, 0.12281999999999993, 0.19941129999999993, 0.12409999999999999, 0.07556000000000003, 5.0000000000000057e-05, 0.0309068333333333, 0.13938813333333333, 4.999999999999998e-05, 0.01758599999999998, 0.0, 0.07044000000000006, 0.05639999999999998, 0.0035750000000000014, 0.0, 0.0, 0.02676333333333332, 0.16706833333333337, 0.0, 0.00022500000000000005, 0.0, 0.0, 0.0, 0.18280000000000016, 0.10888666666666669, 0.09563500000000001, 0.0, 0.0059499999999999996, 0.05459999999999999, 0.003950000000000002, 0.01947, 0.0056749999999999995, 3.333333333333333e-05, 0.08939999999999995, 0.005080000000000002, 0.26465, 0.014675000000000011, 0.03894999999999999, 0.0, 3.333333333333332e-05, 0.00026, 0.012813, 0.082655, 0.0006199999999999997, 0.0928, 0.07872390000000001, 0.009859999999999996, 0.00345, 0.02679333333333329, 0.006024999999999999, 0.087125, 0.0, 0.0008699999999999997, 9.000000000000006e-05, 0.02272999999999999, 0.02509000000000002, 0.0, 0.0, 0.20991463333333327, 0.0, 0.004175000000000002, 0.0, 0.04685000000000002, 0.19478636666666685, 0.13513333333333344, 0.13993666666666651, 0.13474999999999981, 0.0, 0.12849000000000002, 0.024270000000000017, 0.015697]"
EAR,132447,0.0,0,2,2,0,0,"[9.473903143468002e-20, 0.0604333333333333, 0.17039999999999997, 0.0, 0.0, 0.0, 0.26497499999999985, 0.0, 0.00010000000000000007, 0.07499186666666663, 0.026942533333333345, 0.2156766666666666, 0.1439500000000001, -1.3322676295501877e-19, 0.40525, 0.06714000000000002, 0.07947500000000006, 0.0014499999999999992, 0.1576692000000001, 0.13913586666666644, 0.027115600000000007, 0.039559999999999956, 0.11425499999999994, 0.22333936666666662, 0.11996666666666664, 0.07166000000000002, 2.5000000000000062e-05, 0.03447783333333328, 0.11755333333333332, 0.0001, 0.013549999999999977, 0.0, 0.08683000000000002, 0.06091333333333335, 0.0014500000000000016, 0.0, 0.0, 0.024943333333333324, 0.15413500000000005, 0.0, 0.00022499999999999997, 0.0, 0.0, 0.0, 0.19143333333333357, 0.10944253333333329, 0.09940166666666667, 0.0, 0.0032699999999999995, 0.0608, 0.004120000000000003, 0.011520000000000004, 0.004977749999999999, 3.333333333333333e-05, 0.10180524999999994, 0.005080000000000002, 0.27197499999999986, 0.02822500000000001, 0.025625000000000012, 0.0, 3.333333333333333e-05, 0.00024, 0.01752500000000001, 0.077555, 0.001893, 0.09838333333333334, 0.07755810000000002, -4.8316906031686816e-18, 0.00345, 0.02486999999999995, 0.0032699999999999995, 0.09953024999999997, 0.0, 0.0002099999999999997, 9.000000000000006e-05, 0.02245186666666666, 0.02980555000000001, 0.0, 0.0, 0.2086193666666665, 0.0, 0.0015200000000000007, 0.0, 0.041075000000000014, 0.18711603333333346, 0.14618000000000006, 0.14938333333333326, 0.13537999999999986, 0.0, 0.09232000000000001, 0.02550650000000003, 0.01846075]"
EAR,129304,0.0,0,2,2,0,0,"[0.009466666666666667, 0.08217333333333328, 0.16444999999999999, 0.0, 0.0, 0.0, 0.296675, 0.0, 0.00010000000000000005, 0.0731733333333333, 0.015770000000000017, 0.21526333333333322, 0.1338500000000001, -1.3322676295501877e-19, 0.37645000000000006, 0.09012000000000003, 0.08407000000000003, 0.003099999999999999, 0.14536393333333353, 0.1648072666666664, 0.027150000000000007, 0.03256999999999995, 0.10563499999999997, 0.21618206666666653, 0.12412066666666663, 0.07748000000000008, 2.5000000000000062e-05, 0.056183499999999935, 0.14999, 5.000000000000001e-05, 0.013074999999999974, 0.0, 0.08629000000000007, 0.05054333333333333, 0.0030250000000000016, 0.0, 0.0, 0.008183333333333334, 0.1715016666666667, 0.0, 0.00024999999999999984, 0.0, 0.0, 0.0, 0.17576666666666693, 0.09949333333333331, 0.09910166666666669, 0.0, 0.005520000000000001, 0.05785, 0.003580000000000003, 0.011460000000000008, 0.004174999999999999, 3.333333333333334e-05, 0.06292499999999994, 0.004600000000000001, 0.30067500000000014, 0.00827950000000001, 0.030225000000000012, 0.0, 3.333333333333332e-05, 0.00037000000000000005, 0.01387500000000001, 0.05991499999999996, 0.0029399999999999995, 0.08621166666666667, 0.08017000000000002, 0.008899999999999995, 0.00345, 0.011683333333333289, 0.005544999999999999, 0.060324999999999976, 0.0, 0.0008999999999999998, 8.000000000000003e-05, 0.02300999999999999, 0.03582000000000002, 0.0, 0.0, 0.17559873333333312, 0.0, 0.0015200000000000007, 0.0, 0.047125000000000014, 0.1362254000000001, 0.15925666666666674, 0.1332839333333333, 0.14030873333333324, 0.0, 0.0939300000000001, 0.024095000000000026, 0.012129250000000001]"
EAR,124657,0.0,0,2,2,0,0,"[0.03807333333333332, 0.06280999999999999, 0.1608, 0.0, 0.0, 0.0, 0.28955000000000014, 0.0, 0.00010000000000000005, 0.0779666666666666, 0.016223333333333347, 0.18541999999999995, 0.12235000000000018, 2.499999999999987e-05, 0.4701, 0.08598000000000004, 0.07890000000000003, 0.0025749999999999987, 0.058680600000000194, 0.04503059999999977, 0.027770000000000045, 0.03424999999999995, 0.06765999999999994, 0.18069666666666664, 0.12789999999999996, 0.07318000000000008, 2.5000000000000055e-05, 0.03291683333333325, 0.0664333333333333, 4.9999999999999996e-05, 0.011524999999999973, 0.0, 0.06419000000000005, 0.12603999999999999, 0.0025750000000000013, 0.0, 0.0, 0.03929666666666667, 0.18670166666666674, 0.0, 0.00014999999999999985, 0.0, 0.0, 0.0, 0.20773333333333358, 0.10687666666666665, 0.095435, 0.0, 0.0044500000000000026, 0.0503, 0.003410000000000003, 0.013320000000000009, 0.004275000000000001, 3.333333333333333e-05, 0.06442499999999998, 0.004840000000000001, 0.29410000000000025, 0.01402950000000001, 0.029650000000000024, 0.0, 3.333333333333332e-05, 0.00033000000000000016, 0.013700000000000018, 0.06724499999999999, 0.00268, 0.09536833333333333, 0.08149999999999999, 0.007579999999999996, 0.00345, 0.028679999999999952, 0.004474999999999998, 0.059199999999999975, 0.0, 0.0006899999999999995, 0.00010000000000000003, 0.019703333333333323, 0.034284000000000016, 0.0, 0.0, 0.15899333333333315, 0.0, 0.00020000000000000071, 0.0, 0.03785000000000002, 0.23144333333333342, 0.2461300000000001, 0.1374139333333333, 0.1195599999999998, 0.0, 0.12147000000000002, 0.026375000000000023, 0.015412250000000002]"
EAR,128321,0.0,0,2,2,0,0,"[3.3333333333204487e-06, 0.06986736666666667, 0.16200750000000003, 0.0, 0.0, 0.0, 0.2800000000000001, 0.0, 0.00010000000000000005, 0.07329383333333324, 0.01416000000000001, 0.19028666666666655, 0.11825000000000019, -1.3183898417423734e-19, 0.4145, 0.07499000000000004, 0.07277000000000007, 0.002699999999999999, 0.14930060000000014, 0.1618639333333331, 0.022360000000000026, 0.03374999999999995, 0.06467574999999995, 0.22087666666666642, 0.13706666666666664, 0.07365000000000005, 2.5000000000000055e-05, 0.05051189999999993, 0.16387070000000006, 4.9999999999999996e-05, 0.011724999999999973, 0.0, 0.07442000000000006, 0.06128333333333332, 0.0026750000000000016, 0.0, 0.0, 0.012026666666666666, 0.19858566666666677, 0.0, 2.4999999999999842e-05, 0.0, 0.0, 0.0, 0.2064333333333336, 0.10651333333333325, 0.10151900000000003, 0.0, 0.004700000000000001, 0.04900000000000001, 0.004690000000000003, 0.008830000000000013, 0.004175000000000002, 3.333333333333333e-05, 0.08892500000000002, 0.0036100000000000004, 0.2845500000000002, 0.01352950000000001, 0.026725000000000023, 0.0, 3.333333333333332e-05, 0.00024000000000000014, 0.012800000000000014, 0.07467499999999996, 0.00358, 0.09536833333333333, 0.07443209999999999, 0.004639999999999996, 3.552713678800501e-19, 0.011159999999999951, 0.004674999999999997, 0.08504999999999999, 0.0, 0.0007699999999999997, 7.000000000000008e-05, 0.02194716666666665, 0.02819500000000002, 0.0, 0.0, 0.18278333333333308, 0.0, 0.0002500000000000006, 0.0, 0.036375000000000025, 0.14639999999999997, 0.17406666666666676, 0.12021059999999997, 0.1295366666666664, 0.0, 0.10773000000000002, 0.022970000000000036, 0.015412250000000002]"
EAR,119035,0.0,0,2,2,0,0,"[0.0031966666666666545, 0.05287666666666665, 0.16134999999999997, 0.0, 0.0, 0.0, 0.28027500000000016, 0.0, 0.00010000000000000005, 0.0699299999999999, 0.011986666666666677, 0.1882499999999999, 0.12860000000000021, -1.3183898417423734e-19, 0.43509999999999993, 0.08218000000000006, 0.06566000000000005, 0.002799999999999999, 0.09987666666666693, 0.05917999999999986, 0.021880000000000017, 0.032699999999999944, 0.06982000000000001, 0.19904333333333302, 0.0906, 0.08229000000000006, 2.5000000000000055e-05, 0.03261659999999995, 0.07966333333333343, 4.9999999999999996e-05, 0.01127499999999997, 0.0, 0.07910000000000006, 0.12165666666666665, 0.0027500000000000016, 0.0, 0.0, 0.027703333333333333, 0.1847660000000001, 0.0, 4.9999999999999847e-05, 0.0, 0.0, 0.0, 0.1804000000000002, 0.09417666666666658, 0.08793266666666669, 0.0, 0.002225000000000002, 0.03764999999999999, 0.004440000000000004, 0.008860000000000012, 0.004050000000000001, 3.333333333333332e-05, 0.08420000000000004, 0.004010000000000002, 0.2836000000000003, 0.008825000000000008, 0.030550000000000018, 0.0, 3.333333333333332e-05, 0.0002800000000000001, 0.013950000000000011, 0.054594999999999956, 0.00362, 0.08915966666666666, 0.05350999999999998, 0.008289999999999999, 0.00395, 0.032163333333333294, 0.002299999999999994, 0.0803, 0.0, 0.0006899999999999997, 6.0000000000000056e-05, 0.02456333333333331, 0.030140000000000017, 0.0, 0.0, 0.16390999999999958, 0.0, 0.0001250000000000006, 0.0, 0.04025000000000002, 0.19202666666666654, 0.22282000000000016, 0.13958000000000004, 0.10116333333333292, 0.0, 0.09678999999999995, 0.02270500000000003, 0.006672000000000003]"
