Routing algorithm,Power consumption [W],Reliability score (Max),Reliability score (# above 60%),Mean latency (premium) [ms],Mean latency (assured) [ms],Premium SLA violations,Assured SLA violations,Time,Link usage
Dijkstra,313861,2.031693890625002,1,2,2,7,7,0.0,"[0.0, 0.2693966666666666, 0.2839633333333333, 0.04218, 0.10524999999999998, 0.07199666666666667, 0.00015, 5e-05, 0.13104333333333334, 0.04488999999999999, 0.3090333333333333, 0.043399999999999994, 0.002575, 0.5151166666666668, 0.1293, 0.0010749999999999998, 0.3600933333333334, 0.000175, 0.08793500000000001, 0.0098, 0.27032, 7.5e-05, 0.29069, 0.057566666666666655, 0.01799, 0.1482, 3.3333333333333335e-05, 0.088975, 0.040380000000000006, 0.00219, 0.50395, 0.38162666666666656, 0.051875, 0.02894, 0.0097, 0.0, 0.0025750000000000005, 0.03380000000000001, 0.41475, 0.22449999999999995, 0.0, 0.5067749999999999, 0.0863, 0.39936666666666665, 0.0006, 0.00037, 0.08960999999999998, 0.0, 0.0011, 0.06281, 0.00023, 0.0, 0.0, 0.01059, 0.3317, 0.01375, 0.0, 0.08756999999999998, 0.024550000000000006, 0.164475, 0.16380666666666666, 0.2205266666666667, 0.0008, 0.3204933333333332, 0.2630766666666667, 0.12494, 0.32339999999999997, 0.0, 0.7217249999999997, 0.07356000000000001, 1.1701500000000002, 0.024375, 0.23978000000000008, 0.20695999999999998, 0.14065, 0.0015, 0.707725, 0.4812, 0.065175, 0.0, 0.0, 0.0, 0.13210000000000002, 0.03192, 0.00022499999999999997, 0.0, 0.011113333333333333, 0.15436666666666668, 0.2657333333333333, 0.0, 0.10029500000000002, 3.3333333333333335e-05]"
Dijkstra,307642,2.094894390624999,1,2,2,9,9,11.569378137588501,"[0.0, 0.3160994666666667, 0.3111366666666666, 0.12711319999999998, 0.11959000000000003, 0.06595000000000002, 0.00020000000000000004, 5e-05, 0.07388199999999995, 0.04763333333333334, 0.33659999999999995, 0.04756, 0.002575, 0.4794817333333334, 0.1241661333333334, 0.0010749999999999996, 0.3278884000000001, 0.00235, 0.10117500000000006, 0.016489600000000004, 0.23536000000000007, 4.999999999999999e-05, 0.23831200000000008, 0.04977000000000004, 0.0217584, 0.151784, 3.3333333333333335e-05, 0.07767499999999997, 0.04196, 0.0028499999999999992, 0.4173000000000003, 0.31691279999999994, 0.05465, 0.006630000000000002, 0.0097, 0.0, 0.002475, 0.034499999999999996, 0.6302499999999999, 0.2463, 0.0, 0.42360000000000037, 0.0848333333333334, 0.3819279999999999, 0.0043, 4.996003610813205e-21, 0.07582499999999998, 0.0, 0.001175, 0.0593412, 0.00022000000000000006, 0.0, 0.0, 0.027219999999999994, 0.26921, 0.014925000000000003, 0.00603, 0.06636500000000002, 0.02243999999999999, 0.18110799999999996, 0.18307680000000018, 0.30162280000000025, 0.0008, 0.3088930666666665, 0.23630613333333328, 0.13975000000000004, 0.3194666666666667, 0.0, 0.7904939999999997, 0.07421999999999995, 1.17895, 0.015639999999999998, 0.31635080000000015, 0.2352766666666668, 0.16996999999999993, 0.0015, 0.7820249999999999, 0.3985659999999998, 0.065815, 0.0, 0.0, 0.005150000000000001, 0.10938666666666674, 0.06078519999999997, 0.00019999999999999987, 0.0, 0.01995666666666667, 0.15436666666666668, 0.2603299999999999, 0.0, 0.12167920000000004, 3.3333333333333335e-05]"
Dijkstra,281258,2.6461203560999937,1,2,2,11,11,22.88152098655701,"[0.0, 0.2740133333333335, 0.2568833333333334, 0.10103, 0.11620160000000007, 0.056745066666666705, 0.00015000000000000004, 5e-05, 0.08102759999999999, 0.0439814666666667, 0.2815999999999999, 0.0788, 0.002575, 0.4348525333333333, 0.02774666666666677, 0.0015249999999999997, 0.3772625333333335, 0.0005250000000000001, 0.08285760000000005, 0.014680000000000004, 0.26703, 4.999999999999999e-05, 0.22470093333333344, 0.03148000000000003, 0.019660000000000004, 0.10113333333333337, 3.3333333333333335e-05, 0.06794999999999998, 0.04073999999999999, 0.001760000000000002, 0.3037500000000003, 0.19470386666666678, 0.083975, 0.029987199999999995, 0.0097, 0.0, 0.0030999999999999995, 0.033399999999999985, 0.5622000000000001, 0.20864999999999995, 0.0, 0.3089500000000004, 0.08355066666666676, 0.2268666666666667, 0.003300000000000001, 0.011180000000000002, 0.10664, 0.00155, 0.0013499999999999999, 0.07317279999999998, 0.00022000000000000006, 0.0, 0.0, -5.684341886080802e-18, 0.290015, 0.013718000000000003, 0.0, 0.05595500000000001, 0.02261719999999999, 0.16235399999999994, 0.16934333333333368, 0.35642333333333365, 0.0126, 0.27056333333333327, 0.11008333333333326, 0.10531000000000001, 0.3030053333333333, 0.0, 0.8077999999999994, 0.07388000000000004, 1.2506759999999992, 0.027781999999999994, 0.2783500000000002, 0.21542866666666677, 0.2635899999999998, 0.0071, 0.7730999999999998, 0.3778999999999999, 0.06099000000000001, 0.0, 0.0, 1.7763568394002505e-19, 0.14363333333333342, 0.04309999999999997, 0.0002249999999999999, 0.0118, 0.023347600000000007, 0.15436666666666668, 0.25430666666666674, 0.0, 0.11453999999999996, 3.333333333333333e-05]"
Dijkstra,277320,1.7236407656249932,1,2,2,9,9,19.060009956359863,"[0.0, 0.27195319999999995, 0.23917333333333318, 0.04676000000000002, 0.11854760000000007, 0.0991633333333334, 0.00020000000000000004, 5e-05, 0.12071320000000002, 0.038083333333333365, 0.28876666666666667, 0.04989999999999999, 0.001275, 0.46633333333333304, 0.04299653333333343, 0.0010499999999999997, 0.3553239999999999, 0.0001500000000000001, 0.07956000000000006, 0.011490000000000004, 0.24433999999999986, 7.5e-05, 0.33720320000000015, 0.03321333333333338, 0.021299999999999996, 0.1216666666666667, 3.333333333333333e-05, 0.06854999999999996, 0.04014959999999999, 0.002130000000000002, 0.26045000000000024, 0.24892666666666677, 0.0508, 0.032092, 0.0097, 0.0, 0.0013249999999999996, 0.03523799999999999, 0.2773260000000002, 0.20769999999999997, 0.0, 0.2648000000000005, 0.08539866666666678, 0.25566666666666665, 0.0002500000000000007, 0.0127796, 0.08195999999999995, 0.0, 0.001125, 0.05833999999999998, 0.00021000000000000006, 0.0, 0.0, 0.023849999999999996, 0.32030260000000005, 0.0174, 0.00456, 0.0694988, 0.021129999999999993, 0.15027499999999996, 0.1285706666666671, 0.2320700000000003, 0.0008, 0.23195066666666656, 0.16444319999999985, 0.08877000000000006, 0.3688666666666667, 0.0, 0.7680999999999997, 0.07382520000000008, 1.125149999999999, 0.021825, 0.1901796000000002, 0.1800266666666667, 0.19309333333333314, 0.0071, 0.7421749999999996, 0.2538499999999999, 0.058989999999999994, 0.0, 0.0, 0.004875000000000001, 0.16783320000000013, 0.04768959999999997, 0.00035000000000000016, 0.0, 0.025520000000000004, 0.1888, 0.2740525333333333, 0.0, 0.077875, 3.333333333333333e-05]"
Dijkstra,269499,1.8117160000000003,1,2,2,7,7,21.028522014617923,"[0.0, 0.2512612, 0.23316666666666658, 0.04130000000000004, 0.09677080000000006, 0.08147333333333338, 0.00015000000000000004, 5e-05, 0.1187081333333333, 0.045120000000000014, 0.2912666666666667, 0.04453999999999999, 0.00235, 0.4505399999999996, 0.055826666666666774, 0.0006249999999999998, 0.2985866666666665, 0.0001750000000000001, 0.08757000000000004, 0.011024800000000003, 0.25954999999999984, 0.001425, 0.3530114666666668, 0.02904333333333337, 0.022800000000000004, 0.12744800000000003, 3.3333333333333335e-05, 0.06884899999999995, 0.03955359999999998, 0.0015200000000000016, 0.30267500000000036, 0.31791026666666694, 0.048674999999999996, 0.006449999999999997, 0.0097, 0.0, 0.0024, 0.032427, 0.5188500000000001, 0.19804999999999995, 0.0, 0.3124250000000005, 0.08356666666666678, 0.28993333333333343, 0.0002500000000000008, 0.0013800000000000045, 0.0804, 0.0, 0.000675, 0.039809599999999994, 0.0004199999999999999, 0.0, 0.0, 0.01178, 0.26686500000000013, 0.016824999999999993, 5.684341886080802e-19, 0.04581000000000002, 0.02196499999999999, 0.12987499999999988, 0.12990826666666708, 0.24019666666666692, 0.0008, 0.23731999999999975, 0.19734333333333315, 0.11009480000000003, 0.49490000000000006, 0.0, 0.6473249999999989, 0.06557080000000004, 1.1383999999999999, 0.016186999999999993, 0.1851000000000002, 0.19541333333333347, 0.16710999999999976, 0.0071, 0.6319249999999992, 0.21669999999999995, 0.060759999999999974, 0.0, 0.0, 8.881784197001253e-19, 0.1345149333333334, 0.05294999999999998, 0.0002500000000000001, 0.0, 0.019023333333333337, 0.2147666666666667, 0.23904, 0.0, 0.06418680000000002, 3.333333333333333e-05]"
Dijkstra,265429,2.0570730625,1,2,2,9,9,18.733258962631226,"[0.0, 0.27743, 0.24715666666666658, 0.041290000000000035, 0.10499720000000003, 0.061366666666666715, 0.00020000000000000004, 5e-05, 0.09407199999999993, 0.049010000000000005, 0.2686093333333333, 0.04951599999999999, 0.002325, 0.4324733333333332, 0.07840000000000011, 0.0004499999999999997, 0.28997666666666655, 0.0002250000000000001, 0.0700950000000001, 0.01604, 0.2552999999999998, 0.000525, 0.23889200000000027, 0.0596, 0.023549999999999995, 0.10564766666666671, 3.333333333333333e-05, 0.06987499999999995, 0.03954999999999999, 0.0020400000000000027, 0.29319800000000035, 0.37001906666666684, 0.05827499999999999, 0.006749999999999997, 0.0097, 0.0, 0.002424999999999999, 0.023592999999999992, 0.4303000000000003, 0.19984999999999997, 0.0, 0.3021980000000006, 0.08070000000000008, 0.2180666666666668, 0.00020000000000000085, 0.0007600000000000051, 0.07543999999999997, 0.0, 0.0005000000000000002, 0.04134, 0.00026, 0.0, 0.0, 0.027097600000000003, 0.22836000000000017, 0.017124999999999998, 5.684341886080802e-19, 0.05143240000000001, 0.03904499999999998, 0.13784999999999986, 0.13419666666666702, 0.26575333333333356, 0.0008, 0.2830166666666664, 0.23165666666666648, 0.09146480000000005, 0.4628546666666667, 0.0, 0.6329909999999996, 0.06622720000000004, 1.1737, 0.019364999999999993, 0.18448000000000025, 0.17401666666666685, 0.13316333333333316, 0.0071, 0.614290999999999, 0.2134959999999999, 0.06193999999999999, 0.0, 0.0, 8.881784197001253e-19, 0.1306953333333334, 0.060719999999999934, 0.0003250000000000002, 0.0, 0.01195333333333334, 0.2307856666666667, 0.21541000000000007, 0.0, 0.06695000000000002, 3.3333333333333335e-05]"
Dijkstra,284627,1.8399023448999987,1,2,2,8,8,19.3665418624878,"[0.0, 0.29084586666666656, 0.27698999999999985, 0.11374000000000005, 0.11253000000000009, 0.052607200000000014, 0.00015000000000000004, 0.0022, 0.09363, 0.0466050666666667, 0.25939999999999996, 0.04394799999999999, 0.002875, 0.41766109999999973, 0.13221533333333346, 0.003225, 0.24415573333333304, 0.00020000000000000015, 0.10460000000000004, 0.0184892, 0.24253999999999978, 0.002225, 0.25019666666666684, 0.05419719999999998, 0.020719999999999992, 0.1016186666666667, 3.333333333333333e-05, 0.07835974999999994, 0.03994, 0.001740000000000004, 0.27175000000000016, 0.4012986666666671, 0.054464999999999986, 0.03314, 0.0097, 0.0, 0.00285, 0.028050000000000016, 0.5032500000000004, 0.21294999999999992, 0.0, 0.2791880000000004, 0.0808000000000001, 0.2053053333333334, 0.0002500000000000008, 0.0006500000000000047, 0.067403, 0.0, 0.0032750000000000014, 0.02268, 0.00018000000000000007, 0.0, 0.0, 0.016789999999999992, 0.23771760000000025, 0.018624999999999992, 0.0036150000000000006, 0.04966090000000003, 0.02099499999999997, 0.13619999999999988, 0.1525539666666671, 0.34860253333333346, 0.0008, 0.29736623333333295, 0.26679199999999975, 0.10265610000000006, 0.44136666666666685, 0.0, 0.636784, 0.06289000000000004, 1.1425719999999997, 0.0032749999999999928, 0.2692627000000005, 0.20179506666666672, 0.13009666666666647, 0.0071, 0.6316499999999993, 0.18919999999999987, 0.057851949999999985, 0.0, 0.0, 0.00875, 0.10827060000000002, 0.035789999999999975, 0.00034999999999999994, 0.0, 0.01973906666666666, 0.22395900000000002, 0.21207726666666682, 0.0, 0.08869000000000002, 3.3333333333333335e-05]"
Dijkstra,294355,1.5132075156249991,1,2,2,8,8,20.13560199737549,"[0.0, 0.28815666666666656, 0.2139633333333333, 0.14620120000000006, 0.13755200000000004, 0.08513000000000005, 0.00010000000000000009, 0.002050000000000001, 0.1792566666666667, 0.04483666666666668, 0.23899999999999985, 0.04394799999999999, 0.005174999999999999, 0.4031333333333329, 0.07702000000000014, 0.009841, 0.3242566666666663, 0.00025000000000000017, 0.08713500000000006, 0.01127, 0.22713759999999977, 0.005124999999999999, 0.33764000000000016, 0.055465333333333304, 0.019349999999999996, 0.09442933333333337, 3.3333333333333335e-05, 0.06917499999999994, 0.03924000000000001, 0.0014500000000000038, 0.25342500000000007, 0.2820565333333342, 0.04907799999999999, 0.005219999999999998, 0.0097, 0.0, 0.0042000000000000015, 0.028450000000000007, 0.5648000000000001, 0.2099019999999999, 0.0, 0.26003800000000027, 0.08600000000000009, 0.19876666666666684, 0.00020000000000000085, 0.0016700000000000046, 0.06135499999999999, 0.0007, 0.013100000000000002, 0.019620000000000002, 0.00026000000000000003, 0.0, 0.0, 0.015029999999999991, 0.31035500000000016, 0.021075999999999987, 0.005925, 0.039780000000000024, 0.02176039999999997, 0.1356049999999999, 0.10854333333333378, 0.3723470666666666, 0.0494, 0.26260333333333297, 0.20876399999999978, 0.18740000000000007, 0.4892000000000002, 0.0, 0.617976, 0.07313000000000007, 1.0920499999999997, 0.004224999999999992, 0.3412100000000005, 0.22954266666666673, 0.18230373333333313, 0.0013720000000000006, 0.5937009999999991, 0.10454999999999987, 0.05586500000000004, 0.0, 0.0, 0.00875, 0.1813753333333334, 0.05324039999999999, 0.0001749999999999998, 0.0486, 0.04254666666666666, 0.23025233333333336, 0.20598200000000014, 0.0, 0.12915000000000004, 3.333333333333333e-05]"
Dijkstra,289736,0.7846859306250007,1,2,2,0,0,20.21812200546265,"[0.0, 0.2921733333333332, 0.13537000000000002, 0.12515000000000007, 0.12005999999999999, 0.04850680000000004, 0.00015000000000000012, 0.0020250000000000008, 0.2560881333333334, 0.0418366666666667, 0.27030000000000004, 0.03055, 0.00705, 0.3192633333333334, 0.17882813333333347, 0.008966000000000002, 0.2554566666666663, 0.00032500000000000004, 0.07111520000000005, 0.0155244, 0.2706367999999997, 0.0017749999999999997, 0.37762813333333356, 0.06169599999999997, 0.017359999999999993, 0.1324666666666667, 3.3333333333333335e-05, 0.06487499999999995, 0.041248400000000005, 0.0015900000000000042, 0.2627500000000002, 0.3518069333333341, 0.03794599999999999, 0.03009, 0.0097, 0.0, 0.007275000000000001, 0.02400000000000001, 0.4677000000000003, 0.22313599999999983, 0.0, 0.27214500000000036, 0.08661466666666677, 0.26720000000000016, 0.0002500000000000008, 0.00036000000000000414, 0.06702, 0.0007, 0.014625000000000003, 0.025730000000000013, 0.00018000000000000004, 0.0, 0.0, 0.017819999999999992, 0.28500999999999993, 0.019349999999999992, 0.0020821999999999998, 0.04163000000000002, 0.031754999999999985, 0.10162499999999981, 0.13498160000000034, 0.29250333333333345, 0.0007999999999999971, 0.2951549333333329, 0.2404893333333332, 0.11224000000000021, 0.43313333333333326, 0.0, 0.5573779999999999, 0.06634000000000015, 0.9543300000000001, 0.012399999999999993, 0.29630080000000025, 0.1955356000000001, 0.15691333333333313, 0.0013720000000000006, 0.5436779999999991, 0.20669999999999986, 0.053405400000000054, 0.0, 0.0, 0.0, 0.21874080000000012, 0.02762399999999998, 7.499999999999984e-05, -2.842170943040401e-18, 0.025200133333333326, 0.21083800000000005, 0.22217080000000022, 0.0, 0.123065, 3.333333333333333e-05]"
Dijkstra,293501,0.8473202499999983,1,2,2,0,0,20.694175958633426,"[0.0, 0.2479304, 0.21527000000000013, 0.12429160000000006, 0.10456999999999994, 0.04303333333333338, 0.00010000000000000015, 0.004925000000000002, 0.24095999999999995, 0.0398254666666667, 0.3128000000000001, 0.034886, 0.007975000000000001, 0.32947840000000017, 0.08511000000000013, 0.008966000000000002, 0.38175333333333294, 0.00032500000000000004, 0.06756500000000006, 0.017494400000000004, 0.27752679999999963, 0.0018249999999999996, 0.41520999999999975, 0.050696666666666654, 0.01665, 0.12276000000000002, 3.3333333333333335e-05, 0.060399999999999954, 0.040769999999999994, 0.001670000000000004, 0.26935000000000026, 0.26531226666666713, 0.03757499999999998, 0.031779999999999996, 0.0097, 0.0, 0.008025000000000004, 0.023575000000000013, 0.41794400000000004, 0.19753599999999993, 0.0, 0.27415000000000034, 0.07463333333333345, 0.2571666666666668, 0.0002000000000000008, 0.00020000000000000416, 0.07966999999999998, -4.4408920985006264e-20, 0.018171999999999997, 0.05599000000000002, 0.00019000000000000004, 0.0, 0.0, 0.031709999999999974, 0.25302820000000015, 0.026087999999999983, -1.4210854715202005e-19, 0.048555, 0.023594999999999974, 0.11407599999999982, 0.141537066666667, 0.3341837333333335, 0.0007999999999999971, 0.27847373333333303, 0.21494999999999978, 0.10985960000000021, 0.44661299999999987, 0.0, 0.56083975, 0.06173000000000021, 0.9681999999999996, 0.012649999999999993, 0.29459640000000037, 0.18945440000000013, 0.18518706666666654, 0.0013720000000000006, 0.5511647499999993, 0.21574999999999983, 0.05344000000000004, 0.0, 0.0, 0.005025, 0.2362831999999999, 0.04119519999999998, 0.00024999999999999984, -2.842170943040401e-18, 0.013579999999999981, 0.2146566666666667, 0.21582, 0.0, 0.1287406, 3.333333333333333e-05]"
