Routing algorithm,Power consumption [W],Reliability score (Max),Reliability score (# above 60%),Mean latency (premium) [ms],Mean latency (assured) [ms],Premium SLA violations,Assured SLA violations,Time,Link usage
MORA,296534,0.03192743580625024,0,2,2,0,0,0.0,"[0.18564403333333332, 0.21955473333333334, 0.1423475, 0.03728683333333333, 0.26580174999999995, 0.32329739999999996, 0.38663899999999995, 0.5070564999999999, 0.16285966666666662, 0.4619313333333333, 0.355337, 0.0219, 0.041806399999999994, 0.15757073333333332, 0.18149953333333327, 0.0, 0.01745425, 0.0, 0.30136633333333335, 0.1889515, 0.33229175, 0.52653225, 0.23608423333333334, 0.23689133333333331, 0.5917534999999998, 0.22502425000000004, 0.3267235666666667, 0.125329, 0.3298846666666667, 0.458103, 0.31809700000000013, 0.6714730000000001, 0.2149670333333333, 0.0841565, 0.12061980000000001, 0.19984000000000002, 0.4133, 0.04192205, 0.3282199999999999, 0.3920196000000001, 0.42705099999999996, 0.0, 0.22834386666666667, 0.1875549666666667, 0.37035925000000003, 0.5557492500000001, 0.2671225, 0.0, 0.020009, 0.23003819999999997, 0.07930733333333333, 0.48671800000000004, 0.0192365, 0.0517984, 0.505891, 0.0, 0.28313849999999996, 0.014475, 0.07968756666666667, 0.29471379999999997, 0.09879466666666667, 0.09310525000000001, 0.0, 0.13683583333333332, 0.0339426, 0.21194933333333332, 0.2660885, 0.24637153333333336, 0.5726985, 0.12098199999999999, 0.1659254, 0.26619275, 0.2368927333333333, 0.5778454999999999, 0.3675935, 0.494827, 0.476825, 0.0468652, 0.19559350000000003, 0.0, 0.15949850000000004, 0.017625, 0.07479834999999997, 0.08391725, 0.37397475, 0.0, 0.0474525, 0.4695295, 0.23544439999999994, 0.0649089, 0.266375, 0.22527575000000002]"
MORA,283320,2.244415968906253,1,2,2,6,7,190.54709005355838,"[0.19895253333333332, 0.23211403333333322, 0.31492220000000004, 0.0605041, 0.36443475, 0.23893560000000016, 0.4233293333333332, 0.07734999999999996, 0.24027466666666672, 0.21861200000000006, 0.2243849999999999, 0.091421, 0.04125189999999999, 0.19108869999999997, 0.12794116666666674, 0.07335249999999999, 0.17289675, 0.08298095, 0.3048163333333333, 0.36462700000000003, 0.23905975000000013, 0.05020949999999995, 0.2722543000000001, 0.14959, 0.007741999999999834, 0.3907025000000001, 0.31529403333333333, 0.20181139999999995, 0.2489333333333334, 0.4892192500000001, 0.029638000000000022, 1.1992550000000004, 0.18246263333333343, 0.11034513333333332, 0.12380923333333335, 0.358413, 0.31790650000000004, 0.17081289999999996, 0.21469224999999992, 0.3370814666666668, 0.2785496000000002, 0.0, 0.20127123333333347, 0.17893350000000002, 0.0934395000000001, 0.11390749999999998, 0.007597499999999832, 0.0, 0.17542175000000002, 0.22670049999999994, 0.3202283333333332, 0.32525400000000004, 0.1737525, 0.0596458, 0.5923934999999999, 0.12886199999999998, 0.0066224999999999245, 0.15337175, 0.12417009999999998, 0.19936990000000004, 0.37438966666666657, 0.10773935000000003, 0.030130300000000002, 0.13286173333333332, 0.1931668, 0.17163546666666674, 0.0065724999999999464, 0.21731303333333346, 0.06817700000000002, 0.0967, 0.09677139999999998, 0.008872499999999834, 0.22978400000000004, 0.17085550000000002, 0.25598000000000004, 0.3734000000000001, 0.564709, 0.06988100000000001, 0.21247160000000007, 0.0, 0.018919000000000016, 0.17304675, 0.07206999999999997, 0.09088055000000002, 0.25678175000000003, 0.0062921, 0.0562509, 0.49504725000000005, 0.15664420000000004, 0.0683791, 0.0061282499999999115, 0.3943615000000001]"
MORA,259083,1.6364805624999992,1,2,2,6,6,213.9389660358429,"[0.17004536666666678, 0.20554239999999988, 0.10535800000000001, 0.03995766666666668, 0.229212, 0.24862110000000026, 0.4735246666666665, 0.5371294999999999, 0.2593666666666667, 0.13610533333333324, 0.3837994999999999, 0.207331, 0.05987509999999997, 0.13202403333333332, 0.25695880000000015, 0.20258160000000003, 0.031181749999999966, 0.006119999999999995, 0.1666526666666667, 0.12370099999999998, 0.1471830000000001, 0.19431399999999993, 0.21742460000000025, 0.26238433333333333, 0.5272889999999998, 0.06320900000000013, 0.2835792, 0.1417018999999999, 0.20958000000000007, 0.49976900000000013, 0.20873100000000003, 1.1117, 0.19898516666666693, 0.022987200000000006, 0.11855833333333328, 0.34632250000000003, 0.4999364999999999, 0.09117344999999993, 0.25663784999999995, 0.32262676666666684, 0.2590426000000004, 0.0, 0.2404316333333334, 0.17791940000000006, 0.18809250000000002, 0.27926749999999984, 0.07101299999999983, 0.0, 0.03370674999999999, 0.1349283333333333, 0.229884, 0.464631, 0.031981750000000024, 0.0199211, 0.5647350000000001, 0.0600419, 0.0851629999999999, 0.027124750000000006, 0.0734697333333333, 0.190596, 0.28841400000000006, 0.07129574999999999, 0.0024096000000000013, 0.12174339999999992, 0.08795159999999998, 0.18118246666666674, 0.06953799999999995, 0.24952520000000014, 0.501755, 0.12309299999999998, 0.21806759999999997, 0.07001299999999984, 0.22841780000000003, 0.48304500000000006, 0.08077150000000002, 0.30459300000000006, 0.45519000000000004, 0.042011350000000024, 0.07707320000000012, 0.0, 0.10751550000000001, 0.03135674999999998, 0.07589894999999997, 0.11999550000000005, 0.19722250000000008, 0.042583600000000006, 0.06890950000000001, 0.5289825, 0.1349959, 0.063581, 0.06858799999999991, 0.06292250000000014]"
MORA,269579,0.037152562499999764,0,2,2,0,0,205.76610398292544,"[0.17563926666666677, 0.22851049999999992, 0.14791470000000004, 0.03206036666666668, 0.4230545, 0.2540384000000001, 0.2780599999999998, 0.3636180000000001, 0.3484056666666668, 0.21313199999999985, 0.20631549999999985, 0.3011359999999999, 0.04702159999999998, 0.14661316666666663, 0.14561373333333355, 0.08328440000000012, 0.014337999999999965, 0.04343315, 0.3795733333333334, 0.258261, 0.3111044999999999, 0.30152499999999993, 0.21582773333333335, 0.13754999999999998, 0.07086649999999983, 0.24371625000000008, 0.28700333333333317, 0.13539059999999992, 0.21090133333333339, 0.5632140000000001, 0.11669100000000003, 0.6770999999999998, 0.16409040000000036, 0.055749633333333354, 0.13142133333333328, 0.25385000000000013, 0.2487499999999998, 0.0628923, 0.3126907, 0.4418695000000002, 0.2824296000000002, 0.0, 0.15968526666666671, 0.16748830000000006, 0.36365800000000015, 0.37845799999999974, 0.22507499999999986, 0.0, 0.015562999999999992, 0.25819073333333314, 0.1279333333333334, 0.24157250000000008, 0.01486300000000002, 0.0216384, 0.378432, 0.0709206, 0.23742499999999994, 0.009850000000000013, 0.08991553333333333, 0.21130439999999986, 0.5488803333333334, 0.08385654999999999, 0.021137200000000002, 0.1271793333333333, 0.16360880000000003, 0.18673256666666674, 0.22409999999999997, 0.19266070000000018, 0.05657749999999996, 0.0967, 0.10996179999999997, 0.22417499999999987, 0.2036956333333335, 0.4031600000000001, 0.14806100000000008, 0.3163425000000001, 0.5046200000000001, 0.04850220000000002, 0.1786027000000001, 0.0, 0.05839550000000004, 0.014637999999999986, 0.07351879999999997, 0.0899342, 0.30817149999999993, 0.029213600000000006, 0.051482000000000014, 0.5824340000000002, 0.1512743999999999, 0.04852040000000001, 0.2243999999999999, 0.24136125000000017]"
MORA,259054,0.05904900000000035,0,2,2,0,0,198.6384780406952,"[0.14850836666666675, 0.22164189999999984, 0.2441709000000002, 0.048436500000000014, 0.3984405000000002, 0.2497283000000001, 0.3332733333333333, 0.22277600000000006, 0.15704933333333337, 0.15831166666666643, 0.2847375, 0.22409999999999997, 0.04107359999999999, 0.1136530666666666, 0.19797036666666692, 0.0993627000000001, 0.08444399999999996, 0.07202509999999998, 0.4528933333333332, 0.10500799999999988, 0.32949749999999983, 0.32253999999999994, 0.12809323333333336, 0.1898583333333334, 0.11893799999999978, 0.08810625000000014, 0.31932683333333334, 0.13269059999999994, 0.1422693333333334, 0.33353849999999996, 0.212432, 0.6972, 0.11591476666666693, 0.07816796666666666, 0.06910106666666664, 0.13250000000000015, 0.3500704999999998, 0.08218704999999996, 0.24985120000000002, 0.4178042000000003, 0.3359328, 0.0014685, 0.2488514333333335, 0.15504046666666674, 0.37545700000000026, 0.41207999999999956, 0.22125424999999987, 0.0, 0.086769, 0.12736139999999982, 0.21518833333333337, 0.3553855, 0.085619, 0.013143100000000005, 0.6079915000000001, 0.04631579999999999, 0.25302699999999995, 0.10121475, 0.09037620000000002, 0.17619499999999996, 0.5376163333333334, 0.09733900000000004, 4.073778351691241e-18, 0.09174433333333319, 0.23058600000000012, 0.2027388333333334, 0.22202499999999994, 0.17940226666666684, 0.4429560000000001, 0.12744999999999998, 0.10265369999999993, 0.22077924999999987, 0.2637370666666668, 0.24978250000000007, 0.11940800000000006, 0.21335400000000004, 0.378404, 0.04889955000000003, 0.28048260000000025, 0.031192200000000003, 0.10778450000000005, 0.08463974999999996, 0.053766199999999965, 0.09105685000000004, 0.3169854999999999, 0.021310000000000006, 0.037840400000000024, 0.3468792500000001, 0.15047180000000002, 0.039750400000000005, 0.22010424999999992, 0.09579700000000016]"
MORA,247399,0.280195542225,0,2,2,0,0,220.084331035614,"[0.17509073333333353, 0.14624479999999979, 0.22196460000000032, 0.040061, 0.1859557500000002, 0.2553000000000001, 0.46179933333333334, 0.5094300000000002, 0.3160210000000001, 0.1397396666666665, 0.5454689999999999, 0.393392, 0.03485239999999999, 0.10987289999999994, 0.10715726666666694, 0.0531963000000001, 9.57499999999562e-05, 0.015434099999999978, 0.26966466666666633, 0.10026199999999982, 0.11135574999999988, 0.14310524999999988, 0.3061171333333333, 0.363646, 0.46978949999999986, 0.12609875000000012, 0.2529137, 0.11930719999999992, 0.18023533333333341, 0.4277337500000001, 0.12569999999999998, 0.8117340000000002, 0.17681010000000033, 0.0874014666666667, 0.14143926666666656, 0.14040000000000014, 0.430285, 0.042264900000000015, 0.22128590000000004, 0.32661590000000024, 0.23862260000000013, 0.00020000000000000017, 0.1887876000000002, 0.18303116666666674, 0.1855132500000004, 0.22840424999999956, 0.18148024999999995, 0.0, 0.0023797499999999943, 0.24591149999999984, 0.15902699999999997, 0.23687349999999996, 0.0024047500000000054, 0.016040000000000006, 0.38369649999999983, 0.05494000000000001, 0.20457599999999979, 0.017132500000000023, 0.07410653333333336, 0.21817499999999995, 0.5205413333333331, 0.06694500000000003, 0.027128966666666674, 0.13301693333333323, 0.16107310000000014, 0.15600260000000005, 0.18150800000000003, 0.22243270000000004, 0.34738050000000015, 0.09958799999999998, 0.024199999999999926, 0.18124624999999997, 0.19394833333333353, 0.36838899999999997, 0.07389600000000006, 0.27035300000000007, 0.582229, 0.0691553, 0.2350567000000002, 0.013907199999999998, 0.06305000000000005, 0.0003324999999999576, 0.06190219999999994, 0.07180570000000001, 0.11448274999999992, 0.0384992, 0.059162900000000025, 0.4446927500000001, 0.15935969999999985, 0.037736099999999995, 0.18145524999999998, 0.13335775000000005]"
MORA,257110,0.561270672400001,0,2,2,0,0,206.7598259449005,"[0.1394829000000002, 0.17387506666666636, 0.3105668000000005, 0.06172683333333332, 0.4084152500000004, 0.2455741000000001, 0.24746800000000002, 0.40086750000000004, 0.19006266666666674, 0.2544623333333331, 0.4843574999999997, 0.39855999999999997, 0.0923901, 0.20626446666666662, 0.14969253333333357, 0.0184900000000001, 0.195976, 0.041847349999999985, 0.4532986666666664, 0.11624999999999981, 0.3523097499999999, 0.38416775, 0.2842067999999999, 0.32293833333333327, 0.09661049999999989, 0.17410000000000003, 0.2462204333333333, 0.10265799999999992, 0.16610966666666674, 0.4113100000000001, 0.13662899999999997, 0.8996720000000002, 0.14638430000000047, 0.10826830000000001, 0.06641243333333324, 0.18920000000000015, 0.11569799999999991, 0.10119895000000001, 0.16286035000000013, 0.34433870000000016, 0.2486552000000002, 0.0001500000000000002, 0.26449436666666676, 0.1381407, 0.4328702500000005, 0.4698029999999997, 0.12467499999999994, 0.0, 0.196651, 0.20280676666666655, 0.031642999999999984, 0.47645550000000003, 0.19227600000000003, 0.03308330000000001, 0.44813999999999976, 0.0283519, 0.14949999999999977, 0.21240100000000006, 0.08750793333333334, 0.29035580000000005, 0.4571446666666664, 0.06993135000000004, 0.0011866666666666826, 0.10406723333333322, 0.0892900000000002, 0.18732383333333347, 0.12367500000000002, 0.13829480000000002, 0.20536000000000013, 0.0967, 0.07926439999999994, 0.12164999999999992, 0.23769626666666677, 0.4798125, 0.0008000000000000654, 0.24911450000000004, 0.3637690000000001, 0.02478880000000001, 0.2163284, 0.0257743, 0.06856450000000007, 0.19412599999999997, 0.05254534999999997, 0.07818195000000004, 0.35306249999999983, 0.03874679999999999, 0.036827700000000026, 0.4162640000000002, 0.2304378, 0.069691, 0.12037499999999998, 0.18135800000000005]"
MORA,262044,0.005757015624999973,0,2,2,0,0,208.8194169998169,"[0.10293060000000012, 0.17656483333333317, 0.09050800000000032, 0.05672753333333333, 0.3213657500000003, 0.21110500000000007, 0.4909483333333334, 0.31609950000000014, 0.2513376666666666, 0.12720266666666644, 0.5364224999999996, 0.3853569999999997, 0.1176496, 0.11123656666666665, 0.23139060000000028, 0.0549640000000001, 0.024251000000000043, 0.023139049999999984, 0.23868299999999973, 0.1254039999999998, 0.3032602499999999, 0.3556792499999999, 0.2780840333333332, 0.35761499999999985, 0.30636149999999984, 0.08843675000000006, 0.26274653333333325, 0.20672969999999993, 0.23406766666666656, 0.32471750000000027, 0.14945299999999995, 0.6303500000000002, 0.1669954000000003, 0.05264750000000003, 0.07691046666666657, 0.09131150000000014, 0.5233644999999999, 0.0571592, 0.25399480000000013, 0.42424743333333353, 0.32034990000000024, 5.000000000000021e-05, 0.22537413333333345, 0.1895932666666667, 0.3413760000000002, 0.4248984999999997, 0.24217424999999984, 0.0, 0.027376000000000046, 0.14833589999999988, 0.1589953333333333, 0.4816070000000002, 0.023273749999999996, 0.011280800000000006, 0.5692184999999996, 0.050403100000000006, 0.2592999999999998, 0.04179375000000018, 0.10702973333333334, 0.12290669999999984, 0.4584076666666665, 0.07795320000000006, 0.02428916666666668, 0.05118169999999994, 0.18399400000000013, 0.24707136666666663, 0.2374582500000001, 0.23502336666666665, 0.36955600000000005, 0.091352, 0.07966699999999995, 0.2325832499999999, 0.2138066333333335, 0.1200540000000001, 0.06879250000000006, 0.3511014999999998, 0.15548200000000006, 0.062193900000000024, 0.13251040000000003, 0.014948850000000001, 0.07487650000000007, 0.022376000000000004, 0.052809400000000006, 0.04991985000000008, 0.31409199999999976, 0.1275078, 0.10571030000000002, 0.3340527500000002, 0.06451660000000004, 0.07477209999999995, 0.2423059999999999, 0.08011000000000004]"
MORA,261488,0.25335115560000165,0,2,2,0,0,200.04957389831543,"[0.12021000000000016, 0.16935363333333328, 0.10818400000000034, 0.014790666666666669, 0.34100900000000034, 0.2923516000000001, 0.26532100000000003, 0.25492700000000007, 0.18144766666666665, 0.2606626666666665, 0.12980499999999964, 0.33833499999999983, 0.05445549999999999, 0.08156153333333335, 0.23704126666666678, 0.0522970000000001, 0.05052500000000004, 0.028929849999999972, 0.4381123333333332, 0.07731599999999983, 0.27700899999999995, 0.31565125000000005, 0.2667013666666665, 0.08656999999999998, 0.2492749999999999, 0.15700100000000008, 0.2619005666666668, 0.1431952, 0.2507419999999999, 0.38509725000000017, 0.11766399999999996, 0.8013360000000004, 0.231069466666667, 0.03612346666666671, 0.1323034666666666, 0.11305000000000016, 0.3707, 0.07909345, 0.23411499999999996, 0.35694456666666674, 0.27631680000000025, 0.00015000000000000023, 0.2769973000000003, 0.145482, 0.3601262500000004, 0.36342624999999973, 0.08548799999999991, 0.0, 0.055575000000000055, 0.21442236666666648, 0.0931519999999999, 0.32798799999999995, 0.039168, 0.050306, 0.3185334999999997, 0.06184200000000001, 0.0873469999999997, 0.05470000000000016, 0.045780399999999964, 0.23398589999999977, 0.4341686666666666, 0.08544000000000003, 0.00471366666666668, 0.09808593333333328, 0.19382610000000014, 0.2358287999999999, 0.07827200000000001, 0.30810560000000003, 0.2211980000000001, 0.14651999999999998, 0.03561999999999993, 0.07682199999999992, 0.1792491333333335, 0.47107200000000005, 0.09445000000000009, 0.37606299999999976, 0.3152990000000003, 0.02284540000000002, 0.08562880000000003, 0.03121465, 0.05908200000000007, 0.048575000000000014, 0.02863855000000001, 0.0756430500000001, 0.2853299999999997, 0.03287430000000002, 0.03198070000000002, 0.3987972500000002, 0.19124590000000002, 0.028263499999999955, 0.07451499999999986, 0.1663960000000001]"
MORA,266789,0.0,0,2,2,0,0,201.17933893203733,"[0.19529830000000023, 0.18157403333333308, 0.2777341000000004, 0.054343733333333324, 0.36954450000000066, 0.25590000000000024, 0.43887300000000007, 0.34456600000000015, 0.3290266666666667, 0.1906879999999998, 0.5159384999999997, 0.2089919999999998, 0.04538920000000001, 0.14654233333333333, 0.2133523666666667, 0.1387299000000001, 0.10997775000000004, 0.04420209999999998, 0.32053999999999977, 0.10089999999999984, 0.29614349999999995, 0.14124099999999995, 0.22925953333333318, 0.34395900000000007, 0.013138499999999931, 0.13916000000000014, 0.2807106000000001, 0.14354949999999994, 0.1287533333333332, 0.3154935000000002, 0.17209000000000002, 0.5795000000000002, 0.1130318666666668, 0.13996240000000004, 0.07593866666666663, 0.2157500000000002, 0.2079600000000001, 0.06757154999999997, 0.19072864999999997, 0.39543233333333344, 0.2724840000000004, 0.00010000000000000025, 0.1740538000000002, 0.13948589999999997, 0.18911600000000048, 0.19925199999999962, 0.2034267499999999, 0.0, 0.11307775000000006, 0.1806980333333332, 0.1411119999999999, 0.07125900000000002, 0.10633074999999995, 0.006404399999999996, 0.47271449999999976, 0.07593670000000002, 0.2114499999999997, 0.12460500000000013, 0.10699539999999999, 0.1573043999999996, 0.49514199999999986, 0.09276500000000004, 0.016930000000000014, 0.0817998666666666, 0.19992070000000017, 0.2219554, 0.196175, 0.2908327333333333, 0.27008000000000004, 0.09663599999999997, 0.14026939999999988, 0.19473574999999993, 0.24867063333333358, 0.4464160000000001, 0.0008000000000000881, 0.1931299999999997, 0.3619100000000002, 0.04114845000000003, 0.28642320000000004, 0.024472350000000007, 0.08624500000000007, 0.105242, 0.05757800000000002, 0.09887800000000008, 0.29291849999999975, 0.019940000000000017, 0.03671180000000004, 0.32516850000000014, 0.14129549999999985, 0.036560999999999955, 0.20583574999999987, 0.14396000000000012]"
