Routing algorithm,Power consumption [W],Reliability score (Max),Reliability score (# above 60%),Mean latency (premium) [ms],Mean latency (assured) [ms],Premium SLA violations,Assured SLA violations,Link usage
Dijkstra,144791,0.0,0,2,2,0,0,"[0.0, 2.5e-05, 0.020874999999999998, 0.00753, 3.3333333333333335e-05, 0.07485, 0.0635, 0.0, 0.265375, 0.2192, 0.03172, 0.05335, 0.08781, 0.01019, 0.04242500000000001, 0.11719, 0.2197, 0.030525, 0.094575, 0.0164, 0.0031, 0.0, 0.07483000000000001, 0.2973633333333333, 0.0, 0.00243, 0.026025000000000003, 0.06996, 0.02037, 0.01965, 0.20991, 2.5e-05, 0.02193, 0.00104, 0.09055666666666669, 0.1088, 0.0, 0.1571833333333333, 0.016974999999999997, 3.3333333333333335e-05, 0.1373, 0.0001, 0.0, 0.260875, 0.00014000000000000001, 0.3994, 0.0015, 0.0, 0.00691, 0.1259366666666667, 0.003675, 0.09163333333333333, 0.1742, 0.009450000000000002, 0.04821, 0.00019000000000000004, 0.06979999999999999, 0.007593333333333333, 0.0, 0.0033, 0.0, 0.15890333333333334, 0.14080000000000004, 0.00382, 0.072075, 0.020646666666666667, 0.14578666666666668, 0.08163333333333334, 0.003525, 0.0, 0.004299999999999998, 0.005009999999999999, 0.2909833333333333, 0.034825, 0.005, 0.0, 0.0, 0.03654, 0.0433, 0.04074666666666666, 0.06757333333333333, 0.004299999999999998, 0.024590000000000004, 0.0029, 0.11675, 0.06216500000000001, 0.00345, 0.0001, 0.02495, 0.09026333333333335, 0.0, 0.0002]"
Dijkstra,135851,0.0,0,2,2,0,0,"[0.0, 2.5e-05, 0.020199999999999996, 0.013679999999999998, 3.3333333333333335e-05, 0.122475, 0.06884, 0.0, 0.30107625000000005, 0.18614666666666665, 0.03979, 0.0676545, 0.08015, 0.01028, 0.045500000000000033, 0.09256000000000003, 0.1910666666666667, 0.030099999999999995, 0.08444, 0.023343333333333334, 0.0056500000000000005, 0.0, 0.07187999999999997, 0.22514666666666658, 0.0, 0.00196, 0.04119500000000001, 0.08513, 0.02, 0.01965, 0.2069666666666666, 2.5e-05, 0.020219999999999995, 0.0009, 0.12958333333333327, 0.09725366666666665, 0.0, 0.1585653999999999, 0.018325, 3.333333333333332e-05, 0.15407600000000002, 0.0001, 0.0, 0.2940512500000001, 0.00010000000000000002, 0.26615000000000005, 0.0039000000000000007, 0.0, 0.007139999999999996, 0.17749999999999996, 0.0030499999999999998, 0.14350000000000004, 0.11513333333333339, 0.015875000000000004, 0.059545399999999984, 0.0013200000000000002, 0.0641353, 0.017733333333333334, 0.0, 0.0041, 0.0, 0.10144666666666667, 0.10511666666666664, 0.00499, 0.118325, 0.0585703, 0.059816666666666664, 0.052166666666666674, 0.003275, 0.00384, 0.0035999999999999986, 0.00721, 0.25415999999999994, 0.03347, 0.005, 0.0, 0.0, 0.040839999999999994, 0.0402, 0.033389999999999996, 0.12224333333333331, 0.002474999999999999, 0.034496666666666675, 0.00325, 0.12480000000000002, 0.06234500000000002, 0.00345, 5.000000000000001e-05, 0.026550000000000008, 0.10235333333333328, 0.0, 0.0002]"
Dijkstra,142087,0.0,0,2,2,0,0,"[0.0, 2.5e-05, 0.01594999999999999, 0.009739999999999995, 3.3333333333333335e-05, 0.12010000000000004, 0.07407110000000001, 0.0, 0.2953880000000001, 0.21935436666666666, 0.03669, 0.07260000000000004, 0.07222, 0.012949999999999998, 0.04892500000000004, 0.10109500000000007, 0.17483333333333337, 0.027649999999999984, 0.09156499999999997, 0.028653333333333347, 0.00595, 0.0, 0.07871999999999998, 0.23297703333333308, 0.0, 0.0023000000000000004, 0.04092500000000002, 0.07486666666666665, 0.03220333333333332, 0.01965, 0.20855400000000002, 0.002125, 0.02534999999999999, 0.00061, 0.13783333333333322, 0.0863, 0.0, 0.14509999999999992, 0.020075000000000003, 3.333333333333332e-05, 0.16487600000000002, 9.999999999999999e-05, 0.0, 0.29026300000000005, 8.000000000000005e-05, 0.19285000000000005, 0.0042, 0.0, 0.00681, 0.18794999999999992, 0.0030999999999999995, 0.0910666666666666, 0.09926666666666671, 0.014175, 0.03953689999999996, 0.0013200000000000002, 0.08311999999999996, 0.03327666666666665, 0.0, 0.0059749999999999985, 0.0, 0.10399666666666668, 0.1459133333333332, 0.00369, 0.11837500000000002, 0.023366666666666664, 0.05268666666666666, 0.04863800000000001, 0.00305, 2.842170943040401e-19, 0.004024999999999998, 0.0060911, 0.3008843666666665, 0.038645, 0.005, 0.0, 0.0, 0.03824999999999997, 0.03960233333333333, 0.006820000000000005, 0.11125000000000003, 0.0008249999999999997, 0.03464, 0.00175, 0.14375, 0.05965500000000003, 0.00345, 5.000000000000002e-05, 0.027495000000000006, 0.09626333333333334, 0.0, 0.0002]"
Dijkstra,133808,0.0,0,2,2,0,0,"[0.0, 2.4999999999999998e-05, 0.015626999999999988, 0.005493999999999995, 3.333333333333333e-05, 0.09002500000000006, 0.07593000000000003, 0.0, 0.26167500000000016, 0.1861, 0.029905000000000015, 0.07285000000000003, 0.07610600000000001, 0.015979999999999994, 0.043525000000000036, 0.061125000000000033, 0.2331, 0.023609999999999992, 0.08187499999999993, 0.03021666666666668, 0.00595, 0.0, 0.06867999999999995, 0.13675666666666642, 0.0, 0.0020099999999999996, 0.031705000000000025, 0.06910999999999999, 0.0243, 0.01965, 0.21320800000000006, 5.000000000000004e-05, 0.018229999999999996, 0.00066, 0.14895043333333322, 0.11756666666666668, 0.0, 0.15028333333333332, 0.019450000000000002, 3.333333333333332e-05, 0.17165, 9.999999999999999e-05, 0.0, 0.25847500000000007, 8.000000000000005e-05, 0.17009999999999997, 0.0042250000000000005, 0.0, 0.00633, 0.19471533333333332, 2.4999999999999866e-05, 0.10853333333333333, 0.09850000000000006, 0.00835, 0.036526666666666624, 0.0002600000000000003, 0.07721999999999998, 0.03158333333333331, 0.0, 0.0059499999999999996, 0.0, 0.08277133333333335, 0.10689866666666667, 0.00365, 0.08830000000000002, 0.02440999999999999, 0.05997333333333333, 0.04863800000000001, 0.003649999999999999, 0.035045, 0.003624999999999997, 0.00505, 0.22246666666666656, 0.05855565000000001, 0.005, 0.0, 0.0, 0.04524999999999999, 0.03996666666666667, 0.06947333333333336, 0.20507623333333333, 0.00022499999999999964, 0.03135666666666666, 0.0023699999999999997, 0.35045, 0.08262500000000003, 0.00345, 5.0000000000000036e-05, 0.028070000000000008, 0.10612666666666665, 0.0, 0.0002]"
Dijkstra,132553,0.0,0,2,2,0,0,"[0.0, 0.002125, 0.012812999999999988, 0.05371999999999999, 3.333333333333332e-05, 0.08690000000000005, 0.07872390000000003, 0.0, 0.2646500000000003, 0.1762313, 0.025070000000000023, 0.0544, 0.07211000000000001, 0.019469999999999994, 0.046850000000000044, 0.099405, 0.18280000000000002, 0.031524999999999984, 0.08305499999999996, 0.032750000000000015, 0.006025, 0.007425, 0.07375999999999998, 0.22502276666666637, 0.0, 0.0018000000000000006, 0.045040000000000024, 0.07843333333333333, 0.026756666666666668, 0.015697, 0.19934333333333354, 5.000000000000004e-05, 0.019991799999999997, 0.0008699999999999999, 0.08659999999999986, 0.0928, 0.0, 0.1347866666666667, 0.017586, 3.333333333333333e-05, 0.16760000000000003, 0.00010000000000000002, 0.0, 0.25997500000000007, 9.000000000000007e-05, 0.15885000000000007, 0.004175000000000001, 0.0, 0.005909999999999999, 0.10970000000000012, 0.003575000000000001, 0.1101, 0.12410000000000004, 0.007249999999999996, 0.035233333333333276, 0.0002600000000000003, 0.02360999999999998, 0.026763333333333302, 0.0, 0.0059499999999999996, 0.0, 0.1491866666666666, 0.13254059999999998, 0.00395, 0.084625, 0.03879, 0.12585146666666663, 0.056968333333333336, 0.0036499999999999987, 0.023415000000000005, 0.005674999999999996, 0.005079999999999999, 0.22698463333333324, 0.08345000000000002, 0.005, 0.0, 0.0, 0.03521439999999996, 0.03866666666666666, 0.04929333333333335, 0.10915173333333339, 0.00022499999999999964, 0.0307833333333333, 0.0006199999999999997, 0.39760000000000006, 0.08265500000000003, 0.00345, 5.000000000000004e-05, 0.02377000000000001, 0.09890000000000002, 0.0, 0.0002]"
Dijkstra,136274,0.0,0,2,2,0,0,"[0.0, -4.4408920985006264e-20, 0.017524999999999992, 0.07969000000000001, 3.333333333333332e-05, 0.09930525000000005, 0.07755810000000002, 0.0, 0.2719750000000002, 0.23455936666666677, 0.02978555000000002, 0.0606, 0.06714, 0.011519999999999996, 0.04107500000000005, 0.07426, 0.19143333333333346, 0.025624999999999985, 0.07947499999999993, 0.02694253333333334, 0.003270000000000001, -3.552713678800501e-19, 0.06972999999999996, 0.24431603333333307, 0.0, 0.0019300000000000005, 0.02100500000000003, 0.07390000000000005, 0.024870000000000007, 0.01846075, 0.2388166666666667, 2.500000000000004e-05, 0.019400000000000008, 0.00020999999999999985, 0.07927666666666658, 0.09838333333333334, 0.0, 0.13538000000000006, 0.013550000000000013, 3.333333333333332e-05, 0.1704, 0.00010000000000000005, 0.0, 0.2649749999999999, 9.000000000000007e-05, 0.14395000000000008, 0.0015200000000000007, 0.0, 0.007715599999999999, 0.11700000000000012, 0.0014500000000000006, 0.09716666666666667, 0.11996666666666672, 0.028224999999999993, 0.030260999999999937, 0.00024000000000000028, 0.007139999999999981, 0.025223333333333302, 0.0, 0.0032699999999999995, 0.0, 0.16596919999999996, 0.12476333333333321, 0.00412, 0.09703025000000001, 0.015343333333333322, 0.09752919999999993, 0.056968333333333336, 0.0014499999999999984, 0.03999500000000001, 0.004977749999999995, 0.005079999999999999, 0.2683293666666665, 0.07131500000000003, 0.005, 0.0, 0.0, 0.03955999999999998, 0.04243333333333334, 0.0007233333333333308, 0.06035333333333339, 0.00022499999999999956, 0.021639999999999965, 0.001893, 0.4052499999999999, 0.07755500000000004, 0.00345, 0.00010000000000000002, 0.025006500000000025, 0.10796253333333328, 0.0, 0.0002]"
Dijkstra,128281,0.0,0,2,2,0,0,"[0.0, 2.4999999999999957e-05, 0.013874999999999986, 0.008900000000000005, 3.333333333333332e-05, 0.06042500000000009, 0.08017000000000003, 0.0, 0.30067500000000025, 0.1884954, 0.03580000000000002, 0.05765, 0.09012, 0.011459999999999996, 0.04712500000000005, 0.07061499999999998, 0.1757666666666667, 0.030224999999999988, 0.08406999999999995, 0.01577000000000001, 0.0055200000000000015, -3.552713678800501e-19, 0.07311999999999996, 0.2102020666666665, 0.0, 0.00436, 0.018120000000000025, 0.07144333333333339, 0.008183333333333336, 0.012129250000000001, 0.22537333333333334, 2.500000000000003e-05, 0.02197000000000001, 0.0008999999999999999, 0.07727059999999988, 0.08621166666666667, 0.0, 0.14380873333333336, 0.013075000000000012, 3.333333333333332e-05, 0.16445, 0.00010000000000000007, 0.0, 0.29667499999999997, 8.000000000000009e-05, 0.13385000000000008, 0.0015200000000000007, 0.0, 0.00519, 0.11101060000000022, 0.0030249999999999995, 0.11453333333333332, 0.12412066666666673, 0.008279499999999992, 0.053986666666666606, 0.00037000000000000027, 0.08628999999999998, 0.008216666666666636, 0.0, 0.005494999999999999, 0.0, 0.16641333333333333, 0.11967393333333323, 0.00358, 0.05782500000000001, 0.03715333333333333, 0.11370666666666662, 0.056968333333333336, 0.0030999999999999977, 0.03501500000000002, 0.004199999999999996, 0.004599999999999999, 0.21342539999999982, 0.07581000000000003, 0.005, 0.0, 0.0, 0.03256999999999997, 0.04213333333333335, 0.044346666666666666, 0.07601333333333338, 0.00027499999999999953, 0.02481333333333329, 0.00294, 0.37639999999999996, 0.05991499999999999, 0.00345, 5.000000000000001e-05, 0.023595000000000015, 0.09949333333333331, 0.0, 0.0002]"
Dijkstra,123483,0.0,0,2,2,0,0,"[0.0, 2.4999999999999957e-05, 0.013699999999999988, 0.007580000000000007, 3.333333333333332e-05, 0.06192500000000007, 0.08150000000000004, 0.0, 0.29410000000000025, 0.19603333333333342, 0.03426400000000002, 0.0501, 0.08181, 0.013319999999999992, 0.03785000000000005, 0.06765999999999997, 0.2077333333333333, 0.02965, 0.07889999999999994, 0.01622333333333334, 0.004475000000000004, -3.552713678800501e-19, 0.07007999999999996, 0.16698666666666656, 0.0, 0.003100000000000002, 0.03903500000000005, 0.1077366666666667, 0.028679999999999994, 0.015412250000000002, 0.1886333333333333, 2.500000000000003e-05, 0.02312000000000001, 0.0006899999999999995, 0.1322272666666665, 0.09536833333333333, 0.0, 0.1195599999999999, 0.011525000000000014, 3.333333333333332e-05, 0.16080000000000003, 0.00010000000000000005, 0.0, 0.28955, 0.00010000000000000013, 0.12235000000000014, 0.00020000000000000071, 0.0, 0.00465, 0.19251060000000025, 0.0025749999999999987, 0.12973333333333334, 0.12790000000000007, 0.01402949999999999, 0.05853999999999992, 0.00033000000000000027, 0.06418999999999996, 0.03929666666666663, 0.0, 0.004449999999999998, 0.0, 0.057343333333333336, 0.10288059999999985, 0.00341, 0.05670000000000002, 0.02273666666666667, 0.0154833333333333, 0.056968333333333336, 0.0025749999999999983, 1.8189894035458566e-17, 0.004274999999999997, 0.0048400000000000006, 0.2159199999999999, 0.08243500000000004, 0.005, 0.0, 0.0, 0.03424999999999997, 0.03846666666666667, 0.005883333333333336, 0.1308900000000001, 0.00014999999999999958, 0.04947333333333329, 0.00685, 0.47009999999999963, 0.06724500000000001, 0.00345, 5.000000000000002e-05, 0.02587500000000001, 0.07694666666666665, 0.0, 0.0002]"
Dijkstra,126698,0.0,0,2,2,0,0,"[0.0, 2.4999999999999964e-05, 0.012799999999999985, 0.012790000000000006, 3.333333333333333e-05, 0.08642500000000011, 0.07443210000000004, 0.0, 0.2845500000000003, 0.17605333333333337, 0.028175000000000026, 0.04880000000000002, 0.07499000000000001, 0.00882999999999999, 0.036375000000000046, 0.060595749999999955, 0.2064333333333333, 0.026724999999999995, 0.07276999999999996, 0.01416, 0.004650000000000004, -3.552713678800501e-19, 0.06978999999999994, 0.24126069999999958, 0.0, 0.003860000000000002, 0.02624000000000005, 0.0722238333333334, 0.011159999999999996, 0.015412250000000002, 0.2027333333333333, 2.500000000000003e-05, 0.019160000000000017, 0.0007699999999999994, 0.07742059999999988, 0.09536833333333333, 0.0, 0.1295366666666665, 0.011725000000000013, 3.333333333333333e-05, 0.16190750000000004, 0.00010000000000000005, 0.0, 0.28, 7.000000000000016e-05, 0.11825000000000005, 0.0002500000000000007, 0.0, 0.0032099999999999993, 0.12083393333333348, 0.002674999999999999, 0.1381333333333333, 0.13706666666666673, 0.01352949999999999, 0.0444666666666666, 0.00024000000000000028, 0.06626999999999995, 0.012029999999999966, 0.0, 0.004674999999999999, 0.0, 0.15092333333333335, 0.10776393333333317, 0.004689999999999997, 0.08255000000000004, 0.04754333333333333, 0.12246333333333329, 0.06045233333333334, 0.0026999999999999993, 0.004075000000000018, 0.004199999999999993, 0.00361, 0.22815736666666636, 0.08149000000000005, 0.005, 0.0, 0.0001, 0.03374999999999998, 0.04106666666666667, 0.024493333333333332, 0.06901000000000014, 4.999999999999959e-05, 0.020880499999999955, 0.0035800000000000007, 0.41444999999999965, 0.074675, 1.7763568394002505e-19, 5.000000000000002e-05, 0.022460000000000018, 0.1065133333333333, 0.0, 0.0002]"
Dijkstra,118530,0.0,0,2,2,0,0,"[0.0, 2.4999999999999957e-05, 0.013949999999999988, 0.016440000000000003, 3.333333333333332e-05, 0.08170000000000012, 0.053510000000000044, 0.0, 0.2836000000000003, 0.17916333333333323, 0.030120000000000022, 0.03745000000000003, 0.08218000000000002, 0.008859999999999993, 0.04025000000000004, 0.03262999999999993, 0.18039999999999995, 0.030549999999999994, 0.06565999999999993, 0.01198666666666667, 0.0022750000000000044, -3.552713678800501e-19, 0.07529999999999998, 0.16325333333333297, 0.0, 0.006990000000000002, 0.02162000000000005, 0.06866000000000008, 0.03216333333333333, 0.006672000000000003, 0.23195666666666662, 2.500000000000003e-05, 0.018080000000000023, 0.0006899999999999991, 0.12165666666666652, 0.08915966666666666, 0.0, 0.10116333333333302, 0.011275000000000012, 3.333333333333334e-05, 0.16134999999999997, 0.00010000000000000005, 0.0, 0.28027500000000005, 6.000000000000015e-05, 0.12860000000000002, 0.00012500000000000065, 0.0, 0.0038099999999999987, 0.17270333333333335, 0.0027499999999999985, 0.1394333333333333, 0.0906000000000001, 0.008824999999999989, 0.028083333333333255, 0.0002800000000000003, 0.07094999999999996, 0.028969999999999958, 0.0, 0.0021999999999999984, 0.0, 0.12466999999999998, 0.09587333333333316, 0.004439999999999997, 0.07780000000000004, 0.025793333333333324, 0.034079999999999944, 0.045332666666666674, 0.002799999999999999, 0.03719000000000002, 0.004074999999999989, 0.00401, 0.20404999999999968, 0.07517499999999998, 0.005, 0.0, -1.1102230246251566e-20, 0.032699999999999965, 0.042600000000000006, 0.012736666666666667, 0.1084366666666668, 7.49999999999996e-05, 0.024559999999999964, 0.00362, 0.43504999999999955, 0.054595, 0.00395, 5.0000000000000036e-05, 0.022205000000000013, 0.09417666666666662, 0.0, 0.0002]"
