Routing algorithm,Power consumption [W],Reliability score (Max),Reliability score (# above 60%),Mean latency (premium) [ms],Mean latency (assured) [ms],Premium SLA violations,Assured SLA violations,Time,Link usage
EAR,336751,0.2470089999999998,0,2,2,0,0,0.0,"[0.05768000000000001, 0.0328, 0.11274666666666665, 0.2692733333333333, 0.0062, 0.04174999999999999, 0.1675, 0.0, 0.22777999999999995, 0.43214666666666673, 6.666666666666667e-05, 0.2176, 0.0, 0.0, 0.18915, 0.24986666666666665, 0.6429466666666666, 0.0002, 0.003, 0.0, 0.0, 0.15452000000000005, 0.06965, 0.053786666666666656, 0.2518733333333334, 0.010019999999999998, 0.0416, 0.3178066666666667, 0.2878533333333334, 0.0, 0.0, 0.127, 0.0020800000000000003, 0.0, 0.08692666666666667, 0.10709999999999997, 0.05988, 0.015186666666666666, 0.34840000000000004, 0.0509, 0.2746, 0.0, 0.0002, 0.0, 0.12433, 0.04035, 0.0, 0.18382, 0.15466, 0.05205, 0.0, 0.008599999999999998, 0.34653333333333336, 0.0058, 0.31436666666666674, 0.00038, 0.0, 0.52175, 0.0, 0.0, 0.14452666666666666, 0.0, 0.1328933333333333, 0.06348, 0.4394, 0.0, 0.0393, 0.0, 0.08485000000000001, 0.17562, 0.3896800000000001, 6.666666666666667e-05, 0.23837333333333333, 0.033049999999999996, 0.00028, 0.00095, 0.040740000000000005, 0.006599999999999998, 5e-05, 0.04005, 0.02038, 0.0069, 0.0189, 0.4796399999999998, 0.06105, 0.1805266666666667, 0.53075, 0.7988, 0.14915, 0.00764, 0.1547, 0.0]"
EAR,309828,0.0005852165765620754,0,2,2,0,0,5.817385911941527,"[0.05338, 0.04668666666666667, 0.11838353333333328, 0.20671333333333328, 0.011300000000000001, 0.0404, 0.2496, 0.0, 0.19279999999999997, 0.42953333333333316, 6.666666666666667e-05, 0.18313333333333334, 0.0, 0.0, 0.16887999999999992, 0.1847333333333333, 0.45029333333333293, 9.999999999999998e-05, 0.007800000000000001, 0.0, 0.0, 0.14768, 0.06693999999999999, 0.06088666666666668, 0.3509733333333336, 0.014419999999999995, 0.004949999999999994, 0.20180000000000003, 0.16507333333333332, 0.0, 0.0, 0.13767999999999997, 0.0018000000000000004, 0.0, 0.24448666666666663, 0.1498, 0.08167999999999996, 0.03512666666666667, 0.2302666666666668, 0.054100000000000016, 0.32320000000000015, 0.0, 0.0002, 0.0, 0.12469, 0.006100000000000002, 0.0, 0.2729066666666667, 0.1556306, 0.08239, 0.0, 0.007199999999999995, 0.3913333333333333, 0.0065000000000000014, 0.3166568666666666, 0.0026400000000000004, 0.0, 0.5956265, 0.0, 0.0, 0.16390666666666673, 0.0, 0.25916666666666655, 0.07962000000000002, 0.38213333333333327, 0.0, 0.0393, 0.0, 0.09100000000000004, 0.16029999999999991, 0.16755333333333342, 6.666666666666666e-05, 0.36805686666666654, 4.999999999999503e-05, 0.00019999999999999993, 0.03665000000000001, 0.04141333333333334, 0.008199999999999999, 4.999999999999998e-05, 0.00655, 0.02056, 0.0069, 0.03175000000000001, 0.30219333333333326, 0.060199999999999976, 0.21537333333333314, 0.6096765, 0.5323000000000002, 0.2383, 0.00998, 0.2466, 0.0]"
EAR,319428,6.002499999713251e-06,0,2,2,0,0,11.115724802017212,"[0.06524459999999999, 0.05670666666666667, 0.0696213999999999, 0.25742000000000004, 0.0119, 0.03189999999999999, 0.28749999999999987, 0.0, 0.20219, 0.4713400000000002, 6.666666666666666e-05, 0.176076, 0.0, 0.0, 0.1831299999999998, 0.17648066666666665, 0.4786140666666659, 9.999999999999999e-05, 0.008399999999999998, 0.0, 0.0, 0.16204000000000005, 0.07728999999999998, 0.05473486666666664, 0.3260733333333335, 0.012182199999999995, 0.0016499999999999946, 0.25781999999999994, 0.2790207333333332, 0.0, 0.0, 0.1499422, 0.0012200000000000008, 0.0, 0.21044, 0.1456, 0.07649999999999992, 0.06573999999999999, 0.19853333333333345, 0.05599000000000001, 0.35016000000000014, 0.0, 0.00019999999999999998, 0.0, 0.11931, 0.006200000000000002, 0.0, 0.21174, 0.18571999999999997, 0.08185000000000003, 0.0, 0.008049999999999996, 0.2794093333333331, 0.003500000000000001, 0.27187999999999973, 0.0026400000000000004, 0.0, 0.5907300000000003, 0.0, 0.0, 0.15432153333333334, 0.0, 0.26360666666666654, 0.07342000000000001, 0.34966666666666657, 0.0, 0.0356485, 0.0, 0.09785000000000002, 0.14443999999999996, 0.16991333333333342, 6.666666666666664e-05, 0.26247999999999994, 4.999999999999502e-05, 0.00015999999999999996, 0.04015000000000002, 0.08272666666666664, 0.011949999999999997, 0.00425, 0.0061, 0.0241, 0.0069, 0.02835000000000001, 0.40431406666666664, 0.055299999999999974, 0.19338666666666657, 0.6009800000000002, 0.3857000000000001, 0.24406150000000001, 0.007379999999999998, 0.24751150000000002, 0.0]"
EAR,301526,0.06363006250000057,0,2,2,0,0,10.533161878585817,"[0.04911999999999998, 0.06043333333333332, 0.06059439999999987, 0.23842666666666676, 0.0119, 0.03659999999999999, 0.7008999999999999, 0.0, 0.19233999999999996, 0.4251933333333333, 6.666666666666664e-05, 0.2351333333333334, 0.0, 0.0, 0.1637499999999998, 0.16741066666666662, 0.2730443333333328, 0.00010000000000000002, 0.00845, 0.0, 0.0, 0.14137999999999995, 0.11711129999999997, 0.04572666666666665, 0.36300666666666687, 0.010099999999999998, 0.00044999999999999457, 0.14744000000000015, 0.18328666666666651, 0.0, 0.0, 0.15186, 0.0013200000000000006, 0.0, 0.4097608666666666, 0.14610000000000004, 0.08909299999999995, 0.06316666666666666, 0.19700000000000012, 0.05714, 0.33597400000000016, 0.0, 0.00019999999999999998, 0.0, 0.16525, 0.0048740000000000025, 0.0, 0.30883333333333335, 0.1682, 0.06341000000000002, 0.0, 0.007249999999999997, 0.3045439999999999, 0.00474, 0.2794133333333332, 0.00052, 0.0, 0.5132870000000002, 0.0, 0.0, 0.14238666666666663, 0.0, 0.29790086666666654, 0.05985000000000002, 0.4661999999999999, 0.0, 0.0356485, 0.0, 0.08705, 0.15603999999999996, 0.16526433333333335, 6.666666666666664e-05, 0.2892133333333333, 4.999999999999502e-05, 0.00015999999999999993, 0.03538250000000002, 0.06975333333333328, 0.011899999999999999, 0.0001, 0.0073, 0.03196, 0.0069, 0.01670000000000001, 0.27504666666666655, 0.05414999999999999, 0.2123066666666665, 0.5196870000000001, 0.34019999999999995, 0.18159999999999993, 0.0072999999999999975, 0.18504999999999994, 0.0]"
EAR,299700,0.17682025,0,2,2,0,0,10.858662843704224,"[0.05479999999999999, 0.06487913333333332, 0.06255759999999987, 0.21947333333333363, 0.007494, 0.030971999999999993, 0.7681999999999999, 0.0, 0.24294, 0.4673200000000002, 6.666666666666664e-05, 0.1856, 0.0, 0.0, 0.16610999999999984, 0.19370666666666664, 0.44993333333333285, 0.00010000000000000005, 0.0037939999999999996, 0.0, 0.0, 0.15112, 0.16689999999999997, 0.04545999999999997, 0.2194000000000002, 0.010159999999999997, 0.013949999999999994, 0.26851246666666667, 0.17218666666666646, 0.0, 0.0, 0.16019999999999998, 0.0017400000000000002, 0.0, 0.21901626666666668, 0.1092, 0.06193999999999995, 0.05352666666666663, 0.2482000000000001, 0.04983309999999998, 0.3190970000000002, 0.0, 0.00019999999999999993, 0.0, 0.16531, 0.02065, 0.0, 0.2485600000000001, 0.16060000000000005, 0.09008, 0.0, 0.01135, 0.33657333333333334, 0.0027408000000000003, 0.26949999999999996, 0.0016053999999999999, 0.0, 0.5118985000000003, 0.0, 0.0, 0.14083333333333334, 0.0, 0.17319999999999988, 0.05018, 0.36559999999999987, 0.0, 0.031394000000000005, 0.0, 0.09369999999999996, 0.14421999999999996, 0.29922579999999993, 6.666666666666664e-05, 0.2745133333333332, 0.01774999999999999, 0.00017999999999999993, 0.01666350000000001, 0.0535866666666666, 0.007343999999999998, 9.999999999999999e-05, 0.020799999999999996, 0.038940000000000016, 0.0069, 0.02935000000000001, 0.30491333333333337, 0.07789999999999998, 0.21715246666666652, 0.5212485, 0.3177000000000002, 0.16959349999999992, 0.007899999999999997, 0.1741434999999999, 0.0]"
EAR,297882,0.27693906249999944,0,2,2,0,0,11.28180980682373,"[0.05182219999999996, 0.053233333333333306, 0.06962813333333315, 0.2620400000000005, 0.007344000000000002, 0.03505000000000001, 0.8104999999999999, 0.0, 0.22851000000000005, 0.4680800000000002, 6.666666666666664e-05, 0.19676666666666667, 0.0, 0.0, 0.15894999999999984, 0.20552799999999993, 0.4895494666666661, 0.00020000000000000004, 0.0038439999999999998, 0.0, 0.0, 0.14331999999999998, 0.14263, 0.04410073333333332, 0.2340000000000002, 0.010159999999999997, 0.00044999999999999093, 0.2779600000000001, 0.2544427999999998, 0.0, 0.0, 0.1578684, 0.0004200000000000003, 0.0, 0.12070666666666667, 0.1216, 0.07911999999999994, 0.049886666666666635, 0.23993333333333342, 0.051013, 0.3246970000000001, 0.0, 0.00019999999999999993, 0.0, 0.15511, 0.005546499999999999, 0.0, 0.16371333333333343, 0.17365999999999995, 0.04200999999999999, 0.0, 0.009955500000000003, 0.31499466666666665, 0.0037860000000000003, 0.27076, 0.00048, 0.0, 0.5218985000000004, 0.0, 0.0, 0.14918073333333334, 0.0, 0.1585533333333333, 0.059611100000000014, 0.3828666666666665, 0.0, 0.0369215, 0.0, 0.08214999999999996, 0.13427999999999995, 0.2408933333333331, 6.666666666666664e-05, 0.25103999999999993, -9.769962616701377e-18, 0.00017999999999999993, 0.027100000000000016, 0.04973999999999991, 0.007343999999999998, 4.9999999999999975e-05, 0.005546499999999999, 0.02304000000000002, 0.0069, 0.056450000000000014, 0.37530946666666687, 0.05125, 0.21823333333333308, 0.5358984999999999, 0.2879000000000002, 0.18814999999999987, 0.008239999999999996, 0.1926999999999999, 0.0]"
EAR,291565,0.14592399999999994,0,2,2,0,0,10.98402500152588,"[0.05431999999999995, 0.031539999999999985, 0.11263746666666649, 0.29464893333333386, 0.011844000000000002, 0.02775, 0.7527999999999999, 0.0, 0.21126000000000014, 0.40124666666666675, 6.666666666666664e-05, 0.16908000000000004, 0.0, 0.0, 0.16813999999999982, 0.20090799999999998, 0.46927079999999965, 0.00010000000000000005, 0.0038439999999999998, 0.0, 0.0, 0.15496000000000004, 0.15161999999999998, 0.046019999999999985, 0.18815333333333364, 0.009199999999999993, 0.0005499999999999911, 0.31880893333333354, 0.22133079999999977, 0.0, 0.0, 0.16033999999999998, 0.0018000000000000004, 0.0, 0.10315999999999996, 0.1157, 0.06513999999999993, 0.016366666666666623, 0.24824133333333342, 0.04819, 0.32137300000000013, 0.0, 0.00019999999999999993, 0.0, 0.11982999999999992, 0.0060499999999999955, 0.0, 0.1819066666666668, 0.19037999999999994, 0.03623999999999998, 0.0, 0.008400000000000006, 0.345708, 0.005879999999999998, 0.2806174666666667, 0.00074, 0.0, 0.5895865000000006, 0.0, 0.0, 0.14634666666666668, 0.0, 0.10491333333333323, 0.07164000000000001, 0.3515333333333332, 0.0, 0.016850000000000004, 0.0, 0.09424999999999993, 0.18023999999999993, 0.32502666666666635, 6.666666666666664e-05, 0.2874933333333332, 4.999999999999024e-05, 0.00015999999999999996, 0.026150000000000024, 0.023366666666666577, 0.011793999999999999, 4.9999999999999975e-05, 0.006199999999999999, 0.022920000000000017, 0.0069, 0.010850000000000005, 0.33363746666666677, 0.06045, 0.1989866666666665, 0.5975865000000001, 0.2677000000000002, 0.12064999999999991, 0.007159999999999993, 0.12584999999999996, 0.0]"
EAR,271086,0.5531640624999996,0,2,2,0,0,12.453403949737547,"[0.05554000000000002, 0.03244666666666665, 0.06707026666666646, 0.30440000000000034, 0.008950000000000008, 0.0274, 0.8974999999999999, 0.0, 0.13105000000000003, 0.340506666666667, 6.666666666666663e-05, 0.19204000000000002, 0.0, 0.0, 0.15779999999999977, 0.20323599999999994, 0.343673333333333, 0.00010000000000000005, 0.0004, 0.0, 0.0, 0.14636000000000016, 0.16486999999999996, 0.03940666666666665, 0.3520133333333336, 0.009679999999999996, 0.021649999999999996, 0.14693333333333347, 0.31919999999999993, 0.0, 0.0, 0.16300000000000003, 0.00138, 0.0, 0.25208, 0.10060000000000001, 0.059959999999999944, 0.07859333333333328, 0.25580000000000014, 0.05275, 0.31407300000000016, 0.0, 0.00019999999999999993, 0.0, 0.13448999999999997, 0.02649999999999999, 0.0, 0.10718000000000008, 0.1435399999999999, 0.07807000000000003, 0.0, 0.008550000000000009, 0.38576933333333335, 0.005359999999999998, 0.2391199999999998, 0.00066, 0.0, 0.5753365000000006, 0.0, 0.0, 0.1559333333333333, 0.0, 0.25399333333333307, 0.06705000000000005, 0.4154666666666665, 0.0, 0.023416000000000003, 0.0, 0.0757, 0.17195999999999997, 0.08738666666666649, 6.666666666666664e-05, 0.16113333333333327, 0.021399999999999992, 0.0002, 0.0017000000000000177, 0.05735999999999989, 0.008900000000000003, 4.9999999999999975e-05, 0.02649999999999999, 0.026640000000000007, 0.0069, 0.022350000000000005, 0.336426666666667, 0.05930000000000002, 0.21375333333333305, 0.5844365, 0.24470000000000028, 0.11839999999999991, 0.006819999999999998, 0.12884999999999994, 0.0]"
EAR,286542,0.3274700624999989,0,2,2,0,0,12.663147926330565,"[0.04474000000000001, 0.028319999999999994, 0.10156359999999985, 0.2382333333333337, 0.009300000000000008, 0.025599999999999998, 0.8288999999999996, 0.0, 0.12934150000000008, 0.38200000000000023, 6.666666666666664e-05, 0.19204000000000002, 0.0, 0.0, 0.14553999999999984, 0.20843599999999995, 0.5129609333333325, 0.00010000000000000005, 0.0005, 0.0, 0.0, 0.14730000000000013, 0.16298, 0.04389433333333333, 0.2409066666666669, 0.008278599999999997, 0.00010000000000000217, 0.29641333333333336, 0.18522619999999992, 0.0, 0.0, 0.14992280000000005, 0.00154, 0.0, 0.10793333333333334, 0.09800000000000005, 0.06749999999999996, 0.024053333333333277, 0.27413333333333345, 0.04594000000000001, 0.3095870000000002, 0.0, 0.00019999999999999993, 0.0, 0.14934999999999996, 0.005349999999999995, 0.0, 0.18070000000000006, 0.15811999999999982, 0.052480000000000006, 0.0, 0.008400000000000005, 0.4025693333333333, 0.007159999999999999, 0.25907333333333304, 0.00048, 0.0, 0.5527860000000007, 0.0, 0.0, 0.1465876666666667, 0.0, 0.12399333333333304, 0.057046600000000065, 0.4128666666666665, 0.0, 0.023416000000000003, 0.0, 0.07275, 0.14997999999999995, 0.3215399999999998, 6.666666666666664e-05, 0.3065, 4.999999999999591e-05, 0.00014000000000000004, 0.023450000000000016, 0.02231999999999989, 0.009350000000000002, 4.999999999999996e-05, 0.005399999999999992, 0.017660000000000016, 7.105427357601002e-19, 0.021350000000000008, 0.32495426666666666, 0.05345000000000001, 0.2130266666666663, 0.5651690000000001, 0.23650000000000027, 0.17009999999999992, 0.009379999999999996, 0.17785000000000004, 0.0]"
EAR,256235,0.3356029726562477,0,2,2,0,0,11.458210945129395,"[0.043760000000000035, 0.023973333333333326, 0.06455999999999983, 0.3244466666666671, 0.004600000000000008, 0.0279, 0.8317249999999993, 0.0, 0.13579250000000007, 0.3315483333333335, 6.666666666666664e-05, 0.17962266666666668, 0.0, 0.0, 0.13131999999999985, 0.16913333333333333, 0.32650666666666595, 0.00010000000000000005, 0.0002499999999999999, 0.0, 0.0, 0.16458000000000014, 0.15034999999999996, 0.04912666666666665, 0.30012000000000005, 0.008020000000000003, 0.02185, 0.24504000000000015, 0.21885999999999992, 0.0, 0.0, 0.10702000000000007, 0.0013799999999999995, 0.0, 0.2168733333333333, 0.07530000000000003, 0.056699999999999945, 0.055406666666666604, 0.1812000000000002, 0.045410000000000006, 0.315508, 0.0, 0.00019999999999999993, 0.0, 0.10919, 0.027250000000000007, 0.0, 0.16064000000000012, 0.1757849999999999, 0.04322999999999999, 0.0, 0.00810000000000001, 0.3628, 0.007239999999999997, 0.20232666666666613, 0.0005600000000000001, 0.0, 0.5569540000000008, 0.0, 0.0, 0.13986000000000012, 0.0, 0.243313333333333, 0.06028000000000006, 0.36079999999999984, 0.0, 0.011188500000000002, 0.0, 0.08049999999999995, 0.16435999999999995, 0.11835999999999983, 6.666666666666664e-05, 0.2386883333333332, 0.021749999999999995, 0.00012000000000000006, 0.0008000000000000213, 0.06432666666666656, 0.00445, 4.999999999999996e-05, 0.027350000000000006, 0.017720000000000017, 0.0079, 0.01765000000000001, 0.27293333333333303, 0.06361250000000002, 0.18835333333333296, 0.5636040000000002, 0.2572000000000004, 0.16059999999999994, 0.00888, 0.16840000000000008, 0.0]"
