Routing algorithm,Power consumption [W],Reliability score (Max),Reliability score (# above 60%),Mean latency (premium) [ms],Mean latency (assured) [ms],Premium SLA violations,Assured SLA violations,Time,Link usage
MORA,320538,0.2414346496000009,0,2,2,0,0,0.0,"[0.45172666666666667, 0.0001, 0.11589400000000001, 0.04413333333333333, 0.127, 0.0, 0.44853626666666657, 0.002078, 0.028960000000000003, 0.18052666666666667, 0.10275, 0.36160960000000003, 0.0, 0.11679999999999997, 0.7965440000000001, 0.0, 0.2598837333333333, 0.17562, 0.32788666666666666, 0.21103, 0.19726, 0.0020800000000000003, 0.00429, 0.050383533333333334, 0.1534, 0.07246059999999999, 0.18326666666666666, 0.12535, 0.0, 0.0007000000000000001, 0.291042, 0.00038, 0.0103, 0.0, 0.00555, 0.0004, 0.01124, 0.0, 0.004128, 0.14346470000000003, 0.171494, 0.001178, 0.11718440000000001, 0.27972373333333334, 0.2898133333333333, 0.282042, 0.0002, 0.013442066666666667, 0.0028000000000000004, 0.1067, 0.0, 5e-05, 0.10305, 0.0, 0.0, 0.31653333333333333, 0.0189, 0.27832666666666667, 0.5667690000000001, 0.0, 0.00458, 0.04386, 0.18431333333333333, 0.0419712, 0.13487333333333335, 0.09235, 0.2186, 0.1241, 0.29830000000000007, 0.02038, 0.04686666666666667, 6.666666666666667e-05, 0.0062, 0.07678, 0.43940000000000007, 0.0058, 0.25062666666666666, 0.00764, 0.08170000000000001, 0.4863160000000001, 0.16326666666666667, 0.28716, 0.0, 0.122672, 0.192847, 0.0, 0.21155626666666666, 0.15627999999999997, 0.007728000000000001, 0.38813333333333333, 0.08259999999999999, 0.5191333333333334]"
MORA,301561,0.0,0,2,2,0,0,91.68074107170105,"[0.4054199999999999, -5.551115123125783e-21, 0.03686000000000001, 0.04923966666666667, 0.13767999999999997, 0.0, 0.2451856666666669, 0.26624999999999993, 0.04298000000000001, 0.19523566666666653, 0.07040000000000002, 0.17265840000000016, 0.0, 0.08645000000000001, 0.07310000000000036, 0.03128226666666667, 0.21552826666666666, 0.16029999999999997, 0.39705493333333336, 0.17552000000000018, 0.17336149999999992, 0.011780000000000004, 0.04962239999999999, 0.09314626666666664, 0.11379999999999992, 0.06316840000000001, 0.4032239999999999, 0.09135000000000003, 0.0004, 0.10665, 0.34440550000000003, 0.09447999999999998, 0.002651400000000001, 0.0278534, 0.1494355, -2.2204460492503132e-20, 0.012, 0.0001, 0.2374, 0.1668309, 0.140374, 0.22964999999999997, 0.05378759999999999, 0.4228232000000001, 0.2239583999999998, 0.33035549999999997, -1.1102230246251566e-20, 0.0033639333333333322, 0.1018, 0.192136, 0.1411355, 0.030200000000000005, 0.01609999999999999, 0.035577, 6.666666666666667e-05, 0.2936682666666667, 0.04605, 0.3166568666666666, 0.022340999999999986, 0.0768, 0.00392, 0.04043999999999998, 0.2599349333333334, 0.07715999999999998, 0.16971766666666666, 0.09359999999999999, 0.26202200000000003, 0.09250000000000003, 0.19432900000000014, 0.02056, 0.29079999999999995, 6.666666666666667e-05, 0.22915, 0.010800000000000013, 0.2659093333333333, 0.0065, 0.2738333333333333, 0.015884799999999998, 0.17045, 0.537442, 0.25957666666666673, 0.20115566666666643, 0.278534, 0.08120000000000004, 0.5156229999999999, 0.26697, 0.17325839999999995, 0.14771060000000003, 0.2378, 0.01986666666666665, 0.13902899999999999, 0.39406733333333344]"
MORA,316259,0.0,0,2,2,0,0,78.77642917633057,"[0.4728933333333332, 0.0001, 0.08090700000000002, 0.035610399999999987, 0.1499422, 0.0001, 0.47576380000000024, 0.04014999999999991, 0.014544599999999991, 0.19298666666666658, 0.011499999999999995, 0.2701007333333335, 0.02558, 5.000000000000924e-05, 0.3857000000000003, 0.0017815999999999928, 0.07651999999999996, 0.14443999999999999, 0.3604399999999999, 0.17661000000000016, 0.18549959999999985, 0.008600000000000009, 0.03856999999999999, 0.04216919999999999, 0.12199999999999983, 0.07124480000000001, 0.16030266666666643, 0.0016500000000000134, -3.3306690738754693e-20, 0.10269999999999997, 0.4033855, 0.0026399999999999727, 0.002611400000000001, 0.009730800000000003, 0.027274000000000024, -2.2204460492503132e-20, 0.1579, 9.999999999999999e-05, 0.008400000000000064, 0.08235359999999999, 0.206021, 0.004249999999999887, 0.12057000000000002, 0.19624000000000008, 0.2644073999999998, 0.39313549999999997, 0.0002, 0.05676446666666665, 0.0754, 0.14520000000000005, 0.023824, 0.07569999999999999, 0.0235, 0.08271939999999998, -5.551115123125783e-21, 0.2656, 0.07720000000000005, 0.27183333333333326, 0.13853299999999996, 0.2875, 0.0, 0.050699999999999974, 0.2770866666666666, 0.07649999999999994, 0.1498733333333333, 0.008049999999999969, 0.224646, 0.006200000000000039, 0.44047500000000017, 0.0241, 0.07040466666666662, -5.551115123125783e-21, 0.0119, 0.08277333333333334, 0.3714973333333332, 0.0035, 0.3250533333333331, -2.2737367544323208e-18, 0.14339850000000007, 0.4020889999999999, 0.297274, 0.24326666666666644, 0.09730800000000003, 0.006100000000000036, 0.08018000000000006, 0.22334400000000001, 0.31632666666666664, 1.7053025658242403e-17, 0.01195000000000004, 0.20733333333333334, 0.47344, 0.4823720000000002]"
MORA,314939,0.06363006250000014,0,2,2,0,0,101.216139793396,"[0.28752519999999987, 0.0001, 0.06289999999999998, 0.047483733333333326, 0.15186, -8.326672684688673e-21, 0.32265020000000033, 0.19818249999999993, 0.01265999999999998, 0.19915200000000002, 0.019699999999999995, 0.22916040000000024, 0.09424600000000002, 5.0000000000009245e-05, 0.014600000000000352, 0.03801213333333332, 0.24190819999999996, 0.15604, 0.3543929333333332, 0.09809400000000014, 0.19135179999999985, 0.008620000000000006, 0.030850000000000013, 0.03338833333333332, 0.1440399999999997, 0.03014060000000002, 0.2819199999999999, 0.0004500000000000133, -3.3306690738754693e-20, 0.0024499999999999544, 0.27818149999999997, 0.06563999999999998, 0.00106, 0.009200000000000002, 0.104218, -2.2204460492503132e-20, 0.055663599999999994, 9.999999999999999e-05, 0.1712500000000001, 0.18140750000000003, 0.16431400000000004, 0.16289999999999988, 0.11711130000000002, 0.3574083333333334, 0.23882919999999982, 0.2728695, 0.0002, 0.04897613333333331, 0.0746, 0.14570000000000005, 0.10185599999999999, 0.07104999999999997, 0.10129999999999997, 0.04641419999999998, -5.551115123125783e-21, 0.20339626666666677, 0.05115000000000004, 0.25974, 0.18235799999999994, 0.7009, 0.00304, 0.03645999999999996, 0.31631813333333325, 0.08909299999999999, 0.15132133333333336, 0.007249999999999972, 0.23416000000000003, 0.00487400000000004, 0.16166400000000006, 0.03196, 0.23333333333333334, 6.666666666666667e-05, 0.1747, 0.06771999999999997, 0.4013466666666665, 0.004739999999999999, 0.36306106666666643, -2.2737367544323208e-18, 0.03809850000000006, 0.48991100000000004, 0.1238106666666666, 0.3739534666666666, 0.09200000000000003, 0.007300000000000033, 0.25367500000000015, 0.10766400000000008, 0.28881646666666666, 0.0987564, 0.17470000000000005, 0.04359999999999995, 0.36811800000000017, 0.29998666666666673]"
MORA,319812,0.0,0,1,1,0,0,116.91808605194092,"[0.2857417333333335, 0.313761, 0.32173199999999996, 0.06291546666666666, 0.1602, 0.313761, 0.44004520000000047, 0.046513499999999944, 0.07179999999999997, 0.14577333333333337, 0.06305, 0.4450939333333336, 0.03137610000000003, 0.16770000000000002, 0.2580000000000003, 0.011266733333333317, 0.29305253333333325, 0.14421999999999996, 0.10837939999999999, 0.18157390000000015, 0.16610999999999992, 0.00946000000000001, 0.1959330000000001, 0.06467873333333334, 0.14819999999999978, 0.005940000000000022, 0.4002519999999999, 0.1639, -3.3306690738754693e-20, 0.012799999999999957, 0.35312750000000004, 0.013545399999999982, 6.439293542825908e-20, 0.01016, 0.0007735000000000117, -2.2204460492503132e-20, 0.01378, 0.00010000000000000002, 0.03364400000000013, 0.19184020000000004, 0.412102, 0.029949999999999942, 0.055077000000000015, 0.2784568666666667, 0.4240872666666665, 0.349026, 0.00019999999999999998, 0.043326933333333324, 0.07900000000000007, 0.10880000000000005, 0.0014720000000000022, 0.18785249999999995, 0.25228049999999996, 0.02300949999999996, 6.666666666666667e-05, 0.3095325333333336, 0.17343050000000004, 0.2694999999999999, 0.09329599999999995, 0.4683000000000001, 0.0036, 0.04297999999999996, 0.07040859999999995, 0.06193999999999996, 0.1882791333333333, 0.1613, 0.228327, 0.17060000000000006, 0.34674000000000005, 0.038940000000000016, 0.2914666666666667, 6.666666666666666e-05, 0.03704400000000001, 0.04960666666666664, 0.18554799999999994, 0.0027407999999999994, 0.2507219333333332, -2.2737367544323208e-18, 0.03139400000000007, 0.343142, 0.15963999999999987, 0.35685419999999995, 0.1016, 0.17045000000000002, 0.2653020000000001, 0.4498550000000002, 0.20381173333333338, 0.07812779999999993, 0.037194000000000074, 0.03406666666666662, 1.3073986337985843e-16, 0.365652]"
MORA,286282,0.2497500625000004,0,1,1,0,0,101.51741814613342,"[0.45560666666666677, 0.0, 0.04479999999999996, 0.036341866666666646, 0.1578684, 0.0, 0.3875606000000002, 0.034949999999999946, 0.015142200000000012, 0.19929333333333332, 0.035050000000000005, 0.2548539333333335, 0.010550000000000032, 0.005300000000000031, 0.27220000000000033, 0.00986193333333332, 0.21132666666666663, 0.13427999999999993, 0.27958886666666655, 0.21690000000000018, 0.1617299999999999, 0.00848000000000001, 0.025800000000000115, 0.014420000000000002, 0.07417999999999976, 0.05136390000000003, 0.19711399999999982, 0.005750000000000009, -3.3306690738754693e-20, 0.07249999999999995, 0.339573, 0.0036199999999999765, 6.439293542825908e-20, 0.01016, 0.0007735000000000117, 0.0004, 0.0, 1.3877787807814457e-20, 0.011694000000000123, 0.17364300000000013, 0.14371399999999981, 0.007899999999999937, 0.15727000000000005, 0.2095200000000001, 0.2643805999999998, 0.32934949999999996, 0.00019999999999999993, 0.057050999999999984, 0.08240000000000008, 0.12120000000000004, 2.1316282072803004e-18, 0.051249999999999955, 0.06609999999999992, 0.030494699999999972, 6.666666666666666e-05, 0.29517333333333357, 0.10769999999999998, 0.25468446666666666, 0.1263679999999999, 0.7999000000000002, 0.06272, 0.03879999999999995, 0.18537553333333326, 0.07911999999999998, 0.16307333333333338, 0.015255500000000043, 0.225383, 0.010846500000000068, 0.383853, 0.023040000000000022, 0.16404466666666676, 6.666666666666668e-05, 0.015194000000000003, 0.06476886666666663, 0.3800859999999999, 0.003785999999999999, 0.2094599999999998, -2.2737367544323208e-18, 0.14447150000000006, 0.39955100000000005, 0.39986133333333324, 0.2590933333333332, 0.1016, 0.010846500000000023, 0.2727300000000001, 0.33317200000000036, 0.16339333333333322, 0.16717999999999988, 0.01519400000000007, 0.16075533333333328, 0.11520000000000014, 0.5546359999999999]"
MORA,292600,0.06287556250000037,0,1,1,0,0,99.3720350265503,"[0.4738321333333334, 0.0001, 0.26140199999999997, 0.04805033333333332, 0.16034, 0.0, 0.37793746666666717, 0.12809999999999996, 0.020880000000000027, 0.2153898666666668, 0.02775, 0.2593108000000003, 0.023109900000000034, 0.026300000000000028, 0.06380000000000029, 0.031280066666666655, 0.20648666666666668, 0.18023999999999993, 0.2555999999999997, 0.18290010000000012, 0.16652999999999984, 0.008960000000000003, 0.0015700000000001125, 0.09252260000000001, 0.04649019999999978, 0.03943000000000001, 0.3652253333333331, 0.02680000000000001, 0.0004, 0.04839999999999993, 0.3531545000000001, 0.0007399999999999761, 0.00786, 0.0014999999999999994, 0.022412500000000012, -3.3306690738754693e-20, 0.09294, 0.00010000000000000002, 0.10579400000000014, 0.11786530000000005, 0.3196159999999998, 0.10199999999999994, 0.1659000000000001, 0.20321333333333333, 0.2426942666666664, 0.3451545000000002, -7.771561172376096e-20, 0.04066973333333334, 0.07320000000000007, 0.12621200000000007, 0.017212500000000002, 0.11997549999999997, 0.11622549999999993, 0.03398109999999997, -1.4802973661668755e-20, 0.30255880000000046, 0.1308255, 0.27547753333333325, 0.1827539999999999, 0.7003000000000003, 0.11725999999999998, 0.0031599999999999593, 0.24593993333333317, 0.06513999999999998, 0.15426353333333334, 0.034650000000000035, 0.273671, 0.032300000000000065, 0.20687499999999995, 0.022920000000000027, 0.25324133333333343, 6.66666666666667e-05, 0.10859399999999998, 0.059786666666666655, 0.21537466666666666, 0.005879999999999999, 0.20236666666666656, -2.2737367544323208e-18, 0.09300000000000004, 0.49576399999999987, 0.15610599999999988, 0.2430965333333332, 0.014999999999999994, 0.027250000000000028, 0.1989530000000001, 0.08929800000000035, 0.2158933333333333, 0.08435999999999991, 0.11374400000000007, 0.07926666666666661, 0.20250000000000012, 0.33970333333333336]"
MORA,275604,0.0,0,2,2,0,0,114.62852597236632,"[0.2922706666666666, -5.551115123125783e-21, 0.00039999999999995806, 0.04753999999999998, 0.16300000000000006, 0.0, 0.497493333333334, 0.009549999999999987, 0.1804599999999999, 0.11450000000000007, 0.0488, 0.30616406666666685, 3.4106051316484806e-17, 0.47015, 0.22900000000000031, 0.00022666666666664847, 5.0022208597511055e-17, 0.17195999999999992, 0.1337892666666665, 0.04130000000000008, 0.11870769999999986, 0.008200000000000006, 0.07650000000000012, 0.07278926666666664, 0.14589999999999978, 0.07108420000000004, 0.10507066666666635, 0.47039999999999993, -2.2204460492503132e-20, -6.821210263296961e-17, 0.4449569999999999, 0.0037999999999999766, 0.002460000000000002, 0.00742, 0.002150000000000011, -3.3306690738754693e-20, 0.03192420000000001, 0.00010000000000000007, 0.008250000000000141, 0.13369440000000005, 0.08011399999999985, 0.007899999999999954, 0.16487000000000004, 0.10488666666666666, 0.3398707333333331, 0.45325699999999997, 0.00019999999999999993, 0.09582666666666668, 0.0682000000000001, 0.10020000000000012, 0.0091, 0.03789999999999999, 0.09804999999999987, 0.04413749999999998, 6.666666666666666e-05, 0.0882414000000003, 0.06024999999999998, 0.22083999999999981, -1.2505552149377764e-16, 2.0463630789890885e-16, 0.009399999999999981, 0.05457999999999996, 0.10465733333333321, 0.05995999999999998, 0.19503333333333334, 0.4572999999999998, 0.23395900000000003, 0.4752500000000001, 0.25340000000000007, 0.02664000000000002, 0.15013333333333345, 6.666666666666671e-05, 0.016699999999999993, 0.0745933333333333, 0.5698626666666664, 0.0053599999999999984, 0.4026719333333331, -2.2737367544323208e-18, 0.05081600000000008, 0.28585899999999986, 0.4627026666666666, 0.27404266666666643, 0.0722, 0.4751500000000001, 0.3997670000000003, 0.46450000000000036, 0.29274666666666654, 0.10741579999999995, 0.016750000000000084, 0.18259999999999993, 0.016800000000000093, 0.4797106666666667]"
MORA,319644,0.3271840000000017,0,2,2,0,0,84.6992862224579,"[0.31892860000000006, 0.0001, 0.08173299999999996, 0.03590499999999998, 0.14992280000000005, 0.0001, 0.1766634000000006, 0.1249999999999999, 0.006439999999999962, 0.2188760000000001, 0.038300000000000015, 0.14760493333333366, 0.008150000000000034, 0.00010000000000001545, 0.03340000000000037, -1.8189894035458566e-17, 0.3617965333333334, 0.1499799999999999, 0.3720026666666665, 0.1444679000000001, 0.18598999999999988, 0.01092, 0.10847300000000007, 0.059332866666666643, 0.04721999999999978, 0.038946700000000015, 0.34790199999999966, 0.00014999999999992905, 0.0004, 0.035999999999999935, 0.2857744999999999, 0.04109999999999996, 0.00014000000000000235, 0.0082786, 0.00775000000000001, -3.3306690738754693e-20, 0.009280000000000012, 0.00010000000000000007, 0.10205000000000015, 0.165412, 0.16366199999999986, 0.10159999999999994, 0.10996340000000007, 0.4304365999999999, 0.302457533333333, 0.2857744999999999, -8.881784197001253e-20, 0.014964000000000033, 0.0952000000000001, 0.09760000000000013, 0.012383, 0.040749999999999995, 0.05809999999999987, 0.03720839999999998, -2.2204460492503132e-20, 0.27569726666666694, 0.056699999999999987, 0.23973193333333323, 0.22346099999999988, 0.8288000000000003, 0.09421999999999998, 0.03831999999999997, 0.3642024666666666, 0.0675, 0.13859166666666656, 0.00845, 0.22725800000000004, 0.005400000000000206, 0.34020000000000017, 0.017660000000000026, 0.2692526666666668, 3.7007434154171883e-20, 0.11079999999999998, 0.028121399999999963, 0.34123133333333333, 0.007160000000000001, 0.3162871333333332, -2.2737367544323208e-18, 0.07961600000000009, 0.558789, 0.20323599999999994, 0.31222073333333306, 0.082786, 0.00540000000000021, 0.16062000000000037, 3.183231456205249e-16, 0.2905239333333334, 0.14277999999999993, 0.1109000000000001, 0.08701399999999994, 0.4045, 0.3454893333333334]"
MORA,269700,0.5165368770250005,0,2,2,0,0,89.08127498626709,"[0.5037218666666669, 0.503371, 0.016499999999999956, 0.03615999999999998, 0.10702000000000003, 0.05963000000000001, 0.3847133333333338, 0.07779999999999992, 0.014879999999999968, 0.18835333333333334, 0.057714999999999995, 0.21178500000000022, 0.06428570000000003, 0.03995000000000002, 0.10320000000000035, 0.015091799999999982, 0.07522453333333333, 0.17159999999999997, 0.21576833333333292, 0.06787680000000013, 0.14303229999999986, 0.010260000000000002, 0.018730000000000076, 0.030306933333333327, 0.1323799999999998, 0.05197000000000001, 0.42987466666666624, 0.04004999999999994, -2.2204460492503132e-20, 0.06279999999999993, 0.36647049999999975, 0.03135999999999997, 0.09688820000000002, 0.0887482, 0.05908850000000002, -3.3306690738754693e-20, 0.14916600000000002, 0.00010000000000000007, 0.07725000000000015, 0.13984080000000004, 0.08121399999999987, 0.07704999999999994, 0.15946000000000007, 0.13513333333333308, 0.24726286666666614, 0.35982049999999977, 0.0001999999999999999, 0.07796980000000005, 0.09000000000000011, 0.05880000000000012, 0.05128850000000001, 0.033797499999999994, 0.03534999999999989, 0.01884119999999998, 6.666666666666666e-05, 0.281037466666667, 0.05144749999999999, 0.16716666666666644, 0.10915299999999986, 0.7953250000000002, 0.028273600000000006, 0.03615999999999996, 0.17496939999999978, 0.05669999999999998, 0.13489999999999988, 0.026300000000000018, 0.234294, 0.04540000000000021, 0.21862300000000023, 0.017720000000000027, 1.2884508275116484e-16, 0.295894, 0.07699999999999997, 0.0916333333333333, 0.209792, 2.842170943040401e-19, 0.30011999999999983, 0.1774964, 0.10188850000000012, 0.40216700000000005, 0.1746613333333333, 0.19812953333333305, 0.887482, 0.04095000000000021, 0.3226080000000004, 0.15810000000000032, 0.24938666666666667, 0.038393599999999896, 0.08140000000000007, 0.2663999999999999, 0.13322299999999995, 0.6025586666666669]"
