Routing algorithm,Power consumption [W],Reliability score (Max),Reliability score (# above 60%),Mean latency (premium) [ms],Mean latency (assured) [ms],Premium SLA violations,Assured SLA violations,Time,Link usage
Dijkstra,228721,0.0,0,2,2,0,0,0.0,"[0.17578499999999997, 0.00573, 0.0, 0.05223749999999999, 0.0046500000000000005, 0.00021, 0.06495, 0.00645, 0.0254625, 0.0246, 0.32955, 0.00435, 0.34914, 0.0003, 0.10493999999999999, 0.0, 0.0, 0.0075, 0.0457875, 0.135395, 0.00015, 0.003645, 0.00645, 0.042, 0.00156, 0.036884999999999994, 0.32411000000000006, 0.3160875, 0.270935, 3.75e-05, 0.00225, 0.029475, 0.1081125, 0.0052875, 0.04757999999999999, 0.0, 4.9999999999999996e-05, 0.0313125, 0.23835500000000004, 0.0, 0.1418625, 0.11227499999999997, 0.188905, 0.0, 0.13171500000000003, 0.00495, 0.175125, 0.26130000000000003, 0.25484500000000004, 3.75e-05, 0.11224499999999998, 0.0390375, 0.080025, 0.1047, 0.16912499999999994, 5e-05, 0.13745, 0.27647, 0.0, 0.00015, 0.355155, 0.037425, 0.23577500000000004, 0.3093375, 0.0, 0.014175, 0.12245, 0.0636375, 0.0055125, 0.015284999999999998, 0.0, 0.5991, 0.05481, 0.201955, 0.09525, 0.09967, 0.0, 0.1632, 0.007515, 0.01139, 0.0, 0.0, 0.000285, 0.03289500000000001, 0.16394999999999998, 0.011295, 0.072315, 0.14845499999999998, 0.0932475, 0.004615, 0.030555, 0.010365]"
Dijkstra,217540,0.0,0,2,2,0,0,8.879268884658812,"[0.1445999999999999, 0.007484999999999999, 0.0, 0.05020500000000002, 0.008475, 0.00015, 0.0603, 0.005400000000000002, 0.0274875, 0.03501499999999999, 0.2866, 0.004874999999999999, 0.3254649999999997, 0.0003, 0.120185, 0.0, 0.0, 0.0075, 0.04515, 0.16103999999999985, 7.500000000000001e-05, 0.002939999999999999, 0.0037125000000000005, 0.04424999999999999, 0.00135, 0.04317499999999998, 0.323095, 0.358182375, 0.21693499999999996, 3.75e-05, 0.0058499999999999976, 0.029475, 0.17497500000000002, 0.004912500000000001, 0.059684999999999974, 0.0, 5.000000000000001e-05, 0.0303, 0.14991500000000016, 0.0, 0.12665999999999997, 0.1812, 0.264665, 0.0, 0.120225, 0.0061499999999999975, 0.18719999999999998, 0.17269999999999996, 0.09131000000000011, 3.75e-05, 0.10781999999999999, 0.06179249999999998, 0.11205, 0.10772294999999994, 0.20332499999999998, 5e-05, 0.21524999999999997, 0.30415, 0.0, 0.00015000000000000001, 0.3639399999999998, 0.03982499999999998, 0.23749264999999994, 0.3476448749999999, 0.0, 0.0238125, 0.07825, 0.06824999999999995, 0.004575, 0.015419999999999996, 0.0, 0.39922500000000016, 0.06126000000000003, 0.15360000000000001, 0.10325999999999996, 0.19279, 0.0, 0.13735, 0.010814999999999995, 0.026600000000000002, 0.0, 0.0, 0.00198, 0.030330000000000017, 0.19815, 0.009000000000000003, 0.08145264999999999, 0.10586000000000002, 0.0935175, -1.1368683772161604e-18, 0.03106, 0.009705]"
Dijkstra,224711,0.0,0,2,2,0,0,15.805588006973267,"[0.15164249999999987, 0.005535, 0.0, 0.05796750000000001, 0.008925000000000002, 0.00011999999999999996, 0.059403500000000005, 0.0060375, 0.0301125, 0.04252999999999997, 0.26225000000000004, 0.002624999999999999, 0.33069554999999967, 0.0003, 0.1127499999999999, 0.0, 0.0, 0.0075, 0.04147500000000001, 0.14439499999999986, 7.500000000000001e-05, 0.003449999999999999, 0.0012375000000000014, 0.06044999999999999, 0.0009149999999999996, 0.03821999999999999, 0.39023, 0.34965000000000007, 0.1870699999999999, 0.0031875, 0.006299999999999998, 0.026736375, 0.17929612499999995, 0.004575000000000002, 0.055034999999999994, 0.0, 5.000000000000001e-05, 0.023925, 0.1559950000000002, 0.0, 0.13734749999999993, 0.18188362499999994, 0.28192499999999987, 0.0, 0.10833, 0.008962500000000002, 0.215625, 0.14889999999999992, 0.08807500000000011, 3.75e-05, 0.11807999999999995, 0.06138749999999999, 0.1089, 0.12467999999999993, 0.20332499999999998, 5e-05, 0.13659999999999994, 0.32972055, 0.0, 0.00015000000000000001, 0.3645605499999997, 0.041242499999999974, 0.20390999999999995, 0.3419624999999999, 0.0, 0.02126250000000001, 0.07295700000000001, 0.07338749999999997, 0.00465, 0.018074999999999997, 0.0, 0.28927500000000006, 0.05737500000000003, 0.155695, 0.11245664999999999, 0.19770499999999996, 0.0, 0.132057, 0.009136649999999994, 0.04946500000000001, 0.0, 0.0, 0.00198, 0.03802500000000001, 0.19815, 0.014610000000000005, 0.04556534999999998, 0.13134500000000002, 0.08948249999999998, 4.999999999998862e-06, 0.062045, 0.01090845]"
Dijkstra,219645,0.0,0,2,2,0,0,20.582584857940677,"[0.1442549999999999, 0.005475, 0.0, 0.09874597500000004, 0.008925000000000002, 0.00011999999999999995, 0.05995000000000001, 0.0054375, 0.026536874999999998, 0.04532499999999998, 0.3496500000000001, 0.0035549999999999987, 0.3540549999999998, 0.0003, 0.10366499999999997, 0.0, 0.0, 0.0075, 0.0406125, 0.1591899999999999, 7.500000000000001e-05, 0.003014999999999999, 0.00033750000000000175, 0.042675, 0.0009899999999999998, 0.03116999999999997, 0.33665000000000006, 0.2851125000000002, 0.08963324999999989, 7.499999999999929e-05, 0.006337499999999998, 0.026736375, 0.13245, 0.005475000000000001, 0.04485749999999999, 0.0, 5.000000000000001e-05, 0.023440499999999996, 0.09278500000000019, 0.0, 0.12281249999999991, 0.13503750000000003, 0.29005, 0.0, 0.11702999999999998, 0.008925, 0.525675, 0.14774999999999985, 0.09258825000000014, 3.75e-05, 0.1030199999999999, 0.036645000000000004, 0.109275, 0.11582999999999995, 0.2144805, 5e-05, 0.16279999999999994, 0.4292160499999998, 0.0, 0.00015000000000000001, 0.32150500000000004, 0.04210499999999999, 0.21684000000000003, 0.2803125, 0.0, 0.012525000000000012, 0.06816649999999999, 0.06528749999999998, 0.0036555, 0.02397, 0.0, 0.2551500000000001, 0.06681975000000004, 0.16102499999999995, 0.11389499999999994, 0.22772564999999997, 0.0, 0.17635000000000003, 0.007574999999999993, 0.04009500000000002, 0.0, 0.0, 0.00039, 0.027345000000000022, 0.20930550000000003, 0.01032000000000001, 0.046205, 0.09112999999999993, 0.1239375, 0.0015399999999999988, 0.04503500000000003, 0.009495]"
Dijkstra,211637,0.0,0,2,2,0,0,14.225651979446411,"[0.18422999999999992, 0.005924999999999999, 0.0, 0.12517499999999998, 0.005620500000000003, 0.00013500000000000003, 0.058, 0.008512500000000004, 0.020587499999999995, 0.04865934999999996, 0.27420000000000017, 0.002055599999999999, 0.32099999999999956, 0.0003, 0.10266999999999993, 0.0, 0.0, 0.0075, 0.04728750000000001, 0.1628643499999998, 7.500000000000001e-05, 0.0026999999999999993, 0.00033750000000000164, 0.036600000000000014, 0.0013049999999999997, 0.031139999999999946, 0.3051899999999998, 0.28957500000000014, 0.20830999999999994, 7.49999999999993e-05, 0.0028454999999999973, 0.023545499999999997, 0.12344512500000003, 0.005475, 0.03760499999999999, 0.0, 5.000000000000001e-05, 0.019219499999999997, 0.24519935000000018, 0.0, 0.12458249999999989, 0.126857625, 0.11925000000000002, 0.0, 0.108165, 0.005508000000000002, 0.5964, 0.18614999999999987, 0.23283935000000003, 0.0031875000000000002, 0.1106399999999999, 0.06756, 0.08159999999999999, 0.10565999999999989, 0.20789775, 5.000000000000001e-05, 0.16514999999999985, 0.29830760000000006, 0.0, 0.00015, 0.30524499999999977, 0.03621779999999996, 0.207565, 0.2825625, 0.0, 0.010875000000000004, 0.0854525, 0.07027499999999995, 0.005362499999999999, 0.029204999999999995, 0.0111375, 0.23827500000000004, 0.05050500000000003, 0.20842000000000002, 0.12014999999999995, 0.09003999999999994, 0.0, 0.1392, 0.007619999999999996, 0.03470499999999998, 0.0, 0.0, 0.00039, 0.03223500000000002, 0.20272275, 0.010335000000000009, 0.04363019999999996, 0.09410499999999992, 0.1239825, -1.3263464400855203e-18, 0.03475, 0.008865]"
Dijkstra,207115,0.0003875976562501826,0,2,2,0,0,13.764770030975342,"[0.17138249999999994, 0.00618, 0.0, 0.10697249999999998, 0.005508000000000003, 0.00013500000000000003, 0.06365000000000003, 0.0074666250000000045, 0.020324999999999992, 0.03992499999999996, 0.2871500000000001, 0.002055599999999999, 0.3136170999999997, 0.0003, 0.11084999999999998, 0.0, 0.0, 0.0075, 0.03843750000000002, 0.16145499999999974, 0.00015, 0.0028949999999999996, 0.00033750000000000175, 0.0408, 0.00031499999999999974, 0.03245999999999993, 0.32129500000000005, 0.3005625000000002, 0.17633, 3.74999999999993e-05, 0.002882999999999997, 0.027691125, 0.141879375, 0.002175, 0.044678324999999984, 0.0, 5e-05, 0.026287499999999988, 0.23601500000000009, 0.0, 0.11921249999999993, 0.14529187499999996, 0.1479550000000001, 0.0, 0.10071000000000008, 0.005508000000000002, 0.6078750000000003, 0.1799499999999999, 0.17335, 5.329070518200751e-19, 0.10459499999999992, 0.03150750000000001, 0.09089999999999998, 0.13024499999999986, 0.20789775, 5e-05, 0.14574999999999988, 0.28136210000000017, 0.0, 0.00015000000000000001, 0.3356970999999999, 0.037117799999999986, 0.20307000000000014, 0.29006250000000006, 0.0, 0.0423375, 0.0854525, 0.06161249999999995, 0.0021749999999999994, 0.017280000000000004, -7.105427357601002e-19, 0.21592499999999995, 0.05934000000000004, 0.22407499999999986, 0.11840129999999993, 0.09136999999999994, 0.0, 0.147575, 0.007619999999999996, 0.037834999999999994, 0.0, 0.0, 0.00036, 0.02910000000000003, 0.20272275, 9.094947017729283e-18, 0.045130199999999975, 0.0906499999999999, 0.11633250000000002, -1.3263464400855203e-18, 0.03730500000000001, 0.011573400000000001]"
Dijkstra,200466,0.0,0,2,2,0,0,20.650906801223755,"[0.15844499999999986, 0.0053700000000000015, 0.0, 0.11371499999999998, 0.008883000000000002, 0.00011999999999999998, 0.06320000000000003, 0.006299999999999999, 0.01961249999999999, 0.02365499999999997, 0.26365000000000016, 0.00441, 0.2633980999999997, 0.0219, 0.10716499999999993, 0.0, 0.0, 0.0291, 0.045337500000000024, 0.14923999999999976, 7.500000000000002e-05, 0.006539999999999999, 0.0004125000000000016, 0.031875, 0.00135, 0.03196999999999994, 0.32289500000000015, 0.3436124999999998, 0.2249849999999999, 3.749999999999929e-05, 0.002882999999999997, 0.012637499999999994, 0.07593749999999999, 0.00465, 0.0537, 0.0, 5e-05, 0.020812499999999987, 0.21804590000000013, 0.0, 0.1261049999999999, 0.07983749999999999, 0.163075, 0.0, 0.13518000000000005, 0.0088455, 0.5646000000000001, 0.1861809999999999, 0.21065089999999995, 3.750000000000053e-05, 0.10967999999999993, 0.027180000000000027, 0.06487499999999996, 0.12943499999999977, 0.21432974999999996, 5e-05, 0.17179999999999987, 0.2043381000000002, 0.0, 0.00015000000000000001, 0.32427309999999987, 0.0353925, 0.2104630999999999, 0.3376124999999999, 0.0, 0.012419250000000005, 0.0854525, 0.07068749999999996, 0.004537499999999999, 0.017190000000000007, -7.105427357601002e-19, 0.20077499999999987, 0.04885500000000005, 0.19992589999999985, 0.12025499999999996, 0.07581499999999995, 0.0, 0.1293175, 0.006899999999999999, 0.012324999999999978, 0.0, 0.0, 0.0005550000000000003, 0.03295500000000003, 0.20915475, 0.01335000000000001, 0.07572999999999994, 0.12326, 0.08987250000000004, 0.014199999999999997, 0.017525000000000013, 0.007785]"
Dijkstra,190945,0.06910326562499991,0,2,2,0,0,22.136207103729248,"[0.10149000000000002, 0.005115000000000001, 0.0, 0.12365249999999998, 0.006712500000000004, 0.00015, 0.05770000000000003, 0.0064124999999999955, 0.01728749999999999, 0.024334999999999975, 0.31160000000000015, 0.010275, 0.2384899999999998, 0.0003, 0.11673499999999998, 0.0, 0.0, 0.0075, 0.044475000000000015, 0.16028999999999985, 7.5e-05, 0.004649999999999998, 0.00022500000000000143, 0.0264, 0.0010350000000000001, 0.029339999999999953, 0.27602, 0.33374999999999994, 0.09964999999999992, 3.749999999999929e-05, 0.000299999999999997, 0.017561999999999994, 0.08505, 0.0038625, 0.0502575, 0.0, 5.000000000000001e-05, 0.02054999999999999, 0.08802090000000017, 0.0, 0.11834999999999997, 0.09288749999999998, 0.28676, 0.0, 0.12271500000000009, 0.006674999999999999, 0.7051500000000003, 0.19184999999999985, 0.03250589999999991, 3.750000000000053e-05, 0.10512000000000002, 0.0585525, 0.07514999999999997, 0.09628499999999976, 0.21432974999999996, 5e-05, 0.19459999999999983, 0.34716500000000017, 0.0, 0.00015, 0.271045, 0.03881249999999999, 0.17934000000000014, 0.326925, 0.0, 0.021044250000000004, 0.09007549999999998, 0.05677499999999996, 0.0038625, 0.019980000000000008, -7.105427357601002e-19, 0.18352499999999997, 0.051375000000000066, 0.2061208999999998, 0.12224999999999997, 0.18905999999999998, 0.0, 0.1430525, 0.007259999999999997, 0.05894499999999999, 0.0, 0.0, 0.0004950000000000003, 0.034680000000000044, 0.20915475, 0.011370000000000012, 0.042939999999999943, 0.09421499999999994, 0.10086750000000004, 0.05711000000000002, 0.04302000000000001, 0.006975000000000004]"
Dijkstra,198182,0.002936285156249774,0,2,2,0,0,16.404988050460815,"[0.09700612499999994, 0.007035000000000003, 0.0, 0.12223499999999998, 0.0069750000000000055, 0.000105, 0.06160000000000004, 0.006300000000000002, 0.017587499999999995, 0.02123999999999997, 0.3096500000000002, 0.005370000000000002, 0.27417499999999967, 0.0003, 0.10833574999999993, 0.0, 0.0, 0.0075, 0.04008750000000003, 0.15976999999999977, 7.5e-05, 0.005790000000000001, 7.500000000000138e-05, 0.028061250000000003, 0.001155, 0.03132074999999996, 0.2854300000000001, 0.3194249999999999, 0.24580605, 3.749999999999929e-05, 0.00037499999999999713, 0.017561999999999994, 0.123825, 0.004050000000000002, 0.04226250000000001, 0.0, 5e-05, 0.019199999999999988, 0.22395090000000015, 0.0, 0.10915499999999989, 0.1296375, 0.1796099999999999, 0.0, 0.11248500000000006, 0.0070125, 0.6216750000000005, 0.20559999999999984, 0.20790089999999997, 3.750000000000053e-05, 0.10468499999999999, 0.03936000000000003, 0.07320000000000002, 0.11162999999999976, 0.20397899999999997, 5e-05, 0.20719999999999988, 0.21960000000000018, 0.0, 0.00015, 0.331315, 0.03369, 0.19430500000000014, 0.31259999999999993, 0.0, 0.020294250000000003, 0.09007549999999998, 0.054562499999999965, 0.0040125000000000004, 0.013245000000000012, -7.105427357601002e-19, 0.17737499999999995, 0.05062500000000008, 0.18031589999999995, 0.11164814999999997, 0.09192499999999992, 0.0, 0.1430525, 0.005414999999999998, 0.018044999999999985, 0.0, 0.0, 0.00036000000000000035, 0.028740000000000047, 0.20412900000000003, 0.0069600000000000104, 0.06669999999999995, 0.10480104999999994, 0.11201249999999996, 5.000000000029594e-06, 0.016740000000000015, 0.004815]"
Dijkstra,183269,0.01727581640625031,0,2,2,0,0,20.356027126312245,"[0.10473000000000002, 0.006659999999999999, 0.0, 0.11446500000000005, 0.003412500000000005, 9.000000000000003e-05, 0.06390000000000007, 0.006112499999999999, 0.016912500000000004, 0.01797999999999998, 0.2706000000000002, 0.0054300000000000025, 0.2469949999999999, 0.0003, 0.10298999999999994, 0.0, 0.0, 0.0075, 0.04582500000000003, 0.1412649999999998, 7.5e-05, 0.010484999999999998, 0.00011250000000000138, 0.02722499999999999, 0.001035, 0.03683999999999995, 0.28237500000000015, 0.318, 0.11949499999999998, 3.749999999999929e-05, 0.0001874999999999972, 0.008391374999999996, 0.11670000000000004, 0.004200000000000001, 0.04518000000000001, 0.0, 5.000000000000001e-05, 0.02092499999999999, 0.1498150000000001, 0.0, 0.0984899999999999, 0.12255000000000005, 0.2590549999999999, 0.0, 0.12327000000000006, 0.0033000000000000013, 0.6525750000000008, 0.1358999999999999, 0.05111999999999994, 3.750000000000054e-05, 0.11295000000000002, 0.03072750000000004, 0.056175, 0.11864999999999974, 0.215331, 5e-05, 0.20914999999999984, 0.2891700000000003, 0.0, 0.00015000000000000001, 0.2996950000000002, 0.03330750000000001, 0.15287500000000018, 0.3130124999999999, 0.0, 0.013237500000000006, 0.06799899999999999, 0.06037499999999994, 0.004125, 0.013290000000000008, -7.105427357601002e-19, 0.19290000000000004, 0.049050000000000094, 0.2093699999999999, 0.08026499999999998, 0.18361500000000003, 0.0, 0.1337395, 0.006014999999999994, 0.04232999999999999, 0.0, 0.0, 0.00042000000000000007, 0.02710500000000006, 0.20940600000000004, 0.012435000000000015, 0.04325499999999989, 0.07931999999999995, 0.08189249999999998, 0.0047950000000000275, 0.04712000000000004, 0.0057300000000000025]"
