Routing algorithm,Power consumption [W],Reliability score (Max),Reliability score (# above 60%),Mean latency (premium) [ms],Mean latency (assured) [ms],Premium SLA violations,Assured SLA violations,Time,Link usage
EAR,313463,3.3112625976562486,1,2,2,3,3,0.0,"[0.0979, 0.3238333333333333, 0.08700000000000002, 0.43266666666666664, 0.0029374999999999996, 0.193875, 0.015425000000000003, 0.0, 0.000125, 0.0, 0.11713333333333334, 0.0, 0.0, 0.30318333333333336, 0.32516666666666666, 0.037083333333333336, 0.003, 0.1744166666666667, 0.0551, 0.2438, 0.4163125, 0.00075, 0.0003, 0.3749666666666666, 0.004375, 0.0, 0.092125, 0.17777500000000004, 0.00012499999999999998, 0.10933750000000002, 0.18625, 0.0621, 0.09336666666666668, 0.03300000000000001, 0.5105, 0.0, 0.064, 0.30950000000000005, 0.18035833333333331, 6.25e-05, 0.0805625, 0.066975, 0.10089166666666666, 0.02835, 0.0, 0.16350833333333337, 0.0, 0.383, 0.026874999999999993, 0.4058125, 0.18683333333333332, 0.11325, 0.021825, 0.0925625, 0.04420000000000001, 0.00075, 0.06541249999999998, 0.2856833333333333, 1.327875, 0.3023, 0.0491, 6.25e-05, 0.1645, 0.14909166666666668, 0.0, 6.25e-05, 0.0, 0.30715, 0.0, 0.032874999999999995, 0.012275, 0.1149125, 0.193875, 0.36901666666666655, 0.35175, 0.0, 0.1586875, 0.0, 0.0, 0.0, 0.252725, 0.0, 0.088175, 0.0024500000000000004, 0.09195, 0.2463, 0.0, 0.0, 0.3419999999999999, 0.0, 0.0, 0.43416666666666665]"
EAR,305994,1.5742407226562527,1,2,2,4,4,5.579383850097656,"[0.0847749999999999, 0.2919416666666667, 0.08867500000000002, 0.32766666666666666, 0.0028125000000000003, 0.1944375, 0.022174, 0.0, 0.00025, 0.0, 0.26428333333333326, 0.0, 0.0, 0.28840000000000005, 0.16506666666666658, 0.039591666666666685, 0.0028749999999999995, 0.2986749999999998, 0.03790000000000002, 0.24704999999999985, 0.3881249999999999, 0.00055, 0.00044999999999999993, 0.2766663333333334, 0.004375, 0.0, 0.11956250000000002, 0.14337500000000003, 0.00012499999999999998, 0.10412500000000002, 0.2146875, 0.07436250000000001, 0.07607499999999995, 0.028687499999999994, 0.4993333333333332, 0.0, 0.06337499999999999, 0.23112499999999986, 0.18022500000000002, 6.25e-05, 0.09237499999999998, 0.07278750000000002, 0.1382916666666667, 0.02765, 0.0, 0.19770833333333335, 0.0, 0.45741666666666686, 0.024374999999999994, 0.3751875, 0.19755333333333336, 0.11662499999999998, 0.02565, 0.126875, 0.03803333333333334, 0.005500000000000001, 0.09498749999999999, 0.35967499999999997, 1.1018750000000006, 0.24890000000000015, 0.07213333333333333, 6.249999999999997e-05, 0.23606250000000004, 0.18715833333333318, 0.0, 0.00018749999999999998, 0.0, 0.2456416666666668, 0.0, 0.0298125, 0.009624999999999998, 0.11448750000000006, 0.19387500000000005, 0.36289166666666656, 0.2596666666666667, 0.0, 0.23075, 0.0, 0.0, 0.0, 0.20040000000000016, 0.0, 0.07962499999999999, 0.0019249999999999996, 0.07532500000000006, 0.27014999999999995, 0.0, 0.0, 0.45149166666666646, 0.0, 0.0, 0.2582996666666668]"
EAR,275978,1.5252250000000025,1,2,2,5,5,8.055472850799559,"[0.10637499999999991, 0.43152500000000016, 0.08667500000000006, 0.2978333333333332, 0.0028125, 0.19362499999999996, 0.02077500000000001, 0.0, 0.0002499999999999999, 0.0, 0.28423333333333345, 0.0, 0.0, 0.22231666666666672, 0.20818333333333336, 0.029875000000000006, 0.002874999999999999, 0.3084, 0.045662500000000016, 0.2767999999999999, 0.35681249999999987, 0.00042500000000000014, 0.00037500000000000006, 0.11605, 0.004375, 0.0, 0.10968750000000002, 0.15161250000000007, 0.00012499999999999998, 0.10148750000000005, 0.25275, 0.08457499999999998, 0.11124366666666666, 0.028124999999999983, 0.4433533333333333, 0.0, 0.05724999999999997, 0.22424999999999992, 0.22196666666666676, 0.000125, 0.07493749999999999, 0.07696249999999998, 0.060308333333333394, 0.035875, 0.0, 0.0789, 0.0, 0.4349999999999997, 0.027624999999999993, 0.34512500000000007, 0.21366666666666667, 0.123625, 0.018225, 0.10024999999999999, 0.04121666666666666, 0.003999999999999999, 0.07534999999999996, 0.19129666666666661, 1.0940000000000003, 0.2625250000000001, 0.023724999999999975, 6.249999999999997e-05, 0.1974999999999999, 0.1243416666666665, 0.0, 6.249999999999996e-05, 0.0, 0.30366666666666664, 0.0, 0.033687499999999995, 0.016125, 0.09780000000000001, 0.19368750000000004, 0.22986666666666666, 0.2613533333333333, 0.0, 0.1904374999999999, 0.0, 0.0, 0.0, 0.39029166666666665, 0.0, 0.08477499999999998, 0.0018, 0.07185000000000005, 0.24335000000000004, 0.0, 0.0, 0.39461666666666595, 0.0, 0.0, 0.12400000000000005]"
EAR,268139,1.1382222656250027,1,2,2,2,2,8.356693983078003,"[0.10304999999999996, 0.3021333333333335, 0.08770000000000001, 0.33574999999999994, 0.0028749999999999995, 0.19362499999999996, 0.018625000000000013, 0.0, 0.00012499999999999992, 0.0, 0.3175750000000002, 0.0, 0.0, 0.19730600000000023, 0.15690833333333337, 0.028075, 0.0027499999999999994, 0.33136666666666664, 0.017687499999999995, 0.23869999999999986, 0.4123124999999999, 0.0004000000000000001, 0.0003, 0.13771666666666676, 0.004375, 0.0, 0.09150000000000003, 0.14000000000000004, 0.0058125, 0.10700900000000005, 0.24462499999999995, 0.059950000000000045, 0.11550599999999998, 0.02431249999999998, 0.45808333333333323, 0.0, 0.06137499999999996, 0.21099999999999977, 0.2063, 0.000125, 0.08306250000000004, 0.08163749999999995, 0.06965666666666674, 0.050975, 0.0, 0.14442500000000003, 0.0, 0.44633333333333297, 0.026437500000000006, 0.39987499999999987, 0.22081333333333336, 0.1390000000000001, 0.019325, 0.09504999999999998, 0.027799999999999988, 0.003999999999999999, 0.09211249999999996, 0.2537066666666667, 1.0267500000000007, 0.38657500000000017, 0.019173333333333306, 6.249999999999996e-05, 0.18487499999999996, 0.1321333333333332, 0.0, 6.249999999999996e-05, 0.0, 0.2804143333333333, 0.0, 0.035375000000000004, 0.0144, 0.12178750000000008, 0.19431250000000005, 0.2889916666666667, 0.29148333333333326, 0.0, 0.18037499999999995, 0.0, 0.0, 0.0, 0.2702250000000002, 0.0, 0.10430000000000002, 0.002125, 0.06892500000000003, 0.25050000000000006, 0.0, 0.0, 0.40694999999999937, 0.0, 0.0, 0.10675833333333339]"
EAR,288812,0.6759922851562551,1,2,2,0,0,7.676614046096803,"[0.0999249999999999, 0.25415833333333343, 0.08705000000000006, 0.2466666666666667, 0.0028124999999999995, 0.19343749999999996, 0.021425000000000013, 0.0, 0.00012499999999999992, 0.0, 0.22242499999999996, 0.0, 0.0, 0.12597500000000025, 0.2272833333333334, 0.022000000000000006, 0.002874999999999998, 0.20561666666666675, 0.01778749999999999, 0.2419459999999999, 0.3521874999999999, 0.0004000000000000001, 0.00024999999999999995, 0.3902416666666667, 0.004375, 0.0, 0.10937500000000003, 0.11983750000000004, 0.00018750000000000055, 0.10516250000000003, 0.24906249999999996, 0.05933749999999999, 0.06879166666666665, 0.027062499999999982, 0.4683333333333332, 0.0, 0.08449999999999996, 0.2103749999999999, 0.19369166666666682, 0.00012500000000000006, 0.07630250000000002, 0.08924999999999994, 0.11300000000000004, 0.04070000000000001, 0.0, 0.12416666666666674, 0.0, 0.533583333333333, 0.022875000000000006, 0.3408749999999997, 0.26725, 0.13350000000000006, 0.016225000000000003, 0.11837499999999998, 0.02635833333333332, 0.00024999999999999914, 0.06276249999999996, 0.24926666666666686, 0.9288750000000011, 0.31252500000000016, 0.054358333333333335, 6.249999999999996e-05, 0.10212499999999997, 0.1322583333333332, 0.0, 6.249999999999996e-05, 0.0, 0.3420333333333334, 0.0, 0.03362500000000001, 0.008750000000000003, 0.15205000000000013, 0.19287500000000005, 0.3727500000000002, 0.22508333333333325, 0.0, 0.09543749999999997, 0.0, 0.0, 0.0, 0.2599583333333335, 0.0, 0.09905, 0.001725, 0.07810000000000007, 0.24297500000000014, 0.0, 0.0, 0.4040749999999993, 0.0, 0.0, 0.32954999999999995]"
EAR,295916,0.0,0,2,2,0,0,7.88962197303772,"[0.08747499999999997, 0.25837499999999997, 0.08562500000000008, 0.2784166666666667, 0.0031875, 0.1935625, 0.007575000000000014, 0.0, 0.00012499999999999998, 0.0, 0.11399166666666664, 0.0, 0.0, 0.14321666666666685, 0.3847263333333331, 0.024800000000000013, 0.003187499999999998, 0.17235833333333334, 0.017987499999999997, 0.25819999999999993, 0.3583125, 0.0010000000000000002, 0.00030000000000000003, 0.3907916666666668, 0.004375, 0.0, 0.060250000000000026, 0.1063625, 0.00012500000000000054, 0.1048, 0.2468125000000001, 0.06900000000000006, 0.0651166666666667, 0.025812499999999978, 0.3764166666666666, 0.0, 0.09149999999999994, 0.20987499999999978, 0.21068333333333342, 6.250000000000004e-05, 0.07662500000000004, 0.08564999999999992, 0.11625833333333334, 0.033375, 0.0, 0.16159999999999997, 0.0, 0.5337499999999996, 0.024500000000000004, 0.3479374999999999, 0.2745033333333333, 0.11350000000000009, 0.014925, 0.050624999999999976, 0.02127499999999998, 0.00024999999999999914, 0.06654999999999997, 0.31958333333333355, 0.5366250000000016, 0.38240000000000013, 0.0708083333333333, 6.249999999999995e-05, 0.1289999999999999, 0.14870133333333316, 0.0, 0.0056875, 0.0, 0.2494, 0.0, 0.03775000000000001, 0.010925000000000002, 0.0824500000000001, 0.19425000000000006, 0.4370013333333333, 0.22216666666666668, 0.0, 0.12093749999999993, 0.0, 0.0, 0.0, 0.2576916666666667, 0.0, 0.0881, 0.00185, 0.07510000000000007, 0.2948500000000002, 0.0, 0.0, 0.3054916666666659, 0.0, 0.0, 0.3702083333333333]"
EAR,330832,0.0,0,2,2,0,0,7.9470250606536865,"[0.10965, 0.32197033333333336, 0.08840000000000008, 0.2553333333333335, 0.0031875000000000002, 0.19631499999999996, 0.005550000000000013, 0.0, 0.00012499999999999998, 0.0, 0.252225, 0.0, 0.0, 0.2377333333333337, 0.2310833333333332, 0.03398333333333333, 0.0032499999999999985, 0.338675, 0.01954999999999999, 0.25827499999999975, 0.335375, 0.00045000000000000026, 0.00030000000000000003, 0.25920000000000015, 0.0, 0.0, 0.04081250000000002, 0.09878749999999999, 6.250000000000058e-05, 0.12206249999999996, 0.22143750000000004, 0.07696250000000003, 0.12061666666666672, 0.013874999999999978, 0.46941666666666665, 0.0, 0.10762499999999993, 0.37774999999999975, 0.22612500000000005, 6.250000000000004e-05, 0.08943750000000002, 0.08421249999999993, 0.05941666666666663, 0.039525, 0.0, 0.18020000000000005, 0.0, 0.47616666666666635, 0.022562500000000006, 0.32768749999999996, 0.232, 0.1356250000000001, 0.017578, 0.029812499999999978, 0.023108333333333314, 0.0004999999999999993, 0.06111249999999999, 0.3480416666666665, 0.5325000000000014, 0.42490000000000017, 0.03963333333333336, 6.249999999999996e-05, 0.2056874999999999, 0.17514999999999983, 0.0, 0.0021275, 0.0, 0.3084500000000001, 0.0, 0.03431250000000001, 0.017175000000000003, 0.1291500000000001, 0.19575250000000013, 0.45473333333333277, 0.22025, 0.0, 0.20087499999999986, 0.0, 0.0, 0.0, 0.2744193333333334, 0.0, 0.11555, 0.0017, 0.08020000000000005, 0.2929080000000002, 0.0, 0.0, 0.46558333333333224, 0.0, 0.0, 0.30627499999999996]"
EAR,282428,0.0006113256250004362,0,2,2,0,0,7.8006370067596436,"[0.10377499999999996, 0.28421666666666673, 0.08627500000000007, 0.18716666666666681, 0.0031875, 0.19772999999999996, 0.025575000000000018, 0.0, 0.00012499999999999998, 0.0, 0.23537499999999995, 0.0, 0.0, 0.1977700000000004, 0.23008333333333333, 0.02730833333333334, 0.0031874999999999985, 0.32026666666666664, 0.018637499999999994, 0.22800299999999984, 0.3491874999999999, 0.0004000000000000003, 0.00035000000000000005, 0.2522916666666672, 0.00025, 0.0, 0.036437500000000025, 0.08727499999999996, 6.250000000000058e-05, 0.13968, 0.21100000000000013, 0.07562499999999997, 0.11574816666666668, 0.010999999999999975, 0.33319833333333354, 0.0, 0.10462499999999991, 0.22012499999999982, 0.17640833333333347, 0.000125, 0.09250000000000003, 0.0767124999999999, 0.07569999999999998, 1.1368683772161604e-18, 0.0, 0.16751666666666676, 0.0, 0.5999166666666664, 0.0203125, 0.33968749999999986, 0.27525, 0.1220000000000001, 0.013400000000000002, 0.026652499999999975, 0.02894166666666666, 0.0003749999999999993, 0.05595, 0.3568500000000002, 0.6098900000000013, 0.45240000000000014, 0.020575000000000006, 6.249999999999996e-05, 0.14806249999999987, 0.18130833333333318, 0.0, 6.249999999999985e-05, 0.0, 0.25811166666666674, 0.0, 0.035687500000000004, 0.0313, 0.10023900000000015, 0.19688250000000015, 0.41130833333333267, 0.1929483333333333, 0.0, 0.14418749999999986, 0.0, 0.0, 0.0, 0.17365833333333344, 0.0, 0.14572500000000005, 0.0018, 0.08565000000000007, 0.2921000000000001, 0.0, 0.0, 0.3301176666666655, 0.0, 0.0, 0.20930833333333349]"
EAR,314739,0.007821191406250705,0,2,2,0,0,7.734416961669923,"[0.08522499999999998, 0.3700583333333332, 0.08830000000000007, 0.2751666666666668, 0.0021875, 0.19275, 0.02585000000000001, 0.0, 0.000125, 0.0, 0.33032500000000015, 0.0, 0.0, 0.24054166666666696, 0.16961666666666658, 0.028874999999999987, 0.0023124999999999995, 0.3601083333333334, 0.02604999999999999, 0.212375, 0.3903124999999996, 0.0004000000000000003, 0.0003250000000000002, 0.288516666666667, 0.00025, 0.0, 0.03868750000000004, 0.10224999999999997, 0.0001250000000000006, 0.12923749999999995, 0.16600000000000006, 0.09816250000000001, 0.1255000000000001, 0.021999999999999967, 0.38191666666666685, 0.0, 0.12087499999999991, 0.19699999999999962, 0.21166666666666675, 0.000125, 0.07475000000000002, 0.09632499999999991, 0.054666666666666655, 0.028475, 0.0, 0.17682500000000004, 0.0, 0.5249999999999994, 0.02318750000000001, 0.38193749999999976, 0.26965, 0.1445000000000001, 0.013400000000000002, 0.03561249999999998, 0.05531666666666667, 0.00024999999999999914, 0.0962, 0.23676666666666665, 0.6353750000000014, 0.2544000000000001, 0.012191666666666668, 6.249999999999996e-05, 0.15906249999999983, 0.16089166666666652, 0.0, 6.249999999999987e-05, 0.0, 0.3743333333333333, 0.0, 0.03512500000000001, 0.029950000000000015, 0.08843750000000014, 0.19443750000000018, 0.30831666666666596, 0.23991666666666658, 0.0, 0.14856249999999988, 0.0, 0.0, 0.0, 0.3407916666666668, 0.0, 0.11447500000000002, 0.00155, 0.06817500000000007, 0.31345000000000034, 0.0, 0.0, 0.3572416666666657, 0.0, 0.0, 0.28866666666666635]"
EAR,314581,0.15900156250000252,0,2,2,0,0,7.969959020614624,"[0.10935000000000003, 0.39435, 0.08875000000000008, 0.24450000000000008, 0.003375, 0.19281250000000003, 0.022025, 0.0, 0.00012500000000000003, 0.0, 0.37710000000000027, 0.0, 0.0, 0.15628333333333372, 0.13524499999999984, 0.03008333333333332, 0.003437499999999999, 0.40618333333333345, 0.026187499999999985, 0.20822499999999988, 0.41849999999999965, 0.0005250000000000004, 0.00022500000000000018, 0.2266750000000003, 0.00025, 0.0, 0.041875000000000044, 0.11493749999999994, 0.00018750000000000057, 0.09821249999999994, 0.1560625000000001, 0.08136250000000002, 0.06334166666666681, 0.04256249999999994, 0.37333333333333346, 0.0, 0.12537499999999996, 0.19899999999999976, 0.21601666666666686, 0.0058125, 0.06837500000000002, 0.10353749999999992, 0.10514166666666665, 0.02234999999999999, 0.0, 0.19384133333333334, 0.0, 0.5985833333333326, 0.030125, 0.4101874999999998, 0.2807433333333333, 0.12937500000000005, 0.014424000000000001, 0.03561249999999998, 0.053391666666666664, 0.0003749999999999992, 0.06853750000000004, 0.25240800000000013, 0.7595000000000012, 0.3387990000000002, 0.06708333333333331, 6.249999999999996e-05, 0.16818749999999985, 0.16260833333333313, 0.0, 6.249999999999988e-05, 0.0, 0.3488583333333332, 0.0, 0.029462500000000023, 0.01460000000000001, 0.09215000000000015, 0.1928125000000002, 0.2865779999999993, 0.20974999999999994, 0.0, 0.15168749999999992, 0.0, 0.0, 0.0, 0.3633833333333335, 0.0, 0.12582500000000005, 0.001625, 0.07523500000000008, 0.2813350000000004, 0.0, 0.0, 0.44374999999999903, 0.0, 0.0, 0.17894166666666636]"
