Routing algorithm,Power consumption [W],Reliability score (Max),Reliability score (# above 60%),Mean latency (premium) [ms],Mean latency (assured) [ms],Premium SLA violations,Assured SLA violations,Time,Link usage
MORA,304445,3.310125390625,1,2,2,2,2,0.0,"[0.0, 0.3775531666666666, 0.1517475, 0.0207075, 0.3353554166666667, 0.0654125, 0.2758540833333333, 0.051944166666666666, 0.14455325, 0.15294475, 0.21058108333333334, 0.0, 0.0, 0.043417166666666666, 0.52378125, 0.506565625, 0.2800898333333333, 0.08707499999999999, 0.0, 0.0207075, 0.3570905000000001, 0.31737499999999996, 0.0, 0.073536, 0.06900675, 0.468825, 0.20575383333333333, 0.0, 0.2718725, 0.0, 0.0033065, 0.07716166666666666, 0.15368758333333335, 0.147072, 0.0058125, 6.25e-05, 0.0, 0.35481, 0.026937499999999993, 0.5198624999999999, 0.0168935, 0.28523750000000003, 0.19387500000000005, 0.1635215, 0.066975, 0.21662299999999998, 0.46273000000000003, 0.0, 0.39046875, 0.3500045, 0.0, 0.0, 0.38304425, 0.47453125, 0.0235825, 0.13803958333333333, 0.041364, 0.17809433333333335, 0.000125, 0.13202575, 0.33712, 0.3506650000000001, 0.19381250000000003, 0.2152425, 0.0007499999999999999, 0.0235825, 0.0, 0.012292500000000001, 0.3279283333333333, 0.08690300000000001, 0.25493325, 0.24585408333333336, 0.185935, 0.55514, 0.0, 0.14093, 0.30094666666666664, 0.09104674999999997, 0.13043, 0.5927937500000001, 1.32775, 0.28696749999999993, 0.0, 0.03610525, 0.470190625, 0.0, 0.03967208333333334, 0.27089100000000005, 0.0, 0.43083333333333335, 0.10972212499999999, 0.12513166666666667]"
MORA,303294,0.0,0,2,2,0,0,126.82567715644836,"[0.5886412499999999, 0.3418391666666667, 0.14039266666666667, 0.28675000000000006, 0.29650416666666674, 0.036123375000000006, 0.37434033333333305, 0.11420108333333333, 0.18393000000000015, 0.19232712500000002, 0.1688525, 0.0, 0.0, 0.12287358333333333, 0.000499999999999909, 0.18878125000000004, 0.25970266666666675, 0.057527999999999954, 0.087108125, 0.28668750000000004, 0.21879649999999987, 0.11615500000000004, 0.0, 0.011466125000000011, 0.08185624999999998, 0.4283758333333334, 0.19909483333333333, 0.044631000000000004, 0.12583875, 0.0, 0.00983675, 0.06400058333333332, 0.19393925, 0.020292000000000008, 0.17798499999999998, 0.00012500000000000003, 0.17267249999999998, 0.07032312500000003, 0.31100000000000005, 0.302385625, 0.027922250000000003, 0.14015125000000003, 0.1944375, 0.10695724999999999, 0.0727875, 0.4353905, 0.24361500000000005, 0.0, 0.17109, 0.24890000000000007, 0.07564375, 0.19176875000000002, 0.3609622500000001, 0.06337499999999997, 0.28950000000000004, 0.1649369166666666, 0.12012850000000003, 0.22571916666666658, 0.07589375000000001, 0.3591655, 0.44253583333333324, 0.23125000000000015, 1.7053025658242403e-17, 0.13648000000000007, 0.005500000000000001, 0.09568749999999998, 0.0, 0.02975, 0.3801308333333333, 0.024753750000000022, 0.19291875000000008, 0.1929832499999999, 0.2930149999999998, 0.004375, 0.0, 0.3881249999999999, 0.2535545833333334, 0.09985499999999994, 0.3751875, 7.105427357601002e-17, 0.5286250000000003, 0.30318083333333345, 0.1512875, 0.04501, 0.2757343749999999, 0.00596425, 0.04804275, 0.11891349999999999, 0.44635250000000004, 0.22125666666666668, 0.10001249999999996, 0.2319933333333333]"
MORA,259800,0.25534072265625074,0,2,2,0,0,72.77825117111206,"[0.00037499999999994883, 0.3803589166666666, 0.1873541666666667, 0.1460625, 0.19515566666666664, 0.10883037500000002, 0.21245774999999978, 0.05246333333333335, 0.06485500000000004, 0.1516375, 0.21282183333333332, 0.0, 0.0, 0.006601249999999963, 0.0868399999999999, 0.3570706250000001, 0.23485266666666657, 0.060862999999999966, 2.2737367544323208e-18, 0.14606250000000007, 0.3154370000000001, 0.35693500000000006, 0.0, 0.052160875, 0.11563374999999997, 0.42476583333333334, 0.2967389166666667, 0.032445, 0.021715624999999975, 0.5492550000000002, 0.006561000000000003, 0.10380400000000002, 0.134835, 0.0686015, 0.01903249999999999, 1.942890293094024e-20, 0.023657500000000012, 0.20104375, 0.17356250000000006, 0.38238312500000016, 0.01692200000000001, 0.02124250000000001, 0.193625, 0.20804850000000003, 0.059927625, 0.10594975000000004, 0.2000158333333334, 0.5055275, 0.3506287500000001, 0.2743314999999999, 0.14795875, 0.22159500000000001, 0.2248763333333334, 0.09410124999999998, 0.14887500000000015, 0.12704958333333324, 0.0686125, 0.17362833333333322, 0.104065, 0.00712475000000004, 0.32247416666666623, 0.22450000000000014, 0.19368750000000007, 0.07110500000000006, 0.004000000000000001, 0.1489375, 0.36617000000000005, 0.033562499999999995, 0.4129425000000001, 0.027931500000000022, 0.1864455000000001, 0.22418558333333338, 0.16496999999999992, 0.30833375, 0.0, 0.20483312499999992, 0.2343953333333335, 0.1367358749999999, 0.20483312500000006, 0.5985862500000001, 0.8021250000000003, 0.26662199999999986, 0.20762999999999998, 0.06673375, 0.2739924999999999, 0.011582666666666668, 0.053410749999999986, 0.017408749999999976, 0.30645, 0.2563391666666667, 0.08051649999999995, 0.15991083333333328]"
MORA,264192,1.1308993164062515,1,2,2,1,1,96.87426114082336,"[0.5163412500000001, 0.2881432499999999, 0.1407973333333334, 0.006500000000000011, 0.21520241666666667, 0.07605987500000001, 0.27104324999999985, 0.10175458333333334, 0.19555375000000014, 0.1459515, 0.15687558333333335, 0.0, 0.0, 0.13484624999999992, 0.047618749999999904, 0.4235993749999999, 0.22341966666666666, 0.11064574999999993, 0.021343500000000005, 0.0008125000000001023, 0.17832625000000019, 0.06589250000000008, 0.0, 0.085106125, 0.13355175, 0.34057666666666675, 0.20735016666666678, 0.007994250000000007, 0.20648062499999997, 0.04484750000000005, 0.007034250000000001, 0.10065800000000005, 0.22154425000000003, 0.18316074999999993, 0.15192875, 1.942890293094024e-20, 0.14742874999999997, 0.35808375, 0.027125000000000055, 0.4426962500000001, 0.04150575000000001, 0.12885562500000006, 0.193625, 0.19518100000000002, 0.11721899999999998, 0.34572425, 0.27189083333333336, 1.1368683772161603e-16, 0.1838587500000001, 0.17374299999999995, 0.1287325, 0.22011375000000016, 0.30679100000000004, 0.061375, 0.003687500000000182, 0.12270083333333326, 0.04193287500000004, 0.2495575833333333, 0.00012500000000003182, 0.24994925000000004, 0.5013366666666663, 0.21125, 0.19362500000000005, 0.25717875, 0.004000000000000001, 0.0028749999999999544, 0.029898333333333364, 0.03525, 0.24216333333333337, 0.014400000000000022, 0.14023916666666678, 0.12446175000000011, 0.4227074999999999, 0.13948250000000004, 0.0, 0.3447587499999999, 0.2593261666666671, 0.0594124999999999, 0.33232125000000007, 0.25132875000000016, 1.0253750000000004, 0.17253200000000002, -9.092726571680032e-18, 0.29305875, 0.3663712499999999, 0.010444000000000004, 0.06396774999999998, 0.07196474999999998, 0.07034250000000002, 0.27195749999999996, 0.05109399999999993, 0.19435916666666667]"
MORA,281960,0.0017529922265628886,0,2,2,0,0,88.80067491531372,"[0.07829, 0.2825553333333333, 0.16910033333333346, 0.3550625000000001, 0.3316917499999999, 0.06843762499999999, 0.2593517499999999, 0.08513366666666668, 0.09297525000000022, 0.11983750000000001, 0.19070766666666664, 0.5128275, 0.341885, 0.023929249999999926, 0.0004999999999999031, 0.5235675000000001, 0.29637450000000004, 0.07270624999999996, 0.005971500000000006, 0.3550000000000002, 0.2940692500000002, 0.08471500000000008, 0.0, 0.017749125000000022, 0.09159975000000002, 0.5811991666666667, 0.18342358333333353, 0.04386599999999999, 0.202565625, 0.5138462500000003, 0.0315365, 0.09326916666666675, 0.1276119166666667, 0.01365224999999995, 0.05976749999999999, 1.942890293094024e-20, 0.05951749999999997, 0.49077874999999993, 0.3777500000000001, 0.6167475000000001, 0.012885750000000014, 0.12784687500000005, 0.19343750000000004, 0.11269300000000002, 0.069214125, 0.1911050000000001, 0.2764375, 0.3354000000000001, 0.17737500000000003, 0.320702, 0.028535000000000015, 0.1615350000000001, 0.48743008333333343, 0.08450000000000002, 0.3578125000000002, 0.12834133333333328, 0.06332587500000003, 0.1965292499999999, 0.00012500000000003185, 0.09988000000000012, 0.39223833333333297, 0.21062500000000015, 3.979039320256561e-17, 0.020625250000000046, 0.00025000000000000044, 0.16499999999999992, 0.34256416666666684, 0.03350000000000001, 0.5058450000000001, 0.03270400000000002, 0.10218933333333341, 0.25395641666666674, 0.12885749999999996, 0.28862, 0.0, 0.21006499999999997, 0.198261416666667, 0.05936249999999985, 0.20519000000000023, 0.23624500000000007, 0.21912500000000038, 0.2499935833333334, -9.092726571680032e-18, 0.04902675, 0.3258018749999999, 0.006291333333333337, 0.0422083333333333, 0.02642224999999998, 0.42540999999999995, 0.24666666666666662, 0.13031999999999994, 0.12124999999999994]"
MORA,282788,0.0,0,2,2,0,0,67.49626398086548,"[0.296795, 0.25103891666666667, 0.18121950000000012, 0.03158812500000009, 0.2957779166666666, 0.06655000000000003, 0.35777241666666654, 0.10298225000000004, 0.08898525000000025, 0.1063625, 0.24534066666666657, 0.15221374999999993, 0.10147583333333329, 0.0501026666666666, 0.0730449999999999, 0.4157025, 0.126312, 0.08421124999999995, 0.027084875000000005, 0.03153750000000018, 0.330075, 0.15354500000000007, 0.0, 0.04836887500000003, 0.11048300000000003, 0.40767583333333346, 0.1420463333333335, 0.0413225, 0.255865, 0.10410625000000025, 0.011137500000000002, 0.0519690833333334, 0.2505820833333333, 0.07614199999999995, 0.052227499999999975, 0.0056368749999999995, 0.05378999999999995, 0.3484356249999999, 0.024693125000000184, 0.44706062500000016, 0.04284625000000001, 0.26942750000000004, 0.19351187500000006, 0.19360950000000007, 0.09515349999999999, 0.2269135, 0.20878999999999998, 0.20176000000000002, 0.04119625000000003, 0.3823999999999999, 0.26132375, 0.3017787500000001, 0.4254617500000001, 0.09150000000000001, 0.034662500000000214, 0.14104241666666664, 0.07615737500000005, 0.1819004166666666, 0.00012500000000003185, 0.14614325000000009, 0.5444574999999998, 0.21000000000000005, 0.19411937500000004, 0.14507025, 0.0002500000000000005, 0.03458249999999989, 0.06940416666666684, 0.006417500000000006, 0.25120916666666687, 0.010925000000000023, 0.09313600000000001, 0.33135158333333314, 0.4433624999999998, 0.3474737499999998, 0.0, 0.186763125, 0.21851283333333366, 0.11738137499999994, 0.18601312500000022, 0.221135, 0.4736987500000004, 0.20363924999999997, -9.092726571680032e-18, 0.05575800000000001, 0.45888187499999983, 0.014394666666666672, 0.07227458333333332, 0.19087925000000003, 0.4196249999999998, 0.22882666666666665, 0.08652749999999995, 0.15725666666666657]"
MORA,327363,0.0,0,2,2,0,0,106.69124317169191,"[0.29798875000000014, 0.35349050000000004, 0.15253450000000007, 0.15703250000000007, 0.30442499999999983, 0.04950112500000004, 0.2867368333333331, 0.12535158333333335, 0.2133180000000002, 0.12325474999999997, 0.18250808333333327, 0.3844025, 0.2562683333333333, 0.16859866666666654, 0.05574999999999988, 0.3198074999999999, 0.3317469166666667, 0.07333374999999992, 0.020985875, 0.15703250000000019, 0.29230124999999985, 0.1481500000000001, 0.0, 0.039998750000000034, 0.17107475000000005, 0.3736833333333335, 0.27690900000000007, 0.01679125, 0.004125000000000006, 0.10787875000000026, 0.00045000000000000226, 0.15996500000000013, 0.11993416666666669, 0.07501049999999994, 0.13161250000000002, 0.002065, 0.13448749999999995, 0.2539968749999999, 0.17953250000000015, 0.32049687500000024, 0.017603, 0.01387500000000005, 0.19631500000000005, 0.1259000000000001, 0.07824999999999999, 0.3710805, 0.11791666666666666, 0.2415000000000001, 0.25898875000000005, 0.17501200000000006, 0.06890500000000002, 0.14865500000000006, 0.28706775000000007, 0.1075, 0.1602200000000002, 0.18037425, 0.11604187500000006, 0.25164166666666665, 0.00012500000000003185, 0.2712615, 0.3996499999999998, 0.37787500000000007, 0.03878250000000002, 0.221174, 0.0005000000000000004, 0.0033124999999998893, 0.07191916666666684, 0.03425, 0.4314333333333336, 0.017175000000000024, 0.16119433333333336, 0.21025558333333297, 0.19302999999999979, 0.015374999999999826, 0.0, 0.3276874999999999, 0.3289720833333337, 0.11079237499999992, 0.3276875000000002, 0.3724137500000001, 0.21856000000000045, 0.36710591666666675, -9.092726571680032e-18, 0.34493775, 0.17499812499999984, 0.021941666666666672, 0.13039583333333332, 0.15977100000000005, 0.17241249999999983, 0.19358333333333336, 0.09191399999999998, 0.1674999999999999]"
MORA,267743,0.0,0,2,2,0,0,68.52835702896118,"[0.40047750000000004, 0.24507091666666675, 0.16861700000000004, 0.15991500000000008, 0.22589066666666666, 0.07701937500000006, 0.3507831666666665, 0.08650200000000004, 0.030160000000000162, 0.10312499999999994, 0.17245899999999992, 0.46443999999999996, 0.30962666666666666, 0.09758224999999986, 0.027837499999999887, 0.34065812499999987, 0.19836266666666674, 0.07772799999999994, 0.015819, 0.15997750000000022, 0.20136349999999992, 0.10757500000000011, 0.0, 4.0927261579781773e-17, 0.14520000000000002, 0.5608350000000001, 0.13287075000000007, 0.031563, 0.42659000000000025, 0.4728475000000004, 0.0022780000000000022, 0.09245983333333348, 0.20518283333333337, -5.4569682106375696e-17, 0.09427500000000003, 0.0, 0.09039999999999994, 0.4174781249999997, 0.18016500000000019, 0.457248125, 0.032738, 0.41427000000000014, 0.19773000000000004, 0.13256600000000004, 0.10370875000000002, 0.3826030000000002, 0.1667316666666666, 0.3412087500000001, 0.008820000000000005, 0.4141644999999999, 0.13173875000000002, 0.22590125000000016, 0.2713741666666668, 0.10462499999999998, 0.16316500000000023, 0.16602966666666666, 0.06826850000000004, 0.2172875, 0.00012500000000003185, 0.22206199999999993, 0.4527816666666663, 0.22037499999999996, 0.03703000000000002, 0.10893500000000007, 0.00037500000000000033, 0.0033124999999998893, 0.3152316666666669, 0.0355625, 0.39130166666666705, 0.03316450000000003, 0.10268583333333338, 0.28264633333333294, 0.33889999999999965, 0.2399649999999998, 0.0, 0.22932999999999984, 0.24844000000000038, 0.05979999999999986, 0.2198300000000001, 0.34685000000000016, 0.29018500000000047, 0.24612550000000014, -9.092726571680032e-18, 0.039575000000000055, 0.4428324999999999, 0.02463333333333334, 0.041308666666666646, 0.10078925000000007, 0.3131499999999998, 0.12641666666666665, 0.09995549999999999, 0.16466666666666657]"
MORA,298629,0.006400000000000627,0,2,2,0,0,70.14639782905579,"[0.31288875000000016, 0.23504541666666673, 0.1699740833333334, 0.0018125000000001183, 0.35649899999999995, 0.08126250000000004, 0.18386533333333294, 0.0612779166666667, 0.14482725000000016, 0.10671049999999996, 0.18484924999999977, 0.39844124999999986, 0.2656274999999999, 0.13045633333333323, 0.0004999999999998828, 0.31878999999999985, 0.33072841666666664, 0.11360874999999993, 0.019898000000000002, 0.001812500000000214, 0.2781239999999999, 0.29712500000000014, 0.0, 0.07330287500000005, 0.11803749999999998, 0.4542683333333334, 0.2865644166666667, 0.016434749999999995, 0.20438500000000015, 0.10480125000000025, 0.0022780000000000022, 0.12204933333333348, 0.17195083333333333, 0.10809924999999994, 0.010500000000000027, 0.0, 0.09268749999999995, 0.3991999999999996, 0.024875000000000185, 0.4725625, 0.05171550000000001, 0.2254475, 0.19275000000000006, 0.17081425000000006, 0.09134687500000008, 0.30761700000000003, 0.23849999999999993, 0.21329499999999998, 0.316645, 0.16478399999999993, 0.07705250000000001, 0.22105250000000023, 0.2877069166666669, 0.12087499999999998, 0.0040000000000002135, 0.15312633333333334, 0.09254800000000003, 0.2511675833333334, 0.00012500000000003188, 0.23170799999999997, 0.34212416666666623, 0.19724999999999981, 0.19275000000000003, 0.20328625, 0.0002500000000000003, 0.00243749999999989, 0.06986750000000017, 0.035, 0.4261258333333339, 0.02995000000000003, 0.1633460000000001, 0.2699724999999994, 0.5241549999999997, 0.2846262499999998, 0.0, 0.24812437499999979, 0.25924266666666695, 0.1714778749999998, 0.3324368750000001, 0.35001125, 0.6320000000000006, 0.2916008333333334, -9.092726571680032e-18, 0.12165350000000005, 0.19853749999999978, 3.789561257387201e-18, 0.04213700000000001, 0.2060330000000001, 0.15984749999999986, 0.37325749999999996, 0.10085937499999996, 0.003159166666666579]"
MORA,297990,0.0,0,2,2,0,0,86.10516595840454,"[0.2840000000000002, 0.25036566666666676, 0.1420352500000001, 0.2950000000000001, 0.25641933333333317, 0.056822625000000036, 0.2578955833333331, 0.08959191666666672, 0.25040825000000017, 0.11608749999999997, 0.18900266666666646, 0.20126874999999986, 0.13417916666666657, 0.038078416666666545, 0.04500499999999988, 0.3176674999999999, 0.3011475833333333, 0.10047624999999995, 0.028399999999999995, 0.3006250000000002, 0.20742024999999983, 0.05613875000000013, 0.0, 0.031179625000000037, 0.12554099999999996, 0.4179491666666665, 0.30382033333333336, 0.05508, 0.3297425000000001, 0.4714225000000003, 0.033908, 0.09953308333333351, 0.22840241666666664, 0.022024999999999937, 0.140118125, 0.0, 0.12361812499999997, 0.3010381249999997, 0.3250000000000001, 0.315775625, 0.046222250000000006, 0.30955499999999986, 0.19275000000000006, 0.11766875000000003, 0.08593612500000007, 0.16855449999999988, 0.19718083333333325, 0.34286499999999986, 0.17626375000000008, 0.37194324999999995, 0.16693750000000002, 0.2513075000000002, 0.21714541666666687, 0.12537500000000001, 0.3039375000000002, 0.15104833333333328, 0.03318750000000002, 0.25269125, 0.0001250000000000319, 0.06490450000000007, 0.5853783333333329, 0.2106249999999999, 0.19275000000000003, 0.19991825000000005, 0.0003750000000000003, 0.3039999999999999, 0.31428166666666685, 0.0237125, 0.27378833333333374, 0.05424425000000001, 0.12473700000000004, 0.3598925833333328, 0.4622224999999996, 0.2914449999999998, 0.0, 0.2729024999999999, 0.29073108333333353, 0.11255462499999985, 0.26459000000000005, 0.22891249999999985, 0.16987500000000058, 0.3225271666666667, -9.092726571680032e-18, 0.028566000000000053, 0.4347468749999998, 0.009711750000000005, 0.06385508333333334, 0.1746182500000001, 0.5397999999999998, 0.2049300000000001, 0.11235899999999995, 0.1365699999999999]"
