Routing algorithm,Power consumption [W],Reliability score (Max),Reliability score (# above 60%),Mean latency (premium) [ms],Mean latency (assured) [ms],Premium SLA violations,Assured SLA violations,Time,Link usage
Dijkstra,107146,0.0,0,2,2,0,0,0.0,"[0.12127333333333336, 0.06571999999999999, 0.11934999999999997, 0.0, 0.0745, 0.007119999999999999, 0.01229, 0.013273333333333333, 0.03622000000000001, 2.5e-05, 0.0, 0.008729999999999998, 0.0, 0.058076666666666665, 2.5e-05, 0.03678, 0.00491, 0.07755, 0.0003, 0.052425, 0.0489, 0.1532, 0.03685, 0.037025, 0.00098, 0.0011750000000000003, 0.0, 0.033100000000000004, 0.01315, 0.00715, 0.04685333333333334, 0.12286, 0.0348, 0.045965, 0.0, 0.00107, 0.14760666666666664, 0.0, 0.017996666666666664, 0.00468, 0.07111, 0.0003, 0.02475, 0.5311500000000001, 0.17306666666666667, 0.07755, 0.07214333333333332, 0.0, 0.025315, 2.5e-05, 0.02055, 0.12921666666666667, 0.0501, 0.09752, 5e-05, 0.159625, 0.1124, 0.06976666666666669, 0.0054, 0.02816666666666666, 0.03543, 0.1238, 0.10109, 0.026165, 0.0, 0.000475, 0.0, 0.06637, 0.07473333333333333, 0.043515, 0.163825, 0.12092, 0.022020000000000005, 0.0918, 0.14998666666666666, 0.01075, 0.01964, 0.040356666666666666, 5e-05, 0.032225, 0.0202, 0.02675, 0.02679, 0.1368, 0.0, 0.1739833333333333, 0.0, 0.0, 0.0132, 0.0, 0.11427333333333334, 0.0012]"
Dijkstra,105400,0.0,0,2,2,0,0,4.741170883178711,"[0.11536000000000005, 0.07908333333333332, 0.05141666666666662, 0.0, 0.085875, 0.00617, 0.01106, 0.014756666666666664, 0.03185, 2.4999999999999998e-05, 0.005725, 0.01026, 0.0, 0.07378333333333338, 2.5e-05, 0.030130000000000018, 0.00385, 0.07777499999999998, 0.00022, 0.093325, 0.05023333333333333, 0.18296666666666656, 0.047825, 0.04841675000000001, 0.0007700000000000002, 0.0011250000000000001, 0.0, 0.04119, 0.011925000000000002, 0.00715, 0.10659333333333335, 0.09825666666666673, 0.035469999999999995, 0.044075, 0.0, 0.00018, 0.14427666666666672, 0.0, 0.01521333333333333, 0.003240000000000001, 0.05735000000000001, 0.0022, 0.00020000000000000212, 0.4407500000000001, 0.13106666666666666, 0.07755, 0.07208999999999995, 0.0, 0.029745000000000004, 7.5e-05, 0.046450000000000005, 0.11765666666666662, 0.09119999999999999, 0.09882000000000003, 0.0001, 0.14737499999999995, 0.14610000000000004, 0.12061666666666673, 0.0054, 0.025066666666666657, 0.030670000000000003, 0.09244999999999999, 0.08103999999999997, 0.03799500000000001, 0.0, 0.00172, 0.0, 0.06686999999999996, 0.07902133333333333, 0.04142999999999998, 0.15255000000000005, 0.09956000000000004, 0.015140000000000008, 0.05363333333333334, 0.10976666666666667, 0.00975, 0.028853333333333335, 0.05531666666666665, 5e-05, 0.031225, 0.019950000000000006, 0.0021999999999999993, 0.029115, 0.18059666666666666, 0.0, 0.10241999999999997, 0.0, 0.0, 0.0057500000000000025, 0.0, 0.14299000000000006, 0.00115]"
Dijkstra,96103,0.0,0,2,2,0,0,8.293083190917969,"[0.0884058666666667, 0.03155999999999999, 0.06304333333333328, 0.0, 0.10110000000000004, 0.00831, 0.0131656, 0.011950000000000002, 0.03391, 2.4999999999999998e-05, 0.0, 0.007289999999999999, 0.0, 0.049736666666666735, 5e-05, 0.028740000000000005, 0.005514, 0.07744999999999998, 0.00017, 0.07790000000000002, 0.047366666666666675, 0.1739999999999998, 0.04387499999999998, 0.041600750000000006, 0.00072, 0.0011250000000000001, 0.0, 0.06069000000000001, 0.013475000000000003, 0.00715, 0.11369333333333341, 0.1214666666666667, 0.034669999999999986, 0.03911999999999999, 0.0, 0.00015, 0.0919466666666667, 0.0, 0.01648666666666667, 2.0000000000000994e-05, 0.06064500000000001, 0.0016, 0.00020000000000000212, 0.4376, 0.11601333333333337, 0.07747499999999997, 0.0887799999999999, 0.0, 0.03382999999999999, 2.4999999999999994e-05, 0.04925, 0.17260999999999996, 0.075075, 0.10915760000000004, 0.0001, 0.13831099999999993, 0.12016666666666667, 0.12336000000000003, 0.0054, 0.038786666666666636, 0.04252999999999999, 0.08970000000000004, 0.15611666666666663, 0.029547800000000006, 0.0, 0.0, 0.0, 0.03664999999999999, 0.07902133333333333, 0.04037499999999997, 0.14298600000000003, 0.10501000000000002, 0.018245000000000004, 0.05717466666666667, 0.04642, 0.011049999999999999, 0.009489999999999998, 0.02451813333333335, 5e-05, 0.029975, 0.017500000000000012, 0.0021999999999999993, 0.0300038, 0.15783999999999998, 0.0, 0.049599999999999964, 0.0, 0.0, 0.011249999999999998, 0.0, 0.07669999999999999, 0.0011500000000000002]"
Dijkstra,94502,0.0,0,2,2,0,0,8.306975126266481,"[0.07914000000000004, 0.05776999999999999, 0.040219999999999964, 0.0, 0.09784999999999998, 0.00745, 0.02039, 0.010296666666666668, 0.04171999999999999, 2.4999999999999998e-05, 0.0, 0.00773, 0.0, 0.05191999999999999, 5e-05, 0.027570000000000018, 0.00576, 0.07744999999999998, 0.00015999999999999996, 0.07284999999999998, 0.055, 0.17853333333333313, 0.03659999999999998, 0.03895975, 0.0008499999999999998, 0.0011500000000000002, 0.0, 0.06763000000000001, 0.014150000000000003, 0.00715, 0.12703000000000014, 0.11238333333333336, 0.03507999999999997, 0.04107, 0.0, 0.00012000000000000003, 0.11559666666666674, 0.0, 0.011120000000000003, 0.0028000000000000013, 0.05600000000000001, 0.0016, 0.00020000000000000212, 0.4107, 0.13430000000000006, 0.07772499999999997, 0.08251999999999995, 0.0, 0.023979999999999994, 2.4999999999999988e-05, 0.0554, 0.1213621333333334, 0.07104999999999997, 0.09547999999999997, 4.9999999999999996e-05, 0.15724999999999992, 0.11886666666666668, 0.1376433333333335, 0.0054, 0.039983333333333294, 0.03842, 0.08440000000000003, 0.10859879999999995, 0.03684500000000001, 0.0, 0.007645, 0.0, 0.03409639999999998, 0.08446133333333333, 0.04290999999999996, 0.16222500000000004, 0.15463000000000005, 0.007055000000000007, 0.05717466666666667, 0.055086666666666666, 0.01057499999999999, 0.007946666666666664, 0.02814000000000002, 0.002325, 0.03322500000000001, 0.01915000000000001, 0.0021999999999999993, 0.03265499999999998, 0.16277999999999987, 0.0, 0.042703333333333295, 0.0, 0.0, 0.009725, 0.0, 0.10176000000000007, 0.0011000000000000007]"
Dijkstra,99699,0.0,0,2,2,0,0,7.60080099105835,"[0.049803200000000054, 0.049666666666666644, 0.07438999999999996, 0.0, 0.09962500000000002, 0.00857, 0.016280000000000006, 0.007683333333333328, 0.03962, 2.4999999999999998e-05, 0.0, 0.006489999999999999, 0.0, 0.05178666666666668, 5e-05, 0.03124000000000003, 0.0034999999999999988, 0.07737499999999997, 0.00015999999999999996, 0.03974999999999998, 0.04849999999999999, 0.21343333333333317, 0.043749999999999976, 0.04359975000000001, 0.00069, 0.0011250000000000003, 0.0, 0.04957000000000002, 0.01345, 0.00715, 0.08897000000000022, 0.13681333333333337, 0.034819999999999976, 0.060819999999999985, 0.0, 0.00010000000000000007, 0.1485132, 0.0, 0.010543333333333342, 0.003350000000000002, 0.04793500000000001, 0.00010000000000000032, 0.00020000000000000212, 0.3715499999999998, 0.09866666666666672, 0.07714999999999998, 0.07747666666666667, 0.0, 0.02373500000000001, 2.499999999999999e-05, 0.05320000000000001, 0.1016633333333334, 0.03707499999999997, 0.0967784, 5e-05, 0.13364999999999977, 0.1458, 0.08224666666666684, 0.0054, 0.0233633333333333, 0.03662, 0.08415000000000004, 0.10398333333333329, 0.02510500000000002, 0.0, 0.0, 0.0, 0.04761999999999998, 0.10690000000000001, 0.041844999999999966, 0.13817499999999994, 0.12501000000000007, 0.007095000000000009, 0.045889333333333344, 0.1560966666666667, 0.009149999999999991, 0.021743333333333333, 0.04520000000000004, 7.499999999999987e-05, 0.030521000000000003, 0.028400000000000012, 0.0021999999999999993, 0.034819799999999984, 0.16163000000000005, 0.0, 0.13182, 0.0, 0.0, 0.010824999999999998, 0.0, 0.09911986666666671, 0.0011500000000000006]"
Dijkstra,102330,0.0,0,2,2,0,0,8.417387962341309,"[0.05728666666666673, 0.06464, 0.12462386666666656, 0.0, 0.098725, 0.0046212, 0.013350000000000004, 0.009063333333333328, 0.03524000000000001, 2.4999999999999998e-05, 0.0, 0.00597, 0.0, 0.058623866666666705, 2.5e-05, 0.030040000000000035, 0.0032288, 0.07742499999999998, 0.0004, 0.05049999999999997, 0.04306666666666665, 0.21349999999999986, 0.024099999999999965, 0.020250000000000004, 0.0007400000000000001, 0.0012750000000000003, 0.0, 0.025950000000000008, 0.015099999999999997, 0.00715, 0.06621333333333351, 0.09976000000000004, 0.034249999999999975, 0.016574999999999996, 0.0, 0.00012000000000000007, 0.1541838666666667, 0.0, 0.008510000000000009, 0.002570000000000003, 0.042545000000000006, 0.00010000000000000032, 0.00020000000000000212, 0.2146499999999998, 0.11136666666666674, 0.0777, 0.08427333333333334, 0.0, 0.0276, 0.002275, 0.0452, 0.12396666666666671, 0.04727499999999997, 0.10328000000000002, 4.9999999999999996e-05, 0.13647499999999965, 0.10476666666666672, 0.0798800000000002, 0.0054, 0.021466666666666627, 0.03242, 0.0839500000000001, 0.12369333333333327, 0.02662000000000002, 0.0, 0.016405, 0.0, 0.09199, 0.10690000000000001, 0.041699999999999966, 0.14062499999999983, 0.15296000000000004, 0.007175000000000007, 0.05015600000000001, 0.15684706666666662, 0.009799999999999996, 0.028323333333333332, 0.04650333333333338, 4.999999999999988e-05, 0.03065, 0.031200000000000012, 0.0021999999999999993, 0.03368939999999998, 0.12219666666666672, 0.0, 0.1486137333333333, 0.0, 0.0, 0.010324999999999997, 0.0, 0.10721666666666672, 0.0012750000000000007]"
Dijkstra,113068,0.0,0,2,2,0,0,8.355195999145508,"[0.09553733333333336, 0.07252400000000003, 0.07969999999999987, 0.0, 0.08857500000000003, 0.0022199999999999998, 0.014924400000000004, 0.012609999999999996, 0.04622000000000002, 2.4999999999999998e-05, 0.0, 0.007031199999999999, 0.0, 0.06907666666666666, 2.5e-05, 0.03208000000000005, 0.00687, 0.07995, 0.00018, 0.08117499999999997, 0.04229999999999998, 0.19046666666666653, 0.019654999999999964, 0.014922000000000003, 0.00068, 0.0012750000000000003, 0.0, 0.038200000000000026, 0.013724999999999989, 0.005399999999999999, 0.10089000000000019, 0.12337999999999998, 0.03535999999999998, 0.02426499999999999, 0.0, 0.00012000000000000007, 0.18233733333333335, 0.0, 0.009243333333333343, 0.003360000000000004, 0.04019900000000001, 0.00020000000000000036, 0.00020000000000000212, 0.21299999999999972, 0.10213333333333344, 0.079725, 0.09031333333333341, 0.0, 0.030785, 0.002275, 0.05405000000000002, 0.12878813333333333, 0.07925, 0.10331, 5e-05, 0.1283749999999997, 0.14196666666666666, 0.1537333333333335, 0.00545, 0.04380333333333329, 0.040499999999999994, 0.1511, 0.10976773333333328, 0.02444500000000001, 0.0, 0.027394999999999996, 0.0, 0.07896319999999998, 0.09787600000000002, 0.04859999999999995, 0.13144999999999987, 0.16996, 0.007800000000000007, 0.05015600000000001, 0.10367999999999997, 0.009024999999999997, 0.01585333333333333, 0.02376666666666671, 2.4999999999999876e-05, 0.035775, 0.037600000000000015, 0.0021999999999999993, 0.03435099999999999, 0.1860966666666667, 0.0, 0.12250999999999998, 0.0, 0.0, 0.005549999999999997, 0.0, 0.13966066666666668, 0.0013000000000000008]"
Dijkstra,97816,0.0,0,2,2,0,0,7.837221145629883,"[0.07935333333333333, 0.06700666666666667, 0.07284999999999986, 0.0, 0.08440000000000002, 0.008469999999999998, 3.410605131648481e-18, 0.010079999999999995, 0.058290000000000015, 2.4999999999999998e-05, 0.0044, 0.00536, 0.0, 0.07134399999999999, 5e-05, 0.034260000000000054, 0.01252, 0.0777, 0.00016, 0.05812499999999997, 0.041566666666666655, 0.23996666666666666, 0.01457499999999996, 0.014922000000000003, 0.0007199999999999998, 0.0012750000000000003, 0.0, 0.05755000000000002, 0.014274999999999989, 0.0055, 0.0941500000000002, 0.10349000000000005, 0.03450999999999998, 0.039829999999999983, 0.0, 0.00014000000000000012, 0.16452333333333338, 0.0, 0.011576666666666676, 0.002530000000000003, 0.034910000000000004, 0.00015000000000000037, 0.00020000000000000212, 0.24129999999999976, 0.07486666666666678, 0.077425, 0.07056333333333344, 0.0, 0.030249999999999992, 2.4999999999999866e-05, 0.05580000000000001, 0.11368666666666669, 0.056575, 0.09067000000000001, 5e-05, 0.13317499999999968, 0.09766666666666671, 0.12777066666666684, 0.0054, 0.042983333333333276, 0.03898, 0.08804999999999999, 0.0694633333333333, 0.022380000000000008, 0.0, -5.684341886080802e-18, 0.0, 0.05928999999999999, 0.10894800000000002, 0.05601999999999994, 0.13697499999999987, 0.18096, 0.007435000000000007, 0.03766966666666667, 0.10032999999999997, 0.008124999999999997, 0.008229999999999994, 0.03076000000000004, 2.4999999999999876e-05, 0.0326, 0.03645000000000002, 0.0021999999999999993, 0.030684999999999987, 0.13187000000000001, 0.0, 0.08313666666666664, 0.0, 0.0, -4.085620730620576e-18, 0.0, 0.14273999999999998, 0.0012750000000000007]"
Dijkstra,107227,0.0,0,2,2,0,0,7.967360973358152,"[0.09621666666666669, 0.07073000000000002, 0.05777333333333315, 0.0, 0.0664, 0.010340000000000002, 0.011390000000000004, 0.011549999999999993, 0.045790000000000025, 2.5e-05, 0.0, 0.00536, 0.0, 0.06435666666666665, 5e-05, 0.027270000000000055, 0.011979999999999998, 0.07710000000000003, 0.00016, 0.06252499999999994, 0.04049999999999997, 0.20999999999999985, 0.015474999999999961, 0.014922000000000003, 0.0006199999999999998, 0.0008750000000000003, 0.0, 0.030219999999999997, 0.014049999999999981, 0.0055, 0.13257880000000022, 0.14973333333333333, 0.03531999999999997, 0.035374999999999976, 0.0, 0.0001300000000000001, 0.12332666666666667, 0.0, 0.022126666666666666, 0.0036000000000000034, 0.041573200000000005, 0.00010000000000000036, 0.00020000000000000212, 0.25414999999999954, 0.11006666666666678, 0.07777499999999997, 0.08311266666666678, 0.0, 0.039265, 2.499999999999987e-05, 0.057600000000000026, 0.1484721333333334, 0.05832499999999999, 0.08495, 5e-05, 0.15007499999999965, 0.09376000000000007, 0.14368933333333342, 0.0054, 0.0458533333333333, 0.030489999999999996, 0.07879999999999997, 0.1363166666666666, 0.03848000000000001, 0.0, -5.684341886080802e-18, 0.0, 0.09516, 0.10894800000000002, 0.05147499999999995, 0.15342499999999987, 0.10175999999999998, 0.01040000000000001, 0.055155, 0.11540666666666659, 0.009274999999999995, 0.004876666666666661, 0.021866666666666715, 4.999999999999987e-05, 0.029899999999999996, 0.04295000000000003, 0.0021999999999999993, 0.038529999999999974, 0.1413426666666667, 0.0, 0.11546666666666662, 0.0, 0.0, 0.008799999999999995, 0.0, 0.09470666666666662, 0.000925000000000001]"
Dijkstra,107857,0.0,0,2,2,0,0,8.181257963180544,"[0.06251333333333335, 0.07740000000000002, 0.04428719999999984, 0.0, 0.06242499999999999, 0.008809999999999998, 0.008940000000000005, 0.011299999999999987, 0.050330000000000055, 2.4999999999999998e-05, 0.0, 0.00536, 0.0, 0.06431, 0.002325, 0.02955000000000006, 0.005839999999999995, 0.07712500000000003, 0.00021000000000000006, 0.06617499999999993, 0.038799999999999946, 0.2394333333333332, 0.016749999999999956, 0.017946000000000004, 0.0006499999999999998, 0.0013500000000000005, 0.0, 0.027919999999999986, 0.010424999999999981, 0.0055, 0.15084000000000025, 0.1395433333333333, 0.03453159999999997, 0.030379999999999963, 0.0, 9.000000000000013e-05, 0.1143133333333334, 0.0, 0.021356666666666673, 0.002200000000000003, 0.04597499999999999, 0.00015000000000000037, 0.00020000000000000212, 0.3037999999999994, 0.09780000000000008, 0.07712499999999996, 0.08608386666666683, 0.0, 0.03254499999999997, 2.499999999999987e-05, 0.05155000000000005, 0.15774000000000007, 0.05957500000000001, 0.08329000000000003, 4.9999999999999996e-05, 0.1613749999999996, 0.10423333333333337, 0.16679333333333332, 0.0054, 0.02082666666666664, 0.041539999999999994, 0.07959999999999998, 0.1453533333333332, 0.02693080000000002, 0.0, 0.0064799999999999944, 0.0, 0.08406999999999998, 0.10894800000000002, 0.03906499999999996, 0.16469999999999982, 0.13511, 0.010455000000000011, 0.04852033333333334, 0.09034719999999993, 0.012049999999999993, 0.02683333333333333, 0.04205666666666673, 7.499999999999986e-05, 0.027350000000000006, 0.044750000000000026, 0.0021999999999999993, 0.041414999999999993, 0.17749999999999996, 0.0, 0.07125386666666662, 0.0, 0.0, 0.017024999999999995, 0.0, 0.10082666666666663, 0.0013750000000000012]"
