DATE,SKAT,SKAT_peak,ATSK,ATSK_peak
2020-03-21 22:05:00,8.0508605174e+08,8.0508605174e+08,2.5083134177e+08,2.5083134177e+08
2020-03-21 22:10:00,8.7476732297e+08,8.7476732297e+08,3.4829139432e+08,3.4829139432e+08
2020-03-21 22:15:00,7.3408321824e+08,7.3408321824e+08,3.6394652145e+08,3.6394652145e+08
2020-03-21 22:20:00,7.0817635052e+08,7.0817635052e+08,3.1036372424e+08,3.1036372424e+08
2020-03-21 22:25:00,8.5057557071e+08,8.5057557071e+08,5.9765196640e+08,5.9765196640e+08
2020-03-21 22:30:00,8.0838350280e+08,8.0838350280e+08,5.5158714645e+08,5.5158714645e+08
2020-03-21 22:35:00,2.3016813874e+09,2.3016813874e+09,1.1364730979e+09,1.1364730979e+09
2020-03-21 22:40:00,1.0832303823e+09,1.0832303823e+09,8.2093152820e+08,8.2093152820e+08
2020-03-21 22:45:00,7.0956114895e+08,7.0956114895e+08,5.5520759035e+08,5.5520759035e+08
2020-03-21 22:50:00,3.6263847571e+09,3.6263847571e+09,7.5890673635e+08,7.5890673635e+08
2020-03-21 22:55:00,6.9275402224e+09,6.9275402224e+09,8.7610756596e+08,8.7610756596e+08
2020-03-21 23:00:00,4.4459109230e+09,4.4459109230e+09,9.4710808394e+08,9.4710808394e+08
2020-03-21 23:05:00,2.8759667824e+09,2.8759667824e+09,4.7233562624e+08,4.7233562624e+08
2020-03-21 23:10:00,2.9434707303e+09,2.9434707303e+09,6.0334306948e+08,6.0334306948e+08
2020-03-21 23:15:00,4.4432664501e+09,4.4432664501e+09,7.0649251766e+08,7.0649251766e+08
2020-03-21 23:20:00,1.5716854124e+09,1.5716854124e+09,4.3833639877e+08,4.3833639877e+08
2020-03-21 23:25:00,1.3459483313e+09,1.3459483313e+09,7.0688612508e+08,7.0688612508e+08
2020-03-21 23:30:00,1.6396303623e+09,1.6396303623e+09,6.6867959591e+08,6.6867959591e+08
2020-03-21 23:35:00,1.2798610461e+09,1.2798610461e+09,4.7261877987e+08,4.7261877987e+08
2020-03-21 23:40:00,1.6983878353e+09,1.6983878353e+09,3.6549735801e+08,3.6549735801e+08
2020-03-21 23:45:00,1.2027798505e+09,1.2027798505e+09,3.2364197234e+08,3.2364197234e+08
2020-03-21 23:50:00,1.2482150666e+09,1.2482150666e+09,7.8929034692e+08,7.8929034692e+08
2020-03-21 23:55:00,9.3708477780e+08,9.3708477780e+08,4.0828196113e+08,4.0828196113e+08
2020-03-22 00:00:00,9.0136766807e+08,9.0136766807e+08,4.0307156486e+08,4.0307156486e+08
2020-03-22 00:05:00,9.2858684019e+08,9.2858684019e+08,3.9908954020e+08,3.9908954020e+08
2020-03-22 00:10:00,9.8532313050e+08,9.8532313050e+08,3.4986980587e+08,3.4986980587e+08
2020-03-22 00:15:00,1.1077541981e+09,1.1077541981e+09,3.5321869137e+08,3.5321869137e+08
2020-03-22 00:20:00,1.0643390395e+09,1.0643390395e+09,5.6820917649e+08,5.6820917649e+08
2020-03-22 00:25:00,9.0419360720e+08,9.0419360720e+08,6.2395568963e+08,6.2395568963e+08
2020-03-22 00:30:00,1.0810506668e+09,1.0810506668e+09,7.5153540194e+08,7.5153540194e+08
2020-03-22 00:35:00,9.7218855351e+08,9.7218855351e+08,7.8011108591e+08,7.8011108591e+08
2020-03-22 00:40:00,1.1517073686e+09,1.1517073686e+09,8.5885211574e+08,8.5885211574e+08
2020-03-22 00:45:00,1.0308686863e+09,1.0308686863e+09,8.9434740449e+08,8.9434740449e+08
2020-03-22 00:50:00,1.4495493016e+09,1.4495493016e+09,9.8289675651e+08,9.8289675651e+08
2020-03-22 00:55:00,9.3182824505e+08,9.3182824505e+08,1.0368661285e+09,1.0368661285e+09
2020-03-22 01:00:00,1.0358747648e+09,1.0358747648e+09,1.1513123812e+09,1.1513123812e+09
2020-03-22 01:05:00,1.0437959947e+09,1.0437959947e+09,6.4789172540e+08,6.4789172540e+08
2020-03-22 01:10:00,1.1696572768e+09,1.1696572768e+09,6.7072472863e+08,6.7072472863e+08
2020-03-22 01:15:00,1.0563699830e+09,1.0563699830e+09,6.1257419914e+08,6.1257419914e+08
2020-03-22 01:20:00,8.9421324964e+08,8.9421324964e+08,6.8760583600e+08,6.8760583600e+08
2020-03-22 01:25:00,8.1234705758e+08,8.1234705758e+08,8.0187965677e+08,8.0187965677e+08
2020-03-22 01:30:00,3.5791623507e+09,3.5791623507e+09,8.0893248755e+08,8.0893248755e+08
2020-03-22 01:35:00,6.3476553701e+09,6.3476553701e+09,1.0040275678e+09,1.0040275678e+09
2020-03-22 01:40:00,5.1683193001e+09,5.1683193001e+09,9.2500448488e+08,9.2500448488e+08
2020-03-22 01:45:00,2.5412791803e+09,2.5412791803e+09,1.0701271336e+09,1.0701271336e+09
2020-03-22 01:50:00,1.5069955217e+09,1.5069955217e+09,1.3800133469e+09,1.3800133469e+09
2020-03-22 01:55:00,1.4024957771e+09,1.4024957771e+09,1.3766037481e+09,1.3766037481e+09
2020-03-22 02:00:00,9.1046200713e+08,9.1046200713e+08,1.2492707860e+09,1.2492707860e+09
2020-03-22 02:05:00,8.6799395019e+08,8.6799395019e+08,8.9590768625e+08,8.9590768625e+08
2020-03-22 02:10:00,8.3251133932e+08,8.3251133932e+08,9.1591996169e+08,9.1591996169e+08
2020-03-22 02:15:00,6.0338673401e+08,6.0338673401e+08,9.8912894700e+08,9.8912894700e+08
2020-03-22 02:20:00,5.2107006613e+08,5.2107006613e+08,1.0508440821e+09,1.0508440821e+09
2020-03-22 02:25:00,3.8061142896e+08,3.8061142896e+08,9.8027618396e+08,9.8027618396e+08
2020-03-22 02:30:00,3.4521568775e+08,3.4521568775e+08,7.4927065397e+08,7.4927065397e+08
2020-03-22 02:35:00,2.7020296539e+09,2.7020296539e+09,1.4799662982e+09,1.4799662982e+09
2020-03-22 02:40:00,6.8011299640e+08,6.8011299640e+08,1.0226026034e+09,1.0226026034e+09
2020-03-22 02:45:00,5.2391298259e+08,5.2391298259e+08,9.1013101663e+08,9.1013101663e+08
2020-03-22 02:50:00,3.8714397609e+08,3.8714397609e+08,7.9446016219e+08,7.9446016219e+08
2020-03-22 02:55:00,5.2210671846e+08,5.2210671846e+08,9.6757225329e+08,9.6757225329e+08
2020-03-22 03:00:00,7.2623764323e+08,7.2623764323e+08,1.4388558701e+09,1.4388558701e+09
2020-03-22 03:05:00,5.5474400049e+08,5.5474400049e+08,1.0822443997e+09,1.0822443997e+09
2020-03-22 03:10:00,9.7431563590e+08,9.7431563590e+08,1.3928499263e+09,1.3928499263e+09
2020-03-22 03:15:00,5.4705335479e+08,5.4705335479e+08,1.2060901349e+09,1.2060901349e+09
2020-03-22 03:20:00,1.0009622767e+09,1.0009622767e+09,1.4484679532e+09,1.4484679532e+09
2020-03-22 03:25:00,9.5085734523e+08,9.5085734523e+08,1.5475846819e+09,1.5475846819e+09
2020-03-22 03:30:00,4.4087343287e+08,4.4087343287e+08,1.0440278709e+09,1.0440278709e+09
2020-03-22 03:35:00,1.7826940832e+09,1.7826940832e+09,1.4996048853e+09,1.4996048853e+09
2020-03-22 03:40:00,2.3333801935e+09,2.3333801935e+09,1.5897730798e+09,1.5897730798e+09
2020-03-22 03:45:00,1.5459031709e+09,1.5459031709e+09,1.9106771110e+09,1.9106771110e+09
2020-03-22 03:50:00,3.3165899160e+09,3.3165899160e+09,2.0018922408e+09,2.0018922408e+09
2020-03-22 03:55:00,3.1756078486e+09,3.1756078486e+09,8.0557894140e+08,8.0557894140e+08
2020-03-22 04:00:00,1.9566064360e+09,1.9566064360e+09,8.1483355525e+08,8.1483355525e+08
2020-03-22 04:05:00,3.0281066847e+09,3.0281066847e+09,7.5181712730e+08,7.5181712730e+08
2020-03-22 04:10:00,3.6473495009e+09,3.6473495009e+09,7.9601219779e+08,7.9601219779e+08
2020-03-22 04:15:00,3.1884132820e+09,3.1884132820e+09,8.2057697998e+08,8.2057697998e+08
2020-03-22 04:20:00,3.0685812573e+09,3.0685812573e+09,8.5686860500e+08,8.5686860500e+08
2020-03-22 04:25:00,2.7268854513e+09,2.7268854513e+09,6.7407468456e+08,6.7407468456e+08
2020-03-22 04:30:00,2.4571939999e+09,2.4571939999e+09,9.2377911852e+08,9.2377911852e+08
2020-03-22 04:35:00,1.7277553320e+09,1.7277553320e+09,7.7092502530e+08,7.7092502530e+08
2020-03-22 04:40:00,1.2551847214e+09,1.2551847214e+09,6.8854288142e+08,6.8854288142e+08
2020-03-22 04:45:00,1.1290735620e+09,1.1290735620e+09,7.8598252513e+08,7.8598252513e+08
2020-03-22 04:50:00,1.0144204205e+09,1.0144204205e+09,8.0897174164e+08,8.0897174164e+08
2020-03-22 04:55:00,1.3600481646e+09,1.3600481646e+09,7.1261937622e+08,7.1261937622e+08
2020-03-22 05:00:00,1.0727603695e+09,1.0727603695e+09,8.5705671961e+08,8.5705671961e+08
2020-03-22 05:05:00,1.0106270465e+09,1.0106270465e+09,6.3564774678e+08,6.3564774678e+08
2020-03-22 05:10:00,9.7993540077e+08,9.7993540077e+08,6.6447987668e+08,6.6447987668e+08
2020-03-22 05:15:00,8.5068678352e+08,8.5068678352e+08,6.1588759518e+08,6.1588759518e+08
2020-03-22 05:20:00,8.0313421291e+08,8.0313421291e+08,6.8341761643e+08,6.8341761643e+08
2020-03-22 05:25:00,8.4625518484e+08,8.4625518484e+08,4.4931314088e+08,4.4931314088e+08
2020-03-22 05:30:00,4.9989251791e+08,4.9989251791e+08,2.6932269042e+08,2.6932269042e+08
