DATE,ROBG,ROBG_peak,BGRO,BGRO_peak
2020-03-21 22:05:00,1.3835707732e+10,1.3835707732e+10,1.8826867715e+09,1.8826867715e+09
2020-03-21 22:10:00,1.3861662741e+10,1.3861662741e+10,2.2069521309e+09,2.2069521309e+09
2020-03-21 22:15:00,1.3881808603e+10,1.3881808603e+10,1.9384500430e+09,1.9384500430e+09
2020-03-21 22:20:00,1.3015935974e+10,1.3015935974e+10,2.1679091013e+09,2.1679091013e+09
2020-03-21 22:25:00,1.1748586800e+10,1.1748586800e+10,2.5948849837e+09,2.5948849837e+09
2020-03-21 22:30:00,1.0998278333e+10,1.0998278333e+10,2.3453891014e+09,2.3453891014e+09
2020-03-21 22:35:00,1.1274023441e+10,1.1274023441e+10,2.6419291940e+09,2.6419291940e+09
2020-03-21 22:40:00,1.0820964892e+10,1.0820964892e+10,2.7905220851e+09,2.7905220851e+09
2020-03-21 22:45:00,9.5799896175e+09,9.5799896175e+09,2.5746466705e+09,2.5746466705e+09
2020-03-21 22:50:00,8.3201415074e+09,8.3201415074e+09,1.9023536891e+09,1.9023536891e+09
2020-03-21 22:55:00,7.7023193736e+09,7.7023193736e+09,2.4415282443e+09,2.4415282443e+09
2020-03-21 23:00:00,5.7520788639e+09,5.7520788639e+09,3.4414661253e+09,3.4414661253e+09
2020-03-21 23:05:00,4.8627360089e+09,4.8627360089e+09,5.4218216115e+09,5.4218216115e+09
2020-03-21 23:10:00,4.8256399439e+09,4.8256399439e+09,4.4644209885e+09,4.4644209885e+09
2020-03-21 23:15:00,7.6171843452e+09,7.6171843452e+09,2.7365147874e+09,2.7365147874e+09
2020-03-21 23:20:00,8.8039366395e+09,8.8039366395e+09,2.4714418419e+09,2.4714418419e+09
2020-03-21 23:25:00,4.9814775871e+09,4.9814775871e+09,2.7267016355e+09,2.7267016355e+09
2020-03-21 23:30:00,4.3375728362e+09,4.3375728362e+09,2.2673013143e+09,2.2673013143e+09
2020-03-21 23:35:00,6.0518657710e+09,6.0518657710e+09,2.4247914419e+09,2.4247914419e+09
2020-03-21 23:40:00,7.4022360208e+09,7.4022360208e+09,2.1836201715e+09,2.1836201715e+09
2020-03-21 23:45:00,5.7635893118e+09,5.7635893118e+09,1.7497569056e+09,1.7497569056e+09
2020-03-21 23:50:00,6.2976149410e+09,6.2976149410e+09,2.5538461743e+09,2.5538461743e+09
2020-03-21 23:55:00,6.2374226917e+09,6.2374226917e+09,2.4724241660e+09,2.4724241660e+09
2020-03-22 00:00:00,6.3849006845e+09,6.3849006845e+09,2.4951933663e+09,2.4951933663e+09
2020-03-22 00:05:00,5.8945820596e+09,5.8945820596e+09,3.6477914895e+09,3.6477914895e+09
2020-03-22 00:10:00,5.4136014249e+09,5.4136014249e+09,3.0022935325e+09,3.0022935325e+09
2020-03-22 00:15:00,6.2898928404e+09,6.2898928404e+09,2.8422777150e+09,2.8422777150e+09
2020-03-22 00:20:00,5.3454720811e+09,5.3454720811e+09,1.4832729029e+09,1.4832729029e+09
2020-03-22 00:25:00,5.4596037975e+09,5.4596037975e+09,1.8910455536e+09,1.8910455536e+09
2020-03-22 00:30:00,5.1352491914e+09,5.1352491914e+09,3.1700419987e+09,3.1700419987e+09
2020-03-22 00:35:00,5.3271447935e+09,5.3271447935e+09,2.2626604882e+09,2.2626604882e+09
2020-03-22 00:40:00,6.0034330260e+09,6.0034330260e+09,2.3330266354e+09,2.3330266354e+09
2020-03-22 00:45:00,6.4545536824e+09,6.4545536824e+09,2.3826885336e+09,2.3826885336e+09
2020-03-22 00:50:00,6.4881193661e+09,6.4881193661e+09,2.6283380228e+09,2.6283380228e+09
2020-03-22 00:55:00,6.4382241685e+09,6.4382241685e+09,2.8607185658e+09,2.8607185658e+09
2020-03-22 01:00:00,7.2957076129e+09,7.2957076129e+09,2.3676735610e+09,2.3676735610e+09
2020-03-22 01:05:00,6.8619607289e+09,6.8619607289e+09,1.8578113720e+09,1.8578113720e+09
2020-03-22 01:10:00,6.4690655355e+09,6.4690655355e+09,1.8014173597e+09,1.8014173597e+09
2020-03-22 01:15:00,6.2090967827e+09,6.2090967827e+09,1.3915417532e+09,1.3915417532e+09
2020-03-22 01:20:00,7.7850629153e+09,7.7850629153e+09,2.4539062373e+09,2.4539062373e+09
2020-03-22 01:25:00,7.6115971200e+09,7.6115971200e+09,2.8476285872e+09,2.8476285872e+09
2020-03-22 01:30:00,7.1711066826e+09,7.1711066826e+09,6.0566085259e+09,6.0566085259e+09
2020-03-22 01:35:00,6.9309128471e+09,6.9309128471e+09,2.8548864457e+09,2.8548864457e+09
2020-03-22 01:40:00,7.5333632955e+09,7.5333632955e+09,3.6328069915e+09,3.6328069915e+09
2020-03-22 01:45:00,9.6426941324e+09,9.6426941324e+09,2.8043692657e+09,2.8043692657e+09
2020-03-22 01:50:00,7.9276563770e+09,7.9276563770e+09,2.2449040954e+09,2.2449040954e+09
2020-03-22 01:55:00,7.6984917185e+09,7.6984917185e+09,3.0100023200e+09,3.0100023200e+09
2020-03-22 02:00:00,7.1445521127e+09,7.1445521127e+09,3.2377140902e+09,3.2377140902e+09
2020-03-22 02:05:00,7.1393217746e+09,7.1393217746e+09,2.8862725349e+09,2.8862725349e+09
2020-03-22 02:10:00,7.5915700101e+09,7.5915700101e+09,2.7776832965e+09,2.7776832965e+09
2020-03-22 02:15:00,7.5968629660e+09,7.5968629660e+09,2.5190844940e+09,2.5190844940e+09
2020-03-22 02:20:00,7.7032840057e+09,7.7032840057e+09,2.3728967191e+09,2.3728967191e+09
2020-03-22 02:25:00,7.4915242360e+09,7.4915242360e+09,2.6238541569e+09,2.6238541569e+09
2020-03-22 02:30:00,8.1474407601e+09,8.1474407601e+09,2.7113941319e+09,2.7113941319e+09
2020-03-22 02:35:00,7.8151631478e+09,7.8151631478e+09,4.7643894785e+09,4.7643894785e+09
2020-03-22 02:40:00,9.9813515712e+09,9.9813515712e+09,4.3013793974e+09,4.3013793974e+09
2020-03-22 02:45:00,8.5868700716e+09,8.5868700716e+09,3.6373982977e+09,3.6373982977e+09
2020-03-22 02:50:00,7.8382541184e+09,7.8382541184e+09,4.0183196612e+09,4.0183196612e+09
2020-03-22 02:55:00,7.3479093935e+09,7.3479093935e+09,2.7708927145e+09,2.7708927145e+09
2020-03-22 03:00:00,7.8011777742e+09,7.8011777742e+09,2.6362508183e+09,2.6362508183e+09
2020-03-22 03:05:00,1.3125764739e+10,1.3125764739e+10,1.3441641560e+09,1.3441641560e+09
2020-03-22 03:10:00,1.0696149015e+10,1.0696149015e+10,3.0185894168e+09,3.0185894168e+09
2020-03-22 03:15:00,9.8598072515e+09,9.8598072515e+09,3.1666555747e+09,3.1666555747e+09
2020-03-22 03:20:00,7.9932787427e+09,7.9932787427e+09,2.8812698185e+09,2.8812698185e+09
2020-03-22 03:25:00,6.5223290984e+09,6.5223290984e+09,2.6279873748e+09,2.6279873748e+09
2020-03-22 03:30:00,6.0751517464e+09,6.0751517464e+09,2.1427586292e+09,2.1427586292e+09
2020-03-22 03:35:00,1.0365285618e+10,1.0365285618e+10,2.2204993304e+09,2.2204993304e+09
2020-03-22 03:40:00,1.1385863716e+10,1.1385863716e+10,4.3035653332e+09,4.3035653332e+09
2020-03-22 03:45:00,6.5399499062e+09,6.5399499062e+09,2.9902598684e+09,2.9902598684e+09
2020-03-22 03:50:00,5.5066984304e+09,5.5066984304e+09,2.1968871276e+09,2.1968871276e+09
2020-03-22 03:55:00,5.1093041068e+09,5.1093041068e+09,2.6385771398e+09,2.6385771398e+09
2020-03-22 04:00:00,4.7438487896e+09,4.7438487896e+09,2.2894637320e+09,2.2894637320e+09
2020-03-22 04:05:00,4.1773816272e+09,4.1773816272e+09,2.0654789933e+09,2.0654789933e+09
2020-03-22 04:10:00,7.4971432832e+09,7.4971432832e+09,2.1377345548e+09,2.1377345548e+09
2020-03-22 04:15:00,5.6958243225e+09,5.6958243225e+09,2.4270000551e+09,2.4270000551e+09
2020-03-22 04:20:00,5.9025250197e+09,5.9025250197e+09,2.5026269015e+09,2.5026269015e+09
2020-03-22 04:25:00,6.3969294845e+09,6.3969294845e+09,1.7511024154e+09,1.7511024154e+09
2020-03-22 04:30:00,4.8610542872e+09,4.8610542872e+09,2.5208692661e+09,2.5208692661e+09
2020-03-22 04:35:00,4.8845586047e+09,4.8845586047e+09,2.9422156851e+09,2.9422156851e+09
2020-03-22 04:40:00,3.8322678409e+09,3.8322678409e+09,2.3604392068e+09,2.3604392068e+09
2020-03-22 04:45:00,3.6366411742e+09,3.6366411742e+09,3.3671362785e+09,3.3671362785e+09
2020-03-22 04:50:00,3.4442201035e+09,3.4442201035e+09,2.1275262046e+09,2.1275262046e+09
2020-03-22 04:55:00,3.6018126127e+09,3.6018126127e+09,1.7809523026e+09,1.7809523026e+09
2020-03-22 05:00:00,3.2273278724e+09,3.2273278724e+09,1.8486432273e+09,1.8486432273e+09
2020-03-22 05:05:00,2.8915757651e+09,2.8915757651e+09,2.3830869999e+09,2.3830869999e+09
2020-03-22 05:10:00,3.2923169774e+09,3.2923169774e+09,2.1806307893e+09,2.1806307893e+09
2020-03-22 05:15:00,2.6068718381e+09,2.6068718381e+09,1.9811732125e+09,1.9811732125e+09
2020-03-22 05:20:00,2.5945444628e+09,2.5945444628e+09,2.3163548897e+09,2.3163548897e+09
2020-03-22 05:25:00,2.7074695765e+09,2.7074695765e+09,1.7971803153e+09,1.7971803153e+09
