DATE,CHES,CHES_peak,ESCH,CHES_peak
2020-03-21 22:05:00,6.0248702151e+09,6.0248702151e+09,9.6737023955e+09,9.6737023955e+09
2020-03-21 22:10:00,5.1015827609e+09,5.1015827609e+09,8.8804106432e+09,8.8804106432e+09
2020-03-21 22:15:00,6.4061766862e+09,6.4061766862e+09,9.3980874050e+09,9.3980874050e+09
2020-03-21 22:20:00,5.7251171750e+09,5.7251171750e+09,9.4341058074e+09,9.4341058074e+09
2020-03-21 22:25:00,3.3736355299e+09,3.3736355299e+09,8.8533118488e+09,8.8533118488e+09
2020-03-21 22:30:00,3.2698052963e+09,3.2698052963e+09,8.9661604838e+09,8.9661604838e+09
2020-03-21 22:35:00,4.9254119896e+09,4.9254119896e+09,9.3018894204e+09,9.3018894204e+09
2020-03-21 22:40:00,3.8531544648e+09,3.8531544648e+09,8.7717092183e+09,8.7717092183e+09
2020-03-21 22:45:00,2.9450687765e+09,2.9450687765e+09,8.5431088534e+09,8.5431088534e+09
2020-03-21 22:50:00,3.8345564826e+09,3.8345564826e+09,8.8031184917e+09,8.8031184917e+09
2020-03-21 22:55:00,3.8221759913e+09,3.8221759913e+09,9.0789240271e+09,9.0789240271e+09
2020-03-21 23:00:00,3.9670247040e+09,3.9670247040e+09,9.2335863275e+09,9.2335863275e+09
2020-03-21 23:05:00,4.1677439846e+09,4.1677439846e+09,1.0589805273e+10,1.0589805273e+10
2020-03-21 23:10:00,4.0524531262e+09,4.0524531262e+09,1.0446690189e+10,1.0446690189e+10
2020-03-21 23:15:00,3.8463625369e+09,3.8463625369e+09,1.0244535768e+10,1.0244535768e+10
2020-03-21 23:20:00,3.3949959019e+09,3.3949959019e+09,9.9340247573e+09,9.9340247573e+09
2020-03-21 23:25:00,3.7465126361e+09,3.7465126361e+09,1.1047865327e+10,1.1047865327e+10
2020-03-21 23:30:00,2.4385072152e+09,2.4385072152e+09,1.1078751115e+10,1.1078751115e+10
2020-03-21 23:35:00,2.9356634019e+09,2.9356634019e+09,9.6185446742e+09,9.6185446742e+09
2020-03-21 23:40:00,5.9988045060e+09,5.9988045060e+09,9.2281541842e+09,9.2281541842e+09
2020-03-21 23:45:00,7.3085292623e+09,7.3085292623e+09,9.3403339373e+09,9.3403339373e+09
2020-03-21 23:50:00,5.5003697226e+09,5.5003697226e+09,9.5608080064e+09,9.5608080064e+09
2020-03-21 23:55:00,6.4069773917e+09,6.4069773917e+09,9.3126621101e+09,9.3126621101e+09
2020-03-22 00:00:00,3.4786323159e+09,3.4786323159e+09,9.7517106975e+09,9.7517106975e+09
2020-03-22 00:05:00,4.1193921171e+09,4.1193921171e+09,9.8809769961e+09,9.8809769961e+09
2020-03-22 00:10:00,6.0698970931e+09,6.0698970931e+09,1.1071430643e+10,1.1071430643e+10
2020-03-22 00:15:00,6.7632646454e+09,6.7632646454e+09,9.5026580361e+09,9.5026580361e+09
2020-03-22 00:20:00,4.9571922853e+09,4.9571922853e+09,9.7519209461e+09,9.7519209461e+09
2020-03-22 00:25:00,2.5954821018e+09,2.5954821018e+09,9.4291432008e+09,9.4291432008e+09
2020-03-22 00:30:00,3.8203829789e+09,3.8203829789e+09,9.3987057902e+09,9.3987057902e+09
2020-03-22 00:35:00,5.7548785759e+09,5.7548785759e+09,9.1505828287e+09,9.1505828287e+09
2020-03-22 00:40:00,3.0229154852e+09,3.0229154852e+09,8.4945630686e+09,8.4945630686e+09
2020-03-22 00:45:00,3.2221752843e+09,3.2221752843e+09,8.3288072916e+09,8.3288072916e+09
2020-03-22 00:50:00,5.5002896876e+09,5.5002896876e+09,8.7055435658e+09,8.7055435658e+09
2020-03-22 00:55:00,2.9508835921e+09,2.9508835921e+09,8.8266910014e+09,8.8266910014e+09
2020-03-22 01:00:00,3.8229365446e+09,3.8229365446e+09,8.7381088590e+09,8.7381088590e+09
2020-03-22 01:05:00,5.4462311889e+09,5.4462311889e+09,8.1501527707e+09,8.1501527707e+09
2020-03-22 01:10:00,4.4113238485e+09,4.4113238485e+09,7.0249353333e+09,7.0249353333e+09
2020-03-22 01:15:00,4.1014555171e+09,4.1014555171e+09,7.2665377258e+09,7.2665377258e+09
2020-03-22 01:20:00,5.8699356936e+09,5.8699356936e+09,7.5676654256e+09,7.5676654256e+09
2020-03-22 01:25:00,5.4318165069e+09,5.4318165069e+09,7.8866636426e+09,7.8866636426e+09
2020-03-22 01:30:00,3.4974618032e+09,3.4974618032e+09,7.6105078048e+09,7.6105078048e+09
2020-03-22 01:35:00,2.7330582948e+09,2.7330582948e+09,7.6530838964e+09,7.6530838964e+09
2020-03-22 01:40:00,3.4281809673e+09,3.4281809673e+09,7.5759460361e+09,7.5759460361e+09
2020-03-22 01:45:00,3.9059517578e+09,3.9059517578e+09,7.9533853533e+09,7.9533853533e+09
