DATE,CHFR,CHFR_peak,FRCH,CHFR_peak
2020-03-21 22:05:00,2.9346804242e+10,2.9346804242e+10,1.9913072156e+10,1.9913072156e+10
2020-03-21 22:10:00,3.0620329826e+10,3.0620329826e+10,2.5706483812e+10,2.5706483812e+10
2020-03-21 22:15:00,3.5526274748e+10,3.5526274748e+10,2.1784696334e+10,2.1784696334e+10
2020-03-21 22:20:00,3.1555311044e+10,3.1555311044e+10,2.5209722016e+10,2.5209722016e+10
2020-03-21 22:25:00,3.4311919723e+10,3.4311919723e+10,3.0783945765e+10,3.0783945765e+10
2020-03-21 22:30:00,3.2716854906e+10,3.2716854906e+10,2.2994293108e+10,2.2994293108e+10
2020-03-21 22:35:00,3.2106582879e+10,3.2106582879e+10,2.6101139595e+10,2.6101139595e+10
2020-03-21 22:40:00,3.3642613763e+10,3.3642613763e+10,2.3411137791e+10,2.3411137791e+10
2020-03-21 22:45:00,2.8138908672e+10,2.8138908672e+10,1.9693035936e+10,1.9693035936e+10
2020-03-21 22:50:00,3.7148397892e+10,3.7148397892e+10,2.5642030341e+10,2.5642030341e+10
2020-03-21 22:55:00,4.6655279901e+10,4.6655279901e+10,2.4823146756e+10,2.4823146756e+10
2020-03-21 23:00:00,4.0872381719e+10,4.0872381719e+10,2.1568976367e+10,2.1568976367e+10
2020-03-21 23:05:00,3.6852034042e+10,3.6852034042e+10,2.5298977161e+10,2.5298977161e+10
2020-03-21 23:10:00,3.4989330221e+10,3.4989330221e+10,4.4934934602e+10,4.4934934602e+10
2020-03-21 23:15:00,3.5191160434e+10,3.5191160434e+10,3.0265652532e+10,3.0265652532e+10
2020-03-21 23:20:00,3.6566344399e+10,3.6566344399e+10,2.1780731593e+10,2.1780731593e+10
2020-03-21 23:25:00,2.5639399792e+10,2.5639399792e+10,2.5348203771e+10,2.5348203771e+10
2020-03-21 23:30:00,2.5996798446e+10,2.5996798446e+10,2.1372319359e+10,2.1372319359e+10
2020-03-21 23:35:00,2.6228761418e+10,2.6228761418e+10,2.3038744581e+10,2.3038744581e+10
2020-03-21 23:40:00,2.5556714430e+10,2.5556714430e+10,2.7339921140e+10,2.7339921140e+10
2020-03-21 23:45:00,2.3894646021e+10,2.3894646021e+10,2.4512800278e+10,2.4512800278e+10
2020-03-21 23:50:00,2.4606049547e+10,2.4606049547e+10,4.1535711608e+10,4.1535711608e+10
2020-03-21 23:55:00,2.5820943762e+10,2.5820943762e+10,3.7160938806e+10,3.7160938806e+10
2020-03-22 00:00:00,2.2194640829e+10,2.2194640829e+10,3.2820808171e+10,3.2820808171e+10
2020-03-22 00:05:00,2.1789173113e+10,2.1789173113e+10,3.2114355564e+10,3.2114355564e+10
2020-03-22 00:10:00,2.7866681368e+10,2.7866681368e+10,2.3218567235e+10,2.3218567235e+10
2020-03-22 00:15:00,2.2385657060e+10,2.2385657060e+10,2.5114142776e+10,2.5114142776e+10
2020-03-22 00:20:00,2.1763600373e+10,2.1763600373e+10,3.5699587855e+10,3.5699587855e+10
2020-03-22 00:25:00,2.7356335622e+10,2.7356335622e+10,2.7173249497e+10,2.7173249497e+10
2020-03-22 00:30:00,2.3978922064e+10,2.3978922064e+10,3.4469915703e+10,3.4469915703e+10
2020-03-22 00:35:00,2.2568418816e+10,2.2568418816e+10,2.9604701205e+10,2.9604701205e+10
2020-03-22 00:40:00,2.6724230262e+10,2.6724230262e+10,3.4781621834e+10,3.4781621834e+10
2020-03-22 00:45:00,2.8561379728e+10,2.8561379728e+10,3.0148636449e+10,3.0148636449e+10
2020-03-22 00:50:00,2.5340281132e+10,2.5340281132e+10,3.0263812430e+10,3.0263812430e+10
