DATE,ESFR,ESFR_peak,FRES,ESFR_peak
2020-03-21 22:05:00,6.6507129659e+08,6.6507129659e+08,5.9470136306e+09,5.9470136306e+09
2020-03-21 22:10:00,5.2130865364e+08,5.2130865364e+08,8.5607947513e+09,8.5607947513e+09
2020-03-21 22:15:00,4.7865103054e+08,4.7865103054e+08,4.6370004537e+09,4.6370004537e+09
2020-03-21 22:20:00,4.1899377070e+08,4.1899377070e+08,2.6748365488e+09,2.6748365488e+09
2020-03-21 22:25:00,7.3046995546e+08,7.3046995546e+08,8.7642898899e+09,8.7642898899e+09
2020-03-21 22:30:00,6.1934589808e+08,6.1934589808e+08,7.5563909852e+09,7.5563909852e+09
2020-03-21 22:35:00,6.6632621263e+08,6.6632621263e+08,5.8887982424e+09,5.8887982424e+09
2020-03-21 22:40:00,5.1892993967e+08,5.1892993967e+08,7.7183269492e+09,7.7183269492e+09
2020-03-21 22:45:00,6.6128132823e+08,6.6128132823e+08,9.4289920388e+09,9.4289920388e+09
2020-03-21 22:50:00,6.5502164050e+08,6.5502164050e+08,6.8080811221e+09,6.8080811221e+09
2020-03-21 22:55:00,5.9514479853e+08,5.9514479853e+08,6.9501675595e+09,6.9501675595e+09
2020-03-21 23:00:00,7.5699124294e+08,7.5699124294e+08,8.7320603056e+09,8.7320603056e+09
2020-03-21 23:05:00,7.2949138796e+08,7.2949138796e+08,7.1103455904e+09,7.1103455904e+09
2020-03-21 23:10:00,6.5407903272e+08,6.5407903272e+08,6.8580941350e+09,6.8580941350e+09
2020-03-21 23:15:00,6.4067910014e+08,6.4067910014e+08,8.6815672252e+09,8.6815672252e+09
2020-03-21 23:20:00,5.0092013649e+08,5.0092013649e+08,7.9035498838e+09,7.9035498838e+09
2020-03-21 23:25:00,6.0073062208e+08,6.0073062208e+08,6.5243549645e+09,6.5243549645e+09
2020-03-21 23:30:00,7.2701819836e+08,7.2701819836e+08,8.6375551659e+09,8.6375551659e+09
2020-03-21 23:35:00,6.2209745285e+08,6.2209745285e+08,7.6561065610e+09,7.6561065610e+09
2020-03-21 23:40:00,6.9164463948e+08,6.9164463948e+08,5.3985800177e+09,5.3985800177e+09
2020-03-21 23:45:00,6.9924919178e+08,6.9924919178e+08,5.0519759377e+09,5.0519759377e+09
2020-03-21 23:50:00,7.2380736026e+08,7.2380736026e+08,3.9006984091e+09,3.9006984091e+09
2020-03-21 23:55:00,6.6194247063e+08,6.6194247063e+08,3.7725619417e+09,3.7725619417e+09
2020-03-22 00:00:00,6.1715970171e+08,6.1715970171e+08,6.6366549326e+09,6.6366549326e+09
2020-03-22 00:05:00,6.8116396185e+08,6.8116396185e+08,6.6883303190e+09,6.6883303190e+09
2020-03-22 00:10:00,6.0940425598e+08,6.0940425598e+08,3.6646332837e+09,3.6646332837e+09
2020-03-22 00:15:00,5.6840002694e+08,5.6840002694e+08,3.2567857633e+09,3.2567857633e+09
2020-03-22 00:20:00,6.9787917323e+08,6.9787917323e+08,4.7716117124e+09,4.7716117124e+09
2020-03-22 00:25:00,9.7974797889e+08,9.7974797889e+08,9.1991997835e+09,9.1991997835e+09
2020-03-22 00:30:00,9.3152611354e+08,9.3152611354e+08,7.6569729977e+09,7.6569729977e+09
2020-03-22 00:35:00,8.4689455757e+08,8.4689455757e+08,5.7569731268e+09,5.7569731268e+09
2020-03-22 00:40:00,8.5625013210e+08,8.5625013210e+08,9.5158081125e+09,9.5158081125e+09
2020-03-22 00:45:00,8.8135673108e+08,8.8135673108e+08,8.4070700866e+09,8.4070700866e+09
2020-03-22 00:50:00,8.6518310296e+08,8.6518310296e+08,5.2061823020e+09,5.2061823020e+09
2020-03-22 00:55:00,8.8419193654e+08,8.8419193654e+08,8.0904051912e+09,8.0904051912e+09
2020-03-22 01:00:00,1.0208137418e+09,1.0208137418e+09,7.1110605870e+09,7.1110605870e+09
2020-03-22 01:05:00,1.3452552109e+09,1.3452552109e+09,5.6529837638e+09,5.6529837638e+09
2020-03-22 01:10:00,1.6122109356e+09,1.6122109356e+09,7.3975905541e+09,7.3975905541e+09
