DATE,PRES,PRES_peak,ESPR,ESPR_peak
2020-03-21 22:05:00,2.4929292398e+09,2.4929292398e+09,1.2768693468e+09,1.2768693468e+09
2020-03-21 22:10:00,2.6874903926e+09,2.6874903926e+09,1.3457085454e+09,1.3457085454e+09
2020-03-21 22:15:00,2.6392349857e+09,2.6392349857e+09,1.2954554547e+09,1.2954554547e+09
2020-03-21 22:20:00,2.6220505623e+09,2.6220505623e+09,1.3115756701e+09,1.3115756701e+09
2020-03-21 22:25:00,2.7201747089e+09,2.7201747089e+09,1.2620763255e+09,1.2620763255e+09
2020-03-21 22:30:00,2.5729701634e+09,2.5729701634e+09,1.2856713266e+09,1.2856713266e+09
2020-03-21 22:35:00,2.8098361125e+09,2.8098361125e+09,1.5890540205e+09,1.5890540205e+09
2020-03-21 22:40:00,2.7446019221e+09,2.7446019221e+09,1.3929272511e+09,1.3929272511e+09
2020-03-21 22:45:00,2.6918976832e+09,2.6918976832e+09,1.3693347737e+09,1.3693347737e+09
2020-03-21 22:50:00,2.5883517812e+09,2.5883517812e+09,1.2434199557e+09,1.2434199557e+09
2020-03-21 22:55:00,2.8124353647e+09,2.8124353647e+09,1.2358987957e+09,1.2358987957e+09
2020-03-21 23:00:00,2.6607514987e+09,2.6607514987e+09,1.3378809319e+09,1.3378809319e+09
2020-03-21 23:05:00,2.9327456702e+09,2.9327456702e+09,1.2753858423e+09,1.2753858423e+09
2020-03-21 23:10:00,2.7904304650e+09,2.7904304650e+09,1.2924459701e+09,1.2924459701e+09
2020-03-21 23:15:00,2.7893726962e+09,2.7893726962e+09,1.4010769108e+09,1.4010769108e+09
2020-03-21 23:20:00,2.6972112396e+09,2.6972112396e+09,1.1974965578e+09,1.1974965578e+09
2020-03-21 23:25:00,2.8699025303e+09,2.8699025303e+09,1.1656695659e+09,1.1656695659e+09
2020-03-21 23:30:00,2.8246134487e+09,2.8246134487e+09,1.1897937978e+09,1.1897937978e+09
2020-03-21 23:35:00,2.9248169863e+09,2.9248169863e+09,1.0809817592e+09,1.0809817592e+09
2020-03-21 23:40:00,2.9647783893e+09,2.9647783893e+09,1.1252806632e+09,1.1252806632e+09
2020-03-21 23:45:00,3.0256912175e+09,3.0256912175e+09,1.2369869941e+09,1.2369869941e+09
2020-03-21 23:50:00,3.1441128146e+09,3.1441128146e+09,1.1709449746e+09,1.1709449746e+09
2020-03-21 23:55:00,3.1532746947e+09,3.1532746947e+09,1.0858340653e+09,1.0858340653e+09
2020-03-22 00:00:00,3.2437422194e+09,3.2437422194e+09,1.2887896217e+09,1.2887896217e+09
2020-03-22 00:05:00,3.4349009291e+09,3.4349009291e+09,1.2491909630e+09,1.2491909630e+09
2020-03-22 00:10:00,4.2662571032e+09,4.2662571032e+09,1.1987637984e+09,1.1987637984e+09
2020-03-22 00:15:00,4.0856965524e+09,4.0856965524e+09,1.3287049861e+09,1.3287049861e+09
2020-03-22 00:20:00,4.2063779219e+09,4.2063779219e+09,1.2947750862e+09,1.2947750862e+09
2020-03-22 00:25:00,4.1396507934e+09,4.1396507934e+09,1.2256364905e+09,1.2256364905e+09
2020-03-22 00:30:00,3.5503017401e+09,3.5503017401e+09,1.4310846626e+09,1.4310846626e+09
2020-03-22 00:35:00,3.2036057210e+09,3.2036057210e+09,1.3040074952e+09,1.3040074952e+09
2020-03-22 00:40:00,2.8342302255e+09,2.8342302255e+09,1.1958369546e+09,1.1958369546e+09
2020-03-22 00:45:00,2.8417948426e+09,2.8417948426e+09,1.0940811982e+09,1.0940811982e+09
2020-03-22 00:50:00,2.7715264749e+09,2.7715264749e+09,1.4463482639e+09,1.4463482639e+09
2020-03-22 00:55:00,3.1580400288e+09,3.1580400288e+09,1.2031181599e+09,1.2031181599e+09
2020-03-22 01:00:00,2.7998349647e+09,2.7998349647e+09,1.3895112918e+09,1.3895112918e+09
2020-03-22 01:05:00,3.0958977189e+09,3.0958977189e+09,1.3872373257e+09,1.3872373257e+09
2020-03-22 01:10:00,2.7044021044e+09,2.7044021044e+09,1.2903727899e+09,1.2903727899e+09
2020-03-22 01:15:00,2.7383186398e+09,2.7383186398e+09,1.1700383793e+09,1.1700383793e+09
2020-03-22 01:20:00,2.9860680633e+09,2.9860680633e+09,1.1745150508e+09,1.1745150508e+09
2020-03-22 01:25:00,3.1520056168e+09,3.1520056168e+09,1.1475979663e+09,1.1475979663e+09
2020-03-22 01:30:00,2.7356719391e+09,2.7356719391e+09,1.0392374603e+09,1.0392374603e+09
2020-03-22 01:35:00,2.8189917402e+09,2.8189917402e+09,1.1638803976e+09,1.1638803976e+09
2020-03-22 01:40:00,2.5710279450e+09,2.5710279450e+09,9.7890215324e+08,9.7890215324e+08
2020-03-22 01:45:00,2.8128480909e+09,2.8128480909e+09,9.7550070244e+08,9.7550070244e+08
2020-03-22 01:50:00,2.2627413988e+09,2.2627413988e+09,1.1405694930e+09,1.1405694930e+09
2020-03-22 01:55:00,2.2100497459e+09,2.2100497459e+09,9.2179541162e+08,9.2179541162e+08
2020-03-22 02:00:00,2.3106938337e+09,2.3106938337e+09,1.0310625373e+09,1.0310625373e+09
2020-03-22 02:05:00,2.2157224878e+09,2.2157224878e+09,1.0096299262e+09,1.0096299262e+09
2020-03-22 02:10:00,2.3142146854e+09,2.3142146854e+09,9.7413482244e+08,9.7413482244e+08
2020-03-22 02:15:00,2.1401395979e+09,2.1401395979e+09,9.5828526013e+08,9.5828526013e+08
2020-03-22 02:20:00,2.1138133832e+09,2.1138133832e+09,9.3798031992e+08,9.3798031992e+08
2020-03-22 02:25:00,1.9688935525e+09,1.9688935525e+09,1.0809372612e+09,1.0809372612e+09
2020-03-22 02:30:00,2.2199786392e+09,2.2199786392e+09,9.1782088653e+08,9.1782088653e+08
2020-03-22 02:35:00,2.0417323785e+09,2.0417323785e+09,9.7752506191e+08,9.7752506191e+08
2020-03-22 02:40:00,2.4374046005e+09,2.4374046005e+09,8.9578036568e+08,8.9578036568e+08
