DATE,ROHU,ROHU_peak,HURO,HURO_peak
2020-03-21 22:05:00,4.7317012168e+08,4.7317012168e+08,4.7866169889e+07,4.7866169889e+07
2020-03-21 22:10:00,4.6141699849e+08,4.6141699849e+08,5.3677416314e+07,5.3677416314e+07
2020-03-21 22:15:00,4.1472990087e+08,4.1472990087e+08,4.8709970197e+07,4.8709970197e+07
2020-03-21 22:20:00,3.5054146121e+08,3.5054146121e+08,4.9533553006e+07,4.9533553006e+07
2020-03-21 22:25:00,3.9944513982e+08,3.9944513982e+08,6.1535109478e+07,6.1535109478e+07
2020-03-21 22:30:00,3.9539152663e+08,3.9539152663e+08,5.8698008541e+07,5.8698008541e+07
2020-03-21 22:35:00,5.1718960772e+08,5.1718960772e+08,5.7935018500e+07,5.7935018500e+07
2020-03-21 22:40:00,4.0528018439e+08,4.0528018439e+08,5.7146072195e+07,5.7146072195e+07
2020-03-21 22:45:00,3.1708898262e+08,3.1708898262e+08,4.2574880441e+07,4.2574880441e+07
2020-03-21 22:50:00,4.0175614414e+08,4.0175614414e+08,3.6691364119e+07,3.6691364119e+07
2020-03-21 22:55:00,3.9478611000e+08,3.9478611000e+08,4.4259521187e+07,4.4259521187e+07
2020-03-21 23:00:00,2.8750088602e+08,2.8750088602e+08,4.0632686706e+07,4.0632686706e+07
2020-03-21 23:05:00,1.7252876719e+08,1.7252876719e+08,5.6166886055e+07,5.6166886055e+07
2020-03-21 23:10:00,1.4384331500e+08,1.4384331500e+08,3.8678372668e+07,3.8678372668e+07
2020-03-21 23:15:00,2.9873227146e+08,2.9873227146e+08,4.8720788303e+07,4.8720788303e+07
2020-03-21 23:20:00,1.8596856132e+08,1.8596856132e+08,5.0519672695e+07,5.0519672695e+07
2020-03-21 23:25:00,1.5967708393e+08,1.5967708393e+08,1.0986606416e+08,1.0986606416e+08
2020-03-21 23:30:00,1.5989079104e+08,1.5989079104e+08,4.8535268429e+07,4.8535268429e+07
2020-03-21 23:35:00,1.1900809728e+08,1.1900809728e+08,3.4607809611e+07,3.4607809611e+07
2020-03-21 23:40:00,1.4168948035e+08,1.4168948035e+08,3.4673954854e+07,3.4673954854e+07
2020-03-21 23:45:00,1.0896954713e+08,1.0896954713e+08,4.2253070323e+07,4.2253070323e+07
2020-03-21 23:50:00,1.5263348710e+08,1.5263348710e+08,3.3979646392e+07,3.3979646392e+07
2020-03-21 23:55:00,1.6749881171e+08,1.6749881171e+08,4.1361133389e+07,4.1361133389e+07
