DATE,IRIE,IRIE_peak,IEIR,IEIR_peak
2020-03-21 22:05:00,6.4700551316e+07,6.4700551316e+07,3.3335633841e+07,3.3335633841e+07
2020-03-21 22:10:00,6.2063348505e+07,6.2063348505e+07,4.7526929470e+07,4.7526929470e+07
2020-03-21 22:15:00,7.7092107407e+07,7.7092107407e+07,1.6664028339e+07,1.6664028339e+07
2020-03-21 22:20:00,7.5403945519e+07,7.5403945519e+07,4.6038004352e+07,4.6038004352e+07
2020-03-21 22:25:00,8.7977301711e+07,8.7977301711e+07,4.0871577297e+07,4.0871577297e+07
2020-03-21 22:30:00,9.6069274801e+07,9.6069274801e+07,1.6592650678e+07,1.6592650678e+07
2020-03-21 22:35:00,9.8025899200e+07,9.8025899200e+07,1.5031228750e+07,1.5031228750e+07
2020-03-21 22:40:00,9.6800157376e+07,9.6800157376e+07,4.0328101390e+07,4.0328101390e+07
2020-03-21 22:45:00,8.6835480109e+07,8.6835480109e+07,3.0342577882e+07,3.0342577882e+07
2020-03-21 22:50:00,9.1048910367e+07,9.1048910367e+07,4.6591416363e+07,4.6591416363e+07
2020-03-21 22:55:00,9.2933258014e+07,9.2933258014e+07,6.1658865877e+07,6.1658865877e+07
2020-03-21 23:00:00,7.5071551956e+07,7.5071551956e+07,4.7812112794e+07,4.7812112794e+07
2020-03-21 23:05:00,1.1560211329e+08,1.1560211329e+08,4.6121391479e+07,4.6121391479e+07
2020-03-21 23:10:00,9.1505856337e+07,9.1505856337e+07,2.0771498895e+07,2.0771498895e+07
2020-03-21 23:15:00,7.8259972107e+07,7.8259972107e+07,1.5282617671e+07,1.5282617671e+07
2020-03-21 23:20:00,8.1404854439e+07,8.1404854439e+07,2.2893752639e+07,2.2893752639e+07
2020-03-21 23:25:00,6.7268780086e+07,6.7268780086e+07,1.7306536391e+07,1.7306536391e+07
2020-03-21 23:30:00,6.4628850453e+07,6.4628850453e+07,1.8179217063e+07,1.8179217063e+07
2020-03-21 23:35:00,6.6305315011e+07,6.6305315011e+07,1.9173168719e+07,1.9173168719e+07
2020-03-21 23:40:00,5.9769435620e+07,5.9769435620e+07,2.0683106611e+07,2.0683106611e+07
2020-03-21 23:45:00,5.5825351968e+07,5.5825351968e+07,5.1957761846e+07,5.1957761846e+07
2020-03-21 23:50:00,6.9362970137e+07,6.9362970137e+07,7.6306884123e+07,7.6306884123e+07
2020-03-21 23:55:00,5.3373206118e+07,5.3373206118e+07,6.3857677466e+07,6.3857677466e+07
2020-03-22 00:00:00,9.9398597675e+07,9.9398597675e+07,4.4506928730e+07,4.4506928730e+07
2020-03-22 00:05:00,7.3481675456e+07,7.3481675456e+07,4.3557207370e+07,4.3557207370e+07
2020-03-22 00:10:00,7.0602762767e+07,7.0602762767e+07,3.4155460452e+07,3.4155460452e+07
2020-03-22 00:15:00,8.0903906189e+07,8.0903906189e+07,2.1247885037e+07,2.1247885037e+07
2020-03-22 00:20:00,6.8385898760e+07,6.8385898760e+07,6.6016768636e+07,6.6016768636e+07
2020-03-22 00:25:00,7.2201898257e+07,7.2201898257e+07,6.3830660080e+07,6.3830660080e+07
2020-03-22 00:30:00,6.6330104875e+07,6.6330104875e+07,5.2474008570e+07,5.2474008570e+07
2020-03-22 00:35:00,6.9677793397e+07,6.9677793397e+07,4.1676536610e+07,4.1676536610e+07
2020-03-22 00:40:00,5.9225902681e+07,5.9225902681e+07,2.3074444151e+07,2.3074444151e+07
2020-03-22 00:45:00,6.3668381447e+07,6.3668381447e+07,2.3745693796e+07,2.3745693796e+07
2020-03-22 00:50:00,6.5606286790e+07,6.5606286790e+07,2.4375996789e+07,2.4375996789e+07
2020-03-22 00:55:00,6.3040036181e+07,6.3040036181e+07,3.5812957697e+07,3.5812957697e+07
2020-03-22 01:00:00,5.2232380107e+07,5.2232380107e+07,3.7783675473e+07,3.7783675473e+07
2020-03-22 01:05:00,7.1772526623e+07,7.1772526623e+07,6.7576648556e+07,6.7576648556e+07
2020-03-22 01:10:00,7.1112683120e+07,7.1112683120e+07,6.8832253472e+07,6.8832253472e+07
2020-03-22 01:15:00,7.0311867380e+07,7.0311867380e+07,7.1606423353e+07,7.1606423353e+07
2020-03-22 01:20:00,6.4076828514e+07,6.4076828514e+07,3.2455860301e+07,3.2455860301e+07
2020-03-22 01:25:00,6.2796558796e+07,6.2796558796e+07,2.4157545338e+07,2.4157545338e+07
2020-03-22 01:30:00,6.2316574964e+07,6.2316574964e+07,3.8178832042e+07,3.8178832042e+07
2020-03-22 01:35:00,7.6376898279e+07,7.6376898279e+07,4.8580738628e+07,4.8580738628e+07
2020-03-22 01:40:00,6.7585798014e+07,6.7585798014e+07,3.7343252393e+07,3.7343252393e+07
2020-03-22 01:45:00,7.9697664695e+07,7.9697664695e+07,2.9346301152e+07,2.9346301152e+07
2020-03-22 01:50:00,6.9129731572e+07,6.9129731572e+07,3.3401109080e+07,3.3401109080e+07
2020-03-22 01:55:00,8.4964411185e+07,8.4964411185e+07,4.6958307072e+07,4.6958307072e+07
2020-03-22 02:00:00,6.9088507705e+07,6.9088507705e+07,5.1090942434e+07,5.1090942434e+07
2020-03-22 02:05:00,7.1868286485e+07,7.1868286485e+07,7.6448981739e+07,7.6448981739e+07
2020-03-22 02:10:00,5.3818911480e+07,5.3818911480e+07,9.7438138072e+07,9.7438138072e+07
2020-03-22 02:15:00,5.6055971260e+07,5.6055971260e+07,1.1158437453e+08,1.1158437453e+08
2020-03-22 02:20:00,5.6027558143e+07,5.6027558143e+07,6.3113544758e+07,6.3113544758e+07
2020-03-22 02:25:00,5.6657629277e+07,5.6657629277e+07,3.6342994903e+07,3.6342994903e+07
2020-03-22 02:30:00,5.3239522403e+07,5.3239522403e+07,7.7972078533e+07,7.7972078533e+07
2020-03-22 02:35:00,6.0797194218e+07,6.0797194218e+07,7.0875603608e+07,7.0875603608e+07
2020-03-22 02:40:00,8.1288196489e+07,8.1288196489e+07,5.3764756048e+07,5.3764756048e+07
2020-03-22 02:45:00,6.8356027046e+07,6.8356027046e+07,5.6244288375e+07,5.6244288375e+07
2020-03-22 02:50:00,5.8929328688e+07,5.8929328688e+07,4.6732329569e+07,4.6732329569e+07
2020-03-22 02:55:00,7.3301227303e+07,7.3301227303e+07,7.4705443277e+07,7.4705443277e+07
2020-03-22 03:00:00,6.2798174844e+07,6.2798174844e+07,3.7308431962e+07,3.7308431962e+07
2020-03-22 03:05:00,6.7664611690e+07,6.7664611690e+07,2.7082328735e+07,2.7082328735e+07
2020-03-22 03:10:00,6.5604666767e+07,6.5604666767e+07,3.0105179195e+07,3.0105179195e+07
2020-03-22 03:15:00,6.3487164646e+07,6.3487164646e+07,2.2583016299e+07,2.2583016299e+07
2020-03-22 03:20:00,7.2772319983e+07,7.2772319983e+07,1.2626888775e+07,1.2626888775e+07
2020-03-22 03:25:00,6.0764534190e+07,6.0764534190e+07,2.9915301204e+07,2.9915301204e+07
2020-03-22 03:30:00,8.0593145196e+07,8.0593145196e+07,2.6426960256e+07,2.6426960256e+07
2020-03-22 03:35:00,7.0310225151e+07,7.0310225151e+07,3.0893664300e+07,3.0893664300e+07
2020-03-22 03:40:00,5.1778142403e+07,5.1778142403e+07,6.7849585279e+07,6.7849585279e+07
2020-03-22 03:45:00,5.7247112399e+07,5.7247112399e+07,2.5400443488e+07,2.5400443488e+07
2020-03-22 03:50:00,4.9499516054e+07,4.9499516054e+07,2.6948360469e+07,2.6948360469e+07
2020-03-22 03:55:00,4.9567732711e+07,4.9567732711e+07,7.8566418270e+07,7.8566418270e+07
2020-03-22 04:00:00,9.2596577495e+07,9.2596577495e+07,2.7887328578e+07,2.7887328578e+07
2020-03-22 04:05:00,1.3894605554e+08,1.3894605554e+08,3.3937600927e+07,3.3937600927e+07
