DATE,IEUK,IEUK_peak,UKIE,IEUK_peak
2020-03-21 22:05:00,7.8291296879e+08,7.8291296879e+08,3.5745339883e+09,3.5745339883e+09
2020-03-21 22:10:00,7.3656963566e+08,7.3656963566e+08,3.5565924406e+09,3.5565924406e+09
2020-03-21 22:15:00,6.7904136192e+08,6.7904136192e+08,3.5666882216e+09,3.5666882216e+09
2020-03-21 22:20:00,7.7595646897e+08,7.7595646897e+08,3.5968655408e+09,3.5968655408e+09
2020-03-21 22:25:00,7.2690117473e+08,7.2690117473e+08,3.5494744025e+09,3.5494744025e+09
2020-03-21 22:30:00,7.6100611042e+08,7.6100611042e+08,3.5272907713e+09,3.5272907713e+09
2020-03-21 22:35:00,6.7268468312e+08,6.7268468312e+08,3.5211771833e+09,3.5211771833e+09
2020-03-21 22:40:00,6.4477076200e+08,6.4477076200e+08,3.5207117539e+09,3.5207117539e+09
2020-03-21 22:45:00,6.4308705560e+08,6.4308705560e+08,3.4774526259e+09,3.4774526259e+09
2020-03-21 22:50:00,6.7186721944e+08,6.7186721944e+08,3.4699585514e+09,3.4699585514e+09
2020-03-21 22:55:00,7.3697872418e+08,7.3697872418e+08,3.4636278632e+09,3.4636278632e+09
2020-03-21 23:00:00,7.0895014044e+08,7.0895014044e+08,3.4693986101e+09,3.4693986101e+09
2020-03-21 23:05:00,7.5741706248e+08,7.5741706248e+08,3.5399060095e+09,3.5399060095e+09
2020-03-21 23:10:00,9.4286426719e+08,9.4286426719e+08,3.5627607944e+09,3.5627607944e+09
2020-03-21 23:15:00,8.3361837656e+08,8.3361837656e+08,3.4735895063e+09,3.4735895063e+09
2020-03-21 23:20:00,8.9954756545e+08,8.9954756545e+08,3.5595650415e+09,3.5595650415e+09
2020-03-21 23:25:00,8.5524747924e+08,8.5524747924e+08,3.5581861628e+09,3.5581861628e+09
2020-03-21 23:30:00,7.8097764874e+08,7.8097764874e+08,3.3825562507e+09,3.3825562507e+09
2020-03-21 23:35:00,7.6403708519e+08,7.6403708519e+08,3.1234055433e+09,3.1234055433e+09
