DATE,FNIT,FNIT_peak,ITFN,ITFN_peak
2020-03-21 22:05:00,1.0511275415e+09,1.0511275415e+09,7.4887974290e+08,7.4887974290e+08
2020-03-21 22:10:00,1.1053949603e+09,1.1053949603e+09,1.4402784354e+09,1.4402784354e+09
2020-03-21 22:15:00,1.6488145496e+09,1.6488145496e+09,9.1818634013e+08,9.1818634013e+08
2020-03-21 22:20:00,1.1907394313e+09,1.1907394313e+09,8.6116330994e+08,8.6116330994e+08
2020-03-21 22:25:00,1.4868434109e+09,1.4868434109e+09,1.1773945173e+09,1.1773945173e+09
2020-03-21 22:30:00,1.4656715325e+09,1.4656715325e+09,9.5703179359e+08,9.5703179359e+08
2020-03-21 22:35:00,1.8179622975e+09,1.8179622975e+09,1.5171825420e+09,1.5171825420e+09
2020-03-21 22:40:00,1.5589680369e+09,1.5589680369e+09,2.8640352264e+09,2.8640352264e+09
2020-03-21 22:45:00,1.2022432796e+09,1.2022432796e+09,6.9155598959e+08,6.9155598959e+08
2020-03-21 22:50:00,1.2790389681e+09,1.2790389681e+09,6.6763001931e+08,6.6763001931e+08
2020-03-21 22:55:00,1.6698995982e+09,1.6698995982e+09,9.9964151351e+08,9.9964151351e+08
2020-03-21 23:00:00,1.8357283876e+09,1.8357283876e+09,1.1692012000e+09,1.1692012000e+09
2020-03-21 23:05:00,1.9004145432e+09,1.9004145432e+09,5.1465939812e+08,5.1465939812e+08
2020-03-21 23:10:00,1.3257619176e+09,1.3257619176e+09,7.6776363230e+08,7.6776363230e+08
2020-03-21 23:15:00,1.2849538933e+09,1.2849538933e+09,1.0577761979e+09,1.0577761979e+09
2020-03-21 23:20:00,1.4399560361e+09,1.4399560361e+09,7.5445785083e+08,7.5445785083e+08
2020-03-21 23:25:00,1.3211296390e+09,1.3211296390e+09,6.5458474424e+08,6.5458474424e+08
2020-03-21 23:30:00,1.3332363101e+09,1.3332363101e+09,4.7928166200e+08,4.7928166200e+08
2020-03-21 23:35:00,1.2575932475e+09,1.2575932475e+09,6.5936996453e+08,6.5936996453e+08
2020-03-21 23:40:00,1.2241557828e+09,1.2241557828e+09,6.1223477322e+08,6.1223477322e+08
2020-03-21 23:45:00,1.1087773376e+09,1.1087773376e+09,9.4774897177e+08,9.4774897177e+08
2020-03-21 23:50:00,1.1646784016e+09,1.1646784016e+09,7.9446226654e+08,7.9446226654e+08
2020-03-21 23:55:00,1.0339969194e+09,1.0339969194e+09,5.8794851002e+08,5.8794851002e+08
2020-03-22 00:00:00,1.1343458576e+09,1.1343458576e+09,4.9054281947e+08,4.9054281947e+08
2020-03-22 00:05:00,1.1062585993e+09,1.1062585993e+09,3.8524944486e+08,3.8524944486e+08
2020-03-22 00:10:00,1.4349218493e+09,1.4349218493e+09,6.4480883790e+08,6.4480883790e+08
2020-03-22 00:15:00,2.0386344902e+09,2.0386344902e+09,5.7579127954e+08,5.7579127954e+08
2020-03-22 00:20:00,1.6283235226e+09,1.6283235226e+09,3.5093328017e+08,3.5093328017e+08
2020-03-22 00:25:00,1.3349006203e+09,1.3349006203e+09,4.3709865313e+08,4.3709865313e+08
2020-03-22 00:30:00,1.5811826544e+09,1.5811826544e+09,6.8695155378e+08,6.8695155378e+08
2020-03-22 00:35:00,1.5827376231e+09,1.5827376231e+09,1.2729424399e+09,1.2729424399e+09
2020-03-22 00:40:00,1.1391316888e+09,1.1391316888e+09,1.1975240258e+09,1.1975240258e+09
2020-03-22 00:45:00,1.1421267816e+09,1.1421267816e+09,5.9545738926e+08,5.9545738926e+08
2020-03-22 00:50:00,1.4126509352e+09,1.4126509352e+09,4.8800968617e+08,4.8800968617e+08
2020-03-22 00:55:00,1.1884182329e+09,1.1884182329e+09,3.7912460718e+08,3.7912460718e+08
2020-03-22 01:00:00,1.4065293312e+09,1.4065293312e+09,2.1148436856e+08,2.1148436856e+08
2020-03-22 01:05:00,1.5462487657e+09,1.5462487657e+09,4.4596808061e+08,4.4596808061e+08
2020-03-22 01:10:00,1.0022123217e+09,1.0022123217e+09,6.4030376798e+08,6.4030376798e+08
2020-03-22 01:15:00,9.5837257746e+08,9.5837257746e+08,5.2857635893e+08,5.2857635893e+08
2020-03-22 01:20:00,8.4451508098e+08,8.4451508098e+08,4.3756198767e+08,4.3756198767e+08
2020-03-22 01:25:00,9.4457750769e+08,9.4457750769e+08,4.3298028052e+08,4.3298028052e+08
2020-03-22 01:30:00,9.5460138655e+08,9.5460138655e+08,4.9499561971e+08,4.9499561971e+08
2020-03-22 01:35:00,1.0083538844e+09,1.0083538844e+09,7.9477527500e+08,7.9477527500e+08
2020-03-22 01:40:00,7.8748130757e+08,7.8748130757e+08,7.3076166090e+08,7.3076166090e+08
2020-03-22 01:45:00,7.3480701360e+08,7.3480701360e+08,3.7208517452e+08,3.7208517452e+08
2020-03-22 01:50:00,6.3290904005e+08,6.3290904005e+08,1.9538594961e+08,1.9538594961e+08
2020-03-22 01:55:00,7.2436586978e+08,7.2436586978e+08,3.3733218508e+08,3.3733218508e+08
2020-03-22 02:00:00,1.5037677841e+09,1.5037677841e+09,4.6818651565e+08,4.6818651565e+08
2020-03-22 02:05:00,1.0931990815e+09,1.0931990815e+09,6.8531991515e+08,6.8531991515e+08
2020-03-22 02:10:00,1.5978553164e+09,1.5978553164e+09,5.2939773389e+08,5.2939773389e+08
2020-03-22 02:15:00,8.6741676934e+08,8.6741676934e+08,1.7085140227e+09,1.7085140227e+09
2020-03-22 02:20:00,7.1036362341e+08,7.1036362341e+08,1.4768800811e+09,1.4768800811e+09
2020-03-22 02:25:00,6.2742501282e+08,6.2742501282e+08,1.1928907678e+09,1.1928907678e+09
2020-03-22 02:30:00,6.8095686122e+08,6.8095686122e+08,1.0596620337e+09,1.0596620337e+09
2020-03-22 02:35:00,7.7355684443e+08,7.7355684443e+08,8.2581325073e+08,8.2581325073e+08
2020-03-22 02:40:00,5.8305870826e+08,5.8305870826e+08,6.9029441170e+08,6.9029441170e+08
2020-03-22 02:45:00,6.7413813235e+08,6.7413813235e+08,7.9443240496e+08,7.9443240496e+08
2020-03-22 02:50:00,6.0093000959e+08,6.0093000959e+08,8.7536434854e+08,8.7536434854e+08
2020-03-22 02:55:00,8.2300277405e+08,8.2300277405e+08,6.6911535922e+08,6.6911535922e+08
2020-03-22 03:00:00,6.9589391036e+08,6.9589391036e+08,9.3895429109e+08,9.3895429109e+08
2020-03-22 03:05:00,5.5073016246e+08,5.5073016246e+08,6.0811911883e+08,6.0811911883e+08
2020-03-22 03:10:00,4.7988884594e+08,4.7988884594e+08,7.8765212646e+08,7.8765212646e+08
2020-03-22 03:15:00,8.0224032232e+08,8.0224032232e+08,8.5708319682e+08,8.5708319682e+08
2020-03-22 03:20:00,9.2906462491e+08,9.2906462491e+08,1.0654944206e+09,1.0654944206e+09
2020-03-22 03:25:00,9.9183381493e+08,9.9183381493e+08,9.5757669221e+08,9.5757669221e+08
2020-03-22 03:30:00,7.2397836876e+08,7.2397836876e+08,6.5907489031e+08,6.5907489031e+08
2020-03-22 03:35:00,9.6856082017e+08,9.6856082017e+08,7.0823837797e+08,7.0823837797e+08
2020-03-22 03:40:00,9.4669858712e+08,9.4669858712e+08,8.3668071549e+08,8.3668071549e+08
2020-03-22 03:45:00,1.0842610691e+09,1.0842610691e+09,8.8541684016e+08,8.8541684016e+08
2020-03-22 03:50:00,1.5824313602e+09,1.5824313602e+09,1.0461255700e+09,1.0461255700e+09
2020-03-22 03:55:00,1.0218716263e+09,1.0218716263e+09,9.3626526575e+08,9.3626526575e+08
2020-03-22 04:00:00,1.3599375874e+09,1.3599375874e+09,4.7586853181e+08,4.7586853181e+08
2020-03-22 04:05:00,5.3956678985e+08,5.3956678985e+08,6.5684362047e+08,6.5684362047e+08
2020-03-22 04:10:00,5.9886168953e+08,5.9886168953e+08,6.3662983889e+08,6.3662983889e+08
2020-03-22 04:15:00,4.7151339822e+08,4.7151339822e+08,5.5688780396e+08,5.5688780396e+08
2020-03-22 04:20:00,8.4177157002e+08,8.4177157002e+08,1.0108464026e+09,1.0108464026e+09
2020-03-22 04:25:00,4.8133750087e+08,4.8133750087e+08,1.1291896578e+09,1.1291896578e+09
2020-03-22 04:30:00,1.1788511078e+09,1.1788511078e+09,8.7275998026e+08,8.7275998026e+08
