DATE,LTLN,LTLN_peak,LNLT,LNLT_peak
2020-03-21 22:15:00,1.6701531453e+06,1.6701531453e+06,8.1634500354e+07,8.1634500354e+07
2020-03-21 22:20:00,1.2726889150e+06,1.2726889150e+06,2.3235944544e+06,2.3235944544e+06
2020-03-21 22:25:00,1.3551971093e+06,1.3551971093e+06,2.4902246366e+06,2.4902246366e+06
2020-03-21 22:30:00,1.3026332715e+06,1.3026332715e+06,1.3510391109e+06,1.3510391109e+06
2020-03-21 22:35:00,1.2972611211e+06,1.2972611211e+06,1.3545063809e+06,1.3545063809e+06
2020-03-21 22:40:00,1.2942316758e+06,1.2942316758e+06,1.4271241625e+06,1.4271241625e+06
2020-03-21 22:45:00,1.2782347832e+06,1.2782347832e+06,1.3884753214e+06,1.3884753214e+06
2020-03-21 22:50:00,1.2798833462e+06,1.2798833462e+06,1.5422387563e+06,1.5422387563e+06
2020-03-21 22:55:00,1.3118799063e+06,1.3118799063e+06,2.8184724476e+06,2.8184724476e+06
2020-03-21 23:00:00,1.2815267268e+06,1.2815267268e+06,1.4672008468e+06,1.4672008468e+06
2020-03-21 23:05:00,1.4289073608e+06,1.4289073608e+06,4.3659082972e+06,4.3659082972e+06
2020-03-21 23:10:00,1.2503268292e+06,1.2503268292e+06,1.4392413094e+06,1.4392413094e+06
2020-03-21 23:15:00,1.5061402055e+06,1.5061402055e+06,1.3649536511e+06,1.3649536511e+06
2020-03-21 23:20:00,8.9864943394e+07,8.9864943394e+07,1.8324927168e+06,1.8324927168e+06
2020-03-21 23:25:00,1.9159953527e+06,1.9159953527e+06,2.7767466802e+06,2.7767466802e+06
2020-03-21 23:30:00,1.2936590663e+06,1.2936590663e+06,1.3725383637e+06,1.3725383637e+06
2020-03-21 23:35:00,1.2772816993e+06,1.2772816993e+06,1.4168856096e+06,1.4168856096e+06
2020-03-21 23:40:00,1.2963315903e+06,1.2963315903e+06,1.5226174764e+06,1.5226174764e+06
2020-03-21 23:45:00,1.3098412545e+06,1.3098412545e+06,1.3402807688e+06,1.3402807688e+06
2020-03-21 23:50:00,1.2703267800e+06,1.2703267800e+06,1.4193135770e+06,1.4193135770e+06
2020-03-21 23:55:00,1.2929544763e+06,1.2929544763e+06,2.7499008595e+06,2.7499008595e+06
2020-03-22 00:00:00,1.2741119637e+06,1.2741119637e+06,1.3371160199e+06,1.3371160199e+06
2020-03-22 00:05:00,1.3948565579e+06,1.3948565579e+06,4.3391965694e+06,4.3391965694e+06
2020-03-22 00:10:00,1.2710249150e+06,1.2710249150e+06,1.4267234285e+06,1.4267234285e+06
2020-03-22 00:15:00,1.2726333520e+06,1.2726333520e+06,1.4777453581e+06,1.4777453581e+06
2020-03-22 00:20:00,1.2955857485e+06,1.2955857485e+06,1.5537822072e+06,1.5537822072e+06
2020-03-22 00:25:00,1.4831864798e+06,1.4831864798e+06,9.2934787754e+07,9.2934787754e+07
2020-03-22 00:30:00,1.4285820487e+06,1.4285820487e+06,3.2558644328e+06,3.2558644328e+06
2020-03-22 00:35:00,1.2691014590e+06,1.2691014590e+06,1.3448033839e+06,1.3448033839e+06
2020-03-22 00:40:00,1.2746776144e+06,1.2746776144e+06,1.3200720907e+06,1.3200720907e+06
2020-03-22 00:45:00,1.2934605138e+06,1.2934605138e+06,1.4253627704e+06,1.4253627704e+06
2020-03-22 00:50:00,2.1506585872e+06,2.1506585872e+06,1.6665514089e+06,1.6665514089e+06
