DATE,NLDU,NLDU_peak,DUNL,DUNL_peak
2020-03-14 22:05:00,7.8829639492e+09,7.8829639492e+09,1.5014398667e+04,1.5014398667e+04
2020-03-14 22:10:00,6.8954439744e+09,6.8954439744e+09,1.4900053067e+04,1.4900053067e+04
2020-03-14 22:15:00,1.4055869955e+10,1.4055869955e+10,1.5608881510e+04,1.5608881510e+04
2020-03-14 22:20:00,1.0274682534e+10,1.0274682534e+10,1.4714239112e+04,1.4714239112e+04
2020-03-14 22:25:00,1.0882585522e+10,1.0882585522e+10,1.4956943822e+04,1.4956943822e+04
2020-03-14 22:30:00,1.0392005943e+10,1.0392005943e+10,1.4719577600e+04,1.4719577600e+04
2020-03-14 22:35:00,1.0403824578e+10,1.0403824578e+10,1.4745780154e+04,1.4745780154e+04
2020-03-14 22:40:00,9.5233337431e+09,9.5233337431e+09,1.4753550068e+04,1.4753550068e+04
2020-03-14 22:45:00,8.9764214291e+09,8.9764214291e+09,1.5015567467e+04,1.5015567467e+04
2020-03-14 22:50:00,8.4726171926e+09,8.4726171926e+09,1.4953615712e+04,1.4953615712e+04
2020-03-14 22:55:00,8.3546840907e+09,8.3546840907e+09,1.4821691648e+04,1.4821691648e+04
2020-03-14 23:00:00,7.0334511212e+09,7.0334511212e+09,1.4906585096e+04,1.4906585096e+04
2020-03-14 23:05:00,7.6663161514e+09,7.6663161514e+09,1.4799845114e+04,1.4799845114e+04
2020-03-14 23:10:00,9.4507463890e+09,9.4507463890e+09,1.4635440029e+04,1.4635440029e+04
2020-03-14 23:15:00,8.9730430393e+09,8.9730430393e+09,1.4423025225e+04,1.4423025225e+04
2020-03-14 23:20:00,9.3168891557e+09,9.3168891557e+09,1.4962154064e+04,1.4962154064e+04
2020-03-14 23:25:00,9.1105647598e+09,9.1105647598e+09,1.4589713351e+04,1.4589713351e+04
2020-03-14 23:30:00,7.9578027154e+09,7.9578027154e+09,1.5038877494e+04,1.5038877494e+04
2020-03-14 23:35:00,6.0852834486e+09,6.0852834486e+09,1.4904149450e+04,1.4904149450e+04
2020-03-14 23:40:00,4.6296673270e+09,4.6296673270e+09,1.4990005703e+04,1.4990005703e+04
2020-03-14 23:45:00,9.0027977138e+09,9.0027977138e+09,1.4801164241e+04,1.4801164241e+04
2020-03-14 23:50:00,1.0130927056e+10,1.0130927056e+10,1.4708581850e+04,1.4708581850e+04
2020-03-14 23:55:00,1.1058958077e+10,1.1058958077e+10,1.4731853023e+04,1.4731853023e+04
