DATE,NLBE,NLBE_peak,BENL,BENL_peak
2020-03-16 22:05:00,5.5391090170e+05,5.5391090170e+05,5.7261864279e+05,5.7261864279e+05
2020-03-16 22:10:00,5.2655791712e+05,5.2655791712e+05,5.7149351418e+05,5.7149351418e+05
2020-03-16 22:15:00,5.1399272513e+05,5.1399272513e+05,6.3863474652e+05,6.3863474652e+05
2020-03-16 22:20:00,5.1479700871e+05,5.1479700871e+05,5.6076984800e+05,5.6076984800e+05
2020-03-16 22:25:00,5.1882045031e+05,5.1882045031e+05,5.6024649156e+05,5.6024649156e+05
2020-03-16 22:30:00,5.2141239334e+05,5.2141239334e+05,6.4060666344e+05,6.4060666344e+05
2020-03-16 22:35:00,5.1162198330e+05,5.1162198330e+05,5.5708145779e+05,5.5708145779e+05
2020-03-16 22:40:00,5.2686173267e+05,5.2686173267e+05,5.7175992081e+05,5.7175992081e+05
2020-03-16 22:45:00,5.0950019558e+05,5.0950019558e+05,6.3267302213e+05,6.3267302213e+05
2020-03-16 22:50:00,5.0838737867e+05,5.0838737867e+05,5.9762021973e+05,5.9762021973e+05
2020-03-16 22:55:00,5.2801265600e+05,5.2801265600e+05,6.4997105787e+05,6.4997105787e+05
2020-03-16 23:00:00,5.1899924191e+05,5.1899924191e+05,7.2403327493e+05,7.2403327493e+05
2020-03-16 23:05:00,5.3395513330e+05,5.3395513330e+05,5.9803163003e+05,5.9803163003e+05
2020-03-16 23:10:00,5.3142854795e+05,5.3142854795e+05,5.8863288635e+05,5.8863288635e+05
2020-03-16 23:15:00,5.1886268982e+05,5.1886268982e+05,5.6059005410e+05,5.6059005410e+05
2020-03-16 23:20:00,5.2113517031e+05,5.2113517031e+05,6.5029143804e+05,6.5029143804e+05
2020-03-16 23:25:00,5.2572325384e+05,5.2572325384e+05,5.7198421862e+05,5.7198421862e+05
2020-03-16 23:30:00,5.2244866660e+05,5.2244866660e+05,6.4948076378e+05,6.4948076378e+05
2020-03-16 23:35:00,5.0576329520e+05,5.0576329520e+05,5.5352618587e+05,5.5352618587e+05
2020-03-16 23:40:00,5.2483310144e+05,5.2483310144e+05,5.7230855555e+05,5.7230855555e+05
2020-03-16 23:45:00,5.2286382745e+05,5.2286382745e+05,5.6881383405e+05,5.6881383405e+05
2020-03-16 23:50:00,5.2147196391e+05,5.2147196391e+05,5.6897639591e+05,5.6897639591e+05
2020-03-16 23:55:00,5.0630135545e+05,5.0630135545e+05,5.5137300912e+05,5.5137300912e+05
2020-03-17 00:00:00,5.3183708899e+05,5.3183708899e+05,6.5521692824e+05,6.5521692824e+05
2020-03-17 00:05:00,5.5242921582e+05,5.5242921582e+05,6.5551520593e+05,6.5551520593e+05
2020-03-17 00:10:00,5.1702431339e+05,5.1702431339e+05,5.6049245356e+05,5.6049245356e+05
2020-03-17 00:15:00,5.2131710901e+05,5.2131710901e+05,5.6033298271e+05,5.6033298271e+05
2020-03-17 00:20:00,5.7270493850e+05,5.7270493850e+05,5.6039013372e+05,5.6039013372e+05
2020-03-17 00:25:00,5.0584083099e+05,5.0584083099e+05,5.5081079276e+05,5.5081079276e+05
2020-03-17 00:30:00,5.1097551300e+05,5.1097551300e+05,5.5349658258e+05,5.5349658258e+05
2020-03-17 00:35:00,5.2881425564e+05,5.2881425564e+05,7.3710341912e+05,7.3710341912e+05
2020-03-17 00:40:00,5.2590613191e+05,5.2590613191e+05,6.4907805653e+05,6.4907805653e+05
2020-03-17 00:45:00,5.2896784853e+05,5.2896784853e+05,6.4881020391e+05,6.4881020391e+05
2020-03-17 00:50:00,5.0533942318e+05,5.0533942318e+05,5.7896501379e+05,5.7896501379e+05
