DATE,ROHU,ROHU_peak,HURO,HURO_peak
2020-03-14 22:05:00,7.1717242928e+08,7.1717242928e+08,6.5657637764e+07,6.5657637764e+07
2020-03-14 22:10:00,7.0010336106e+08,7.0010336106e+08,5.2144966304e+07,5.2144966304e+07
2020-03-14 22:15:00,3.4383262651e+08,3.4383262651e+08,4.1988348977e+07,4.1988348977e+07
2020-03-14 22:20:00,3.8686218358e+08,3.8686218358e+08,3.8228387009e+07,3.8228387009e+07
2020-03-14 22:25:00,3.7440620995e+08,3.7440620995e+08,3.8027931546e+07,3.8027931546e+07
2020-03-14 22:30:00,4.4235219179e+08,4.4235219179e+08,4.3471665915e+07,4.3471665915e+07
2020-03-14 22:35:00,8.1970693872e+08,8.1970693872e+08,3.0455060393e+08,3.0455060393e+08
2020-03-14 22:40:00,9.4524400505e+08,9.4524400505e+08,2.4615536771e+08,2.4615536771e+08
2020-03-14 22:45:00,1.0668901164e+09,1.0668901164e+09,2.6629714430e+08,2.6629714430e+08
2020-03-14 22:50:00,1.1268874077e+09,1.1268874077e+09,1.5774991698e+08,1.5774991698e+08
2020-03-14 22:55:00,1.0932458377e+09,1.0932458377e+09,1.6354562690e+08,1.6354562690e+08
2020-03-14 23:00:00,9.5729330801e+08,9.5729330801e+08,1.2047798528e+08,1.2047798528e+08
2020-03-14 23:05:00,7.5239537274e+08,7.5239537274e+08,1.0080748808e+08,1.0080748808e+08
2020-03-14 23:10:00,8.3996754683e+08,8.3996754683e+08,2.2407411377e+08,2.2407411377e+08
2020-03-14 23:15:00,4.3482864534e+08,4.3482864534e+08,7.2639435569e+07,7.2639435569e+07
2020-03-14 23:20:00,3.0293273263e+08,3.0293273263e+08,8.0101744983e+07,8.0101744983e+07
2020-03-14 23:25:00,3.0892295499e+08,3.0892295499e+08,1.2196672024e+08,1.2196672024e+08
2020-03-14 23:30:00,4.2392502213e+08,4.2392502213e+08,7.3159537597e+07,7.3159537597e+07
2020-03-14 23:35:00,3.7391440238e+08,3.7391440238e+08,1.7918211270e+08,1.7918211270e+08
2020-03-14 23:40:00,3.4528677137e+08,3.4528677137e+08,3.8614278495e+07,3.8614278495e+07
2020-03-14 23:45:00,3.8895720867e+08,3.8895720867e+08,1.0577383787e+08,1.0577383787e+08
2020-03-14 23:50:00,3.6674131976e+08,3.6674131976e+08,3.4550968262e+07,3.4550968262e+07
2020-03-14 23:55:00,3.2845691957e+08,3.2845691957e+08,6.0406505574e+07,6.0406505574e+07
2020-03-15 00:00:00,2.9648839057e+08,2.9648839057e+08,6.6807317831e+07,6.6807317831e+07
2020-03-15 00:05:00,2.9456073726e+08,2.9456073726e+08,5.7907198715e+07,5.7907198715e+07
2020-03-15 00:10:00,2.9233103506e+08,2.9233103506e+08,4.6457073148e+07,4.6457073148e+07
2020-03-15 00:15:00,2.9357554124e+08,2.9357554124e+08,3.3663085972e+07,3.3663085972e+07
2020-03-15 00:20:00,3.7434816336e+08,3.7434816336e+08,3.7293198508e+08,3.7293198508e+08
2020-03-15 00:25:00,3.4349692101e+08,3.4349692101e+08,1.9752425663e+08,1.9752425663e+08
2020-03-15 00:30:00,5.6621601651e+08,5.6621601651e+08,6.8602649871e+07,6.8602649871e+07
2020-03-15 00:35:00,4.6899745368e+08,4.6899745368e+08,6.0703403071e+07,6.0703403071e+07
2020-03-15 00:40:00,7.4421779361e+08,7.4421779361e+08,5.4517297273e+07,5.4517297273e+07
2020-03-15 00:45:00,4.7948266015e+08,4.7948266015e+08,3.6110579337e+07,3.6110579337e+07
2020-03-15 00:50:00,3.5548836670e+08,3.5548836670e+08,4.5624141671e+07,4.5624141671e+07
2020-03-15 00:55:00,3.5124417381e+08,3.5124417381e+08,3.4597068940e+07,3.4597068940e+07
2020-03-15 01:00:00,3.6780602943e+08,3.6780602943e+08,3.4202676459e+07,3.4202676459e+07
2020-03-15 01:05:00,3.3277568958e+08,3.3277568958e+08,3.4252794865e+07,3.4252794865e+07
2020-03-15 01:10:00,2.9299890130e+08,2.9299890130e+08,4.5753509439e+07,4.5753509439e+07
2020-03-15 01:15:00,2.9133663645e+08,2.9133663645e+08,4.6721027556e+07,4.6721027556e+07
2020-03-15 01:20:00,2.7297749683e+08,2.7297749683e+08,4.4839950283e+07,4.4839950283e+07
2020-03-15 01:25:00,2.7136806459e+08,2.7136806459e+08,4.2493110158e+07,4.2493110158e+07
2020-03-15 01:30:00,2.9353489448e+08,2.9353489448e+08,4.0392133362e+07,4.0392133362e+07
2020-03-15 01:35:00,2.8977771380e+08,2.8977771380e+08,5.1171670535e+07,5.1171670535e+07
2020-03-15 01:40:00,3.7476291423e+08,3.7476291423e+08,6.6314615581e+07,6.6314615581e+07
2020-03-15 01:45:00,3.8211163523e+08,3.8211163523e+08,1.4397754595e+08,1.4397754595e+08
2020-03-15 01:50:00,4.7663781743e+08,4.7663781743e+08,5.9606406735e+07,5.9606406735e+07
2020-03-15 01:55:00,4.0065512020e+08,4.0065512020e+08,5.8562597425e+07,5.8562597425e+07
