DATE,IEUK,IEUK_peak,UKIE,IEUK_peak
2020-03-14 22:05:00,1.0027181015e+09,1.0027181015e+09,3.5516968356e+09,3.5516968356e+09
2020-03-14 22:10:00,9.7812235882e+08,9.7812235882e+08,3.5270720732e+09,3.5270720732e+09
2020-03-14 22:15:00,9.6563050130e+08,9.6563050130e+08,3.3936401902e+09,3.3936401902e+09
2020-03-14 22:20:00,8.8345308478e+08,8.8345308478e+08,3.4980977747e+09,3.4980977747e+09
2020-03-14 22:25:00,8.8894579295e+08,8.8894579295e+08,3.5996273317e+09,3.5996273317e+09
2020-03-14 22:30:00,8.4540143177e+08,8.4540143177e+08,3.4704313545e+09,3.4704313545e+09
2020-03-14 22:35:00,8.1780801141e+08,8.1780801141e+08,3.7267129486e+09,3.7267129486e+09
2020-03-14 22:40:00,8.9307979203e+08,8.9307979203e+08,3.4302319309e+09,3.4302319309e+09
2020-03-14 22:45:00,9.1837971342e+08,9.1837971342e+08,3.5262279419e+09,3.5262279419e+09
2020-03-14 22:50:00,9.5274065182e+08,9.5274065182e+08,3.4772161889e+09,3.4772161889e+09
2020-03-14 22:55:00,7.7879306145e+08,7.7879306145e+08,3.3969065627e+09,3.3969065627e+09
2020-03-14 23:00:00,8.2177408474e+08,8.2177408474e+08,3.0093855016e+09,3.0093855016e+09
2020-03-14 23:05:00,9.8936554333e+08,9.8936554333e+08,3.5537084337e+09,3.5537084337e+09
2020-03-14 23:10:00,1.0159481924e+09,1.0159481924e+09,3.4897147875e+09,3.4897147875e+09
2020-03-14 23:15:00,1.0012202197e+09,1.0012202197e+09,4.3256048269e+08,4.3256048269e+08
2020-03-14 23:20:00,9.4627993365e+08,9.4627993365e+08,3.4841806503e+08,3.4841806503e+08
2020-03-14 23:25:00,9.0000201061e+08,9.0000201061e+08,3.6692285627e+08,3.6692285627e+08
2020-03-14 23:30:00,8.2988663639e+08,8.2988663639e+08,3.7072853757e+08,3.7072853757e+08
2020-03-14 23:35:00,9.0744404453e+08,9.0744404453e+08,3.7612249735e+08,3.7612249735e+08
2020-03-14 23:40:00,8.7913904032e+08,8.7913904032e+08,2.0005129158e+09,2.0005129158e+09
2020-03-14 23:45:00,9.6046120864e+08,9.6046120864e+08,3.3466238328e+09,3.3466238328e+09
2020-03-14 23:50:00,9.3413887711e+08,9.3413887711e+08,3.2304505816e+09,3.2304505816e+09
2020-03-14 23:55:00,7.5984323397e+08,7.5984323397e+08,3.3870350024e+09,3.3870350024e+09
2020-03-15 00:00:00,7.9699207670e+08,7.9699207670e+08,3.3772376174e+09,3.3772376174e+09
2020-03-15 00:05:00,9.0397182259e+08,9.0397182259e+08,3.4408905511e+09,3.4408905511e+09
2020-03-15 00:10:00,7.4733639769e+08,7.4733639769e+08,3.4055723845e+09,3.4055723845e+09
2020-03-15 00:15:00,8.7447346181e+08,8.7447346181e+08,3.4165236204e+09,3.4165236204e+09
2020-03-15 00:20:00,8.3669983891e+08,8.3669983891e+08,3.4445770862e+09,3.4445770862e+09
2020-03-15 00:25:00,8.0023190591e+08,8.0023190591e+08,3.4234310374e+09,3.4234310374e+09
2020-03-15 00:30:00,8.4245391869e+08,8.4245391869e+08,3.3658382209e+09,3.3658382209e+09
2020-03-15 00:35:00,8.3198972869e+08,8.3198972869e+08,3.4439337142e+09,3.4439337142e+09
2020-03-15 00:40:00,8.4275277692e+08,8.4275277692e+08,3.5444174193e+09,3.5444174193e+09
2020-03-15 00:45:00,9.5307653463e+08,9.5307653463e+08,3.5555068497e+09,3.5555068497e+09
2020-03-15 00:50:00,7.6480594275e+08,7.6480594275e+08,3.7555577811e+09,3.7555577811e+09
2020-03-15 00:55:00,8.4034944717e+08,8.4034944717e+08,3.6733183828e+09,3.6733183828e+09
2020-03-15 01:00:00,7.2031066636e+08,7.2031066636e+08,3.3960281483e+09,3.3960281483e+09
2020-03-15 01:05:00,8.0387406524e+08,8.0387406524e+08,3.5257736692e+09,3.5257736692e+09
2020-03-15 01:10:00,8.2860296930e+08,8.2860296930e+08,3.5291101890e+09,3.5291101890e+09
2020-03-15 01:15:00,8.2998578118e+08,8.2998578118e+08,3.4851705993e+09,3.4851705993e+09
2020-03-15 01:20:00,8.3122755407e+08,8.3122755407e+08,3.4890446652e+09,3.4890446652e+09
2020-03-15 01:25:00,8.3138220497e+08,8.3138220497e+08,3.4038594379e+09,3.4038594379e+09
2020-03-15 01:30:00,7.4602810519e+08,7.4602810519e+08,3.6572239066e+09,3.6572239066e+09
2020-03-15 01:35:00,7.2313169671e+08,7.2313169671e+08,3.4642044658e+09,3.4642044658e+09
2020-03-15 01:40:00,1.2395997624e+09,1.2395997624e+09,3.4372071754e+09,3.4372071754e+09
2020-03-15 01:45:00,1.4778074616e+09,1.4778074616e+09,3.5068563650e+09,3.5068563650e+09
2020-03-15 01:50:00,1.3070429373e+09,1.3070429373e+09,3.3553666723e+09,3.3553666723e+09
2020-03-15 01:55:00,1.5053400374e+09,1.5053400374e+09,3.6220136837e+09,3.6220136837e+09
2020-03-15 02:00:00,1.6146222645e+09,1.6146222645e+09,3.4599471302e+09,3.4599471302e+09
2020-03-15 02:05:00,1.5622407085e+09,1.5622407085e+09,3.4610507095e+09,3.4610507095e+09
2020-03-15 02:10:00,1.8089179237e+09,1.8089179237e+09,3.4943044458e+09,3.4943044458e+09
2020-03-15 02:15:00,1.5861413120e+09,1.5861413120e+09,3.4992934653e+09,3.4992934653e+09
2020-03-15 02:20:00,1.9156189411e+09,1.9156189411e+09,3.4820347491e+09,3.4820347491e+09
2020-03-15 02:25:00,2.0253198405e+09,2.0253198405e+09,3.6081310194e+09,3.6081310194e+09
2020-03-15 02:30:00,2.0941895546e+09,2.0941895546e+09,3.4432607152e+09,3.4432607152e+09
2020-03-15 02:35:00,1.9624773235e+09,1.9624773235e+09,3.4734735928e+09,3.4734735928e+09
2020-03-15 02:40:00,1.9788056875e+09,1.9788056875e+09,3.3684138325e+09,3.3684138325e+09
2020-03-15 02:45:00,1.9317377994e+09,1.9317377994e+09,3.4585837397e+09,3.4585837397e+09
2020-03-15 02:50:00,1.6721177481e+09,1.6721177481e+09,3.4314237345e+09,3.4314237345e+09
2020-03-15 02:55:00,1.5796017667e+09,1.5796017667e+09,3.6396779349e+09,3.6396779349e+09
2020-03-15 03:00:00,1.5863721772e+09,1.5863721772e+09,3.4282290593e+09,3.4282290593e+09
2020-03-15 03:05:00,1.7373650447e+09,1.7373650447e+09,3.4292837476e+09,3.4292837476e+09
