DATE,CHIT,CHIT_peak,ITCH,CHIT_peak
2020-03-14 22:05:00,2.9760885927e+10,2.9760885927e+10,3.0811198881e+10,3.0811198881e+10
2020-03-14 22:10:00,2.8563836153e+10,2.8563836153e+10,3.7608958532e+10,3.7608958532e+10
2020-03-14 22:15:00,3.6044126247e+10,3.6044126247e+10,3.7369937674e+10,3.7369937674e+10
2020-03-14 22:20:00,3.7410878697e+10,3.7410878697e+10,2.7520448780e+10,2.7520448780e+10
2020-03-14 22:25:00,3.5074923909e+10,3.5074923909e+10,3.3583223019e+10,3.3583223019e+10
2020-03-14 22:30:00,4.0239807186e+10,4.0239807186e+10,4.0291391721e+10,4.0291391721e+10
2020-03-14 22:35:00,4.0853712793e+10,4.0853712793e+10,4.1566046710e+10,4.1566046710e+10
2020-03-14 22:40:00,4.0069849957e+10,4.0069849957e+10,3.2713004439e+10,3.2713004439e+10
2020-03-14 22:45:00,3.6193447262e+10,3.6193447262e+10,3.0303991755e+10,3.0303991755e+10
2020-03-14 22:50:00,3.5011065891e+10,3.5011065891e+10,2.8770360690e+10,2.8770360690e+10
2020-03-14 22:55:00,3.7379260149e+10,3.7379260149e+10,3.1096416534e+10,3.1096416534e+10
2020-03-14 23:00:00,3.2260915734e+10,3.2260915734e+10,2.6577494842e+10,2.6577494842e+10
2020-03-14 23:05:00,3.3898295122e+10,3.3898295122e+10,2.6416857709e+10,2.6416857709e+10
2020-03-14 23:10:00,3.4595264203e+10,3.4595264203e+10,2.7509173961e+10,2.7509173961e+10
2020-03-14 23:15:00,3.2741480847e+10,3.2741480847e+10,2.2243982230e+10,2.2243982230e+10
2020-03-14 23:20:00,3.5242461892e+10,3.5242461892e+10,2.7625772386e+10,2.7625772386e+10
2020-03-14 23:25:00,3.6205554133e+10,3.6205554133e+10,3.1862526108e+10,3.1862526108e+10
2020-03-14 23:30:00,3.5823788542e+10,3.5823788542e+10,2.7030079850e+10,2.7030079850e+10
2020-03-14 23:35:00,3.3613884478e+10,3.3613884478e+10,3.1004579398e+10,3.1004579398e+10
2020-03-14 23:40:00,3.1133260910e+10,3.1133260910e+10,3.5508342639e+10,3.5508342639e+10
2020-03-14 23:45:00,3.0739650532e+10,3.0739650532e+10,3.0928858239e+10,3.0928858239e+10
2020-03-14 23:50:00,3.1522264091e+10,3.1522264091e+10,3.0323090603e+10,3.0323090603e+10
2020-03-14 23:55:00,2.7023474867e+10,2.7023474867e+10,2.8716791510e+10,2.8716791510e+10
2020-03-15 00:00:00,3.4010333609e+10,3.4010333609e+10,2.6082234807e+10,2.6082234807e+10
2020-03-15 00:05:00,3.2671545233e+10,3.2671545233e+10,2.9381225830e+10,2.9381225830e+10
2020-03-15 00:10:00,3.1158124227e+10,3.1158124227e+10,2.7060682850e+10,2.7060682850e+10
2020-03-15 00:15:00,3.0276439933e+10,3.0276439933e+10,3.1302243333e+10,3.1302243333e+10
2020-03-15 00:20:00,2.7168260066e+10,2.7168260066e+10,2.2865613544e+10,2.2865613544e+10
2020-03-15 00:25:00,2.9178209450e+10,2.9178209450e+10,2.4216605634e+10,2.4216605634e+10
2020-03-15 00:30:00,4.1628284537e+10,4.1628284537e+10,4.4562969204e+10,4.4562969204e+10
2020-03-15 00:35:00,3.9626480787e+10,3.9626480787e+10,3.1636518582e+10,3.1636518582e+10
2020-03-15 00:40:00,3.3418456612e+10,3.3418456612e+10,2.9873251129e+10,2.9873251129e+10
2020-03-15 00:45:00,3.1559306040e+10,3.1559306040e+10,2.5793422453e+10,2.5793422453e+10
2020-03-15 00:50:00,2.5013081778e+10,2.5013081778e+10,2.6035763351e+10,2.6035763351e+10
2020-03-15 00:55:00,2.8003475040e+10,2.8003475040e+10,2.7267051763e+10,2.7267051763e+10
2020-03-15 01:00:00,2.2729726078e+10,2.2729726078e+10,3.3961216507e+10,3.3961216507e+10
2020-03-15 01:05:00,2.7178458080e+10,2.7178458080e+10,3.0049439151e+10,3.0049439151e+10
2020-03-15 01:10:00,2.4003142926e+10,2.4003142926e+10,2.7957614861e+10,2.7957614861e+10
2020-03-15 01:15:00,2.7353005660e+10,2.7353005660e+10,2.0372653897e+10,2.0372653897e+10
2020-03-15 01:20:00,2.3865454126e+10,2.3865454126e+10,2.0300599248e+10,2.0300599248e+10
2020-03-15 01:25:00,2.5758076850e+10,2.5758076850e+10,2.2806655599e+10,2.2806655599e+10
2020-03-15 01:30:00,2.2882836047e+10,2.2882836047e+10,2.6484535269e+10,2.6484535269e+10
2020-03-15 01:35:00,2.5898603410e+10,2.5898603410e+10,3.3876268162e+10,3.3876268162e+10
2020-03-15 01:40:00,2.7585160766e+10,2.7585160766e+10,3.7778538769e+10,3.7778538769e+10
2020-03-15 01:45:00,2.8634476657e+10,2.8634476657e+10,3.9232544444e+10,3.9232544444e+10
2020-03-15 01:50:00,3.0852296119e+10,3.0852296119e+10,3.0218519940e+10,3.0218519940e+10
2020-03-15 01:55:00,2.9514579159e+10,2.9514579159e+10,2.4180607338e+10,2.4180607338e+10
2020-03-15 02:00:00,2.5720661447e+10,2.5720661447e+10,2.4057097588e+10,2.4057097588e+10
2020-03-15 02:05:00,2.4291469181e+10,2.4291469181e+10,2.3770696030e+10,2.3770696030e+10
2020-03-15 02:10:00,2.8393152571e+10,2.8393152571e+10,3.0989846886e+10,3.0989846886e+10
2020-03-15 02:15:00,2.5727586632e+10,2.5727586632e+10,3.7458444425e+10,3.7458444425e+10
2020-03-15 02:20:00,2.4645291032e+10,2.4645291032e+10,3.6883059355e+10,3.6883059355e+10
2020-03-15 02:25:00,2.5307308201e+10,2.5307308201e+10,3.0087197122e+10,3.0087197122e+10
2020-03-15 02:30:00,2.4324693451e+10,2.4324693451e+10,4.2236346544e+10,4.2236346544e+10
2020-03-15 02:35:00,2.3881074630e+10,2.3881074630e+10,4.6511751957e+10,4.6511751957e+10
2020-03-15 02:40:00,2.7220872579e+10,2.7220872579e+10,3.5833342333e+10,3.5833342333e+10
2020-03-15 02:45:00,2.5173719810e+10,2.5173719810e+10,3.6804407591e+10,3.6804407591e+10
2020-03-15 02:50:00,2.9298221590e+10,2.9298221590e+10,3.7592018833e+10,3.7592018833e+10
2020-03-15 02:55:00,2.8338623695e+10,2.8338623695e+10,2.9834446203e+10,2.9834446203e+10
2020-03-15 03:00:00,2.9243082948e+10,2.9243082948e+10,3.0816101865e+10,3.0816101865e+10
2020-03-15 03:05:00,2.9002612633e+10,2.9002612633e+10,3.2357406184e+10,3.2357406184e+10
2020-03-15 03:10:00,2.9773552441e+10,2.9773552441e+10,3.7585000595e+10,3.7585000595e+10
2020-03-15 03:15:00,2.8167815321e+10,2.8167815321e+10,3.3177543375e+10,3.3177543375e+10
2020-03-15 03:20:00,3.0833542236e+10,3.0833542236e+10,3.1414287466e+10,3.1414287466e+10
2020-03-15 03:25:00,2.9003933705e+10,2.9003933705e+10,3.3646943966e+10,3.3646943966e+10
2020-03-15 03:30:00,3.0238285850e+10,3.0238285850e+10,3.1101136559e+10,3.1101136559e+10
2020-03-15 03:35:00,2.9887666212e+10,2.9887666212e+10,3.2238505769e+10,3.2238505769e+10
2020-03-15 03:40:00,2.9975764305e+10,2.9975764305e+10,3.3090697447e+10,3.3090697447e+10
2020-03-15 03:45:00,3.3564600765e+10,3.3564600765e+10,3.0432871849e+10,3.0432871849e+10
2020-03-15 03:50:00,2.5788992955e+10,2.5788992955e+10,2.9104933817e+10,2.9104933817e+10
2020-03-15 03:55:00,2.0098514160e+10,2.0098514160e+10,3.1077403979e+10,3.1077403979e+10
2020-03-15 04:00:00,2.3415730079e+10,2.3415730079e+10,2.9763598287e+10,2.9763598287e+10
2020-03-15 04:05:00,2.3369044383e+10,2.3369044383e+10,2.9783274269e+10,2.9783274269e+10
2020-03-15 04:10:00,1.9665395995e+10,1.9665395995e+10,3.7209077472e+10,3.7209077472e+10
2020-03-15 04:15:00,1.9643608014e+10,1.9643608014e+10,3.4545232983e+10,3.4545232983e+10
2020-03-15 04:20:00,2.1115324113e+10,2.1115324113e+10,2.6838382225e+10,2.6838382225e+10
2020-03-15 04:25:00,2.0885022987e+10,2.0885022987e+10,2.7480824638e+10,2.7480824638e+10
