DATE,DEDU,DEDU_peak,DUDE,DEDU_peak
2020-03-14 22:05:00,3.5225820346e+10,3.5225820346e+10,4.2440237405e+09,4.2440237405e+09
2020-03-14 22:10:00,2.1998831752e+10,2.1998831752e+10,5.0518225407e+09,5.0518225407e+09
2020-03-14 22:15:00,1.9105240828e+10,1.9105240828e+10,2.7241208878e+09,2.7241208878e+09
2020-03-14 22:20:00,1.6949477709e+10,1.6949477709e+10,2.3255344794e+09,2.3255344794e+09
2020-03-14 22:25:00,2.6012704627e+10,2.6012704627e+10,3.0500637141e+09,3.0500637141e+09
2020-03-14 22:30:00,2.5201866520e+10,2.5201866520e+10,2.4420659831e+09,2.4420659831e+09
2020-03-14 22:35:00,2.0031068903e+10,2.0031068903e+10,2.1597173226e+09,2.1597173226e+09
2020-03-14 22:40:00,1.9947095457e+10,1.9947095457e+10,2.6925156704e+09,2.6925156704e+09
2020-03-14 22:45:00,1.7668584359e+10,1.7668584359e+10,2.4858128863e+09,2.4858128863e+09
2020-03-14 22:50:00,1.6020088158e+10,1.6020088158e+10,2.6022886601e+09,2.6022886601e+09
2020-03-14 22:55:00,2.1309045351e+10,2.1309045351e+10,2.2022234972e+09,2.2022234972e+09
2020-03-14 23:00:00,1.8834515603e+10,1.8834515603e+10,2.4356822008e+09,2.4356822008e+09
2020-03-14 23:05:00,1.5318818363e+10,1.5318818363e+10,3.4937423514e+09,3.4937423514e+09
2020-03-14 23:10:00,1.2120118948e+10,1.2120118948e+10,4.0863434468e+09,4.0863434468e+09
2020-03-14 23:15:00,1.3079542572e+10,1.3079542572e+10,2.2622426222e+09,2.2622426222e+09
2020-03-14 23:20:00,1.1385223063e+10,1.1385223063e+10,3.0651931293e+09,3.0651931293e+09
2020-03-14 23:25:00,1.0812963149e+10,1.0812963149e+10,3.8547223309e+09,3.8547223309e+09
2020-03-14 23:30:00,1.2271778472e+10,1.2271778472e+10,3.0810084983e+09,3.0810084983e+09
2020-03-14 23:35:00,1.2759234911e+10,1.2759234911e+10,2.4446204910e+09,2.4446204910e+09
2020-03-14 23:40:00,1.2103514908e+10,1.2103514908e+10,3.0137210711e+09,3.0137210711e+09
