DATE,FNIT,FNIT_peak,ITFN,ITFN_peak
2020-03-14 22:05:00,1.7789890205e+09,1.7789890205e+09,3.9846137422e+08,3.9846137422e+08
2020-03-14 22:10:00,1.6525257323e+09,1.6525257323e+09,4.0957413722e+08,4.0957413722e+08
2020-03-14 22:15:00,1.6539474534e+09,1.6539474534e+09,4.6200316113e+08,4.6200316113e+08
2020-03-14 22:20:00,1.7039876538e+09,1.7039876538e+09,4.0852967382e+08,4.0852967382e+08
2020-03-14 22:25:00,2.2740209625e+09,2.2740209625e+09,3.6004690853e+08,3.6004690853e+08
2020-03-14 22:30:00,1.7195372934e+09,1.7195372934e+09,5.7382840854e+08,5.7382840854e+08
2020-03-14 22:35:00,1.6692471578e+09,1.6692471578e+09,1.7297943863e+09,1.7297943863e+09
2020-03-14 22:40:00,1.6382942916e+09,1.6382942916e+09,9.5931581165e+08,9.5931581165e+08
2020-03-14 22:45:00,1.7025652499e+09,1.7025652499e+09,1.1157907998e+09,1.1157907998e+09
2020-03-14 22:50:00,1.7726307739e+09,1.7726307739e+09,7.4655296377e+08,7.4655296377e+08
2020-03-14 22:55:00,1.6845994040e+09,1.6845994040e+09,9.3961966315e+08,9.3961966315e+08
2020-03-14 23:00:00,1.7487987794e+09,1.7487987794e+09,1.0789292059e+09,1.0789292059e+09
2020-03-14 23:05:00,1.8118735465e+09,1.8118735465e+09,4.9598081736e+08,4.9598081736e+08
2020-03-14 23:10:00,2.3564778001e+09,2.3564778001e+09,2.9477274141e+08,2.9477274141e+08
2020-03-14 23:15:00,2.1512782783e+09,2.1512782783e+09,3.7860255271e+08,3.7860255271e+08
2020-03-14 23:20:00,1.7070722000e+09,1.7070722000e+09,2.8048338465e+08,2.8048338465e+08
2020-03-14 23:25:00,1.7235905296e+09,1.7235905296e+09,2.1454789617e+08,2.1454789617e+08
2020-03-14 23:30:00,1.8538085823e+09,1.8538085823e+09,2.3901051082e+08,2.3901051082e+08
2020-03-14 23:35:00,1.6652467539e+09,1.6652467539e+09,3.0084740821e+08,3.0084740821e+08
2020-03-14 23:40:00,1.6164371594e+09,1.6164371594e+09,2.0361632035e+08,2.0361632035e+08
2020-03-14 23:45:00,1.4944878553e+09,1.4944878553e+09,7.9245412341e+08,7.9245412341e+08
2020-03-14 23:50:00,1.9973139338e+09,1.9973139338e+09,6.8369043118e+08,6.8369043118e+08
2020-03-14 23:55:00,1.9835548007e+09,1.9835548007e+09,1.1608544250e+09,1.1608544250e+09
2020-03-15 00:00:00,1.3884861765e+09,1.3884861765e+09,5.4051785353e+08,5.4051785353e+08
2020-03-15 00:05:00,1.5053297093e+09,1.5053297093e+09,1.0009757057e+09,1.0009757057e+09
2020-03-15 00:10:00,1.5598038004e+09,1.5598038004e+09,3.1584096624e+08,3.1584096624e+08
2020-03-15 00:15:00,1.4070910516e+09,1.4070910516e+09,3.1717096551e+08,3.1717096551e+08
2020-03-15 00:20:00,1.3790282020e+09,1.3790282020e+09,7.6566595117e+08,7.6566595117e+08
2020-03-15 00:25:00,1.4580601578e+09,1.4580601578e+09,2.4724727699e+08,2.4724727699e+08
2020-03-15 00:30:00,1.2683415877e+09,1.2683415877e+09,2.7303972600e+08,2.7303972600e+08
2020-03-15 00:35:00,1.8419825472e+09,1.8419825472e+09,4.2273780760e+08,4.2273780760e+08
2020-03-15 00:40:00,1.5102717078e+09,1.5102717078e+09,3.6316105748e+08,3.6316105748e+08
2020-03-15 00:45:00,1.2724095681e+09,1.2724095681e+09,2.0656843193e+08,2.0656843193e+08
2020-03-15 00:50:00,1.1206677922e+09,1.1206677922e+09,3.4934717419e+08,3.4934717419e+08
2020-03-15 00:55:00,1.0202554883e+09,1.0202554883e+09,1.5884929545e+09,1.5884929545e+09
2020-03-15 01:00:00,1.0432183639e+09,1.0432183639e+09,1.3650366154e+09,1.3650366154e+09
2020-03-15 01:05:00,1.0666236192e+09,1.0666236192e+09,9.2023468341e+08,9.2023468341e+08
2020-03-15 01:10:00,1.0549177629e+09,1.0549177629e+09,6.7366715839e+08,6.7366715839e+08
2020-03-15 01:15:00,9.3418505082e+08,9.3418505082e+08,5.8296874967e+08,5.8296874967e+08
2020-03-15 01:20:00,9.8736639422e+08,9.8736639422e+08,3.1090286874e+08,3.1090286874e+08
2020-03-15 01:25:00,9.4716383051e+08,9.4716383051e+08,3.4069460458e+08,3.4069460458e+08
2020-03-15 01:30:00,9.8002199974e+08,9.8002199974e+08,1.5146453289e+08,1.5146453289e+08
2020-03-15 01:35:00,9.0245098489e+08,9.0245098489e+08,4.1288313693e+08,4.1288313693e+08
2020-03-15 01:40:00,7.9647317964e+08,7.9647317964e+08,4.1503441667e+08,4.1503441667e+08
2020-03-15 01:45:00,7.3361488298e+08,7.3361488298e+08,5.6310210938e+08,5.6310210938e+08
2020-03-15 01:50:00,9.1862158323e+08,9.1862158323e+08,4.1965386025e+08,4.1965386025e+08
2020-03-15 01:55:00,9.1451414611e+08,9.1451414611e+08,6.2639719847e+08,6.2639719847e+08
2020-03-15 02:00:00,1.6856890285e+09,1.6856890285e+09,1.1031981646e+09,1.1031981646e+09
2020-03-15 02:05:00,1.0976604683e+09,1.0976604683e+09,3.9764913828e+08,3.9764913828e+08
2020-03-15 02:10:00,1.1320958092e+09,1.1320958092e+09,4.7708439792e+08,4.7708439792e+08
2020-03-15 02:15:00,1.3684543540e+09,1.3684543540e+09,4.6451093631e+08,4.6451093631e+08
2020-03-15 02:20:00,1.1185750111e+09,1.1185750111e+09,3.6864405983e+08,3.6864405983e+08
2020-03-15 02:25:00,1.3614866784e+09,1.3614866784e+09,4.9035440584e+08,4.9035440584e+08
2020-03-15 02:30:00,1.2696348588e+09,1.2696348588e+09,2.4441550829e+08,2.4441550829e+08
2020-03-15 02:35:00,1.3786571460e+09,1.3786571460e+09,1.0757372009e+09,1.0757372009e+09
2020-03-15 02:40:00,1.7908901082e+09,1.7908901082e+09,1.2124096357e+09,1.2124096357e+09
2020-03-15 02:45:00,1.1928763155e+09,1.1928763155e+09,1.8291990979e+09,1.8291990979e+09
2020-03-15 02:50:00,1.0485352268e+09,1.0485352268e+09,1.4567010894e+09,1.4567010894e+09
2020-03-15 02:55:00,1.3479473197e+09,1.3479473197e+09,7.5966325139e+08,7.5966325139e+08
2020-03-15 03:00:00,2.1552709887e+09,2.1552709887e+09,1.0619882540e+09,1.0619882540e+09
2020-03-15 03:05:00,1.9243056951e+09,1.9243056951e+09,7.0333767333e+08,7.0333767333e+08
2020-03-15 03:10:00,2.2850968492e+09,2.2850968492e+09,7.5201592316e+08,7.5201592316e+08
2020-03-15 03:15:00,1.9553146143e+09,1.9553146143e+09,7.9956113734e+08,7.9956113734e+08
2020-03-15 03:20:00,8.8417308462e+08,8.8417308462e+08,8.2457886729e+08,8.2457886729e+08
2020-03-15 03:25:00,7.6239106299e+08,7.6239106299e+08,8.2471558939e+08,8.2471558939e+08
2020-03-15 03:30:00,1.1956046937e+09,1.1956046937e+09,6.9332897384e+08,6.9332897384e+08
2020-03-15 03:35:00,1.6986315444e+09,1.6986315444e+09,7.4105924110e+08,7.4105924110e+08
2020-03-15 03:40:00,1.0032255420e+09,1.0032255420e+09,1.2003475527e+09,1.2003475527e+09
2020-03-15 03:45:00,1.2731631266e+09,1.2731631266e+09,6.3452054897e+08,6.3452054897e+08
2020-03-15 03:50:00,1.1242913385e+09,1.1242913385e+09,7.6603080711e+08,7.6603080711e+08
2020-03-15 03:55:00,1.2494310195e+09,1.2494310195e+09,6.4157697841e+08,6.4157697841e+08
2020-03-15 04:00:00,1.4107961342e+09,1.4107961342e+09,6.8681621059e+08,6.8681621059e+08
