DATE,CHFN,CHFN_peak,FNCH,CHFN_peak
2020-03-14 22:05:00,6.5680152568e+09,6.5680152568e+09,1.2606576351e+10,1.2606576351e+10
2020-03-14 22:10:00,7.3521867913e+09,7.3521867913e+09,1.2929999006e+10,1.2929999006e+10
2020-03-14 22:15:00,9.3629537496e+09,9.3629537496e+09,1.9454279668e+10,1.9454279668e+10
2020-03-14 22:20:00,1.0570650359e+10,1.0570650359e+10,1.8794815534e+10,1.8794815534e+10
2020-03-14 22:25:00,1.0287654581e+10,1.0287654581e+10,1.9832335418e+10,1.9832335418e+10
2020-03-14 22:30:00,1.1068658142e+10,1.1068658142e+10,1.9762863619e+10,1.9762863619e+10
2020-03-14 22:35:00,9.2115779051e+09,9.2115779051e+09,1.8977055119e+10,1.8977055119e+10
2020-03-14 22:40:00,9.1685056826e+09,9.1685056826e+09,2.1081882183e+10,2.1081882183e+10
2020-03-14 22:45:00,1.0069706741e+10,1.0069706741e+10,1.8183450696e+10,1.8183450696e+10
2020-03-14 22:50:00,9.7987028128e+09,9.7987028128e+09,2.1932954641e+10,2.1932954641e+10
2020-03-14 22:55:00,1.0886965799e+10,1.0886965799e+10,2.2270207990e+10,2.2270207990e+10
2020-03-14 23:00:00,9.4986207756e+09,9.4986207756e+09,2.3207390050e+10,2.3207390050e+10
2020-03-14 23:05:00,1.1221738657e+10,1.1221738657e+10,2.3189653855e+10,2.3189653855e+10
2020-03-14 23:10:00,1.1877339915e+10,1.1877339915e+10,2.0250994004e+10,2.0250994004e+10
2020-03-14 23:15:00,1.1710967320e+10,1.1710967320e+10,1.9574661503e+10,1.9574661503e+10
2020-03-14 23:20:00,1.1301120586e+10,1.1301120586e+10,1.9561831534e+10,1.9561831534e+10
2020-03-14 23:25:00,8.2946106049e+09,8.2946106049e+09,1.7492434658e+10,1.7492434658e+10
2020-03-14 23:30:00,7.0102991811e+09,7.0102991811e+09,1.5536254457e+10,1.5536254457e+10
2020-03-14 23:35:00,8.1567578587e+09,8.1567578587e+09,1.4963535579e+10,1.4963535579e+10
2020-03-14 23:40:00,1.0269627459e+10,1.0269627459e+10,1.5240715570e+10,1.5240715570e+10
2020-03-14 23:45:00,9.9368871457e+09,9.9368871457e+09,1.2515226705e+10,1.2515226705e+10
2020-03-14 23:50:00,9.7485769557e+09,9.7485769557e+09,1.3710862529e+10,1.3710862529e+10
2020-03-14 23:55:00,1.0103665288e+10,1.0103665288e+10,1.5886760747e+10,1.5886760747e+10
2020-03-15 00:00:00,9.9493508733e+09,9.9493508733e+09,1.5230680285e+10,1.5230680285e+10
2020-03-15 00:05:00,7.9163056553e+09,7.9163056553e+09,1.4634740933e+10,1.4634740933e+10
