DATE,EEET,EEET_peak,ETEE,EEET_peak
2020-03-14 22:05:00,3.5210120819e+07,3.5210120819e+07,1.1836591878e+08,1.1836591878e+08
2020-03-14 22:10:00,2.9399374177e+07,2.9399374177e+07,1.4594242108e+08,1.4594242108e+08
2020-03-14 22:15:00,3.1933632598e+07,3.1933632598e+07,1.3467867381e+08,1.3467867381e+08
2020-03-14 22:20:00,2.9084481107e+07,2.9084481107e+07,1.0076302342e+08,1.0076302342e+08
2020-03-14 22:25:00,1.1079790667e+08,1.1079790667e+08,1.0353209058e+08,1.0353209058e+08
2020-03-14 22:30:00,1.7243408881e+07,1.7243408881e+07,1.1318722674e+08,1.1318722674e+08
2020-03-14 22:35:00,2.3022330825e+07,2.3022330825e+07,1.1183015810e+08,1.1183015810e+08
2020-03-14 22:40:00,1.7826052986e+07,1.7826052986e+07,9.6730388087e+07,9.6730388087e+07
2020-03-14 22:45:00,1.8823910728e+07,1.8823910728e+07,1.1578760550e+08,1.1578760550e+08
2020-03-14 22:50:00,4.7858744581e+07,4.7858744581e+07,8.7235073019e+07,8.7235073019e+07
2020-03-14 22:55:00,8.1080497058e+07,8.1080497058e+07,8.6838722054e+07,8.6838722054e+07
2020-03-14 23:00:00,1.9740366200e+07,1.9740366200e+07,9.4797166749e+07,9.4797166749e+07
2020-03-14 23:05:00,1.8185953301e+07,1.8185953301e+07,8.6858089686e+07,8.6858089686e+07
2020-03-14 23:10:00,1.8874004573e+07,1.8874004573e+07,7.9985856940e+07,7.9985856940e+07
2020-03-14 23:15:00,1.8224612005e+07,1.8224612005e+07,1.2892182829e+08,1.2892182829e+08
2020-03-14 23:20:00,1.2618306199e+07,1.2618306199e+07,1.5729951167e+08,1.5729951167e+08
2020-03-14 23:25:00,1.5646181227e+07,1.5646181227e+07,8.6462433953e+07,8.6462433953e+07
2020-03-14 23:30:00,1.5522026804e+07,1.5522026804e+07,8.3977462872e+07,8.3977462872e+07
2020-03-14 23:35:00,1.4280187347e+08,1.4280187347e+08,8.7744095159e+07,8.7744095159e+07
2020-03-14 23:40:00,6.4541726168e+07,6.4541726168e+07,1.0850313720e+08,1.0850313720e+08
