DATE,ATHR,ATHR_peak,HRAT,ATHR_peak
2020-03-14 22:05:00,2.8400034175e+06,2.8400034175e+06,1.0577895354e+06,1.0577895354e+06
2020-03-14 22:10:00,1.4805863507e+06,1.4805863507e+06,1.1006040966e+06,1.1006040966e+06
2020-03-14 22:15:00,1.3129396052e+06,1.3129396052e+06,1.0755452852e+06,1.0755452852e+06
2020-03-14 22:20:00,1.3111909940e+06,1.3111909940e+06,9.9372913351e+05,9.9372913351e+05
2020-03-14 22:25:00,1.3810273753e+06,1.3810273753e+06,9.9433434062e+05,9.9433434062e+05
2020-03-14 22:30:00,1.2235098836e+06,1.2235098836e+06,9.6504740853e+05,9.6504740853e+05
2020-03-14 22:35:00,2.3488536279e+06,2.3488536279e+06,9.7570396000e+05,9.7570396000e+05
2020-03-14 22:40:00,2.4913469125e+06,2.4913469125e+06,1.1371092850e+06,1.1371092850e+06
2020-03-14 22:45:00,2.0843854693e+06,2.0843854693e+06,9.5218604249e+05,9.5218604249e+05
2020-03-14 22:50:00,1.4344331380e+06,1.4344331380e+06,9.8637433013e+05,9.8637433013e+05
2020-03-14 22:55:00,1.5118218071e+06,1.5118218071e+06,9.9251653333e+05,9.9251653333e+05
2020-03-14 23:00:00,2.5050923333e+06,2.5050923333e+06,1.0005875070e+06,1.0005875070e+06
2020-03-14 23:05:00,3.4006076161e+06,3.4006076161e+06,9.1879563469e+05,9.1879563469e+05
2020-03-14 23:10:00,1.8001612138e+06,1.8001612138e+06,1.0569947002e+06,1.0569947002e+06
2020-03-14 23:15:00,3.1115334428e+06,3.1115334428e+06,9.7509060217e+05,9.7509060217e+05
2020-03-14 23:20:00,3.2151775199e+06,3.2151775199e+06,1.0392319551e+06,1.0392319551e+06
2020-03-14 23:25:00,1.2614363991e+06,1.2614363991e+06,1.0022801536e+06,1.0022801536e+06
2020-03-14 23:30:00,1.7500579395e+06,1.7500579395e+06,9.4335047284e+05,9.4335047284e+05
2020-03-14 23:35:00,1.6753713755e+06,1.6753713755e+06,9.8100367603e+05,9.8100367603e+05
2020-03-14 23:40:00,1.2352568103e+06,1.2352568103e+06,9.6023946447e+05,9.6023946447e+05
2020-03-14 23:45:00,1.2728906251e+06,1.2728906251e+06,1.0495230933e+06,1.0495230933e+06
2020-03-14 23:50:00,1.6181936117e+06,1.6181936117e+06,9.6420860836e+05,9.6420860836e+05
2020-03-14 23:55:00,1.1475418247e+06,1.1475418247e+06,1.0348657876e+06,1.0348657876e+06
2020-03-15 00:00:00,7.1540964417e+06,7.1540964417e+06,1.0925729091e+06,1.0925729091e+06
2020-03-15 00:05:00,4.0873377205e+07,4.0873377205e+07,1.1846219973e+06,1.1846219973e+06
2020-03-15 00:10:00,3.0740622999e+07,3.0740622999e+07,1.2092010143e+06,1.2092010143e+06
2020-03-15 00:15:00,1.3647000853e+06,1.3647000853e+06,1.1141312244e+06,1.1141312244e+06
2020-03-15 00:20:00,1.2605642176e+06,1.2605642176e+06,9.5842135662e+05,9.5842135662e+05
2020-03-15 00:25:00,1.1338489532e+06,1.1338489532e+06,9.7539586560e+05,9.7539586560e+05
2020-03-15 00:30:00,1.5230914718e+06,1.5230914718e+06,1.0450358027e+06,1.0450358027e+06
2020-03-15 00:35:00,1.2992345532e+06,1.2992345532e+06,9.7436089956e+05,9.7436089956e+05
2020-03-15 00:40:00,1.1389820126e+06,1.1389820126e+06,9.5784237813e+05,9.5784237813e+05
2020-03-15 00:45:00,1.1290591003e+06,1.1290591003e+06,9.6468980160e+05,9.6468980160e+05
2020-03-15 00:50:00,1.1190841205e+06,1.1190841205e+06,1.0737894873e+06,1.0737894873e+06
2020-03-15 00:55:00,1.1296870064e+06,1.1296870064e+06,9.4725938738e+05,9.4725938738e+05
2020-03-15 01:00:00,2.3572257001e+06,2.3572257001e+06,1.0289455996e+06,1.0289455996e+06
2020-03-15 01:05:00,1.2420800083e+06,1.2420800083e+06,1.0095411704e+06,1.0095411704e+06
2020-03-15 01:10:00,1.0909838790e+06,1.0909838790e+06,9.7533236769e+05,9.7533236769e+05
2020-03-15 01:15:00,1.0987387636e+06,1.0987387636e+06,9.8001956563e+05,9.8001956563e+05
2020-03-15 01:20:00,1.1327636156e+06,1.1327636156e+06,1.0405805931e+06,1.0405805931e+06
