DATE,BEUK,BEUK_peak,UKBE,BEUK_peak
2020-03-21 22:15:00,5.0255616517e+08,5.0255616517e+08,7.6209774120e+07,7.6209774120e+07
2020-03-21 22:20:00,4.7010189815e+08,4.7010189815e+08,6.7357454651e+07,6.7357454651e+07
2020-03-21 22:25:00,4.6327374446e+08,4.6327374446e+08,6.5736850544e+07,6.5736850544e+07
2020-03-21 22:30:00,4.5195169211e+08,4.5195169211e+08,5.8326964611e+07,5.8326964611e+07
2020-03-21 22:35:00,4.8610130518e+08,4.8610130518e+08,5.9215488578e+07,5.9215488578e+07
2020-03-21 22:40:00,4.7268832208e+08,4.7268832208e+08,4.8009542203e+07,4.8009542203e+07
2020-03-21 22:45:00,4.6612982810e+08,4.6612982810e+08,4.8128633506e+07,4.8128633506e+07
2020-03-21 22:50:00,4.5536349910e+08,4.5536349910e+08,4.5555596996e+07,4.5555596996e+07
2020-03-21 22:55:00,4.9734753535e+08,4.9734753535e+08,5.0377376491e+07,5.0377376491e+07
2020-03-21 23:00:00,4.7106812228e+08,4.7106812228e+08,5.2577336298e+07,5.2577336298e+07
2020-03-21 23:05:00,4.8275620897e+08,4.8275620897e+08,4.1051704081e+07,4.1051704081e+07
2020-03-21 23:10:00,4.5943136417e+08,4.5943136417e+08,4.0506887101e+07,4.0506887101e+07
2020-03-21 23:15:00,4.7510278030e+08,4.7510278030e+08,4.0502344005e+07,4.0502344005e+07
2020-03-21 23:20:00,4.3450323791e+08,4.3450323791e+08,3.1528276127e+07,3.1528276127e+07
2020-03-21 23:25:00,4.2413560749e+08,4.2413560749e+08,2.9166603307e+07,2.9166603307e+07
2020-03-21 23:30:00,4.3265494375e+08,4.3265494375e+08,4.6226228553e+07,4.6226228553e+07
2020-03-21 23:35:00,3.5162122870e+08,3.5162122870e+08,3.9474372534e+07,3.9474372534e+07
2020-03-21 23:40:00,3.3143709684e+08,3.3143709684e+08,3.6670209152e+07,3.6670209152e+07
2020-03-21 23:45:00,3.3470161606e+08,3.3470161606e+08,4.1692530954e+07,4.1692530954e+07
2020-03-21 23:50:00,3.5882785377e+08,3.5882785377e+08,4.2052885239e+07,4.2052885239e+07
2020-03-21 23:55:00,3.2920482410e+08,3.2920482410e+08,3.8599044518e+07,3.8599044518e+07
2020-03-22 00:00:00,3.3619686040e+08,3.3619686040e+08,3.1561614213e+07,3.1561614213e+07
2020-03-22 00:05:00,3.1445066416e+08,3.1445066416e+08,3.6736639924e+07,3.6736639924e+07
2020-03-22 00:10:00,3.1281334464e+08,3.1281334464e+08,4.6101401149e+07,4.6101401149e+07
2020-03-22 00:15:00,3.1832855462e+08,3.1832855462e+08,3.7358380610e+07,3.7358380610e+07
2020-03-22 00:20:00,2.9688304354e+08,2.9688304354e+08,3.3907730481e+07,3.3907730481e+07
2020-03-22 00:25:00,2.7866368094e+08,2.7866368094e+08,6.0043002961e+07,6.0043002961e+07
2020-03-22 00:30:00,2.6510665344e+08,2.6510665344e+08,5.5208122729e+07,5.5208122729e+07
2020-03-22 00:35:00,3.5312937806e+08,3.5312937806e+08,3.5001963851e+07,3.5001963851e+07
2020-03-22 00:40:00,3.7482623655e+08,3.7482623655e+08,3.7017927294e+07,3.7017927294e+07
2020-03-22 00:45:00,3.8826412345e+08,3.8826412345e+08,2.6688847117e+07,2.6688847117e+07
2020-03-22 00:50:00,3.7410749953e+08,3.7410749953e+08,2.6283896741e+07,2.6283896741e+07
2020-03-22 00:55:00,3.8704818016e+08,3.8704818016e+08,3.3243654599e+07,3.3243654599e+07
2020-03-22 01:00:00,3.9821588213e+08,3.9821588213e+08,4.0671662197e+07,4.0671662197e+07
2020-03-22 01:05:00,3.9959015571e+08,3.9959015571e+08,7.4157079281e+07,7.4157079281e+07
2020-03-22 01:10:00,3.9296765883e+08,3.9296765883e+08,2.2646393298e+08,2.2646393298e+08
2020-03-22 01:15:00,3.4527605956e+08,3.4527605956e+08,3.8492390416e+07,3.8492390416e+07
2020-03-22 01:20:00,3.7283743302e+08,3.7283743302e+08,4.0180087442e+07,4.0180087442e+07
2020-03-22 01:25:00,3.4603658107e+08,3.4603658107e+08,2.8123202244e+07,2.8123202244e+07
2020-03-22 01:30:00,3.5508524439e+08,3.5508524439e+08,2.9530435932e+07,2.9530435932e+07
2020-03-22 01:35:00,2.6223655316e+08,2.6223655316e+08,2.5907071610e+07,2.5907071610e+07
2020-03-22 01:40:00,2.1282536432e+08,2.1282536432e+08,2.2189301312e+07,2.2189301312e+07
2020-03-22 01:45:00,2.4959809037e+08,2.4959809037e+08,2.6327966659e+07,2.6327966659e+07
2020-03-22 01:50:00,2.2022456970e+08,2.2022456970e+08,2.6366960170e+07,2.6366960170e+07
2020-03-22 01:55:00,2.4533713956e+08,2.4533713956e+08,2.7730164608e+07,2.7730164608e+07
2020-03-22 02:00:00,2.3581767545e+08,2.3581767545e+08,2.5864842401e+07,2.5864842401e+07
2020-03-22 02:05:00,2.3917359157e+08,2.3917359157e+08,2.0577581871e+07,2.0577581871e+07
2020-03-22 02:10:00,2.1182103964e+08,2.1182103964e+08,1.8860047527e+07,1.8860047527e+07
2020-03-22 02:15:00,2.5928391004e+08,2.5928391004e+08,1.9123296036e+07,1.9123296036e+07
2020-03-22 02:20:00,2.2286704083e+08,2.2286704083e+08,1.7838178029e+07,1.7838178029e+07
2020-03-22 02:25:00,2.7141240418e+08,2.7141240418e+08,1.6766998038e+07,1.6766998038e+07
2020-03-22 02:30:00,2.0987573356e+08,2.0987573356e+08,1.5649237771e+07,1.5649237771e+07
2020-03-22 02:35:00,2.3510213132e+08,2.3510213132e+08,1.9208720417e+07,1.9208720417e+07
2020-03-22 02:40:00,2.4766169560e+08,2.4766169560e+08,2.2297877585e+07,2.2297877585e+07
2020-03-22 02:45:00,2.6222821955e+08,2.6222821955e+08,1.9749401901e+07,1.9749401901e+07
2020-03-22 02:50:00,2.7923916533e+08,2.7923916533e+08,1.7251572543e+07,1.7251572543e+07
2020-03-22 02:55:00,2.5906086885e+08,2.5906086885e+08,1.3733630341e+07,1.3733630341e+07
2020-03-22 03:00:00,2.4605173423e+08,2.4605173423e+08,1.5081136164e+07,1.5081136164e+07
2020-03-22 03:05:00,2.9527209793e+08,2.9527209793e+08,1.7747229634e+07,1.7747229634e+07
2020-03-22 03:10:00,2.6515351559e+08,2.6515351559e+08,1.7279020615e+07,1.7279020615e+07
2020-03-22 03:15:00,2.6977044713e+08,2.6977044713e+08,1.5686244416e+07,1.5686244416e+07
2020-03-22 03:20:00,2.6475642950e+08,2.6475642950e+08,1.7647687377e+07,1.7647687377e+07
2020-03-22 03:25:00,2.5599616086e+08,2.5599616086e+08,1.6386063600e+07,1.6386063600e+07
2020-03-22 03:30:00,2.4065121956e+08,2.4065121956e+08,1.6072342183e+07,1.6072342183e+07
2020-03-22 03:35:00,2.4710297254e+08,2.4710297254e+08,1.5525302230e+07,1.5525302230e+07
2020-03-22 03:40:00,2.7533713427e+08,2.7533713427e+08,1.8003611434e+07,1.8003611434e+07
2020-03-22 03:45:00,2.7970723826e+08,2.7970723826e+08,1.5729949652e+07,1.5729949652e+07
2020-03-22 03:50:00,3.4288141550e+08,3.4288141550e+08,1.9132496255e+07,1.9132496255e+07
