"Title:","mx1.ams.nl - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE HAM SRF0000001 | ams-ham"
"Vertical Label:","bits per second"
"Start Date:","2020-03-16 22:05:00"
"End Date:","2020-03-18 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47927"
"Host ID:","175"
"Nth Percentile:","8559183096","|95:bits:0:current:2|"
"Nth Percentile:","15288.84","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-16 22:05:00","3.4002132205e+09","3.4002132205e+09","1.4786902473e+04","1.4786902473e+04"
"2020-03-16 22:10:00","4.8929414481e+09","4.8929414481e+09","1.5188714473e+04","1.5188714473e+04"
"2020-03-16 22:15:00","3.7417022239e+09","3.7417022239e+09","1.4371061528e+04","1.4371061528e+04"
"2020-03-16 22:20:00","2.9914823217e+09","2.9914823217e+09","1.4563842489e+04","1.4563842489e+04"
"2020-03-16 22:25:00","3.2514915914e+09","3.2514915914e+09","1.4997842844e+04","1.4997842844e+04"
"2020-03-16 22:30:00","4.6887784166e+09","4.6887784166e+09","1.4660067170e+04","1.4660067170e+04"
"2020-03-16 22:35:00","5.7611723469e+09","5.7611723469e+09","1.4787929513e+04","1.4787929513e+04"
"2020-03-16 22:40:00","3.6548437037e+09","3.6548437037e+09","1.4973012503e+04","1.4973012503e+04"
"2020-03-16 22:45:00","5.6176314088e+09","5.6176314088e+09","1.4798812058e+04","1.4798812058e+04"
"2020-03-16 22:50:00","3.5150384400e+09","3.5150384400e+09","1.4571716000e+04","1.4571716000e+04"
"2020-03-16 22:55:00","4.9270931433e+09","4.9270931433e+09","1.5752608800e+04","1.5752608800e+04"
"2020-03-16 23:00:00","3.1581884932e+09","3.1581884932e+09","1.4971065266e+04","1.4971065266e+04"
"2020-03-16 23:05:00","5.2541141781e+09","5.2541141781e+09","1.4937975595e+04","1.4937975595e+04"
"2020-03-16 23:10:00","3.3694308605e+09","3.3694308605e+09","1.4648593591e+04","1.4648593591e+04"
"2020-03-16 23:15:00","5.8309817526e+09","5.8309817526e+09","1.4896476748e+04","1.4896476748e+04"
"2020-03-16 23:20:00","3.7823732686e+09","3.7823732686e+09","1.4573432711e+04","1.4573432711e+04"
"2020-03-16 23:25:00","4.1264570677e+09","4.1264570677e+09","1.4881796218e+04","1.4881796218e+04"
"2020-03-16 23:30:00","5.5007474299e+09","5.5007474299e+09","1.5035587604e+04","1.5035587604e+04"
"2020-03-16 23:35:00","3.5750155575e+09","3.5750155575e+09","1.4433827200e+04","1.4433827200e+04"
"2020-03-16 23:40:00","4.0831242541e+09","4.0831242541e+09","1.5039174992e+04","1.5039174992e+04"
"2020-03-16 23:45:00","5.5689620556e+09","5.5689620556e+09","1.4948754963e+04","1.4948754963e+04"
"2020-03-16 23:50:00","5.1317147694e+09","5.1317147694e+09","1.4829595378e+04","1.4829595378e+04"
"2020-03-16 23:55:00","5.3076245806e+09","5.3076245806e+09","1.4712884270e+04","1.4712884270e+04"
"2020-03-17 00:00:00","4.9188103047e+09","4.9188103047e+09","1.4720821665e+04","1.4720821665e+04"
"2020-03-17 00:05:00","5.1594259516e+09","5.1594259516e+09","1.5130663309e+04","1.5130663309e+04"
"2020-03-17 00:10:00","7.4073323527e+09","7.4073323527e+09","1.4868779389e+04","1.4868779389e+04"
"2020-03-17 00:15:00","6.8640605814e+09","6.8640605814e+09","1.4773451633e+04","1.4773451633e+04"
"2020-03-17 00:20:00","5.3184556193e+09","5.3184556193e+09","1.4786295501e+04","1.4786295501e+04"
"2020-03-17 00:25:00","5.8669974699e+09","5.8669974699e+09","1.4718594837e+04","1.4718594837e+04"
"2020-03-17 00:30:00","8.3626778680e+09","8.3626778680e+09","1.4578586880e+04","1.4578586880e+04"
"2020-03-17 00:35:00","7.5671041384e+09","7.5671041384e+09","1.4987777626e+04","1.4987777626e+04"
"2020-03-17 00:40:00","6.2486234029e+09","6.2486234029e+09","1.4870300267e+04","1.4870300267e+04"
"2020-03-17 00:45:00","8.0500282368e+09","8.0500282368e+09","1.4872089244e+04","1.4872089244e+04"
"2020-03-17 00:50:00","5.4811465590e+09","5.4811465590e+09","1.5521462505e+04","1.5521462505e+04"
"2020-03-17 00:55:00","4.9868357665e+09","4.9868357665e+09","1.4726230514e+04","1.4726230514e+04"
"2020-03-17 01:00:00","3.4022960256e+09","3.4022960256e+09","1.4889384137e+04","1.4889384137e+04"
"2020-03-17 01:05:00","6.3685863380e+09","6.3685863380e+09","1.4752791551e+04","1.4752791551e+04"
"2020-03-17 01:10:00","4.8411081726e+09","4.8411081726e+09","1.5024457266e+04","1.5024457266e+04"
"2020-03-17 01:15:00","4.9758342502e+09","4.9758342502e+09","1.4864505316e+04","1.4864505316e+04"
"2020-03-17 01:20:00","3.2791709105e+09","3.2791709105e+09","1.5019946122e+04","1.5019946122e+04"
"2020-03-17 01:25:00","2.6625893077e+09","2.6625893077e+09","1.4593005418e+04","1.4593005418e+04"
