"Title:","mx1.ams.nl - Traffic - ae7 - LAG INFRASTRUCTURE BACKBONE LON SRF0000001 | ams-fra | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-16 22:05:00"
"End Date:","2020-03-18 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","48423"
"Host ID:","175"
"Nth Percentile:","65773565000","|95:bits:0:current:2|"
"Nth Percentile:","78715328822.4","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-16 22:05:00","3.3892492248e+10","3.3892492248e+10","5.9780480985e+10","5.9780480985e+10"
"2020-03-16 22:10:00","2.9947507103e+10","2.9947507103e+10","6.0911058514e+10","6.0911058514e+10"
"2020-03-16 22:15:00","2.6812788553e+10","2.6812788553e+10","5.7172099998e+10","5.7172099998e+10"
"2020-03-16 22:20:00","2.5868697504e+10","2.5868697504e+10","6.7237329022e+10","6.7237329022e+10"
"2020-03-16 22:25:00","2.4279594981e+10","2.4279594981e+10","5.9083375027e+10","5.9083375027e+10"
"2020-03-16 22:30:00","2.8380552081e+10","2.8380552081e+10","5.7598099613e+10","5.7598099613e+10"
"2020-03-16 22:35:00","3.2519359572e+10","3.2519359572e+10","5.8161260792e+10","5.8161260792e+10"
"2020-03-16 22:40:00","3.5462450042e+10","3.5462450042e+10","4.5534735863e+10","4.5534735863e+10"
"2020-03-16 22:45:00","3.3506549877e+10","3.3506549877e+10","5.7993943142e+10","5.7993943142e+10"
"2020-03-16 22:50:00","2.5531650301e+10","2.5531650301e+10","4.0163852155e+10","4.0163852155e+10"
"2020-03-16 22:55:00","2.4204484559e+10","2.4204484559e+10","4.6107785834e+10","4.6107785834e+10"
"2020-03-16 23:00:00","4.2188589995e+10","4.2188589995e+10","5.1913245364e+10","5.1913245364e+10"
"2020-03-16 23:05:00","4.7681418749e+10","4.7681418749e+10","4.1721274129e+10","4.1721274129e+10"
"2020-03-16 23:10:00","4.9178171186e+10","4.9178171186e+10","3.9281763066e+10","3.9281763066e+10"
"2020-03-16 23:15:00","7.0138535460e+10","7.0138535460e+10","4.8516342018e+10","4.8516342018e+10"
"2020-03-16 23:20:00","6.0550031879e+10","6.0550031879e+10","4.9671869409e+10","4.9671869409e+10"
"2020-03-16 23:25:00","5.4240497402e+10","5.4240497402e+10","5.1692022196e+10","5.1692022196e+10"
"2020-03-16 23:30:00","4.8420285249e+10","4.8420285249e+10","5.7611399012e+10","5.7611399012e+10"
"2020-03-16 23:35:00","4.2175948825e+10","4.2175948825e+10","4.5549987191e+10","4.5549987191e+10"
"2020-03-16 23:40:00","4.7904530946e+10","4.7904530946e+10","4.3367007828e+10","4.3367007828e+10"
"2020-03-16 23:45:00","5.0203567471e+10","5.0203567471e+10","4.9042511801e+10","4.9042511801e+10"
"2020-03-16 23:50:00","3.9401440629e+10","3.9401440629e+10","4.7673558408e+10","4.7673558408e+10"
"2020-03-16 23:55:00","4.3689353876e+10","4.3689353876e+10","4.1100002624e+10","4.1100002624e+10"
"2020-03-17 00:00:00","3.7792054383e+10","3.7792054383e+10","3.8383503337e+10","3.8383503337e+10"
"2020-03-17 00:05:00","3.9257961210e+10","3.9257961210e+10","3.8404545015e+10","3.8404545015e+10"
"2020-03-17 00:10:00","4.0390202001e+10","4.0390202001e+10","4.5516211218e+10","4.5516211218e+10"
"2020-03-17 00:15:00","4.1072067741e+10","4.1072067741e+10","4.1015456993e+10","4.1015456993e+10"
"2020-03-17 00:20:00","3.9308923492e+10","3.9308923492e+10","6.1889749407e+10","6.1889749407e+10"
"2020-03-17 00:25:00","3.6340257959e+10","3.6340257959e+10","5.3601443224e+10","5.3601443224e+10"
"2020-03-17 00:30:00","2.5006012776e+10","2.5006012776e+10","4.2278491121e+10","4.2278491121e+10"
"2020-03-17 00:35:00","2.5982803605e+10","2.5982803605e+10","4.8341327522e+10","4.8341327522e+10"
"2020-03-17 00:40:00","2.7921503433e+10","2.7921503433e+10","4.3611848950e+10","4.3611848950e+10"
"2020-03-17 00:45:00","2.7428960514e+10","2.7428960514e+10","3.6832273455e+10","3.6832273455e+10"
"2020-03-17 00:50:00","3.6424273043e+10","3.6424273043e+10","3.8819530395e+10","3.8819530395e+10"
"2020-03-17 00:55:00","3.3248691919e+10","3.3248691919e+10","4.2239209624e+10","4.2239209624e+10"
"2020-03-17 01:00:00","3.4729140228e+10","3.4729140228e+10","4.3779376368e+10","4.3779376368e+10"
"2020-03-17 01:05:00","3.1946146141e+10","3.1946146141e+10","4.3504763249e+10","4.3504763249e+10"
"2020-03-17 01:10:00","6.2184609939e+10","6.2184609939e+10","4.0934513474e+10","4.0934513474e+10"
"2020-03-17 01:15:00","3.6761346753e+10","3.6761346753e+10","4.0195278112e+10","4.0195278112e+10"
"2020-03-17 01:20:00","3.1026480435e+10","3.1026480435e+10","4.2082010414e+10","4.2082010414e+10"
"2020-03-17 01:25:00","2.0284250670e+10","2.0284250670e+10","3.5430192078e+10","3.5430192078e+10"
"2020-03-17 01:30:00","3.1041470604e+10","3.1041470604e+10","4.4173238505e+10","4.4173238505e+10"
"2020-03-17 01:35:00","5.3954551700e+10","5.3954551700e+10","5.4080870861e+10","5.4080870861e+10"
"2020-03-17 01:40:00","4.7707477858e+10","4.7707477858e+10","3.3411599373e+10","3.3411599373e+10"
"2020-03-17 01:45:00","3.9071001157e+10","3.9071001157e+10","3.2853530753e+10","3.2853530753e+10"
"2020-03-17 01:50:00","3.0844300561e+10","3.0844300561e+10","3.6283831626e+10","3.6283831626e+10"
"2020-03-17 01:55:00","2.8804654149e+10","2.8804654149e+10","3.3964372179e+10","3.3964372179e+10"
"2020-03-17 02:00:00","2.9089059936e+10","2.9089059936e+10","3.7948237775e+10","3.7948237775e+10"
"2020-03-17 02:05:00","3.6206241281e+10","3.6206241281e+10","5.8129733868e+10","5.8129733868e+10"
"2020-03-17 02:10:00","3.3184524439e+10","3.3184524439e+10","6.2629135101e+10","6.2629135101e+10"
"2020-03-17 02:15:00","3.0852264654e+10","3.0852264654e+10","5.4031943282e+10","5.4031943282e+10"
"2020-03-17 02:20:00","3.1541325631e+10","3.1541325631e+10","4.0718567414e+10","4.0718567414e+10"
"2020-03-17 02:25:00","2.8104886640e+10","2.8104886640e+10","3.6678277406e+10","3.6678277406e+10"
"2020-03-17 02:30:00","2.7220666699e+10","2.7220666699e+10","4.8159721675e+10","4.8159721675e+10"
"2020-03-17 02:35:00","3.4229333251e+10","3.4229333251e+10","4.9237576947e+10","4.9237576947e+10"
"2020-03-17 02:40:00","6.1665782635e+10","6.1665782635e+10","5.3185264744e+10","5.3185264744e+10"
"2020-03-17 02:45:00","7.3211090576e+10","7.3211090576e+10","4.9168905336e+10","4.9168905336e+10"
"2020-03-17 02:50:00","6.4312190329e+10","6.4312190329e+10","5.1003187354e+10","5.1003187354e+10"
"2020-03-17 02:55:00","5.5273702009e+10","5.5273702009e+10","4.5365988284e+10","4.5365988284e+10"
"2020-03-17 03:00:00","4.0611507742e+10","4.0611507742e+10","4.9410162075e+10","4.9410162075e+10"
"2020-03-17 03:05:00","3.7721350862e+10","3.7721350862e+10","5.2194337352e+10","5.2194337352e+10"
"2020-03-17 03:10:00","3.4653216386e+10","3.4653216386e+10","5.4302045773e+10","5.4302045773e+10"
"2020-03-17 03:15:00","3.6591843291e+10","3.6591843291e+10","6.3010481134e+10","6.3010481134e+10"
"2020-03-17 03:20:00","3.3226065672e+10","3.3226065672e+10","5.2212035587e+10","5.2212035587e+10"
