"Title:","mx1.buc.ro - Traffic - ae8 - LAG INFRASTRUCTURE BACKBONE SOF SRF0000001 | buc-sof"
"Vertical Label:","bits per second"
"Start Date:","2020-03-16 22:05:00"
"End Date:","2020-03-18 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","21019"
"Host ID:","203"
"Nth Percentile:","15797140534.4","|95:bits:0:current:2|"
"Nth Percentile:","6114750160","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-16 22:05:00","1.1545564788e+10","1.1545564788e+10","2.3845269447e+09","2.3845269447e+09"
"2020-03-16 22:10:00","1.1364379202e+10","1.1364379202e+10","1.7603561144e+09","1.7603561144e+09"
"2020-03-16 22:15:00","1.0828393076e+10","1.0828393076e+10","1.3310147427e+09","1.3310147427e+09"
"2020-03-16 22:20:00","1.1675805532e+10","1.1675805532e+10","2.0477593375e+09","2.0477593375e+09"
"2020-03-16 22:25:00","1.1264205276e+10","1.1264205276e+10","1.9979583782e+09","1.9979583782e+09"
"2020-03-16 22:30:00","1.1613460701e+10","1.1613460701e+10","1.8252237856e+09","1.8252237856e+09"
"2020-03-16 22:35:00","1.1358032477e+10","1.1358032477e+10","2.0249894977e+09","2.0249894977e+09"
"2020-03-16 22:40:00","1.0943522350e+10","1.0943522350e+10","3.2571000264e+09","3.2571000264e+09"
"2020-03-16 22:45:00","1.1669894786e+10","1.1669894786e+10","2.4847362370e+09","2.4847362370e+09"
"2020-03-16 22:50:00","1.2066265689e+10","1.2066265689e+10","1.9660478451e+09","1.9660478451e+09"
"2020-03-16 22:55:00","1.1890081443e+10","1.1890081443e+10","1.7908684862e+09","1.7908684862e+09"
"2020-03-16 23:00:00","1.2210248773e+10","1.2210248773e+10","1.3968604089e+09","1.3968604089e+09"
"2020-03-16 23:05:00","1.4446688544e+10","1.4446688544e+10","2.5255547902e+09","2.5255547902e+09"
"2020-03-16 23:10:00","1.2685138346e+10","1.2685138346e+10","9.7458496075e+08","9.7458496075e+08"
"2020-03-16 23:15:00","1.6888630659e+10","1.6888630659e+10","1.3746455492e+09","1.3746455492e+09"
"2020-03-16 23:20:00","1.2781517793e+10","1.2781517793e+10","1.8837608062e+09","1.8837608062e+09"
"2020-03-16 23:25:00","1.3197984357e+10","1.3197984357e+10","2.6885929059e+09","2.6885929059e+09"
"2020-03-16 23:30:00","1.2519309906e+10","1.2519309906e+10","2.6126311064e+09","2.6126311064e+09"
"2020-03-16 23:35:00","1.1564733016e+10","1.1564733016e+10","1.6398577022e+09","1.6398577022e+09"
"2020-03-16 23:40:00","1.3816454887e+10","1.3816454887e+10","1.4013507627e+09","1.4013507627e+09"
"2020-03-16 23:45:00","1.7310597011e+10","1.7310597011e+10","1.5637090496e+09","1.5637090496e+09"
"2020-03-16 23:50:00","1.8033809404e+10","1.8033809404e+10","1.3159645714e+09","1.3159645714e+09"
"2020-03-16 23:55:00","1.6793170321e+10","1.6793170321e+10","1.4908951739e+09","1.4908951739e+09"
"2020-03-17 00:00:00","1.7380651069e+10","1.7380651069e+10","1.1125478869e+09","1.1125478869e+09"
"2020-03-17 00:05:00","1.2570636933e+10","1.2570636933e+10","8.7630513781e+08","8.7630513781e+08"
"2020-03-17 00:10:00","1.9893519780e+10","1.9893519780e+10","8.3689257382e+08","8.3689257382e+08"
"2020-03-17 00:15:00","1.3342129781e+10","1.3342129781e+10","1.1524931978e+09","1.1524931978e+09"
"2020-03-17 00:20:00","1.7165013871e+10","1.7165013871e+10","1.7121179588e+09","1.7121179588e+09"
"2020-03-17 00:25:00","1.7413022560e+10","1.7413022560e+10","1.3377723629e+09","1.3377723629e+09"
"2020-03-17 00:30:00","1.3514437499e+10","1.3514437499e+10","1.0760306210e+09","1.0760306210e+09"
"2020-03-17 00:35:00","2.0920217323e+10","2.0920217323e+10","1.6582580732e+09","1.6582580732e+09"
"2020-03-17 00:40:00","2.0693745314e+10","2.0693745314e+10","1.0332012049e+09","1.0332012049e+09"
"2020-03-17 00:45:00","1.2465203090e+10","1.2465203090e+10","1.0253912653e+09","1.0253912653e+09"
"2020-03-17 00:50:00","1.0107842226e+10","1.0107842226e+10","7.1559228513e+08","7.1559228513e+08"
"2020-03-17 00:55:00","1.1193617783e+10","1.1193617783e+10","8.3508333612e+08","8.3508333612e+08"
"2020-03-17 01:00:00","9.9172301527e+09","9.9172301527e+09","1.2436452227e+09","1.2436452227e+09"
"2020-03-17 01:05:00","1.2409992766e+10","1.2409992766e+10","1.2732132294e+09","1.2732132294e+09"
"2020-03-17 01:10:00","1.1543662778e+10","1.1543662778e+10","1.2224286242e+09","1.2224286242e+09"
"2020-03-17 01:15:00","9.4569823596e+09","9.4569823596e+09","8.6808343025e+08","8.6808343025e+08"
"2020-03-17 01:20:00","1.2715481186e+10","1.2715481186e+10","1.6696000189e+09","1.6696000189e+09"
"2020-03-17 01:25:00","1.3736610691e+10","1.3736610691e+10","1.1363098690e+09","1.1363098690e+09"
"2020-03-17 01:30:00","4.6580883906e+09","4.6580883906e+09","3.6237912851e+09","3.6237912851e+09"
"2020-03-17 01:35:00","6.0892802898e+09","6.0892802898e+09","2.8741185188e+09","2.8741185188e+09"
"2020-03-17 01:40:00","1.0248320178e+10","1.0248320178e+10","1.4435618769e+09","1.4435618769e+09"
"2020-03-17 01:45:00","5.2838062333e+09","5.2838062333e+09","1.9624822409e+09","1.9624822409e+09"
"2020-03-17 01:50:00","9.2840333604e+09","9.2840333604e+09","1.1038039045e+09","1.1038039045e+09"
"2020-03-17 01:55:00","1.2907419889e+10","1.2907419889e+10","1.3237799292e+09","1.3237799292e+09"
"2020-03-17 02:00:00","4.0647572560e+09","4.0647572560e+09","1.0775592451e+09","1.0775592451e+09"
"2020-03-17 02:05:00","1.2730672479e+10","1.2730672479e+10","8.6031779814e+08","8.6031779814e+08"
"2020-03-17 02:10:00","5.5688373324e+09","5.5688373324e+09","8.2140213039e+08","8.2140213039e+08"
"2020-03-17 02:15:00","9.2629312488e+09","9.2629312488e+09","9.9797393740e+08","9.9797393740e+08"
"2020-03-17 02:20:00","1.2309540318e+10","1.2309540318e+10","9.8361999762e+08","9.8361999762e+08"
"2020-03-17 02:25:00","4.7722198295e+09","4.7722198295e+09","1.7916318177e+09","1.7916318177e+09"
"2020-03-17 02:30:00","6.0916479340e+09","6.0916479340e+09","2.3068898203e+09","2.3068898203e+09"
"2020-03-17 02:35:00","7.5028742366e+09","7.5028742366e+09","2.6546499938e+09","2.6546499938e+09"
"2020-03-17 02:40:00","5.8330988609e+09","5.8330988609e+09","1.5108149839e+09","1.5108149839e+09"
"2020-03-17 02:45:00","1.0802162668e+10","1.0802162668e+10","1.3872862864e+09","1.3872862864e+09"
"2020-03-17 02:50:00","9.7311907870e+09","9.7311907870e+09","1.2842299156e+09","1.2842299156e+09"
"2020-03-17 02:55:00","5.7081430404e+09","5.7081430404e+09","1.2103187411e+09","1.2103187411e+09"
"2020-03-17 03:00:00","1.3620536040e+10","1.3620536040e+10","1.2032623558e+09","1.2032623558e+09"
"2020-03-17 03:05:00","9.3036991718e+09","9.3036991718e+09","1.4159506737e+09","1.4159506737e+09"
"2020-03-17 03:10:00","6.4416017412e+09","6.4416017412e+09","2.0275735844e+09","2.0275735844e+09"
"2020-03-17 03:15:00","5.7392306573e+09","5.7392306573e+09","2.2876117871e+09","2.2876117871e+09"
"2020-03-17 03:20:00","2.8764174936e+09","2.8764174936e+09","1.9827904101e+09","1.9827904101e+09"
"2020-03-17 03:25:00","2.5004177187e+09","2.5004177187e+09","2.5517336172e+09","2.5517336172e+09"
"2020-03-17 03:30:00","1.3938237250e+09","1.3938237250e+09","2.1073408836e+09","2.1073408836e+09"
"2020-03-17 03:35:00","9.9091295527e+08","9.9091295527e+08","2.7735453103e+09","2.7735453103e+09"
"2020-03-17 03:40:00","1.3209893536e+09","1.3209893536e+09","3.0565678941e+09","3.0565678941e+09"
"2020-03-17 03:45:00","8.8473128870e+08","8.8473128870e+08","2.9714530559e+09","2.9714530559e+09"
"2020-03-17 03:50:00","7.2134591265e+08","7.2134591265e+08","2.7986693254e+09","2.7986693254e+09"
"2020-03-17 03:55:00","1.2235514609e+09","1.2235514609e+09","3.0307927840e+09","3.0307927840e+09"
"2020-03-17 04:00:00","1.2410986556e+09","1.2410986556e+09","3.9999179181e+09","3.9999179181e+09"
"2020-03-17 04:05:00","1.6359110308e+09","1.6359110308e+09","3.4350977443e+09","3.4350977443e+09"
"2020-03-17 04:10:00","7.5935696180e+08","7.5935696180e+08","2.5826007825e+09","2.5826007825e+09"
"2020-03-17 04:15:00","7.8826569959e+08","7.8826569959e+08","3.4689743299e+09","3.4689743299e+09"
"2020-03-17 04:20:00","7.9605554139e+08","7.9605554139e+08","3.7778743113e+09","3.7778743113e+09"
"2020-03-17 04:25:00","1.0243395267e+09","1.0243395267e+09","3.7548327800e+09","3.7548327800e+09"
"2020-03-17 04:30:00","1.2599504315e+09","1.2599504315e+09","2.2751457376e+09","2.2751457376e+09"
"2020-03-17 04:35:00","1.1932098991e+09","1.1932098991e+09","2.5534503892e+09","2.5534503892e+09"
"2020-03-17 04:40:00","8.7978269951e+08","8.7978269951e+08","2.4278912706e+09","2.4278912706e+09"
"2020-03-17 04:45:00","7.2076902571e+08","7.2076902571e+08","2.0607804613e+09","2.0607804613e+09"
"2020-03-17 04:50:00","1.0192530986e+09","1.0192530986e+09","2.2818023968e+09","2.2818023968e+09"
"2020-03-17 04:55:00","1.3393151404e+09","1.3393151404e+09","4.2031369422e+09","4.2031369422e+09"
"2020-03-17 05:00:00","1.4377136922e+09","1.4377136922e+09","2.5601763328e+09","2.5601763328e+09"
"2020-03-17 05:05:00","1.8146508732e+09","1.8146508732e+09","4.8192514061e+09","4.8192514061e+09"
"2020-03-17 05:10:00","1.1815289843e+09","1.1815289843e+09","5.1197945267e+09","5.1197945267e+09"
"2020-03-17 05:15:00","1.2800883644e+09","1.2800883644e+09","2.5452226103e+09","2.5452226103e+09"
"2020-03-17 05:20:00","1.3599330353e+09","1.3599330353e+09","1.9184774788e+09","1.9184774788e+09"
"2020-03-17 05:25:00","1.6272133650e+09","1.6272133650e+09","1.6134310354e+09","1.6134310354e+09"
"2020-03-17 05:30:00","1.7291357987e+09","1.7291357987e+09","1.9085276189e+09","1.9085276189e+09"
"2020-03-17 05:35:00","1.6745875265e+09","1.6745875265e+09","1.5430254817e+09","1.5430254817e+09"
"2020-03-17 05:40:00","2.0974891047e+09","2.0974891047e+09","2.0404871230e+09","2.0404871230e+09"
"2020-03-17 05:45:00","2.2370790418e+09","2.2370790418e+09","1.7111881095e+09","1.7111881095e+09"
"2020-03-17 05:50:00","2.2639694474e+09","2.2639694474e+09","1.9458225764e+09","1.9458225764e+09"
"2020-03-17 05:55:00","2.2725493184e+09","2.2725493184e+09","1.6331275352e+09","1.6331275352e+09"
"2020-03-17 06:00:00","3.0220202763e+09","3.0220202763e+09","1.9853389065e+09","1.9853389065e+09"
"2020-03-17 06:05:00","3.6502530255e+09","3.6502530255e+09","1.7861977780e+09","1.7861977780e+09"
"2020-03-17 06:10:00","3.8106593717e+09","3.8106593717e+09","1.7613260308e+09","1.7613260308e+09"
"2020-03-17 06:15:00","4.0190430411e+09","4.0190430411e+09","2.4302467505e+09","2.4302467505e+09"
"2020-03-17 06:20:00","5.2194164826e+09","5.2194164826e+09","1.9382110889e+09","1.9382110889e+09"
"2020-03-17 06:25:00","5.2628374825e+09","5.2628374825e+09","2.1525750418e+09","2.1525750418e+09"
"2020-03-17 06:30:00","4.3576003397e+09","4.3576003397e+09","1.9879204500e+09","1.9879204500e+09"
"2020-03-17 06:35:00","5.0930732979e+09","5.0930732979e+09","1.6996155372e+09","1.6996155372e+09"
"2020-03-17 06:40:00","5.3348249233e+09","5.3348249233e+09","2.0788038630e+09","2.0788038630e+09"
"2020-03-17 06:45:00","4.4639539418e+09","4.4639539418e+09","3.4688049814e+09","3.4688049814e+09"
"2020-03-17 06:50:00","4.2625236664e+09","4.2625236664e+09","3.1339650861e+09","3.1339650861e+09"
"2020-03-17 06:55:00","5.5398037236e+09","5.5398037236e+09","4.9716198547e+09","4.9716198547e+09"
"2020-03-17 07:00:00","5.6494196569e+09","5.6494196569e+09","3.2539663804e+09","3.2539663804e+09"
