"Title:","mx1.fra.de - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE POZ SRF0000001 | fra-poz"
"Vertical Label:","bits per second"
"Start Date:","2020-03-16 22:05:00"
"End Date:","2020-03-18 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47803"
"Host ID:","167"
"Nth Percentile:","3626407716","|95:bits:0:current:2|"
"Nth Percentile:","7139481562.56","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-16 22:05:00","3.2104934353e+09","3.2104934353e+09","6.2500335280e+09","6.2500335280e+09"
"2020-03-16 22:10:00","3.5872450727e+09","3.5872450727e+09","4.9052989423e+09","4.9052989423e+09"
"2020-03-16 22:15:00","3.2529055113e+09","3.2529055113e+09","4.6117528792e+09","4.6117528792e+09"
"2020-03-16 22:20:00","3.1074027815e+09","3.1074027815e+09","5.3585181831e+09","5.3585181831e+09"
"2020-03-16 22:25:00","3.2940217303e+09","3.2940217303e+09","4.7703625451e+09","4.7703625451e+09"
"2020-03-16 22:30:00","3.1654473440e+09","3.1654473440e+09","4.8573095859e+09","4.8573095859e+09"
"2020-03-16 22:35:00","3.7060812291e+09","3.7060812291e+09","5.1146775044e+09","5.1146775044e+09"
"2020-03-16 22:40:00","3.1148319382e+09","3.1148319382e+09","4.5782210516e+09","4.5782210516e+09"
"2020-03-16 22:45:00","3.4412541634e+09","3.4412541634e+09","4.3621996131e+09","4.3621996131e+09"
"2020-03-16 22:50:00","3.8415436834e+09","3.8415436834e+09","4.7285810817e+09","4.7285810817e+09"
"2020-03-16 22:55:00","3.0817672471e+09","3.0817672471e+09","4.8583968881e+09","4.8583968881e+09"
"2020-03-16 23:00:00","3.2229742826e+09","3.2229742826e+09","5.2931173580e+09","5.2931173580e+09"
"2020-03-16 23:05:00","3.6608344710e+09","3.6608344710e+09","4.5885438575e+09","4.5885438575e+09"
"2020-03-16 23:10:00","3.1684576405e+09","3.1684576405e+09","4.1551329931e+09","4.1551329931e+09"
"2020-03-16 23:15:00","3.0332409131e+09","3.0332409131e+09","4.0998072050e+09","4.0998072050e+09"
"2020-03-16 23:20:00","3.4884098553e+09","3.4884098553e+09","3.5835625510e+09","3.5835625510e+09"
"2020-03-16 23:25:00","3.4081292393e+09","3.4081292393e+09","4.8619010706e+09","4.8619010706e+09"
"2020-03-16 23:30:00","3.1538063159e+09","3.1538063159e+09","4.8180985843e+09","4.8180985843e+09"
"2020-03-16 23:35:00","3.0700638903e+09","3.0700638903e+09","4.2767413094e+09","4.2767413094e+09"
"2020-03-16 23:40:00","3.2890374466e+09","3.2890374466e+09","4.4168144063e+09","4.4168144063e+09"
"2020-03-16 23:45:00","3.2000596175e+09","3.2000596175e+09","3.9412305929e+09","3.9412305929e+09"
"2020-03-16 23:50:00","2.9388171676e+09","2.9388171676e+09","3.4840742925e+09","3.4840742925e+09"
"2020-03-16 23:55:00","2.0641048088e+09","2.0641048088e+09","3.4016419386e+09","3.4016419386e+09"
"2020-03-17 00:00:00","3.6264077160e+09","3.6264077160e+09","3.1266409556e+09","3.1266409556e+09"
"2020-03-17 00:05:00","5.2912285105e+09","5.2912285105e+09","3.3541150045e+09","3.3541150045e+09"
"2020-03-17 00:10:00","3.9291421912e+09","3.9291421912e+09","3.2184388302e+09","3.2184388302e+09"
"2020-03-17 00:15:00","3.1226161162e+09","3.1226161162e+09","3.1878104746e+09","3.1878104746e+09"
"2020-03-17 00:20:00","3.7394022405e+09","3.7394022405e+09","3.1064007415e+09","3.1064007415e+09"
"2020-03-17 00:25:00","3.6704326921e+09","3.6704326921e+09","3.2673055053e+09","3.2673055053e+09"
"2020-03-17 00:30:00","2.6078627831e+09","2.6078627831e+09","2.9338442610e+09","2.9338442610e+09"
"2020-03-17 00:35:00","1.9555137601e+09","1.9555137601e+09","2.5899543337e+09","2.5899543337e+09"
"2020-03-17 00:40:00","3.5925352968e+09","3.5925352968e+09","3.2199800055e+09","3.2199800055e+09"
"2020-03-17 00:45:00","2.8052659534e+09","2.8052659534e+09","3.3854507968e+09","3.3854507968e+09"
"2020-03-17 00:50:00","2.7085605874e+09","2.7085605874e+09","2.5699358662e+09","2.5699358662e+09"
"2020-03-17 00:55:00","1.6594997242e+09","1.6594997242e+09","3.2673824733e+09","3.2673824733e+09"
"2020-03-17 01:00:00","1.5813142572e+09","1.5813142572e+09","2.8457102487e+09","2.8457102487e+09"
"2020-03-17 01:05:00","1.7196950977e+09","1.7196950977e+09","2.7108989133e+09","2.7108989133e+09"
"2020-03-17 01:10:00","2.0112716101e+09","2.0112716101e+09","2.4963904673e+09","2.4963904673e+09"
"2020-03-17 01:15:00","1.6858495978e+09","1.6858495978e+09","3.1747912005e+09","3.1747912005e+09"
"2020-03-17 01:20:00","2.1787072832e+09","2.1787072832e+09","2.3390918299e+09","2.3390918299e+09"
"2020-03-17 01:25:00","1.5096408382e+09","1.5096408382e+09","2.4137528655e+09","2.4137528655e+09"
"2020-03-17 01:30:00","3.1718051788e+09","3.1718051788e+09","2.2842688450e+09","2.2842688450e+09"
"2020-03-17 01:35:00","2.4257192718e+09","2.4257192718e+09","2.0755186447e+09","2.0755186447e+09"
"2020-03-17 01:40:00","1.4964782926e+09","1.4964782926e+09","2.1098582697e+09","2.1098582697e+09"
"2020-03-17 01:45:00","1.4939944532e+09","1.4939944532e+09","3.1951332405e+09","3.1951332405e+09"
"2020-03-17 01:50:00","1.6481382999e+09","1.6481382999e+09","2.7268462105e+09","2.7268462105e+09"
"2020-03-17 01:55:00","1.2529571012e+09","1.2529571012e+09","1.9999564979e+09","1.9999564979e+09"
"2020-03-17 02:00:00","2.0749664635e+09","2.0749664635e+09","2.2781129904e+09","2.2781129904e+09"
"2020-03-17 02:05:00","1.7368674464e+09","1.7368674464e+09","2.0979196633e+09","2.0979196633e+09"
"2020-03-17 02:10:00","1.9936310996e+09","1.9936310996e+09","1.8626599747e+09","1.8626599747e+09"
"2020-03-17 02:15:00","1.5112978573e+09","1.5112978573e+09","2.8692480832e+09","2.8692480832e+09"
"2020-03-17 02:20:00","1.6508549762e+09","1.6508549762e+09","1.6294936921e+09","1.6294936921e+09"
"2020-03-17 02:25:00","2.3090681561e+09","2.3090681561e+09","1.7542709969e+09","1.7542709969e+09"
