"Title:","mx1.ham.de - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE FRA SRF9930571 | fra-ham"
"Vertical Label:","bits per second"
"Start Date:","2020-03-16 22:05:00"
"End Date:","2020-03-18 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","20493"
"Host ID:","231"
"Nth Percentile:","26782028368.8","|95:bits:0:current:2|"
"Nth Percentile:","7985982611.2","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-16 22:05:00","2.5830841219e+10","2.5830841219e+10","4.7919323354e+09","4.7919323354e+09"
"2020-03-16 22:10:00","2.6693748417e+10","2.6693748417e+10","3.8869234039e+09","3.8869234039e+09"
"2020-03-16 22:15:00","2.7141035356e+10","2.7141035356e+10","6.1335230117e+09","6.1335230117e+09"
"2020-03-16 22:20:00","3.2645482413e+10","3.2645482413e+10","6.1920188615e+09","6.1920188615e+09"
"2020-03-16 22:25:00","2.5117023927e+10","2.5117023927e+10","4.7951384659e+09","4.7951384659e+09"
"2020-03-16 22:30:00","2.4101899160e+10","2.4101899160e+10","5.9986570796e+09","5.9986570796e+09"
"2020-03-16 22:35:00","2.6246153043e+10","2.6246153043e+10","6.1347316971e+09","6.1347316971e+09"
"2020-03-16 22:40:00","2.3623977188e+10","2.3623977188e+10","7.1784106612e+09","7.1784106612e+09"
"2020-03-16 22:45:00","3.8312341434e+10","3.8312341434e+10","4.9271451701e+09","4.9271451701e+09"
"2020-03-16 22:50:00","2.7279035114e+10","2.7279035114e+10","7.4457699475e+09","7.4457699475e+09"
"2020-03-16 22:55:00","2.3967798978e+10","2.3967798978e+10","7.5480330360e+09","7.5480330360e+09"
"2020-03-16 23:00:00","2.7812534585e+10","2.7812534585e+10","6.0930306594e+09","6.0930306594e+09"
"2020-03-16 23:05:00","2.3356213829e+10","2.3356213829e+10","5.7048781587e+09","5.7048781587e+09"
"2020-03-16 23:10:00","2.6782028369e+10","2.6782028369e+10","5.5698057732e+09","5.5698057732e+09"
"2020-03-16 23:15:00","2.7014311111e+10","2.7014311111e+10","7.6007177645e+09","7.6007177645e+09"
"2020-03-16 23:20:00","2.9277545636e+10","2.9277545636e+10","6.7122780960e+09","6.7122780960e+09"
"2020-03-16 23:25:00","2.3478844585e+10","2.3478844585e+10","6.1395108422e+09","6.1395108422e+09"
"2020-03-16 23:30:00","2.2270256154e+10","2.2270256154e+10","5.4808378712e+09","5.4808378712e+09"
"2020-03-16 23:35:00","2.3247615305e+10","2.3247615305e+10","3.7617639480e+09","3.7617639480e+09"
"2020-03-16 23:40:00","2.0265667227e+10","2.0265667227e+10","2.9544394368e+09","2.9544394368e+09"
"2020-03-16 23:45:00","1.4364203482e+10","1.4364203482e+10","3.6009801721e+09","3.6009801721e+09"
"2020-03-16 23:50:00","1.4087599110e+10","1.4087599110e+10","4.7887098205e+09","4.7887098205e+09"
"2020-03-16 23:55:00","1.3131394437e+10","1.3131394437e+10","3.1254862214e+09","3.1254862214e+09"
"2020-03-17 00:00:00","1.2686229511e+10","1.2686229511e+10","4.0887160867e+09","4.0887160867e+09"
"2020-03-17 00:05:00","1.1471503468e+10","1.1471503468e+10","3.6291315901e+09","3.6291315901e+09"
"2020-03-17 00:10:00","1.2763901455e+10","1.2763901455e+10","6.6715346928e+09","6.6715346928e+09"
"2020-03-17 00:15:00","1.0598601811e+10","1.0598601811e+10","7.1403319037e+09","7.1403319037e+09"
"2020-03-17 00:20:00","1.9620883784e+10","1.9620883784e+10","6.7643166102e+09","6.7643166102e+09"
"2020-03-17 00:25:00","1.2230097553e+10","1.2230097553e+10","5.4653335718e+09","5.4653335718e+09"
"2020-03-17 00:30:00","8.3022021922e+09","8.3022021922e+09","4.9184791644e+09","4.9184791644e+09"
"2020-03-17 00:35:00","9.4590842427e+09","9.4590842427e+09","4.3976776784e+09","4.3976776784e+09"
"2020-03-17 00:40:00","7.2968607539e+09","7.2968607539e+09","5.4175862619e+09","5.4175862619e+09"
"2020-03-17 00:45:00","7.5439525845e+09","7.5439525845e+09","5.7245684976e+09","5.7245684976e+09"
"2020-03-17 00:50:00","8.4829686230e+09","8.4829686230e+09","5.8060211815e+09","5.8060211815e+09"
"2020-03-17 00:55:00","8.2094965885e+09","8.2094965885e+09","6.1911884191e+09","6.1911884191e+09"
"2020-03-17 01:00:00","7.4353934947e+09","7.4353934947e+09","6.1925819345e+09","6.1925819345e+09"
"2020-03-17 01:05:00","8.5747383891e+09","8.5747383891e+09","5.8254882308e+09","5.8254882308e+09"
"2020-03-17 01:10:00","8.6427465035e+09","8.6427465035e+09","5.3698257829e+09","5.3698257829e+09"
"2020-03-17 01:15:00","8.4177743103e+09","8.4177743103e+09","5.9955650050e+09","5.9955650050e+09"
"2020-03-17 01:20:00","9.7541274470e+09","9.7541274470e+09","5.7600865689e+09","5.7600865689e+09"
"2020-03-17 01:25:00","9.3878409896e+09","9.3878409896e+09","5.5735629032e+09","5.5735629032e+09"
"2020-03-17 01:30:00","1.2594036771e+10","1.2594036771e+10","6.2670849446e+09","6.2670849446e+09"
"2020-03-17 01:35:00","9.4562463199e+09","9.4562463199e+09","7.1047439877e+09","7.1047439877e+09"
"2020-03-17 01:40:00","8.5789465191e+09","8.5789465191e+09","7.9859826112e+09","7.9859826112e+09"
"2020-03-17 01:45:00","7.6790937971e+09","7.6790937971e+09","8.7847371335e+09","8.7847371335e+09"
"2020-03-17 01:50:00","5.8516192023e+09","5.8516192023e+09","1.6274324405e+10","1.6274324405e+10"
"2020-03-17 01:55:00","7.5624781746e+09","7.5624781746e+09","1.1102447488e+10","1.1102447488e+10"
"2020-03-17 02:00:00","6.8701792702e+09","6.8701792702e+09","1.0085434594e+10","1.0085434594e+10"
"2020-03-17 02:05:00","1.1582893331e+10","1.1582893331e+10","7.9384775704e+09","7.9384775704e+09"
"2020-03-17 02:10:00","1.6848090551e+10","1.6848090551e+10","7.1783075473e+09","7.1783075473e+09"
"2020-03-17 02:15:00","2.1712096864e+10","2.1712096864e+10","8.2675943838e+09","8.2675943838e+09"
"2020-03-17 02:20:00","1.6861960310e+10","1.6861960310e+10","9.6689177815e+09","9.6689177815e+09"
"2020-03-17 02:25:00","1.0950989502e+10","1.0950989502e+10","8.5450235191e+09","8.5450235191e+09"
"2020-03-17 02:30:00","1.6041486920e+10","1.6041486920e+10","8.2030945098e+09","8.2030945098e+09"
"2020-03-17 02:35:00","1.1340677491e+10","1.1340677491e+10","6.8222411544e+09","6.8222411544e+09"
