"Title:","mx1.kau.lt - Traffic - ae5.0 - SRV_GLOBAL INFRASTRUCTURE BACKBONE POZ SRF0000001 | kau-poz"
"Vertical Label:","bits per second"
"Start Date:","2020-03-16 22:05:00"
"End Date:","2020-03-18 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","526"
"Host ID:","131"
"Nth Percentile:","1383205296.56","|95:bits:0:current:2|"
"Nth Percentile:","543920589.81","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-16 22:05:00","1.2492971490e+09","1.2492971490e+09","4.2233214326e+08","4.2233214326e+08"
"2020-03-16 22:10:00","1.1606130751e+09","1.1606130751e+09","4.3063231610e+08","4.3063231610e+08"
"2020-03-16 22:15:00","1.1066015187e+09","1.1066015187e+09","3.7759342812e+08","3.7759342812e+08"
"2020-03-16 22:20:00","1.0839244012e+09","1.0839244012e+09","3.8970590587e+08","3.8970590587e+08"
"2020-03-16 22:25:00","1.0447518600e+09","1.0447518600e+09","4.1059818919e+08","4.1059818919e+08"
"2020-03-16 22:30:00","1.0185922346e+09","1.0185922346e+09","4.1732329536e+08","4.1732329536e+08"
"2020-03-16 22:35:00","1.0484990851e+09","1.0484990851e+09","4.7856698483e+08","4.7856698483e+08"
"2020-03-16 22:40:00","8.7682212284e+08","8.7682212284e+08","4.9898142077e+08","4.9898142077e+08"
"2020-03-16 22:45:00","8.2649250373e+08","8.2649250373e+08","4.8360924604e+08","4.8360924604e+08"
"2020-03-16 22:50:00","8.7266145194e+08","8.7266145194e+08","5.5947891049e+08","5.5947891049e+08"
"2020-03-16 22:55:00","7.9415164388e+08","7.9415164388e+08","5.2880624279e+08","5.2880624279e+08"
"2020-03-16 23:00:00","8.5126397152e+08","8.5126397152e+08","4.6674126172e+08","4.6674126172e+08"
"2020-03-16 23:05:00","8.6520981206e+08","8.6520981206e+08","4.4440026432e+08","4.4440026432e+08"
"2020-03-16 23:10:00","8.5388338065e+08","8.5388338065e+08","4.0926391662e+08","4.0926391662e+08"
"2020-03-16 23:15:00","8.3990292075e+08","8.3990292075e+08","3.6696131391e+08","3.6696131391e+08"
"2020-03-16 23:20:00","8.1245672181e+08","8.1245672181e+08","3.8073568471e+08","3.8073568471e+08"
"2020-03-16 23:25:00","8.2597057565e+08","8.2597057565e+08","3.3111200197e+08","3.3111200197e+08"
"2020-03-16 23:30:00","8.1996564184e+08","8.1996564184e+08","3.5922043747e+08","3.5922043747e+08"
"2020-03-16 23:35:00","7.8822640909e+08","7.8822640909e+08","3.0642970147e+08","3.0642970147e+08"
"2020-03-16 23:40:00","6.7132888384e+08","6.7132888384e+08","3.2984020122e+08","3.2984020122e+08"
"2020-03-16 23:45:00","6.3596167744e+08","6.3596167744e+08","3.6602287637e+08","3.6602287637e+08"
"2020-03-16 23:50:00","6.3654409944e+08","6.3654409944e+08","4.4179115833e+08","4.4179115833e+08"
"2020-03-16 23:55:00","7.0044907306e+08","7.0044907306e+08","4.7451203354e+08","4.7451203354e+08"
"2020-03-17 00:00:00","5.9629401452e+08","5.9629401452e+08","4.0456622628e+08","4.0456622628e+08"
"2020-03-17 00:05:00","5.8175420956e+08","5.8175420956e+08","3.9611193139e+08","3.9611193139e+08"
"2020-03-17 00:10:00","5.6474331846e+08","5.6474331846e+08","3.6290787162e+08","3.6290787162e+08"
"2020-03-17 00:15:00","5.3400584344e+08","5.3400584344e+08","2.8933844300e+08","2.8933844300e+08"
"2020-03-17 00:20:00","5.4873672011e+08","5.4873672011e+08","2.7677023451e+08","2.7677023451e+08"
"2020-03-17 00:25:00","4.7106609602e+08","4.7106609602e+08","2.8077471531e+08","2.8077471531e+08"
"2020-03-17 00:30:00","5.0992984989e+08","5.0992984989e+08","2.6205739438e+08","2.6205739438e+08"
"2020-03-17 00:35:00","4.6689652118e+08","4.6689652118e+08","2.6390944217e+08","2.6390944217e+08"
"2020-03-17 00:40:00","4.6079398997e+08","4.6079398997e+08","2.0309241473e+08","2.0309241473e+08"
"2020-03-17 00:45:00","3.9300726800e+08","3.9300726800e+08","2.1398039734e+08","2.1398039734e+08"
"2020-03-17 00:50:00","4.4485012465e+08","4.4485012465e+08","2.3602076930e+08","2.3602076930e+08"
"2020-03-17 00:55:00","4.1104746728e+08","4.1104746728e+08","2.7909016852e+08","2.7909016852e+08"
"2020-03-17 01:00:00","4.3969949865e+08","4.3969949865e+08","3.0672378367e+08","3.0672378367e+08"
"2020-03-17 01:05:00","4.3022037540e+08","4.3022037540e+08","4.0422001695e+08","4.0422001695e+08"
"2020-03-17 01:10:00","3.9755922322e+08","3.9755922322e+08","3.8754472215e+08","3.8754472215e+08"
"2020-03-17 01:15:00","3.4786700168e+08","3.4786700168e+08","2.9979441701e+08","2.9979441701e+08"
"2020-03-17 01:20:00","4.4654859715e+08","4.4654859715e+08","2.9468057996e+08","2.9468057996e+08"
