"Title:","mx1.lis.pt - Traffic - ae5 - LAG INFRASTRUCTURE BACKBONE LON SRF0000001 | lis-lon"
"Vertical Label:","bits per second"
"Start Date:","2020-03-16 22:05:00"
"End Date:","2020-03-18 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","7450"
"Host ID:","161"
"Nth Percentile:","1856765675.84","|95:bits:0:current:2|"
"Nth Percentile:","654108496.98","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-16 22:05:00","1.1518818424e+09","1.1518818424e+09","2.1230159221e+08","2.1230159221e+08"
"2020-03-16 22:10:00","9.8262190946e+08","9.8262190946e+08","1.8363990476e+08","1.8363990476e+08"
"2020-03-16 22:15:00","9.4836228825e+08","9.4836228825e+08","1.9672072019e+08","1.9672072019e+08"
"2020-03-16 22:20:00","1.4314664018e+09","1.4314664018e+09","2.4230380018e+08","2.4230380018e+08"
"2020-03-16 22:25:00","1.3165961003e+09","1.3165961003e+09","1.9770612130e+08","1.9770612130e+08"
"2020-03-16 22:30:00","9.5904189738e+08","9.5904189738e+08","1.8083002508e+08","1.8083002508e+08"
"2020-03-16 22:35:00","8.4607036560e+08","8.4607036560e+08","2.0856644829e+08","2.0856644829e+08"
"2020-03-16 22:40:00","8.6984463765e+08","8.6984463765e+08","1.5424852629e+08","1.5424852629e+08"
"2020-03-16 22:45:00","1.1304555166e+09","1.1304555166e+09","1.9144398814e+08","1.9144398814e+08"
"2020-03-16 22:50:00","9.7274664314e+08","9.7274664314e+08","2.9332948422e+08","2.9332948422e+08"
"2020-03-16 22:55:00","1.0452482140e+09","1.0452482140e+09","5.2695124976e+08","5.2695124976e+08"
"2020-03-16 23:00:00","1.8264469355e+09","1.8264469355e+09","2.2846149904e+08","2.2846149904e+08"
"2020-03-16 23:05:00","9.3383211893e+08","9.3383211893e+08","2.6836555150e+08","2.6836555150e+08"
"2020-03-16 23:10:00","8.3582876991e+08","8.3582876991e+08","3.4220259916e+08","3.4220259916e+08"
"2020-03-16 23:15:00","9.3200582456e+08","9.3200582456e+08","3.5622857031e+08","3.5622857031e+08"
"2020-03-16 23:20:00","8.6935562245e+08","8.6935562245e+08","3.4376593882e+08","3.4376593882e+08"
"2020-03-16 23:25:00","8.3092696860e+08","8.3092696860e+08","1.9881680097e+08","1.9881680097e+08"
"2020-03-16 23:30:00","8.7576285379e+08","8.7576285379e+08","1.6424649070e+08","1.6424649070e+08"
"2020-03-16 23:35:00","1.2636543561e+09","1.2636543561e+09","1.9916431536e+08","1.9916431536e+08"
"2020-03-16 23:40:00","1.0525368775e+09","1.0525368775e+09","2.7412918678e+08","2.7412918678e+08"
