"Title:","mx1.lon2.uk - Traffic - ae5 - LAG INFRASTRUCTURE BACKBONE AMS SRF0000001 | lon2-par | Coriant G30 100G |"
"Vertical Label:","bits per second"
"Start Date:","2020-03-16 22:05:00"
"End Date:","2020-03-18 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47463"
"Host ID:","235"
"Nth Percentile:","59577239742.4","|95:bits:0:current:2|"
"Nth Percentile:","49778010472","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-16 22:05:00","4.0018171261e+10","4.0018171261e+10","2.5700633470e+10","2.5700633470e+10"
"2020-03-16 22:10:00","3.8951228442e+10","3.8951228442e+10","2.3563215629e+10","2.3563215629e+10"
"2020-03-16 22:15:00","4.4500255672e+10","4.4500255672e+10","2.2114350988e+10","2.2114350988e+10"
"2020-03-16 22:20:00","3.8787144480e+10","3.8787144480e+10","2.5259095216e+10","2.5259095216e+10"
"2020-03-16 22:25:00","3.8644044660e+10","3.8644044660e+10","3.0138875781e+10","3.0138875781e+10"
"2020-03-16 22:30:00","6.0734326177e+10","6.0734326177e+10","2.7522408932e+10","2.7522408932e+10"
"2020-03-16 22:35:00","5.2582315130e+10","5.2582315130e+10","3.7637129358e+10","3.7637129358e+10"
"2020-03-16 22:40:00","4.9744252525e+10","4.9744252525e+10","3.7654426170e+10","3.7654426170e+10"
"2020-03-16 22:45:00","7.5030288449e+10","7.5030288449e+10","3.0023898706e+10","3.0023898706e+10"
"2020-03-16 22:50:00","5.9577239742e+10","5.9577239742e+10","2.7101696135e+10","2.7101696135e+10"
"2020-03-16 22:55:00","5.1730708978e+10","5.1730708978e+10","2.9818129274e+10","2.9818129274e+10"
"2020-03-16 23:00:00","5.3992219311e+10","5.3992219311e+10","3.2297654223e+10","3.2297654223e+10"
"2020-03-16 23:05:00","6.7225821161e+10","6.7225821161e+10","2.6763561288e+10","2.6763561288e+10"
"2020-03-16 23:10:00","5.0479339999e+10","5.0479339999e+10","2.8456158327e+10","2.8456158327e+10"
"2020-03-16 23:15:00","4.0619733399e+10","4.0619733399e+10","2.8856200812e+10","2.8856200812e+10"
"2020-03-16 23:20:00","5.3227962447e+10","5.3227962447e+10","3.0183675999e+10","3.0183675999e+10"
"2020-03-16 23:25:00","4.5321407417e+10","4.5321407417e+10","2.7909732339e+10","2.7909732339e+10"
"2020-03-16 23:30:00","4.5288502102e+10","4.5288502102e+10","2.8294576785e+10","2.8294576785e+10"
"2020-03-16 23:35:00","5.6303008017e+10","5.6303008017e+10","2.7828701141e+10","2.7828701141e+10"
"2020-03-16 23:40:00","6.9768071106e+10","6.9768071106e+10","2.5839394633e+10","2.5839394633e+10"
