"Title:","mx1.mar.fr - Traffic - ae1 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | gen-mar"
"Vertical Label:","bits per second"
"Start Date:","2020-03-16 22:05:00"
"End Date:","2020-03-18 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","20747"
"Host ID:","233"
"Nth Percentile:","13554258384","|95:bits:0:current:2|"
"Nth Percentile:","23902800815.2","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-16 22:05:00","1.0074495719e+10","1.0074495719e+10","2.0598744755e+10","2.0598744755e+10"
"2020-03-16 22:10:00","1.0726832615e+10","1.0726832615e+10","1.9755040963e+10","1.9755040963e+10"
"2020-03-16 22:15:00","1.1070357400e+10","1.1070357400e+10","1.9938782559e+10","1.9938782559e+10"
"2020-03-16 22:20:00","1.1053781288e+10","1.1053781288e+10","1.9725950012e+10","1.9725950012e+10"
"2020-03-16 22:25:00","1.1559849118e+10","1.1559849118e+10","2.0153123462e+10","2.0153123462e+10"
"2020-03-16 22:30:00","1.1536970840e+10","1.1536970840e+10","1.8951611133e+10","1.8951611133e+10"
"2020-03-16 22:35:00","1.0369227478e+10","1.0369227478e+10","2.1195704097e+10","2.1195704097e+10"
"2020-03-16 22:40:00","1.0401950508e+10","1.0401950508e+10","2.1834638404e+10","2.1834638404e+10"
"2020-03-16 22:45:00","1.2829975810e+10","1.2829975810e+10","1.8046409984e+10","1.8046409984e+10"
"2020-03-16 22:50:00","1.1625802243e+10","1.1625802243e+10","1.9808306268e+10","1.9808306268e+10"
"2020-03-16 22:55:00","1.0384283164e+10","1.0384283164e+10","2.0291213755e+10","2.0291213755e+10"
"2020-03-16 23:00:00","9.6403206309e+09","9.6403206309e+09","2.1980138169e+10","2.1980138169e+10"
"2020-03-16 23:05:00","1.0898761190e+10","1.0898761190e+10","2.0920712753e+10","2.0920712753e+10"
"2020-03-16 23:10:00","9.8512907033e+09","9.8512907033e+09","2.0634541518e+10","2.0634541518e+10"
"2020-03-16 23:15:00","8.9834986706e+09","8.9834986706e+09","2.6426940985e+10","2.6426940985e+10"
"2020-03-16 23:20:00","8.6454270097e+09","8.6454270097e+09","2.7658818199e+10","2.7658818199e+10"
"2020-03-16 23:25:00","8.1319688682e+09","8.1319688682e+09","2.7973925392e+10","2.7973925392e+10"
"2020-03-16 23:30:00","7.3958200022e+09","7.3958200022e+09","2.7414258574e+10","2.7414258574e+10"
"2020-03-16 23:35:00","7.8972217478e+09","7.8972217478e+09","2.9646770330e+10","2.9646770330e+10"
"2020-03-16 23:40:00","6.9843431822e+09","6.9843431822e+09","2.8932002608e+10","2.8932002608e+10"
"2020-03-16 23:45:00","7.1738876877e+09","7.1738876877e+09","2.7237781421e+10","2.7237781421e+10"
"2020-03-16 23:50:00","7.0860870967e+09","7.0860870967e+09","2.7802271914e+10","2.7802271914e+10"
"2020-03-16 23:55:00","8.7650340191e+09","8.7650340191e+09","2.7641503886e+10","2.7641503886e+10"
"2020-03-17 00:00:00","8.9198669627e+09","8.9198669627e+09","2.5268993222e+10","2.5268993222e+10"
"2020-03-17 00:05:00","6.8958066359e+09","6.8958066359e+09","2.5383756981e+10","2.5383756981e+10"
"2020-03-17 00:10:00","6.6629123788e+09","6.6629123788e+09","2.3902800815e+10","2.3902800815e+10"
"2020-03-17 00:15:00","9.0365744984e+09","9.0365744984e+09","2.5431091200e+10","2.5431091200e+10"
"2020-03-17 00:20:00","1.0067143079e+10","1.0067143079e+10","2.3083695086e+10","2.3083695086e+10"
"2020-03-17 00:25:00","8.7923850410e+09","8.7923850410e+09","2.0135133717e+10","2.0135133717e+10"
"2020-03-17 00:30:00","8.0643375956e+09","8.0643375956e+09","2.4428358841e+10","2.4428358841e+10"
"2020-03-17 00:35:00","7.6854388467e+09","7.6854388467e+09","2.2581646045e+10","2.2581646045e+10"
"2020-03-17 00:40:00","7.4437926437e+09","7.4437926437e+09","2.3722424456e+10","2.3722424456e+10"
"2020-03-17 00:45:00","6.1235631735e+09","6.1235631735e+09","2.3728920881e+10","2.3728920881e+10"
"2020-03-17 00:50:00","6.6301717660e+09","6.6301717660e+09","2.5255939771e+10","2.5255939771e+10"
"2020-03-17 00:55:00","5.3644968362e+09","5.3644968362e+09","2.3543058765e+10","2.3543058765e+10"
"2020-03-17 01:00:00","5.0635039596e+09","5.0635039596e+09","2.2547982404e+10","2.2547982404e+10"
"2020-03-17 01:05:00","4.8248240578e+09","4.8248240578e+09","2.2853068017e+10","2.2853068017e+10"
"2020-03-17 01:10:00","4.2735704133e+09","4.2735704133e+09","2.5726098987e+10","2.5726098987e+10"
"2020-03-17 01:15:00","6.1158997223e+09","6.1158997223e+09","2.0716665594e+10","2.0716665594e+10"
"2020-03-17 01:20:00","5.9305950699e+09","5.9305950699e+09","2.1697820137e+10","2.1697820137e+10"
"2020-03-17 01:25:00","5.4038820495e+09","5.4038820495e+09","1.9088031686e+10","1.9088031686e+10"
"2020-03-17 01:30:00","4.8945072290e+09","4.8945072290e+09","1.5089559099e+10","1.5089559099e+10"
"2020-03-17 01:35:00","5.9341020364e+09","5.9341020364e+09","1.3486134802e+10","1.3486134802e+10"
"2020-03-17 01:40:00","1.0290646954e+10","1.0290646954e+10","1.4911412664e+10","1.4911412664e+10"
"2020-03-17 01:45:00","9.7140518555e+09","9.7140518555e+09","1.4940242969e+10","1.4940242969e+10"
