"Title:","mx1.sof.bg - Traffic - ae7 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | sof-vie"
"Vertical Label:","bits per second"
"Start Date:","2020-03-16 22:05:00"
"End Date:","2020-03-18 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","21125"
"Host ID:","205"
"Nth Percentile:","16343483518.4","|95:bits:0:current:2|"
"Nth Percentile:","6300007119.36","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-16 22:05:00","1.2078836200e+10","1.2078836200e+10","2.6188653615e+09","2.6188653615e+09"
"2020-03-16 22:10:00","1.1804652156e+10","1.1804652156e+10","1.9890241017e+09","1.9890241017e+09"
"2020-03-16 22:15:00","1.1199756326e+10","1.1199756326e+10","1.5815959581e+09","1.5815959581e+09"
"2020-03-16 22:20:00","1.2158305475e+10","1.2158305475e+10","2.3125579096e+09","2.3125579096e+09"
"2020-03-16 22:25:00","1.1570560706e+10","1.1570560706e+10","2.0756002046e+09","2.0756002046e+09"
"2020-03-16 22:30:00","1.1898598459e+10","1.1898598459e+10","2.0129384540e+09","2.0129384540e+09"
"2020-03-16 22:35:00","1.1714692164e+10","1.1714692164e+10","2.4148515078e+09","2.4148515078e+09"
"2020-03-16 22:40:00","1.1292370497e+10","1.1292370497e+10","3.4820288883e+09","3.4820288883e+09"
"2020-03-16 22:45:00","1.2125098291e+10","1.2125098291e+10","2.6694963925e+09","2.6694963925e+09"
"2020-03-16 22:50:00","1.2393463783e+10","1.2393463783e+10","2.1765060287e+09","2.1765060287e+09"
"2020-03-16 22:55:00","1.2238437517e+10","1.2238437517e+10","1.9910316018e+09","1.9910316018e+09"
"2020-03-16 23:00:00","1.2431875743e+10","1.2431875743e+10","1.6919737213e+09","1.6919737213e+09"
"2020-03-16 23:05:00","1.4953139642e+10","1.4953139642e+10","2.7769665249e+09","2.7769665249e+09"
"2020-03-16 23:10:00","1.3049327480e+10","1.3049327480e+10","1.1857412453e+09","1.1857412453e+09"
"2020-03-16 23:15:00","1.7341710728e+10","1.7341710728e+10","1.6452728640e+09","1.6452728640e+09"
"2020-03-16 23:20:00","1.2919483080e+10","1.2919483080e+10","2.1081534684e+09","2.1081534684e+09"
"2020-03-16 23:25:00","1.3502483337e+10","1.3502483337e+10","2.9057278863e+09","2.9057278863e+09"
"2020-03-16 23:30:00","1.2777816393e+10","1.2777816393e+10","2.8155658239e+09","2.8155658239e+09"
"2020-03-16 23:35:00","1.1843729640e+10","1.1843729640e+10","1.8399030046e+09","1.8399030046e+09"
"2020-03-16 23:40:00","1.4152768900e+10","1.4152768900e+10","1.6715727383e+09","1.6715727383e+09"
"2020-03-16 23:45:00","1.7780192986e+10","1.7780192986e+10","1.7904243324e+09","1.7904243324e+09"
"2020-03-16 23:50:00","1.8204005187e+10","1.8204005187e+10","1.5046235530e+09","1.5046235530e+09"
"2020-03-16 23:55:00","1.7287944311e+10","1.7287944311e+10","1.6896362751e+09","1.6896362751e+09"
"2020-03-17 00:00:00","1.7503491606e+10","1.7503491606e+10","1.4311813688e+09","1.4311813688e+09"
"2020-03-17 00:05:00","1.3030938626e+10","1.3030938626e+10","1.0403516156e+09","1.0403516156e+09"
"2020-03-17 00:10:00","2.0283979576e+10","2.0283979576e+10","1.0173253934e+09","1.0173253934e+09"
"2020-03-17 00:15:00","1.3339974382e+10","1.3339974382e+10","1.2980396790e+09","1.2980396790e+09"
"2020-03-17 00:20:00","1.7402026978e+10","1.7402026978e+10","1.9059790233e+09","1.9059790233e+09"
"2020-03-17 00:25:00","1.7559806755e+10","1.7559806755e+10","1.5493172609e+09","1.5493172609e+09"
"2020-03-17 00:30:00","1.3900132746e+10","1.3900132746e+10","1.2389637672e+09","1.2389637672e+09"
