"Title:","mx2.lju.si - Traffic - ae4 - LAG INFRASTRUCTURE BACKBONE LJU SRF0000001 | LJU-MIL2  |"
"Vertical Label:","bits per second"
"Start Date:","2020-03-16 22:05:00"
"End Date:","2020-03-18 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","54087"
"Host ID:","152"
"Nth Percentile:","19741497904","|95:bits:0:current:2|"
"Nth Percentile:","14635480133.6","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-16 22:05:00","1.1908103952e+10","1.1908103952e+10","3.4287315656e+09","3.4287315656e+09"
"2020-03-16 22:10:00","1.2031391956e+10","1.2031391956e+10","6.7693303362e+09","6.7693303362e+09"
"2020-03-16 22:15:00","1.1981899324e+10","1.1981899324e+10","4.7271454841e+09","4.7271454841e+09"
"2020-03-16 22:20:00","1.2407163718e+10","1.2407163718e+10","5.7383798102e+09","5.7383798102e+09"
"2020-03-16 22:25:00","1.5713525635e+10","1.5713525635e+10","5.3475577956e+09","5.3475577956e+09"
"2020-03-16 22:30:00","1.1423935779e+10","1.1423935779e+10","6.1121522436e+09","6.1121522436e+09"
"2020-03-16 22:35:00","1.3988011686e+10","1.3988011686e+10","7.8015113088e+09","7.8015113088e+09"
"2020-03-16 22:40:00","1.1674235047e+10","1.1674235047e+10","5.8573014991e+09","5.8573014991e+09"
"2020-03-16 22:45:00","1.0508454650e+10","1.0508454650e+10","6.0705733849e+09","6.0705733849e+09"
"2020-03-16 22:50:00","1.2710087598e+10","1.2710087598e+10","4.9929651469e+09","4.9929651469e+09"
"2020-03-16 22:55:00","1.2522254067e+10","1.2522254067e+10","3.3970533614e+09","3.3970533614e+09"
"2020-03-16 23:00:00","1.3369432913e+10","1.3369432913e+10","4.5536056385e+09","4.5536056385e+09"
"2020-03-16 23:05:00","1.2508556496e+10","1.2508556496e+10","6.7092767488e+09","6.7092767488e+09"
"2020-03-16 23:10:00","1.4170228767e+10","1.4170228767e+10","4.8174720618e+09","4.8174720618e+09"
"2020-03-16 23:15:00","1.0815298350e+10","1.0815298350e+10","6.4409426134e+09","6.4409426134e+09"
"2020-03-16 23:20:00","1.0333131323e+10","1.0333131323e+10","9.1194399977e+09","9.1194399977e+09"
"2020-03-16 23:25:00","1.1250628930e+10","1.1250628930e+10","5.0135931576e+09","5.0135931576e+09"
"2020-03-16 23:30:00","9.5561028090e+09","9.5561028090e+09","7.1561827365e+09","7.1561827365e+09"
"2020-03-16 23:35:00","1.1846519572e+10","1.1846519572e+10","5.2819116975e+09","5.2819116975e+09"
"2020-03-16 23:40:00","1.1717195978e+10","1.1717195978e+10","7.5663935264e+09","7.5663935264e+09"
"2020-03-16 23:45:00","1.1242860666e+10","1.1242860666e+10","6.2471270057e+09","6.2471270057e+09"
"2020-03-16 23:50:00","1.1970973554e+10","1.1970973554e+10","4.8875268881e+09","4.8875268881e+09"
"2020-03-16 23:55:00","9.2958408952e+09","9.2958408952e+09","3.0104685387e+09","3.0104685387e+09"
"2020-03-17 00:00:00","1.1766039613e+10","1.1766039613e+10","3.0871099191e+09","3.0871099191e+09"
"2020-03-17 00:05:00","1.3433445984e+10","1.3433445984e+10","4.1706981117e+09","4.1706981117e+09"
"2020-03-17 00:10:00","1.2326864179e+10","1.2326864179e+10","3.5526868474e+09","3.5526868474e+09"
"2020-03-17 00:15:00","1.2065147599e+10","1.2065147599e+10","6.3603281818e+09","6.3603281818e+09"
"2020-03-17 00:20:00","1.3587455801e+10","1.3587455801e+10","7.8264575870e+09","7.8264575870e+09"
