"Title:","mx1.buc.ro - Traffic - ae8 - LAG INFRASTRUCTURE BACKBONE SOF SRF0000001 | buc-sof"
"Vertical Label:","bits per second"
"Start Date:","2020-03-17 22:05:00"
"End Date:","2020-03-19 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","21019"
"Host ID:","203"
"Nth Percentile:","13678447028.8","|95:bits:0:current:2|"
"Nth Percentile:","4455320402.64","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-17 22:05:00","1.3275192323e+10","1.3275192323e+10","1.8170855056e+09","1.8170855056e+09"
"2020-03-17 22:10:00","1.4004329175e+10","1.4004329175e+10","1.3001045074e+09","1.3001045074e+09"
"2020-03-17 22:15:00","1.3678447029e+10","1.3678447029e+10","1.5965632269e+09","1.5965632269e+09"
"2020-03-17 22:20:00","1.3636552758e+10","1.3636552758e+10","1.9460599529e+09","1.9460599529e+09"
"2020-03-17 22:25:00","1.3107868242e+10","1.3107868242e+10","2.1029514172e+09","2.1029514172e+09"
"2020-03-17 22:30:00","1.3232013876e+10","1.3232013876e+10","1.3773274691e+09","1.3773274691e+09"
"2020-03-17 22:35:00","1.2859740743e+10","1.2859740743e+10","1.8726547327e+09","1.8726547327e+09"
"2020-03-17 22:40:00","1.3030672006e+10","1.3030672006e+10","1.7480341120e+09","1.7480341120e+09"
"2020-03-17 22:45:00","1.2533178329e+10","1.2533178329e+10","2.2996913527e+09","2.2996913527e+09"
"2020-03-17 22:50:00","1.1764400559e+10","1.1764400559e+10","1.9978516633e+09","1.9978516633e+09"
"2020-03-17 22:55:00","1.1315020365e+10","1.1315020365e+10","2.1453124911e+09","2.1453124911e+09"
"2020-03-17 23:00:00","1.1572765860e+10","1.1572765860e+10","1.7701013514e+09","1.7701013514e+09"
"2020-03-17 23:05:00","9.4652114168e+09","9.4652114168e+09","2.0052688568e+09","2.0052688568e+09"
"2020-03-17 23:10:00","7.7512354166e+09","7.7512354166e+09","3.8139181104e+09","3.8139181104e+09"
"2020-03-17 23:15:00","7.6072919401e+09","7.6072919401e+09","3.8389744697e+09","3.8389744697e+09"
"2020-03-17 23:20:00","7.9314298844e+09","7.9314298844e+09","1.9970313831e+09","1.9970313831e+09"
"2020-03-17 23:25:00","9.5259417639e+09","9.5259417639e+09","1.9766827524e+09","1.9766827524e+09"
"2020-03-17 23:30:00","1.1604933513e+10","1.1604933513e+10","1.8884986300e+09","1.8884986300e+09"
"2020-03-17 23:35:00","1.1544915648e+10","1.1544915648e+10","1.4856695957e+09","1.4856695957e+09"
"2020-03-17 23:40:00","1.3025866887e+10","1.3025866887e+10","1.1438741147e+09","1.1438741147e+09"
"2020-03-17 23:45:00","1.2926831056e+10","1.2926831056e+10","1.3444065447e+09","1.3444065447e+09"
"2020-03-17 23:50:00","1.4480503951e+10","1.4480503951e+10","1.3495800863e+09","1.3495800863e+09"
"2020-03-17 23:55:00","1.5452649039e+10","1.5452649039e+10","1.5754204507e+09","1.5754204507e+09"
"2020-03-18 00:00:00","1.3369101204e+10","1.3369101204e+10","1.8993372142e+09","1.8993372142e+09"
"2020-03-18 00:05:00","1.1350485837e+10","1.1350485837e+10","1.8483178916e+09","1.8483178916e+09"
"2020-03-18 00:10:00","1.0801102716e+10","1.0801102716e+10","2.1406234339e+09","2.1406234339e+09"
