"Title:","mx1.dub2.ie - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE LON2 SRF9942043 | dub2-lon2"
"Vertical Label:","bits per second"
"Start Date:","2020-03-17 22:05:00"
"End Date:","2020-03-19 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","39699"
"Host ID:","225"
"Nth Percentile:","422248997.61","|95:bits:0:current:2|"
"Nth Percentile:","335748077.38","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-17 22:05:00","1.5080522521e+07","1.5080522521e+07","9.5577158809e+07","9.5577158809e+07"
"2020-03-17 22:10:00","9.8304998236e+06","9.8304998236e+06","8.9183452512e+07","8.9183452512e+07"
"2020-03-17 22:15:00","1.6351018405e+07","1.6351018405e+07","9.3346551563e+07","9.3346551563e+07"
"2020-03-17 22:20:00","8.6389754913e+06","8.6389754913e+06","9.7169702160e+07","9.7169702160e+07"
"2020-03-17 22:25:00","1.0214939420e+07","1.0214939420e+07","1.0629825255e+08","1.0629825255e+08"
"2020-03-17 22:30:00","1.3513671604e+07","1.3513671604e+07","1.0695916198e+08","1.0695916198e+08"
"2020-03-17 22:35:00","1.6408264191e+07","1.6408264191e+07","1.0982249172e+08","1.0982249172e+08"
"2020-03-17 22:40:00","1.5546045322e+07","1.5546045322e+07","1.1106090273e+08","1.1106090273e+08"
"2020-03-17 22:45:00","1.5345993946e+07","1.5345993946e+07","1.0922227922e+08","1.0922227922e+08"
"2020-03-17 22:50:00","1.6652015044e+07","1.6652015044e+07","1.1757021659e+08","1.1757021659e+08"
"2020-03-17 22:55:00","9.6914906640e+06","9.6914906640e+06","1.1106065628e+08","1.1106065628e+08"
"2020-03-17 23:00:00","1.0476239794e+07","1.0476239794e+07","1.3172057833e+08","1.3172057833e+08"
"2020-03-17 23:05:00","2.1014105243e+07","2.1014105243e+07","1.4022856210e+08","1.4022856210e+08"
"2020-03-17 23:10:00","1.9654322813e+07","1.9654322813e+07","1.0736024890e+08","1.0736024890e+08"
"2020-03-17 23:15:00","2.0949168572e+07","2.0949168572e+07","1.0174057346e+08","1.0174057346e+08"
"2020-03-17 23:20:00","1.3541115820e+07","1.3541115820e+07","1.0504573820e+08","1.0504573820e+08"
"2020-03-17 23:25:00","1.3566390758e+07","1.3566390758e+07","9.3888153628e+07","9.3888153628e+07"
"2020-03-17 23:30:00","1.1258484151e+07","1.1258484151e+07","8.7169385925e+07","8.7169385925e+07"
"2020-03-17 23:35:00","1.6432095036e+07","1.6432095036e+07","7.3056812409e+07","7.3056812409e+07"
"2020-03-17 23:40:00","1.5668529129e+07","1.5668529129e+07","7.8393591399e+07","7.8393591399e+07"
"2020-03-17 23:45:00","7.8519582256e+06","7.8519582256e+06","8.4603291149e+07","8.4603291149e+07"
"2020-03-17 23:50:00","1.5779396351e+07","1.5779396351e+07","8.1281912166e+07","8.1281912166e+07"
"2020-03-17 23:55:00","7.1411374309e+07","7.1411374309e+07","9.4838334754e+07","9.4838334754e+07"
"2020-03-18 00:00:00","2.1333447879e+07","2.1333447879e+07","1.3757998042e+08","1.3757998042e+08"
"2020-03-18 00:05:00","1.2100045396e+07","1.2100045396e+07","1.0431803880e+08","1.0431803880e+08"
"2020-03-18 00:10:00","1.1937336595e+07","1.1937336595e+07","1.0999223376e+08","1.0999223376e+08"
"2020-03-18 00:15:00","1.3502000832e+07","1.3502000832e+07","1.3104138871e+08","1.3104138871e+08"
"2020-03-18 00:20:00","1.4211869659e+07","1.4211869659e+07","1.2421922194e+08","1.2421922194e+08"
