"Title:","mx1.fra.de - Traffic - ae2 - LAG INFRASTRUCTURE BACKBONE GEN SRF0000001 | FRA-GEN | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-17 22:05:00"
"End Date:","2020-03-19 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","48189"
"Host ID:","167"
"Nth Percentile:","60360078589.6","|95:bits:0:current:2|"
"Nth Percentile:","56893080834.4","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-17 22:05:00","3.5536104308e+10","3.5536104308e+10","4.9838387135e+10","4.9838387135e+10"
"2020-03-17 22:10:00","3.2892876983e+10","3.2892876983e+10","5.2030541279e+10","5.2030541279e+10"
"2020-03-17 22:15:00","3.0735631160e+10","3.0735631160e+10","4.9412446159e+10","4.9412446159e+10"
"2020-03-17 22:20:00","3.3154978862e+10","3.3154978862e+10","5.3845165253e+10","5.3845165253e+10"
"2020-03-17 22:25:00","3.0942797417e+10","3.0942797417e+10","4.7664971960e+10","4.7664971960e+10"
"2020-03-17 22:30:00","3.6605045531e+10","3.6605045531e+10","4.7031187907e+10","4.7031187907e+10"
"2020-03-17 22:35:00","3.2768986707e+10","3.2768986707e+10","4.5853120796e+10","4.5853120796e+10"
"2020-03-17 22:40:00","3.6399282376e+10","3.6399282376e+10","4.6770432595e+10","4.6770432595e+10"
"2020-03-17 22:45:00","3.4099470043e+10","3.4099470043e+10","4.8873674519e+10","4.8873674519e+10"
"2020-03-17 22:50:00","4.3608424155e+10","4.3608424155e+10","4.8032238718e+10","4.8032238718e+10"
"2020-03-17 22:55:00","4.7151340326e+10","4.7151340326e+10","4.8990417114e+10","4.8990417114e+10"
"2020-03-17 23:00:00","4.5378066742e+10","4.5378066742e+10","4.6353693249e+10","4.6353693249e+10"
"2020-03-17 23:05:00","4.4900169103e+10","4.4900169103e+10","4.6548871347e+10","4.6548871347e+10"
"2020-03-17 23:10:00","4.5566937282e+10","4.5566937282e+10","4.4425558210e+10","4.4425558210e+10"
"2020-03-17 23:15:00","4.3037894760e+10","4.3037894760e+10","4.1744442057e+10","4.1744442057e+10"
"2020-03-17 23:20:00","4.2711373517e+10","4.2711373517e+10","4.4589419057e+10","4.4589419057e+10"
"2020-03-17 23:25:00","4.2636198829e+10","4.2636198829e+10","4.1598988353e+10","4.1598988353e+10"
"2020-03-17 23:30:00","4.3422615682e+10","4.3422615682e+10","4.5466124044e+10","4.5466124044e+10"
"2020-03-17 23:35:00","4.5976606237e+10","4.5976606237e+10","4.2598223670e+10","4.2598223670e+10"
"2020-03-17 23:40:00","5.2452637480e+10","5.2452637480e+10","4.7551748794e+10","4.7551748794e+10"
"2020-03-17 23:45:00","5.2606959491e+10","5.2606959491e+10","4.4179483535e+10","4.4179483535e+10"
"2020-03-17 23:50:00","5.4896084180e+10","5.4896084180e+10","4.3604120114e+10","4.3604120114e+10"
"2020-03-17 23:55:00","5.2387068861e+10","5.2387068861e+10","4.1612312690e+10","4.1612312690e+10"
"2020-03-18 00:00:00","5.2415501590e+10","5.2415501590e+10","4.3959211337e+10","4.3959211337e+10"
"2020-03-18 00:05:00","5.3660032092e+10","5.3660032092e+10","4.6883762125e+10","4.6883762125e+10"
"2020-03-18 00:10:00","4.9942086026e+10","4.9942086026e+10","4.2628110653e+10","4.2628110653e+10"
"2020-03-18 00:15:00","5.2766072090e+10","5.2766072090e+10","3.7153488284e+10","3.7153488284e+10"
"2020-03-18 00:20:00","5.2137723238e+10","5.2137723238e+10","4.9627087883e+10","4.9627087883e+10"
"2020-03-18 00:25:00","5.0475031943e+10","5.0475031943e+10","4.6381158227e+10","4.6381158227e+10"
"2020-03-18 00:30:00","5.9448836874e+10","5.9448836874e+10","4.6474206736e+10","4.6474206736e+10"
"2020-03-18 00:35:00","6.3765749706e+10","6.3765749706e+10","4.6231346219e+10","4.6231346219e+10"
"2020-03-18 00:40:00","6.3357861566e+10","6.3357861566e+10","4.1215896743e+10","4.1215896743e+10"
"2020-03-18 00:45:00","5.9296184351e+10","5.9296184351e+10","3.9439935554e+10","3.9439935554e+10"
"2020-03-18 00:50:00","6.0748003784e+10","6.0748003784e+10","4.4052390345e+10","4.4052390345e+10"
"2020-03-18 00:55:00","6.5316163040e+10","6.5316163040e+10","4.2950195453e+10","4.2950195453e+10"
"2020-03-18 01:00:00","7.1235408408e+10","7.1235408408e+10","4.7531657268e+10","4.7531657268e+10"
"2020-03-18 01:05:00","6.8152037272e+10","6.8152037272e+10","4.0859094461e+10","4.0859094461e+10"
"2020-03-18 01:10:00","7.0882979726e+10","7.0882979726e+10","3.9907243800e+10","3.9907243800e+10"
"2020-03-18 01:15:00","7.2073153543e+10","7.2073153543e+10","4.8860417924e+10","4.8860417924e+10"
"2020-03-18 01:20:00","6.1089678355e+10","6.1089678355e+10","4.4644847869e+10","4.4644847869e+10"
"2020-03-18 01:25:00","5.7483971652e+10","5.7483971652e+10","4.5503251037e+10","4.5503251037e+10"
"2020-03-18 01:30:00","5.0445187032e+10","5.0445187032e+10","3.6793283695e+10","3.6793283695e+10"
"2020-03-18 01:35:00","5.2947105274e+10","5.2947105274e+10","4.1215871383e+10","4.1215871383e+10"
"2020-03-18 01:40:00","5.1407656669e+10","5.1407656669e+10","3.6264396844e+10","3.6264396844e+10"
"2020-03-18 01:45:00","5.3355566691e+10","5.3355566691e+10","3.7493694687e+10","3.7493694687e+10"
"2020-03-18 01:50:00","5.4518254340e+10","5.4518254340e+10","3.3021824353e+10","3.3021824353e+10"
"2020-03-18 01:55:00","4.8813585046e+10","4.8813585046e+10","3.2180478615e+10","3.2180478615e+10"
"2020-03-18 02:00:00","5.0772917972e+10","5.0772917972e+10","3.6462893660e+10","3.6462893660e+10"
"2020-03-18 02:05:00","5.2456310253e+10","5.2456310253e+10","3.9385406350e+10","3.9385406350e+10"
"2020-03-18 02:10:00","5.7928351129e+10","5.7928351129e+10","4.4924071577e+10","4.4924071577e+10"
"2020-03-18 02:15:00","5.0212043838e+10","5.0212043838e+10","3.9424672460e+10","3.9424672460e+10"
"2020-03-18 02:20:00","4.9290850226e+10","4.9290850226e+10","4.6097764580e+10","4.6097764580e+10"
"2020-03-18 02:25:00","4.6811369291e+10","4.6811369291e+10","4.4962858634e+10","4.4962858634e+10"
