"Title:","mx1.gen.ch - Traffic - ae5 - LAG INFRASTRUCTURE BACKBONE GEN SRF0000001 | GEN-PAR | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-17 22:05:00"
"End Date:","2020-03-19 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","48177"
"Host ID:","164"
"Nth Percentile:","46349228364","|95:bits:0:current:2|"
"Nth Percentile:","60343645816.8","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-17 22:05:00","3.3890009050e+10","3.3890009050e+10","4.2418099945e+10","4.2418099945e+10"
"2020-03-17 22:10:00","3.6648850725e+10","3.6648850725e+10","4.5833411363e+10","4.5833411363e+10"
"2020-03-17 22:15:00","2.3696832108e+10","2.3696832108e+10","3.8753750044e+10","3.8753750044e+10"
"2020-03-17 22:20:00","1.8471265760e+10","1.8471265760e+10","3.6368362542e+10","3.6368362542e+10"
"2020-03-17 22:25:00","1.8897501279e+10","1.8897501279e+10","3.1325705194e+10","3.1325705194e+10"
"2020-03-17 22:30:00","1.8958933919e+10","1.8958933919e+10","3.4170161757e+10","3.4170161757e+10"
"2020-03-17 22:35:00","3.2423531301e+10","3.2423531301e+10","3.7803330010e+10","3.7803330010e+10"
"2020-03-17 22:40:00","3.4856603227e+10","3.4856603227e+10","4.5773210554e+10","4.5773210554e+10"
"2020-03-17 22:45:00","3.0603898749e+10","3.0603898749e+10","3.7855187343e+10","3.7855187343e+10"
"2020-03-17 22:50:00","3.0100240494e+10","3.0100240494e+10","3.0204708031e+10","3.0204708031e+10"
"2020-03-17 22:55:00","3.0063915535e+10","3.0063915535e+10","3.7384170757e+10","3.7384170757e+10"
"2020-03-17 23:00:00","3.4723234701e+10","3.4723234701e+10","3.4449118159e+10","3.4449118159e+10"
"2020-03-17 23:05:00","2.8493300755e+10","2.8493300755e+10","3.2861221417e+10","3.2861221417e+10"
"2020-03-17 23:10:00","2.3513347467e+10","2.3513347467e+10","3.5061939142e+10","3.5061939142e+10"
"2020-03-17 23:15:00","1.6407930128e+10","1.6407930128e+10","3.6461400774e+10","3.6461400774e+10"
"2020-03-17 23:20:00","1.6248316442e+10","1.6248316442e+10","3.3921441783e+10","3.3921441783e+10"
"2020-03-17 23:25:00","2.6647566154e+10","2.6647566154e+10","3.2333803197e+10","3.2333803197e+10"
"2020-03-17 23:30:00","2.9271122685e+10","2.9271122685e+10","2.9193236990e+10","2.9193236990e+10"
"2020-03-17 23:35:00","3.3818542114e+10","3.3818542114e+10","3.0796604356e+10","3.0796604356e+10"
"2020-03-17 23:40:00","3.7653858098e+10","3.7653858098e+10","3.8324544371e+10","3.8324544371e+10"
"2020-03-17 23:45:00","2.8109297178e+10","2.8109297178e+10","3.3619348560e+10","3.3619348560e+10"
"2020-03-17 23:50:00","2.6200539331e+10","2.6200539331e+10","2.9393764763e+10","2.9393764763e+10"
"2020-03-17 23:55:00","2.2292097642e+10","2.2292097642e+10","3.5412115506e+10","3.5412115506e+10"
"2020-03-18 00:00:00","2.8053669867e+10","2.8053669867e+10","3.6371263697e+10","3.6371263697e+10"
"2020-03-18 00:05:00","2.2400846914e+10","2.2400846914e+10","3.1734045629e+10","3.1734045629e+10"
"2020-03-18 00:10:00","2.8898777300e+10","2.8898777300e+10","3.4846518057e+10","3.4846518057e+10"
"2020-03-18 00:15:00","3.1741699277e+10","3.1741699277e+10","4.1420775762e+10","4.1420775762e+10"
"2020-03-18 00:20:00","2.2959055367e+10","2.2959055367e+10","3.0305258709e+10","3.0305258709e+10"
"2020-03-18 00:25:00","2.3249047409e+10","2.3249047409e+10","3.3202183162e+10","3.3202183162e+10"
"2020-03-18 00:30:00","3.1743751659e+10","3.1743751659e+10","3.6287647885e+10","3.6287647885e+10"
"2020-03-18 00:35:00","3.4472461896e+10","3.4472461896e+10","3.9121191802e+10","3.9121191802e+10"
"2020-03-18 00:40:00","2.8473571275e+10","2.8473571275e+10","3.9307130264e+10","3.9307130264e+10"
"2020-03-18 00:45:00","2.1951740532e+10","2.1951740532e+10","3.1115969478e+10","3.1115969478e+10"
"2020-03-18 00:50:00","2.4404343943e+10","2.4404343943e+10","2.7879819235e+10","2.7879819235e+10"
"2020-03-18 00:55:00","1.9231325531e+10","1.9231325531e+10","3.0077442174e+10","3.0077442174e+10"
"2020-03-18 01:00:00","2.2388406108e+10","2.2388406108e+10","3.2880370817e+10","3.2880370817e+10"
"2020-03-18 01:05:00","1.8023384723e+10","1.8023384723e+10","2.7968745923e+10","2.7968745923e+10"
"2020-03-18 01:10:00","1.9344561962e+10","1.9344561962e+10","3.9382804095e+10","3.9382804095e+10"
"2020-03-18 01:15:00","1.7652776874e+10","1.7652776874e+10","2.8548924193e+10","2.8548924193e+10"
"2020-03-18 01:20:00","1.9687993694e+10","1.9687993694e+10","2.9805336506e+10","2.9805336506e+10"
"2020-03-18 01:25:00","1.8673266942e+10","1.8673266942e+10","3.0991643409e+10","3.0991643409e+10"
"2020-03-18 01:30:00","1.9343880436e+10","1.9343880436e+10","3.1781154098e+10","3.1781154098e+10"
"2020-03-18 01:35:00","2.0083605523e+10","2.0083605523e+10","2.9853315239e+10","2.9853315239e+10"
"2020-03-18 01:40:00","2.1857969901e+10","2.1857969901e+10","3.5042733150e+10","3.5042733150e+10"
"2020-03-18 01:45:00","2.3018810060e+10","2.3018810060e+10","3.7652061981e+10","3.7652061981e+10"
"2020-03-18 01:50:00","2.8535240771e+10","2.8535240771e+10","3.5600242283e+10","3.5600242283e+10"
"2020-03-18 01:55:00","4.6379620918e+10","4.6379620918e+10","3.1469600864e+10","3.1469600864e+10"
"2020-03-18 02:00:00","3.2913391434e+10","3.2913391434e+10","3.4204322505e+10","3.4204322505e+10"
"2020-03-18 02:05:00","2.5052397003e+10","2.5052397003e+10","3.4268217694e+10","3.4268217694e+10"
"2020-03-18 02:10:00","3.1223692788e+10","3.1223692788e+10","4.0990113079e+10","4.0990113079e+10"
"2020-03-18 02:15:00","2.3002188332e+10","2.3002188332e+10","3.1313901727e+10","3.1313901727e+10"
"2020-03-18 02:20:00","2.1895500221e+10","2.1895500221e+10","3.4913961661e+10","3.4913961661e+10"
"2020-03-18 02:25:00","2.1149921082e+10","2.1149921082e+10","3.8809966354e+10","3.8809966354e+10"
"2020-03-18 02:30:00","2.2517568548e+10","2.2517568548e+10","4.0603698289e+10","4.0603698289e+10"
"2020-03-18 02:35:00","2.2260118733e+10","2.2260118733e+10","4.4862266284e+10","4.4862266284e+10"
"2020-03-18 02:40:00","2.0012292060e+10","2.0012292060e+10","3.8762922906e+10","3.8762922906e+10"
"2020-03-18 02:45:00","1.7449297784e+10","1.7449297784e+10","4.0157799000e+10","4.0157799000e+10"
"2020-03-18 02:50:00","2.5715231022e+10","2.5715231022e+10","3.6262507509e+10","3.6262507509e+10"
"2020-03-18 02:55:00","3.1598007607e+10","3.1598007607e+10","3.8093931148e+10","3.8093931148e+10"
"2020-03-18 03:00:00","2.5398943990e+10","2.5398943990e+10","3.7922058168e+10","3.7922058168e+10"
"2020-03-18 03:05:00","3.4608081747e+10","3.4608081747e+10","3.1700508182e+10","3.1700508182e+10"
"2020-03-18 03:10:00","3.1641235461e+10","3.1641235461e+10","3.7499759900e+10","3.7499759900e+10"
"2020-03-18 03:15:00","2.0299275193e+10","2.0299275193e+10","3.9698958316e+10","3.9698958316e+10"
"2020-03-18 03:20:00","1.9232222518e+10","1.9232222518e+10","2.9173208621e+10","2.9173208621e+10"
"2020-03-18 03:25:00","2.0873060196e+10","2.0873060196e+10","2.6689266826e+10","2.6689266826e+10"
"2020-03-18 03:30:00","2.6228196970e+10","2.6228196970e+10","3.1680569811e+10","3.1680569811e+10"
"2020-03-18 03:35:00","2.5798347114e+10","2.5798347114e+10","3.1046170237e+10","3.1046170237e+10"
"2020-03-18 03:40:00","1.9245351098e+10","1.9245351098e+10","3.1394056269e+10","3.1394056269e+10"
"2020-03-18 03:45:00","2.0179178071e+10","2.0179178071e+10","3.0893058252e+10","3.0893058252e+10"
"2020-03-18 03:50:00","1.8106464134e+10","1.8106464134e+10","3.3989879159e+10","3.3989879159e+10"
"2020-03-18 03:55:00","1.8554858489e+10","1.8554858489e+10","2.9336656875e+10","2.9336656875e+10"
"2020-03-18 04:00:00","2.0626577228e+10","2.0626577228e+10","3.8933119312e+10","3.8933119312e+10"
