"Title:","mx1.ham.de - Traffic - LAG INFRASTRUCTURE BACKBONE TAL SRF9930557 | ham-tal"
"Vertical Label:","bits per second"
"Start Date:","2020-03-17 22:05:00"
"End Date:","2020-03-19 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","20497"
"Host ID:","231"
"Nth Percentile:","3796942042.08","|95:bits:0:current:2|"
"Nth Percentile:","16281855366.4","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-17 22:05:00","1.4266128260e+09","1.4266128260e+09","2.5405062540e+09","2.5405062540e+09"
"2020-03-17 22:10:00","1.4832985731e+09","1.4832985731e+09","2.6532107489e+09","2.6532107489e+09"
"2020-03-17 22:15:00","1.4121803520e+09","1.4121803520e+09","2.5883844914e+09","2.5883844914e+09"
"2020-03-17 22:20:00","6.3569022878e+08","6.3569022878e+08","2.5531356674e+09","2.5531356674e+09"
"2020-03-17 22:25:00","1.0478961242e+09","1.0478961242e+09","2.5075008785e+09","2.5075008785e+09"
"2020-03-17 22:30:00","9.3397267509e+08","9.3397267509e+08","2.4282795287e+09","2.4282795287e+09"
"2020-03-17 22:35:00","1.3785016727e+09","1.3785016727e+09","2.4284748476e+09","2.4284748476e+09"
"2020-03-17 22:40:00","1.5357318380e+09","1.5357318380e+09","2.6938968264e+09","2.6938968264e+09"
"2020-03-17 22:45:00","8.3678608806e+08","8.3678608806e+08","2.1745474044e+09","2.1745474044e+09"
"2020-03-17 22:50:00","1.0747400584e+09","1.0747400584e+09","2.1328965561e+09","2.1328965561e+09"
"2020-03-17 22:55:00","1.4281796562e+09","1.4281796562e+09","2.4111938239e+09","2.4111938239e+09"
"2020-03-17 23:00:00","1.4656952509e+09","1.4656952509e+09","2.9578578454e+09","2.9578578454e+09"
"2020-03-17 23:05:00","1.3839485719e+09","1.3839485719e+09","2.8469234256e+09","2.8469234256e+09"
"2020-03-17 23:10:00","1.3881474235e+09","1.3881474235e+09","2.6892184480e+09","2.6892184480e+09"
"2020-03-17 23:15:00","1.4192804465e+09","1.4192804465e+09","2.7537832183e+09","2.7537832183e+09"
"2020-03-17 23:20:00","1.4226002692e+09","1.4226002692e+09","2.8715951803e+09","2.8715951803e+09"
"2020-03-17 23:25:00","1.7693837674e+09","1.7693837674e+09","3.3056035278e+09","3.3056035278e+09"
"2020-03-17 23:30:00","1.7951259468e+09","1.7951259468e+09","3.3318557647e+09","3.3318557647e+09"
"2020-03-17 23:35:00","1.8303136534e+09","1.8303136534e+09","3.3189138870e+09","3.3189138870e+09"
"2020-03-17 23:40:00","1.8834992449e+09","1.8834992449e+09","3.2220376274e+09","3.2220376274e+09"
"2020-03-17 23:45:00","1.8524807705e+09","1.8524807705e+09","4.4894114359e+09","4.4894114359e+09"
"2020-03-17 23:50:00","2.1549708414e+09","2.1549708414e+09","3.6692597097e+09","3.6692597097e+09"
"2020-03-17 23:55:00","1.6284290447e+09","1.6284290447e+09","4.6647741286e+09","4.6647741286e+09"
"2020-03-18 00:00:00","1.4980019172e+09","1.4980019172e+09","7.0976402692e+09","7.0976402692e+09"
"2020-03-18 00:05:00","1.4390265573e+09","1.4390265573e+09","5.3207936994e+09","5.3207936994e+09"
"2020-03-18 00:10:00","1.4493420712e+09","1.4493420712e+09","3.6429389983e+09","3.6429389983e+09"
"2020-03-18 00:15:00","1.3735488166e+09","1.3735488166e+09","3.5058759716e+09","3.5058759716e+09"
"2020-03-18 00:20:00","1.3742588309e+09","1.3742588309e+09","3.2356009267e+09","3.2356009267e+09"
"2020-03-18 00:25:00","1.5893990867e+09","1.5893990867e+09","3.7050168912e+09","3.7050168912e+09"
"2020-03-18 00:30:00","1.7540092700e+09","1.7540092700e+09","3.6119821067e+09","3.6119821067e+09"
"2020-03-18 00:35:00","1.6459591193e+09","1.6459591193e+09","3.0622939796e+09","3.0622939796e+09"
"2020-03-18 00:40:00","1.4616118692e+09","1.4616118692e+09","3.2407957783e+09","3.2407957783e+09"
"2020-03-18 00:45:00","2.1272944508e+09","2.1272944508e+09","5.1742168228e+09","5.1742168228e+09"
"2020-03-18 00:50:00","7.0317043840e+09","7.0317043840e+09","6.5998110343e+09","6.5998110343e+09"
"2020-03-18 00:55:00","6.8510425878e+09","6.8510425878e+09","6.5249295675e+09","6.5249295675e+09"
"2020-03-18 01:00:00","3.0535890984e+09","3.0535890984e+09","6.5162691366e+09","6.5162691366e+09"
"2020-03-18 01:05:00","1.8371391165e+09","1.8371391165e+09","6.2891642603e+09","6.2891642603e+09"
"2020-03-18 01:10:00","1.5674596440e+09","1.5674596440e+09","6.9512686201e+09","6.9512686201e+09"
"2020-03-18 01:15:00","1.5066699591e+09","1.5066699591e+09","7.0745727249e+09","7.0745727249e+09"
"2020-03-18 01:20:00","1.4098071628e+09","1.4098071628e+09","7.1365524935e+09","7.1365524935e+09"
"2020-03-18 01:25:00","1.4790299995e+09","1.4790299995e+09","7.7651889198e+09","7.7651889198e+09"
"2020-03-18 01:30:00","1.5038105806e+09","1.5038105806e+09","8.1320433806e+09","8.1320433806e+09"
"2020-03-18 01:35:00","1.4156390240e+09","1.4156390240e+09","8.0201198628e+09","8.0201198628e+09"
"2020-03-18 01:40:00","1.4492285925e+09","1.4492285925e+09","7.8201016984e+09","7.8201016984e+09"
"2020-03-18 01:45:00","1.3935321218e+09","1.3935321218e+09","8.4073771248e+09","8.4073771248e+09"
"2020-03-18 01:50:00","1.4917281927e+09","1.4917281927e+09","9.4536279197e+09","9.4536279197e+09"
"2020-03-18 01:55:00","1.3659106633e+09","1.3659106633e+09","8.3474443442e+09","8.3474443442e+09"
"2020-03-18 02:00:00","1.4438554290e+09","1.4438554290e+09","8.7254065256e+09","8.7254065256e+09"
"2020-03-18 02:05:00","1.3898588262e+09","1.3898588262e+09","7.5914477607e+09","7.5914477607e+09"
"2020-03-18 02:10:00","1.5094282322e+09","1.5094282322e+09","6.9057240051e+09","6.9057240051e+09"
"2020-03-18 02:15:00","1.5164465065e+09","1.5164465065e+09","6.9644045550e+09","6.9644045550e+09"
"2020-03-18 02:20:00","1.4249356934e+09","1.4249356934e+09","6.9995484430e+09","6.9995484430e+09"
"2020-03-18 02:25:00","1.3024396937e+09","1.3024396937e+09","6.9781067342e+09","6.9781067342e+09"
"2020-03-18 02:30:00","3.9077020276e+08","3.9077020276e+08","6.4674438551e+09","6.4674438551e+09"
