"Title:","mx1.kau.lt - Traffic - ae1 - LAG INFRASTRUCTURE BACKBONE KAU SRF0000001 | kau-kau"
"Vertical Label:","bits per second"
"Start Date:","2020-03-17 22:05:00"
"End Date:","2020-03-19 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","12697"
"Host ID:","131"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-17 22:05:00","8.4830499314e+05","8.4830499314e+05","3.7082000820e+06","3.7082000820e+06"
"2020-03-17 22:10:00","7.3446485957e+05","7.3446485957e+05","7.9468888771e+05","7.9468888771e+05"
"2020-03-17 22:15:00","7.2663996017e+05","7.2663996017e+05","8.4730592357e+05","8.4730592357e+05"
"2020-03-17 22:20:00","7.3640778455e+05","7.3640778455e+05","1.1476072359e+06","1.1476072359e+06"
"2020-03-17 22:25:00","7.6678964852e+05","7.6678964852e+05","1.9683991790e+06","1.9683991790e+06"
"2020-03-17 22:30:00","7.3859258896e+05","7.3859258896e+05","7.8969399980e+05","7.8969399980e+05"
"2020-03-17 22:35:00","7.4380645639e+05","7.4380645639e+05","7.8555279748e+05","7.8555279748e+05"
"2020-03-17 22:40:00","7.6037860550e+05","7.6037860550e+05","7.6995198885e+05","7.6995198885e+05"
"2020-03-17 22:45:00","7.3692920112e+05","7.3692920112e+05","8.5312039707e+05","8.5312039707e+05"
"2020-03-17 22:50:00","7.4083562877e+05","7.4083562877e+05","9.2947667640e+05","9.2947667640e+05"
"2020-03-17 22:55:00","7.7573125242e+05","7.7573125242e+05","2.1949146954e+06","2.1949146954e+06"
"2020-03-17 23:00:00","7.4672140528e+05","7.4672140528e+05","7.9930297423e+05","7.9930297423e+05"
"2020-03-17 23:05:00","9.3896505490e+05","9.3896505490e+05","3.7178581491e+06","3.7178581491e+06"
"2020-03-17 23:10:00","7.5183060693e+05","7.5183060693e+05","8.3367625769e+05","8.3367625769e+05"
"2020-03-17 23:15:00","8.9086955307e+05","8.9086955307e+05","9.5118167458e+05","9.5118167458e+05"
"2020-03-17 23:20:00","8.5574702889e+05","8.5574702889e+05","1.1216456291e+06","1.1216456291e+06"
"2020-03-17 23:25:00","7.8358999644e+05","7.8358999644e+05","2.1392985671e+06","2.1392985671e+06"
"2020-03-17 23:30:00","7.4126195558e+05","7.4126195558e+05","7.8426022100e+05","7.8426022100e+05"
"2020-03-17 23:35:00","7.3681823891e+05","7.3681823891e+05","8.5957770176e+05","8.5957770176e+05"
