"Title:","mx1.lis.pt - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE LIS SRF0000001 | lis-lis"
"Vertical Label:","bits per second"
"Start Date:","2020-03-17 22:05:00"
"End Date:","2020-03-19 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47857"
"Host ID:","161"
"Nth Percentile:","584676138.27","|95:bits:0:current:2|"
"Nth Percentile:","1829287255.6","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-17 22:05:00","1.7816887471e+08","1.7816887471e+08","1.5053743434e+09","1.5053743434e+09"
"2020-03-17 22:10:00","1.8098710599e+08","1.8098710599e+08","1.4014045821e+09","1.4014045821e+09"
"2020-03-17 22:15:00","2.4824313061e+08","2.4824313061e+08","1.1251978350e+09","1.1251978350e+09"
"2020-03-17 22:20:00","1.6220075915e+08","1.6220075915e+08","1.5577636576e+09","1.5577636576e+09"
"2020-03-17 22:25:00","2.8622447096e+08","2.8622447096e+08","1.1694081394e+09","1.1694081394e+09"
"2020-03-17 22:30:00","2.0120879963e+08","2.0120879963e+08","9.5416272209e+08","9.5416272209e+08"
"2020-03-17 22:35:00","2.2100912721e+08","2.2100912721e+08","1.1765120048e+09","1.1765120048e+09"
"2020-03-17 22:40:00","2.4521314488e+08","2.4521314488e+08","1.2251758426e+09","1.2251758426e+09"
"2020-03-17 22:45:00","1.8219228088e+08","1.8219228088e+08","1.0964296125e+09","1.0964296125e+09"
"2020-03-17 22:50:00","2.7607256919e+08","2.7607256919e+08","1.3427754666e+09","1.3427754666e+09"
"2020-03-17 22:55:00","1.2092677040e+09","1.2092677040e+09","1.0964649677e+09","1.0964649677e+09"
"2020-03-17 23:00:00","1.1125353117e+09","1.1125353117e+09","1.1488797742e+09","1.1488797742e+09"
"2020-03-17 23:05:00","8.4060257116e+08","8.4060257116e+08","1.3496421427e+09","1.3496421427e+09"
"2020-03-17 23:10:00","4.8601555152e+08","4.8601555152e+08","9.8672671199e+08","9.8672671199e+08"
"2020-03-17 23:15:00","4.0140329627e+08","4.0140329627e+08","1.1820184338e+09","1.1820184338e+09"
"2020-03-17 23:20:00","3.1321505490e+08","3.1321505490e+08","9.4119876836e+08","9.4119876836e+08"
"2020-03-17 23:25:00","1.8814344312e+08","1.8814344312e+08","8.8548100750e+08","8.8548100750e+08"
"2020-03-17 23:30:00","1.5322757351e+08","1.5322757351e+08","1.0163166103e+09","1.0163166103e+09"
"2020-03-17 23:35:00","1.8554093565e+08","1.8554093565e+08","9.3046445600e+08","9.3046445600e+08"
"2020-03-17 23:40:00","1.5115914225e+08","1.5115914225e+08","9.0777541080e+08","9.0777541080e+08"
"2020-03-17 23:45:00","1.7706989183e+08","1.7706989183e+08","8.9762342686e+08","8.9762342686e+08"
"2020-03-17 23:50:00","1.5439175605e+08","1.5439175605e+08","1.5938758602e+09","1.5938758602e+09"
"2020-03-17 23:55:00","9.5454566513e+08","9.5454566513e+08","9.8265383247e+08","9.8265383247e+08"
"2020-03-18 00:00:00","9.7908257901e+08","9.7908257901e+08","9.9885415739e+08","9.9885415739e+08"
"2020-03-18 00:05:00","5.3111741126e+08","5.3111741126e+08","1.2682353159e+09","1.2682353159e+09"
"2020-03-18 00:10:00","4.1715519954e+08","4.1715519954e+08","1.6190797183e+09","1.6190797183e+09"
"2020-03-18 00:15:00","2.8948636511e+08","2.8948636511e+08","1.1266634858e+09","1.1266634858e+09"
"2020-03-18 00:20:00","1.5354673241e+08","1.5354673241e+08","1.0397643780e+09","1.0397643780e+09"
"2020-03-18 00:25:00","2.1331132533e+08","2.1331132533e+08","1.0242118313e+09","1.0242118313e+09"
"2020-03-18 00:30:00","1.6819379969e+08","1.6819379969e+08","1.0267551226e+09","1.0267551226e+09"
"2020-03-18 00:35:00","1.1971840721e+08","1.1971840721e+08","9.8114947290e+08","9.8114947290e+08"
"2020-03-18 00:40:00","3.3295192374e+08","3.3295192374e+08","1.3016832817e+09","1.3016832817e+09"
"2020-03-18 00:45:00","1.4491976280e+08","1.4491976280e+08","7.7062502884e+08","7.7062502884e+08"
"2020-03-18 00:50:00","1.3445225017e+08","1.3445225017e+08","8.4895767081e+08","8.4895767081e+08"
"2020-03-18 00:55:00","4.3305716877e+08","4.3305716877e+08","7.1598395703e+08","7.1598395703e+08"
"2020-03-18 01:00:00","1.5563960774e+08","1.5563960774e+08","7.2716307722e+08","7.2716307722e+08"
"2020-03-18 01:05:00","1.6483033153e+08","1.6483033153e+08","7.3422150146e+08","7.3422150146e+08"
"2020-03-18 01:10:00","2.6727713510e+08","2.6727713510e+08","7.7853050378e+08","7.7853050378e+08"
"2020-03-18 01:15:00","2.6844199336e+08","2.6844199336e+08","9.3616989366e+08","9.3616989366e+08"
"2020-03-18 01:20:00","2.1221070380e+08","2.1221070380e+08","7.1832914903e+08","7.1832914903e+08"
"2020-03-18 01:25:00","1.5548489441e+08","1.5548489441e+08","7.2332356291e+08","7.2332356291e+08"
"2020-03-18 01:30:00","1.7206535299e+08","1.7206535299e+08","9.4816140663e+08","9.4816140663e+08"
"2020-03-18 01:35:00","1.3876199653e+08","1.3876199653e+08","7.8834087477e+08","7.8834087477e+08"
"2020-03-18 01:40:00","1.5594522710e+08","1.5594522710e+08","7.9304319873e+08","7.9304319873e+08"
"2020-03-18 01:45:00","2.1483417348e+08","2.1483417348e+08","7.7092738985e+08","7.7092738985e+08"
"2020-03-18 01:50:00","1.2523377101e+08","1.2523377101e+08","6.9994179736e+08","6.9994179736e+08"
"2020-03-18 01:55:00","1.3555148243e+08","1.3555148243e+08","7.1505598621e+08","7.1505598621e+08"
"2020-03-18 02:00:00","1.3359451036e+08","1.3359451036e+08","7.5806835022e+08","7.5806835022e+08"
"2020-03-18 02:05:00","2.4273900103e+08","2.4273900103e+08","7.4493235014e+08","7.4493235014e+08"
"2020-03-18 02:10:00","2.3243296079e+08","2.3243296079e+08","8.4142250516e+08","8.4142250516e+08"
"2020-03-18 02:15:00","1.3359673398e+08","1.3359673398e+08","1.0182056534e+09","1.0182056534e+09"
"2020-03-18 02:20:00","1.3932030238e+08","1.3932030238e+08","6.6812434269e+08","6.6812434269e+08"
"2020-03-18 02:25:00","1.2478920647e+08","1.2478920647e+08","6.6055808456e+08","6.6055808456e+08"
"2020-03-18 02:30:00","1.3380364260e+08","1.3380364260e+08","7.2941254841e+08","7.2941254841e+08"
"2020-03-18 02:35:00","1.3685198809e+08","1.3685198809e+08","8.7427119926e+08","8.7427119926e+08"
"2020-03-18 02:40:00","1.3993707959e+08","1.3993707959e+08","6.5886798631e+08","6.5886798631e+08"
"2020-03-18 02:45:00","2.3536517314e+08","2.3536517314e+08","6.5946034247e+08","6.5946034247e+08"
"2020-03-18 02:50:00","1.5105525923e+08","1.5105525923e+08","6.5066778720e+08","6.5066778720e+08"
"2020-03-18 02:55:00","1.7452414251e+08","1.7452414251e+08","7.1304056039e+08","7.1304056039e+08"
"2020-03-18 03:00:00","1.3063905110e+08","1.3063905110e+08","6.9270050718e+08","6.9270050718e+08"
"2020-03-18 03:05:00","1.3705428595e+08","1.3705428595e+08","6.2912063754e+08","6.2912063754e+08"
"2020-03-18 03:10:00","1.3859685557e+08","1.3859685557e+08","6.9131964759e+08","6.9131964759e+08"
"2020-03-18 03:15:00","2.6214650491e+08","2.6214650491e+08","7.8576548114e+08","7.8576548114e+08"
"2020-03-18 03:20:00","1.9270638079e+08","1.9270638079e+08","9.3278054814e+08","9.3278054814e+08"
"2020-03-18 03:25:00","1.7307022917e+08","1.7307022917e+08","5.4389316166e+08","5.4389316166e+08"
"2020-03-18 03:30:00","2.3929995779e+08","2.3929995779e+08","5.7997733148e+08","5.7997733148e+08"
"2020-03-18 03:35:00","1.1741412802e+08","1.1741412802e+08","4.8380399495e+08","4.8380399495e+08"
"2020-03-18 03:40:00","1.9656971262e+08","1.9656971262e+08","7.5659184224e+08","7.5659184224e+08"
