"Title:","mx1.mad.es - Traffic - ae1 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | mad-par"
"Vertical Label:","bits per second"
"Start Date:","2020-03-17 22:05:00"
"End Date:","2020-03-19 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47849"
"Host ID:","154"
"Nth Percentile:","4408025528.56","|95:bits:0:current:2|"
"Nth Percentile:","5674787921.76","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-17 22:05:00","2.3432949448e+09","2.3432949448e+09","1.4733983402e+09","1.4733983402e+09"
"2020-03-17 22:10:00","2.2669866963e+09","2.2669866963e+09","3.2858839497e+08","3.2858839497e+08"
"2020-03-17 22:15:00","3.8763757487e+09","3.8763757487e+09","1.1514572465e+09","1.1514572465e+09"
"2020-03-17 22:20:00","2.5159631290e+09","2.5159631290e+09","1.2032990293e+09","1.2032990293e+09"
"2020-03-17 22:25:00","1.7898488547e+09","1.7898488547e+09","2.0832042411e+09","2.0832042411e+09"
"2020-03-17 22:30:00","1.4337900734e+09","1.4337900734e+09","1.7933867618e+09","1.7933867618e+09"
"2020-03-17 22:35:00","2.2664650410e+09","2.2664650410e+09","1.7413874270e+09","1.7413874270e+09"
"2020-03-17 22:40:00","1.7696537205e+09","1.7696537205e+09","1.3974906575e+09","1.3974906575e+09"
"2020-03-17 22:45:00","1.5228166795e+09","1.5228166795e+09","1.2669374002e+09","1.2669374002e+09"
"2020-03-17 22:50:00","1.8738184445e+09","1.8738184445e+09","1.2722376861e+09","1.2722376861e+09"
"2020-03-17 22:55:00","1.8689850558e+09","1.8689850558e+09","1.0893502842e+09","1.0893502842e+09"
"2020-03-17 23:00:00","2.3235496656e+09","2.3235496656e+09","2.1636326579e+09","2.1636326579e+09"
"2020-03-17 23:05:00","1.9319673264e+09","1.9319673264e+09","8.3285421326e+08","8.3285421326e+08"
"2020-03-17 23:10:00","1.2635660821e+09","1.2635660821e+09","1.0144112016e+09","1.0144112016e+09"
"2020-03-17 23:15:00","1.6243758623e+09","1.6243758623e+09","1.8626359010e+09","1.8626359010e+09"
"2020-03-17 23:20:00","1.9752720920e+09","1.9752720920e+09","1.1464400620e+09","1.1464400620e+09"
"2020-03-17 23:25:00","1.3471376614e+09","1.3471376614e+09","1.4256495697e+09","1.4256495697e+09"
"2020-03-17 23:30:00","1.4239895181e+09","1.4239895181e+09","7.6360144456e+08","7.6360144456e+08"
