"Title:","mx1.mar.fr - Traffic - ae1 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | gen-mar"
"Vertical Label:","bits per second"
"Start Date:","2020-03-17 22:05:00"
"End Date:","2020-03-19 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","20747"
"Host ID:","233"
"Nth Percentile:","14079198024.8","|95:bits:0:current:2|"
"Nth Percentile:","22589013584","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-17 22:05:00","9.5914329328e+09","9.5914329328e+09","6.9631458723e+09","6.9631458723e+09"
"2020-03-17 22:10:00","8.7355631611e+09","8.7355631611e+09","6.2328727071e+09","6.2328727071e+09"
"2020-03-17 22:15:00","7.9052870176e+09","7.9052870176e+09","5.3114967124e+09","5.3114967124e+09"
"2020-03-17 22:20:00","8.0247151121e+09","8.0247151121e+09","4.7268639080e+09","4.7268639080e+09"
"2020-03-17 22:25:00","8.0635607465e+09","8.0635607465e+09","5.3776547862e+09","5.3776547862e+09"
"2020-03-17 22:30:00","7.5171898558e+09","7.5171898558e+09","5.7162928509e+09","5.7162928509e+09"
"2020-03-17 22:35:00","8.6759873757e+09","8.6759873757e+09","6.4195443419e+09","6.4195443419e+09"
"2020-03-17 22:40:00","8.6625272280e+09","8.6625272280e+09","6.0189951097e+09","6.0189951097e+09"
"2020-03-17 22:45:00","9.0275622229e+09","9.0275622229e+09","8.5169353211e+09","8.5169353211e+09"
"2020-03-17 22:50:00","7.7271552290e+09","7.7271552290e+09","7.8870991895e+09","7.8870991895e+09"
"2020-03-17 22:55:00","7.1448075858e+09","7.1448075858e+09","7.2271274234e+09","7.2271274234e+09"
"2020-03-17 23:00:00","7.4584518817e+09","7.4584518817e+09","6.0704814630e+09","6.0704814630e+09"
"2020-03-17 23:05:00","7.8563569199e+09","7.8563569199e+09","6.1536187538e+09","6.1536187538e+09"
"2020-03-17 23:10:00","7.1868494800e+09","7.1868494800e+09","5.0891610931e+09","5.0891610931e+09"
"2020-03-17 23:15:00","9.4089191146e+09","9.4089191146e+09","6.0747492111e+09","6.0747492111e+09"
"2020-03-17 23:20:00","8.0253153468e+09","8.0253153468e+09","4.8867678703e+09","4.8867678703e+09"
"2020-03-17 23:25:00","8.0567132191e+09","8.0567132191e+09","6.1320383584e+09","6.1320383584e+09"
"2020-03-17 23:30:00","7.3887577191e+09","7.3887577191e+09","5.4391273393e+09","5.4391273393e+09"
"2020-03-17 23:35:00","8.2097735317e+09","8.2097735317e+09","5.8942455157e+09","5.8942455157e+09"
"2020-03-17 23:40:00","7.3127790175e+09","7.3127790175e+09","7.0091641970e+09","7.0091641970e+09"
"2020-03-17 23:45:00","8.9502936167e+09","8.9502936167e+09","7.8220651623e+09","7.8220651623e+09"
"2020-03-17 23:50:00","6.9973298700e+09","6.9973298700e+09","5.1007186474e+09","5.1007186474e+09"
"2020-03-17 23:55:00","7.3372671985e+09","7.3372671985e+09","5.1075915887e+09","5.1075915887e+09"
"2020-03-18 00:00:00","6.5783661703e+09","6.5783661703e+09","6.2138286226e+09","6.2138286226e+09"
"2020-03-18 00:05:00","8.7816722587e+09","8.7816722587e+09","7.3982583792e+09","7.3982583792e+09"
"2020-03-18 00:10:00","8.5633952752e+09","8.5633952752e+09","8.2190985272e+09","8.2190985272e+09"
"2020-03-18 00:15:00","9.1100156962e+09","9.1100156962e+09","8.3234355314e+09","8.3234355314e+09"
"2020-03-18 00:20:00","8.0406666835e+09","8.0406666835e+09","6.9326843533e+09","6.9326843533e+09"
"2020-03-18 00:25:00","9.0408918033e+09","9.0408918033e+09","6.7960613483e+09","6.7960613483e+09"
"2020-03-18 00:30:00","9.7260407527e+09","9.7260407527e+09","5.7690985463e+09","5.7690985463e+09"
"2020-03-18 00:35:00","9.9213409240e+09","9.9213409240e+09","7.3449211334e+09","7.3449211334e+09"
"2020-03-18 00:40:00","8.3610236827e+09","8.3610236827e+09","6.9538872480e+09","6.9538872480e+09"
"2020-03-18 00:45:00","8.9680394505e+09","8.9680394505e+09","6.3614245360e+09","6.3614245360e+09"
"2020-03-18 00:50:00","8.2533813939e+09","8.2533813939e+09","8.0933592641e+09","8.0933592641e+09"
"2020-03-18 00:55:00","1.0036342405e+10","1.0036342405e+10","8.5024826093e+09","8.5024826093e+09"
"2020-03-18 01:00:00","1.0735343158e+10","1.0735343158e+10","5.7875007824e+09","5.7875007824e+09"
"2020-03-18 01:05:00","1.0845489071e+10","1.0845489071e+10","6.7561275691e+09","6.7561275691e+09"
"2020-03-18 01:10:00","1.1174146301e+10","1.1174146301e+10","6.6482359101e+09","6.6482359101e+09"
